"Control"	"RNA_Control_Cal33"	"RNA_J_03_U_T_PT"	"RNA_J_05_U_T_PT"	"RNA_J_06_U_T_PT"	"RNA_J_08_U_T_PT"	"RNA_J_10_U_T_PT"	"RNA_J_13_U_T_PT"	"RNA_J_19_U_T_PT"	"RNA_J_22_U_T_PT"	"RNA_J_31_M_T_PT"	"RNA_J_32_M_T_PT"	"RNA_J_33_M_T_PT"	"RNA_J_35_M_T_PT"	"RNA_J_36_M_T_PT"	"RNA_J_37_M_T_PT"	"RNA_J_38_M_T_PT"	"RNA_LMU_KKG_01_PT"	"RNA_LMU_KKG_01_Rez"	"RNA_LMU_KKG_02_PT"	"RNA_LMU_KKG_02_Rez"	"RNA_LMU_KKG_03_PT"	"RNA_LMU_KKG_03_Rez"	"RNA_LMU_KKG_04_PT"	"RNA_LMU_KKG_04_Rez"	"RNA_LMU_KKG_05_PT"	"RNA_LMU_KKG_05_Rez"	"RNA_LMU_KKG_06_PT"	"RNA_LMU_KKG_06_Rez"	"RNA_LMU_KKG_07_PT"	"RNA_LMU_KKG_07_Rez"	"RNA_LMU_KKG_08_PT"	"RNA_LMU_KKG_08_Rez"	"RNA_LMU_KKG_09_PT"	"RNA_LMU_KKG_09_Rez"	"RNA_LMU_KKG_10_PT"	"RNA_LMU_KKG_10_Rez"	"RNA_LMU_KKG_11_PT"	"RNA_LMU_KKG_11_Rez"	"RNA_LMU_KKG_12_PT"	"RNA_LMU_KKG_12_Rez"	"RNA_LMU_KKG_13_PT"	"RNA_LMU_KKG_13_Rez"	"RNA_LMU_KKG_14_PT"	"RNA_LMU_KKG_14_Rez"	"RNA_LMU_KKG_15_PT"	"RNA_LMU_KKG_15_Rez"	"RNA_LMU_KKG_16_PT"	"RNA_LMU_KKG_16_Rez"	"RNA_LMU_KKG_17_PT"	"RNA_LMU_KKG_17_Rez"	"RNA_LMU_KKG_18_Rez"	"RNA_LMU_KKG_20_PT"	"RNA_LMU_KKG_20_Rez"	"RNA_LMU_KKG_21_PT"	"RNA_LMU_KKG_21_Rez"	"RNA_LMU_KKG_ADJ_01"	"RNA_LMU_KKG_ADJ_02"	"RNA_LMU_KKG_ADJ_03"	"RNA_LMU_KKG_ADJ_04"	"RNA_LMU_KKG_ADJ_05"	"RNA_LMU_KKG_ADJ_06"	"RNA_LMU_KKG_ADJ_07"	"RNA_LMU_KKG_ADJ_08"	"RNA_LMU_KKG_ADJ_09"	"RNA_LMU_KKG_ADJ_10"	"RNA_LMU_KKG_ADJ_11"	"RNA_LMU_KKG_ADJ_12"	"RNA_LMU_KKG_ADJ_13"	"RNA_LMU_KKG_ADJ_14"	"RNA_LMU_KKG_ADJ_15"	"RNA_LMU_KKG_ADJ_16"	"RNA_LMU_KKG_ADJ_17"	"RNA_LMU_KKG_ADJ_18"	"RNA_LMU_KKG_ADJ_19"	"RNA_LMU_KKG_ADJ_20"	"RNA_LMU_KKG_ADJ_21"	"RNA_LMU_KKG_ADJ_22"	"RNA_LMU_KKG_ADJ_23"	"RNA_LMU_KKG_ADJ_24"	"RNA_LMU_KKG_ADJ_25"	"RNA_LMU_KKG_ADJ_26"	"RNA_LMU_KKG_ADJ_27"	"RNA_LMU_KKG_ADJ_28"	"RNA_LMU_KKG_ADJ_29"	"RNA_LMU_KKG_ADJ_30"	"RNA_LMU_KKG_ADJ_31"	"RNA_LMU_KKG_ADJ_32"	"RNA_LMU_KKG_ADJ_33"	"RNA_LMU_KKG_ADJ_34"	"RNA_LMU_KKG_ADJ_35"	"RNA_LMU_KKG_ADJ_36"	"RNA_LMU_KKG_ADJ_37"	"RNA_LMU_KKG_ADJ_38"	"RNA_LMU_KKG_ADJ_39"	"RNA_LMU_KKG_ADJ_40"	"RNA_LMU_KKG_ADJ_41"	"RNA_LMU_KKG_ADJ_42"	"RNA_LMU_KKG_ADJ_43"	"RNA_LMU_KKG_ADJ_44"	"RNA_LMU_KKG_ADJ_45"	"RNA_LMU_KKG_ADJ_46"	"RNA_LMU_KKG_ADJ_47"	"RNA_LMU_KKG_ADJ_48"	"RNA_LMU_KKG_ADJ_49"	"RNA_LMU_KKG_ADJ_50"	"RNA_LMU_KKG_ADJ_51"	"RNA_LMU_KKG_ADJ_52"	"RNA_LMU_KKG_ADJ_53"	"RNA_LMU_KKG_ADJ_54"	"RNA_LMU_KKG_ADJ_55"	"RNA_LMU_KKG_ADJ_56"	"RNA_LMU_KKG_ADJ_57"	"RNA_LMU_KKG_ADJ_58"	"RNA_LMU_KKG_ADJ_59"	"RNA_LMU_KKG_ADJ_60"	"RNA_LMU_KKG_ADJ_61"	"RNA_LMU_KKG_ADJ_62"	"RNA_LMU_KKG_ADJ_63"	"RNA_LMU_KKG_ADJ_64"	"RNA_LMU_KKG_ADJ_65"	"RNA_LMU_KKG_ADJ_66"	"RNA_LMU_KKG_ADJ_67"	"RNA_LMU_KKG_ADJ_68"	"RNA_LMU_KKG_ADJ_69"	"RNA_LMU_KKG_ADJ_70"	"RNA_LMU_KKG_ADJ_72"	"RNA_LMU_KKG_ADJ_73"	"RNA_LMU_KKG_ADJ_74"	"RNA_LMU_KKG_ADJ_75"	"RNA_LMU_KKG_ADJ_76"	"RNA_LMU_KKG_ADJ_77"	"RNA_Lue_01_PT"	"RNA_Lue_01_Rez_2"	"RNA_Lue_02_Rez_1"	"RNA_Lue_02_Rez_2"	"RNA_Lue_03_PT"	"RNA_Lue_03_Rez_1"	"RNA_Lue_04_PT"	"RNA_Lue_04_Rez_1"	"RNA_Lue_05_Rez_1"	"RNA_Lue_05_Rez_2"	"RNA_Lue_06_PT"	"RNA_Lue_06_Rez_1"	"RNA_Lue_07_PT"	"RNA_Lue_07_Rez_1"	"RNA_Lue_08_PT"	"RNA_Lue_08_Rez_1"	"RNA_Lue_09_PT"	"RNA_Lue_09_Rez_1"	"RNA_Lue_10_Rez_1"	"RNA_Lue_10_Rez_2"	"RNA_Lue_11_PT"	"RNA_Lue_11_Rez_1"	"RNA_Lue_12_PT"	"RNA_Lue_12_Rez_1"	"RNA_Lue_13_PT"	"RNA_Lue_13_Rez_1"	"RNA_Lue_14_PT"	"RNA_Lue_14_Rez_1"	"RNA_Lue_15_PT"	"RNA_Lue_15_Rez_1"	"RNA_Lue_16_PT"	"RNA_Lue_16_Rez_1"	"RNA_Lue_17_PT"	"RNA_Lue_17_Rez_1"
"MS4A1"	0	0	2.1149339959679	0.909744691504435	0.577434145603481	3.2500071394085	6.36662752615706	2.55052049149911	2.10899206508579	1.04148901856871	1.31220859636579	2.29624095016786	3.7217818936847	4.55000553448451	1.53221221362593	0.989128832153221	0.753039669645867	2.35621143497037	0	1.27460220147325	0.16094728684955	0	0	0	0	2.32339024647319	0.479790350735637	1.43892143153995	0	0	0	0	0.145922611013663	0.368785108277107	0.293209194715452	3.56840586763796	2.62958789907262	0	0.0829954580285226	3.53412661190351	0	2.29563369808983	0.0876597132578999	3.41678165470717	0.459021310288154	1.69721958301622	1.58234163006169	2.4939557180641	1.2025681740492	0.302465287332405	0.204247161706112	0	0.221581398804784	1.07349396227272	0.609378640077013	0.510758408992128	1.28418540295943	2.18923977338932	2.66711210992536	0.855243447676874	4.58448693410688	1.08353472575777	0.329600109382866	1.18887309414725	6.15065345682823	1.04374064912242	0	0.581865078098755	0.290665029576829	0.654142205808372	1.98666286151182	0.969856672646754	2.20348716066312	0.538336519870342	1.02799125124741	0.227400998329456	5.42694772589484	0	0.218694386525004	0.979880474912476	1.6679647689423	2.80223354978778	0.129384579100899	2.91406599962839	0	0.152115907786264	3.17688442066121	1.12245141131417	0.449160929902367	0.581629876145369	3.39723891389446	0.049627979905403	0	1.98517833818717	0.760214984024499	1.97424625217858	2.55569273556402	0	2.65275149050337	0	0.2063556564524	1.43822790222235	6.54896036971954	0	5.71149752222079	5.65459243914784	3.94057825931854	0.752582479269971	0.785649308628732	2.9880718542701	3.94878164023887	0.428682697297107	0.255557533426605	0.392741650141743	1.23065124921949	0.481712262003304	4.35269257418083	0	2.47430104792692	1.72540481559965	1.01100105889716	0.840677532441199	0.60744821041004	0.157063118468496	3.35916424760598	3.725902646434	3.47685511976021	2.00004544417805	7.35760708108903	2.52758259652595	2.07991736747562	0.360957527857181	2.50858229517542	0.306153727245282	2.09199765011369	0.547017400040569	0.459605780762113	0.204290989687073	3.05873590729623	1.95960139823549	1.31407349487618	1.49773038205881	3.65350479861921	2.05761420154985	3.99724470847719	1.25560526810123	1.03814255561082	0.108543190783442	0	0	1.63434187842318	0.0414630850927021	1.95646783626327	0.236228087283954	0	2.23017011265679	0.880281945153708	0.238920119330263	2.31100459622975	0	1.34915350069133	0.0380540346011756	0.0948454544423825	0	3.07542737733389	0.903104617129285
"FCER2"	0	0	0	0	0.226091691028366	0.533250356584597	2.3833158355762	0	0	0	0.121987483018291	0.40400606232865	0.531290123331474	0.198795862228229	0.150906661490055	0	0.276576465759622	0.284340004369253	0	0	0.192726948562909	0	0	0	0	0	0	0	0	0	0	0	0.234853214299598	0	0	0.712756877900784	0	0	0.147741721352337	0.150502487530366	0	0	0	0	0	0.157349037501896	0	0	0	0	0	0	0	0.0941522762250047	0	0	0	0	0	0	0.270873354051988	0.0585866508788467	0	0.0844412216941993	0.614049232989962	0	0	0	0	0	0.228206704128149	0	0.0813000823389023	0	0	0	0.157768110511293	0	0	0	0	0	0.22884331228114	0	0	0	0.384759371902073	0	0	0	0.279046893676136	0	0	0	0	0.361525831541662	0	0	0	0	0	0	1.57111806697029	0	1.02951578697965	1.60095477583151	0.401158592104719	0	0	0.395138497879746	0.360346295422143	0	0	0	0.110637189080506	0	0.379751807785949	0	0.0915901682225929	0	0	0.124513423383684	0	0	0	0	0.114329707646144	0.135027834577479	1.87535033540159	0.15870153308857	0	0.0759145610743915	0.102607073499563	0.0899428228794626	0	0.101988861243592	0	0	0	0	0	0.0632723687891915	0.41707206735064	0.182172325170414	0.440130451508983	0	0.165144011861837	0.0637376200189678	0	0	0.388270006153901	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257778241606368	0
"FCRL1"	0	0	0.173188850676187	0.535940465142081	0.0727753575036558	2.20723818173838	4.83600711775529	2.18667549599699	0.473356765949917	0.468096341542139	1.52922925779031	1.36372169177252	1.52254292810288	2.79092484703272	0.560244412449953	0.907063708626852	0.524715650673383	1.50444700436049	0.0823769585189953	0.581451521233981	0	0	0	0	0	0.811261392943018	0	0	0	0.0723212451505112	0	0	0.0796996413862387	0	0	2.44025512558463	1.33008392487969	0	0.172098306588354	1.71471985276993	0	1.35644415257619	0.0755750728171088	0.893618494520493	0.355167406525353	0.49107934785673	1.01336720853156	0.967787615964258	0.0800122284411332	0.298728689215947	0.121280699792729	0	0.0409008448826265	1.04984192937058	0.0806726700241029	0	0.309588327187328	1.11876968282755	1.04201039280027	1.13743728941176	2.83243597468592	0.627279042990765	0	0.217313862700118	3.18344506714904	1.04199918243341	0	0.0929610696821282	0.076122595043109	0	1.06300930429664	0	0.611739901608997	0.0398318441081466	1.03268485770402	0	3.2705612344679	0.0821303021674327	0.0458455271626692	0	0.836805586564523	1.61186687878126	0.4620900221306	0.587118199362997	0.035001657305605	0.0547956987387277	1.12693520301122	0	0	0.0716116657226991	1.73415508528346	0	0	1.22584991868527	0.311484514928819	0	1.86556254956932	0	1.09057231459412	0	0.105330770279546	0	4.70099355123002	0	4.20301434576021	4.28593140591538	2.13973698768088	0.0729468129082912	0.296998848689866	1.80310260378888	2.40342643733525	0	0.0540232486245201	0.0826358341909509	0.973613479507666	0.119781120124167	2.32182392854496	0.147077412545603	1.8573882739615	0.762639664263461	1.40714061450155	0	0.480701484233299	0	1.79822018481061	0.855571972639657	2.31469971553124	0.616636233532909	4.69510721837142	0.964677347639057	0.691864651623487	0.0995322110786613	0.764767368008431	0.0853811435877251	0.288874709552019	0.315534930046824	0	0	2.00450498773212	0.69972218737217	0.717276113897958	0.373851969790279	1.91241533604387	0.835401053022416	2.28000191964546	1.54637098294119	0.925299921568301	0.0427073663975211	0	0	0.660486917231442	0	0.388321812585694	0.16836604881212	0	1.09382043271944	0.255584120022524	0	0.943547058478462	0	0.590707400465761	0	0.0817990894685165	0.101016657133261	1.91347998994352	0
"CD19"	0	0.0964669737856341	0.321133816931506	0.433386809157736	0	0.874703340115074	3.48639632732098	1.24607420685391	0.369609419939034	0.518824152598003	0.303389158560555	1.26852661770885	1.66480320142016	0.533348049159791	0.195377837901353	0.492440826736857	0.453126661914828	0.925823247142651	0.0539662709981077	0.519304371226951	0	0.0850261944012841	0	0.0696513036882066	0	0.0847378188956161	0	0.717487578717973	0	0.275072623056841	0	0.345068168941486	0	0.169115582805637	0.170071187133172	1.21066004567389	0.916471294035591	0	0.923123312537624	1.17713581495143	0	1.17196769322365	0	0.553172719562551	0.370740127412542	0.578943542190043	1.18510599702879	0.61438664422631	0.610910735025834	0.828100221146181	0.357929167284779	0	0	0.0703563516278761	0.150408900566459	0.200344896135653	0	0.376808237910362	0.113229746445868	0.749866317472475	1.92241252371724	0.178719739591758	0.622026041121788	0.197450258081054	1.81685811932242	0.152703928711275	0	0.117683075564483	0	0.372506408986169	0.567066416734001	0	1.22658806080465	0	0.670859366281084	0.976594595103918	1.27508454556515	0	0.214052668797374	0.331092929932415	1.11800615256931	1.32290648736988	0	0.90485091488478	0	0.230329689466582	0	0.530670075491706	0	0	1.4417713524476	0.0372852190267473	0	0.91789380210781	2.24872001869244	0	2.79650451987953	0	0.913988861353829	0.317383958571894	0	0	3.27200048809091	0	3.93859500179212	2.65191756509849	1.04165862602526	0.480440923641646	0.703208809063861	0.523625182349856	1.74761640797072	0.738845642973935	0.806633394140145	0	0.161687786758028	0.192968025146121	1.81794573031786	0	0.866303481943076	0.303041899154674	0.504098639879454	0	0	0	0.951512450448646	0.384962672029023	1.24421303527901	1.34174670102812	2.5023351849263	0.796686621990153	0.650981406532377	0.146000843463652	0.314076976242523	0	0.283535421949302	0.190607275374448	0.252548876903392	0	0	0.416809482823111	1.27268434744078	0.162162332472449	1.10229464063243	0.612850691044661	2.84554946366633	1.00205005510417	0.817713295243331	0.297048167301695	0	0.104441335285336	0.976613656765335	0	0	0	0	0.688797149534223	0.637040752668398	0.0482194424797818	0.359699950083723	0.956884848811523	0.982790282929982	0.129716914358366	0.309166872226224	0.180103293544688	1.74910815383981	0.346427071351031
"TCL1A"	0	0	0	1.18750046271504	0	1.19543894511626	2.68350625302221	0	0	0.707918761589609	0	0.627076351753864	1.34031899845497	0.774226631725294	0.575859289205614	0.161222116012269	0	1.91312493722709	0.533874279025768	0.221404455326066	0	0.578898148043286	0	0.549604118620984	0	0.814276418683469	0	0	0	0	0	0	0.212901727376159	0	0	0.96320997562539	0.635522241459754	0.21416335961895	0	0.617164928617703	0	0.370936487742096	0	0.163649434518466	0	0.15049468884858	0.636497947808053	0.478871395139559	1.73406271434674	0.441081848774691	0.290766457803155	0.398853802770916	0	0.151230178976173	0	0	0.196580607032472	0	0.775332940629053	1.42382608347822	2.1989561192564	0	0.195137163699034	0	1.83759372433785	0.403573137730456	0	0	0	0	0.483773994921283	0.343606800994894	0.247683297656135	0	0.333989250928823	0.588013937705231	0.304497023652382	0.444512294781267	0.211554270762714	0.223922926955126	0.658841217376984	0.158466295124796	0	0	0	0	0	0.303815810719111	0.44817149234461	0	1.21794847233887	0	0	0.460825375515129	0	0	0	0.361114788432917	0.23227639619206	0	0.105769249049736	0	2.59658933105954	0	3.4426256036035	2.70901574745397	0.942087310531468	0.764484591442273	0.25121735644862	1.72312820066105	0.463289730290211	0	0	0	0.198217531993463	0	0.828330988908332	0	1.25147309402297	0	0.439342283315821	0.470625363291836	0	0	1.20719819227031	1.6451791691287	1.67172136136663	0	3.88138192518861	0.450059926124756	0.351508476417348	0	0.239569126132453	0.143350313534665	0	0.161249209010142	0	0	0.460776108352476	0.618327000339222	0.471376858592635	0.40046688603328	0.262875700650351	0.266160462582029	1.8246297876468	1.06058007916459	0.170054517583346	0	0	0	1.41517617167481	0.515313806591806	0.44644257699342	0.379735175512508	0	0.814671822115782	0.130519741980104	0	0.50735523301509	0.457446153902887	0.655718180834149	0	0	0	0.861378964779485	0.18734209555638
"FCRLA"	0	0.0484440638680674	0.563679456944961	0	0	0.691999504177369	3.04660525593541	0	0	0.286690746780619	0.0789404144324218	0.67731338916683	1.13242812390844	0.820786757969935	0.13905162270843	0.408893341194063	0	0.352891829778277	0	0	0	0	0	0.184246012149709	0.206204347912332	0.347350439768113	0	1.00239288821968	0	0	0	0	0.300684875056532	0	0	1.26716781147194	0.784625423844856	0.294189603520877	0.132665013811661	0.938093043232862	0	0.498131361466951	0.0953208929052139	0.527593855716777	0.267699983301654	0	0.486031601813131	0.66843141756348	0.235083676570859	0	0	0	0	0	0.154657085175501	0	0.2206494176361	0	1.21723257776146	0.445148238281084	1.97784040468651	0	0	0.301553700438151	2.11735660123541	0.318410559231948	0	0.0876420637604162	0	0	0.300757492362301	0.256850041537417	0.716055856728959	0	0	0	1.20313975040003	0	0.1382220692202	0	0.227149585158436	0.477429691150104	0.106560051126207	1.64702939654612	0	0	0	0.366827436268601	0.0412289618037852	0.225374890733508	0.746990308459172	0	0	0.264748991424501	0.12379993252134	0	0.540010401335174	0	0.847166316360858	0	0.0319639746514307	0	1.27057080235492	0	2.74556628503692	1.83712622324385	1.09879413011569	0.274504997665296	0	0.686336470823498	0.731359656745408	0	0	0	0.234067159155582	0.113105698205426	1.02651184558416	0	0.753574586783821	0.287069158906967	0.443404023457792	0.627231408439632	0	0.221969855910087	0	0.771724190424203	0.711229690696786	0.442462650040067	3.19226835010128	0.358977949148623	1.07359335936903	0	0.679541803308426	0.0805580696117043	0.921626747891097	0.0983211827153717	0	0.234478021431637	0.604699518537056	0.705120653024911	1.26162167659532	0.521297029664038	0.674650467367504	0.464691266306276	1.28911028066236	1.38059758325319	1.00628868720032	0	0	0	0.832135768429977	0.191841814236185	0	0	0.248381814913376	0.472482572552328	0	0.273008544751135	0.359668468480984	0.470551441640015	0.335963388329351	0.146399762983288	0	0	0.811539258938347	0
"VPREB3"	0	0.339747407589397	0	0	0	0.922920917979207	1.699966880597	0.431846499957365	0	0.47194386389723	0	0.301474099401501	1.00170497901556	0.68435556483406	0.536181244641716	0.586977019442102	0.278672317643343	0	0	0	0.357510341798744	0	0	0	0	0	0	0	0.796606890257402	0	0	0	0	0	0	0.873592742437633	0.909000388281675	0	1.42824317774676	0.408117272088855	0	0.308789553953408	0	0.31169027005003	0.547992650222346	0	0	0	0	0	0	0	0	0	0	0.571496249452792	0	0.708777880504415	0	0.594508421050739	1.52060579543479	0	0	0	1.7591869462382	0	0	0	0	0.487960652553209	0	0	0.927414084505185	0	0	1.77986105070932	1.70008366146189	1.03366896558008	0	0	1.0185017192545	0.500597104434512	0.764267163960108	0.872757854008903	0	0	0	0	0	0.382485763296027	0.86021832211403	0	0	0.547192164394104	0.477799575897282	0	0	0	0	0	0	0	2.4410916783765	0	2.02811576354977	2.0401233726708	0	0	0	0.535144213735888	1.01697048428135	0.479717931790948	0.299755753794024	0	0	0	0	0.239559350418069	0.41952379032778	0	0	0.440689672727274	0	0	0	0	1.01750934509784	1.11061915035251	2.47684021802162	0.916335998701483	1.00465958563459	0	0.380947719950445	0	0	0.360638460878853	0.981216996977652	0	0	0	0	0	0.820022887564511	0.362703282077387	1.28379379039752	0.72444945905315	0.941888310187958	0.182024817231122	0	0.793545515790463	0.334013286222517	0	1.11580101063014	0	0	0.252518601194744	0.434031946145182	0	0.323608720948322	0	0.608310598946514	0	0	0	0.583798257080079	0
"CR2"	0	0	0.363323610571892	0	0	0.629928222100209	3.42272601667894	0.228175913246888	0.164550743134845	0.050997544089006	0.148418741023078	0.0768272240573451	0.354645108843374	1.92633537551833	0.0919732856610595	0.0317621757327987	0	0.098158107924957	0	0.0508192817712055	0	0	0	0	0	0.129672079941857	0.0402948944413931	0.156131224325863	0	0	0	0	0.224733046145126	0.415906821748992	0	0.680642119880719	0.488079975446402	0	0	0.213683223349124	0	0.0721963734971332	0.112078222178608	0.214188232792242	0	0.0286879574846935	0.0996318500144604	0.029828838640681	0	0.0335209693185799	0	0	0	0.0336266824830932	0.139063413869291	0	0	0.220493409778764	0.151570508624086	0.338353668932308	0.745634045612573	0.11482141898325	0.0366257070678292	0.163670042147663	2.68402963908894	0.0308276057671094	0	0	0	0	0.0287021003196903	0.863174888329491	0.698974083574499	0	0	0	0.88966822508196	0	0.0484245329616999	0	0.291247555039543	0.277895505671178	0	0.100487922661989	0	0.114556262143926	0.0750807555546775	0	0	0	0.742997857602444	0	0	0.0390401047653318	0	0	0	0	0.157380084122005	0	0	0	2.72581748755558	0	3.14773162875211	2.99430437307793	0	0	0	0.7700306395849	1.36569141752691	0.0500210092512654	0.158038373896412	0	0	0.0231062838569857	1.3677138048015	0	0.163778227371839	0	0.102586918582066	0	0.0343425091348296	0	0.0756243583274167	0.414460305816098	0.390696297076917	1.37574232188801	4.31805467368002	0.214438184375241	0.591147043709729	0	0.301593499309534	0	0	0.194605269926111	0	0	0.351457592549461	0	0.0982443646559816	0.0247182448892069	1.33550783799187	0.328440128114718	1.15850765842513	0.162739829697621	0.157791388776229	0	0	0.479237805711308	0.251705763708315	0.0245026643065088	0.150646755539907	0	0	0.0644234883566971	0.0441856567238521	0.0268128045687601	0.18201082862636	0	0.158706702722967	0	0.0312653196432677	0	0.703642937595924	0.843827912035173
"BLK"	0	0	0.75056363064605	0.300482230017501	0	1.41292619398185	3.37950161042122	0.690493977619292	0.510610567599359	0.435991222273671	0.240517055725999	1.15398752561135	1.21164335133358	2.48504678154859	0.311151989824054	0.404316771940533	0.559340071395685	1.00077451929713	0	0.881192387301144	0	0.596040155451281	0	0.122214163767079	0	0.535227840785977	0	0.501328056548638	0	0	0.0876271294015894	0.0857591160482416	0.241221491610886	0.167581444650042	0	2.01955852726759	1.7932774818754	0	0.110419373062133	2.08905910610841	0	1.02549945456843	0.112442592868456	0.865978183496929	0.364255284665095	0.431297748424022	0.417564689607851	0.425023100193061	0.293025514651889	0.250253388061828	0	0	0	0.477979821489451	0.0973599885858345	0	0.465996398524378	0.819146593789243	0.308205913763131	1.25067118677921	2.5948702537822	0.295214024818889	0.358108144319561	0.194572492805682	2.49096258252832	0.514806005020305	0	0.450261621532437	0	0.32360065123955	1.1614872184796	0.111337184743574	1.64076158163205	0.233367811027351	0.213155635550472	0	3.63991143625645	0	0.170139145612297	0	0.531306095278241	1.51115882105786	0.4524889549247	1.8250020048248	0	0.187119085122556	1.08809002265315	0.746926694951394	0.214761440606552	0.211034628309549	0.827629633062883	0	0	1.36759416286348	0.819646113771784	0.490011427186886	1.87578635273343	0	1.63834079797147	0	0.343101910090803	0	4.2907098475794	0	4.13951959229455	3.14109872846029	1.7034901215322	0	0.28911205172803	0.77494684075698	1.85182458419673	0	0.115179769627373	0	0.54247301388767	0.0477659076306702	1.97384377771576	0	1.24465328706398	1.2834986777239	0.474639550789643	0.634601631871027	0.333689348359425	0	1.45270190662276	2.31157548091061	2.07016466217132	2.23935465618405	3.9622278741735	1.73831647822517	1.35605363896734	0	0.689964659800219	0.226350687870815	0.113647163796568	0.273167333058262	0	0.0696911693891754	1.50823898525107	0.375662263032765	1.14658028343893	0.658670329640389	0.997801823013076	1.10000812689875	3.10141694705191	1.44780398028017	0.936027661823689	0	0	0	0.840215058906815	0	0.490219939187149	0	0	1.62534437591585	0.42817134109002	0.188380667224786	1.03256849685567	0.103259940520842	0.195598315673733	0	0.0473066455490505	0	1.57199419223386	0.148120631123964
"CD79A"	0.115989394210294	0.072210096185455	1.62943775846446	0	0.455154908658298	1.84671394067148	4.3160289893561	1.02181442226103	1.79309557335434	0.537107174754627	0.558375403513971	1.61153643161211	2.2785400036591	1.9489353196154	1.05442480758506	0.816344934199366	1.05997196023106	0.972697064784908	0	2.26235377414458	0.302522607950818	0.976827716590279	0	0	0	1.70738917295863	0.222573365166908	1.7541422378642	0	0	0	0	0.879115238176424	0.138890467184245	0	3.38403723152496	4.31511151265457	0	0.831958289198261	2.39817494854304	0	2.18520053235457	0.306988946286997	1.37850607441598	0.310675159263826	0.188583228210323	1.70414468057105	0.438050075087177	0.354480371000675	0.646757127827382	0.290867878899101	0	0.0736598487762777	0.316044923936563	0.37928381329242	0.198712898655884	0.147864129204737	1.66014459826993	2.18386917092256	1.79845785525217	2.83696308703732	0.841068182886354	0.129066678908973	1.06459938795412	2.65101838678959	1.28202636100408	0	0.674417261583237	0.136393533212847	1.14778664884501	1.20879004134253	0.482233910017815	2.86513531144318	0.141798977101148	1.74297803134609	1.01667103016977	1.75163681704671	0	0.143026330522463	0	1.33254926425998	2.09755146962922	0.788597183628693	2.16172712324609	0	0.359156796129568	0.799156122644422	1.55015204162197	0.0713549233626337	0.453773567380386	2.26787852851374	0	0.0824478133199526	1.90418040151336	0.993055491271486	1.02393093612619	1.81718321958197	0	2.29871197578456	0	0.393199807446573	1.0113825660455	3.17602079645719	0	4.25000425817179	3.62785531978345	2.10607188257003	0.250237619703217	0.165652150066409	1.92961074424335	3.040228252413	0.164024189773827	0.50252104729764	0	0.65726956685059	0.868886642957079	2.09284067741414	0	2.0286190091786	1.10791881592777	0.725068396264645	1.06177965313954	0.11422308145316	0	1.64390558680725	0.854444149854267	2.64602621692608	2.76995449725026	4.22639315583246	2.35237803042543	2.12870747293539	0.0913870611810075	2.2464178166638	0.107873968318625	0.487720948297015	0	0.640627405805174	0.355969098294193	1.26526284995964	0.362257782259372	2.6189957543184	0.846579163042269	1.42165473015098	1.31721896305441	3.66211068435207	2.97506535947705	2.40150377470512	0.149159192934396	0	0.103478840064318	0.908364853506041	0.0894588287278629	0.245277812199558	0	0	1.0615543337696	0.684419304787383	0.247347889204308	0.819777709727229	0.73433980941617	0.660945041106893	0.0822011690831135	0.1037957155277	0.33751129856588	2.4803899950918	0.387735299192548
