"ID"	"State"
"RNA_J_08_U_T_PT"	"IS01"
"RNA_J_36_M_T_PT"	"IS01"
"RNA_J_38_M_T_PT"	"IS01"
"RNA_LMU_KKG_05_Rez"	"IS01"
"RNA_LMU_KKG_12_PT"	"IS01"
"RNA_LMU_KKG_ADJ_02"	"IS01"
"RNA_LMU_KKG_ADJ_03"	"IS01"
"RNA_LMU_KKG_ADJ_04"	"IS01"
"RNA_LMU_KKG_ADJ_20"	"IS01"
"RNA_LMU_KKG_ADJ_22"	"IS01"
"RNA_LMU_KKG_ADJ_39"	"IS01"
"RNA_Lue_02_Rez_2"	"IS01"
"RNA_Lue_10_Rez_1"	"IS01"
"RNA_Lue_10_Rez_2"	"IS01"
"RNA_Lue_16_PT"	"IS01"
"RNA_J_19_U_T_PT"	"IS02"
"RNA_J_22_U_T_PT"	"IS02"
"RNA_J_33_M_T_PT"	"IS02"
"RNA_LMU_KKG_08_Rez"	"IS02"
"RNA_LMU_KKG_09_Rez"	"IS02"
"RNA_LMU_KKG_10_PT"	"IS02"
"RNA_LMU_KKG_11_PT"	"IS02"
"RNA_LMU_KKG_16_Rez"	"IS02"
"RNA_LMU_KKG_17_Rez"	"IS02"
"RNA_LMU_KKG_21_Rez"	"IS02"
"RNA_LMU_KKG_ADJ_40"	"IS02"
"RNA_LMU_KKG_ADJ_41"	"IS02"
"RNA_LMU_KKG_ADJ_54"	"IS02"
"RNA_Lue_02_Rez_1"	"IS02"
"RNA_Lue_05_Rez_1"	"IS02"
"RNA_Lue_12_Rez_1"	"IS02"
"Control"	"IS03"
"RNA_Control_Cal33"	"IS03"
"RNA_LMU_KKG_03_Rez"	"IS03"
"RNA_LMU_KKG_04_PT"	"IS03"
"RNA_LMU_KKG_04_Rez"	"IS03"
"RNA_LMU_KKG_06_Rez"	"IS03"
"RNA_LMU_KKG_07_PT"	"IS03"
"RNA_LMU_KKG_07_Rez"	"IS03"
"RNA_LMU_KKG_18_Rez"	"IS03"
"RNA_LMU_KKG_ADJ_07"	"IS03"
"RNA_LMU_KKG_ADJ_13"	"IS03"
"RNA_LMU_KKG_ADJ_14"	"IS03"
"RNA_LMU_KKG_ADJ_23"	"IS03"
"RNA_LMU_KKG_ADJ_27"	"IS03"
"RNA_LMU_KKG_ADJ_44"	"IS03"
"RNA_LMU_KKG_ADJ_53"	"IS03"
"RNA_LMU_KKG_ADJ_68"	"IS03"
"RNA_LMU_KKG_ADJ_77"	"IS03"
"RNA_Lue_03_Rez_1"	"IS03"
"RNA_Lue_08_Rez_1"	"IS03"
"RNA_Lue_12_PT"	"IS03"
"RNA_LMU_KKG_10_Rez"	"IS04"
"RNA_Lue_04_Rez_1"	"IS04"
"RNA_Lue_05_Rez_2"	"IS04"
"RNA_Lue_17_Rez_1"	"IS04"
"RNA_LMU_KKG_01_PT"	"IS05"
"RNA_LMU_KKG_15_Rez"	"IS05"
"RNA_LMU_KKG_ADJ_28"	"IS05"
"RNA_LMU_KKG_ADJ_52"	"IS05"
"RNA_LMU_KKG_ADJ_55"	"IS05"
"RNA_LMU_KKG_ADJ_63"	"IS05"
"RNA_LMU_KKG_ADJ_69"	"IS05"
"RNA_Lue_08_PT"	"IS05"
"RNA_Lue_11_PT"	"IS05"
"RNA_J_10_U_T_PT"	"IS06"
"RNA_J_35_M_T_PT"	"IS06"
"RNA_LMU_KKG_ADJ_05"	"IS06"
"RNA_LMU_KKG_ADJ_09"	"IS06"
"RNA_LMU_KKG_ADJ_21"	"IS06"
"RNA_LMU_KKG_ADJ_35"	"IS06"
"RNA_LMU_KKG_ADJ_47"	"IS06"
"RNA_LMU_KKG_ADJ_49"	"IS06"
"RNA_LMU_KKG_ADJ_50"	"IS06"
"RNA_LMU_KKG_ADJ_51"	"IS06"
"RNA_LMU_KKG_ADJ_61"	"IS06"
"RNA_LMU_KKG_ADJ_72"	"IS06"
"RNA_LMU_KKG_ADJ_74"	"IS06"
"RNA_LMU_KKG_ADJ_76"	"IS06"
"RNA_Lue_07_PT"	"IS06"
"RNA_Lue_17_PT"	"IS07"
"RNA_LMU_KKG_ADJ_19"	"IS08"
"RNA_LMU_KKG_ADJ_32"	"IS08"
"RNA_LMU_KKG_ADJ_46"	"IS08"
"RNA_LMU_KKG_11_Rez"	"IS09"
"RNA_LMU_KKG_ADJ_56"	"IS09"
"RNA_LMU_KKG_ADJ_59"	"IS09"
"RNA_LMU_KKG_05_PT"	"IS10"
"RNA_LMU_KKG_14_Rez"	"IS10"
"RNA_LMU_KKG_ADJ_15"	"IS10"
"RNA_LMU_KKG_ADJ_24"	"IS10"
"RNA_LMU_KKG_ADJ_70"	"IS10"
"RNA_LMU_KKG_ADJ_73"	"IS10"
"RNA_Lue_04_PT"	"IS10"
"RNA_Lue_07_Rez_1"	"IS10"
"RNA_Lue_14_Rez_1"	"IS10"
"RNA_J_31_M_T_PT"	"IS11"
"RNA_LMU_KKG_13_Rez"	"IS11"
"RNA_J_03_U_T_PT"	"IS12"
"RNA_J_32_M_T_PT"	"IS12"
"RNA_J_37_M_T_PT"	"IS12"
"RNA_LMU_KKG_16_PT"	"IS12"
"RNA_LMU_KKG_20_Rez"	"IS12"
"RNA_LMU_KKG_ADJ_25"	"IS12"
"RNA_LMU_KKG_ADJ_31"	"IS12"
"RNA_LMU_KKG_ADJ_34"	"IS12"
"RNA_LMU_KKG_ADJ_66"	"IS12"
"RNA_LMU_KKG_ADJ_75"	"IS12"
"RNA_Lue_01_PT"	"IS12"
"RNA_Lue_01_Rez_2"	"IS12"
"RNA_Lue_06_Rez_1"	"IS12"
"RNA_Lue_11_Rez_1"	"IS12"
"RNA_Lue_13_Rez_1"	"IS12"
"RNA_Lue_14_PT"	"IS12"
"RNA_Lue_15_PT"	"IS12"
"RNA_Lue_15_Rez_1"	"IS12"
"RNA_Lue_16_Rez_1"	"IS12"
"RNA_J_05_U_T_PT"	"IS13"
"RNA_J_06_U_T_PT"	"IS13"
"RNA_J_13_U_T_PT"	"IS13"
"RNA_LMU_KKG_01_Rez"	"IS13"
"RNA_LMU_KKG_02_PT"	"IS13"
"RNA_LMU_KKG_02_Rez"	"IS13"
"RNA_LMU_KKG_03_PT"	"IS13"
"RNA_LMU_KKG_08_PT"	"IS13"
"RNA_LMU_KKG_09_PT"	"IS13"
"RNA_LMU_KKG_12_Rez"	"IS13"
"RNA_LMU_KKG_13_PT"	"IS13"
"RNA_LMU_KKG_14_PT"	"IS13"
"RNA_LMU_KKG_15_PT"	"IS13"
"RNA_LMU_KKG_17_PT"	"IS13"
"RNA_LMU_KKG_20_PT"	"IS13"
"RNA_LMU_KKG_21_PT"	"IS13"
"RNA_LMU_KKG_ADJ_01"	"IS13"
"RNA_LMU_KKG_ADJ_06"	"IS13"
"RNA_LMU_KKG_ADJ_08"	"IS13"
"RNA_LMU_KKG_ADJ_11"	"IS13"
"RNA_LMU_KKG_ADJ_12"	"IS13"
"RNA_LMU_KKG_ADJ_16"	"IS13"
"RNA_LMU_KKG_ADJ_18"	"IS13"
"RNA_LMU_KKG_ADJ_29"	"IS13"
"RNA_LMU_KKG_ADJ_30"	"IS13"
"RNA_LMU_KKG_ADJ_33"	"IS13"
"RNA_LMU_KKG_ADJ_36"	"IS13"
"RNA_LMU_KKG_ADJ_37"	"IS13"
"RNA_LMU_KKG_ADJ_42"	"IS13"
"RNA_LMU_KKG_ADJ_45"	"IS13"
"RNA_LMU_KKG_ADJ_48"	"IS13"
"RNA_LMU_KKG_ADJ_58"	"IS13"
"RNA_LMU_KKG_ADJ_60"	"IS13"
"RNA_LMU_KKG_ADJ_62"	"IS13"
"RNA_LMU_KKG_ADJ_64"	"IS13"
"RNA_LMU_KKG_ADJ_65"	"IS13"
"RNA_LMU_KKG_ADJ_67"	"IS13"
"RNA_Lue_03_PT"	"IS13"
"RNA_Lue_06_PT"	"IS13"
"RNA_Lue_09_PT"	"IS13"
"RNA_Lue_13_PT"	"IS13"
"RNA_LMU_KKG_06_PT"	"IS14"
"RNA_LMU_KKG_ADJ_10"	"IS14"
"RNA_LMU_KKG_ADJ_17"	"IS14"
"RNA_LMU_KKG_ADJ_26"	"IS14"
"RNA_LMU_KKG_ADJ_38"	"IS14"
"RNA_LMU_KKG_ADJ_43"	"IS14"
"RNA_LMU_KKG_ADJ_57"	"IS14"
"RNA_Lue_09_Rez_1"	"IS14"
