"Control"	"RNA_Control_Cal33"	"RNA_J_03_U_T_PT"	"RNA_J_05_U_T_PT"	"RNA_J_06_U_T_PT"	"RNA_J_08_U_T_PT"	"RNA_J_10_U_T_PT"	"RNA_J_13_U_T_PT"	"RNA_J_19_U_T_PT"	"RNA_J_22_U_T_PT"	"RNA_J_31_M_T_PT"	"RNA_J_32_M_T_PT"	"RNA_J_33_M_T_PT"	"RNA_J_35_M_T_PT"	"RNA_J_36_M_T_PT"	"RNA_J_37_M_T_PT"	"RNA_J_38_M_T_PT"	"RNA_LMU_KKG_01_PT"	"RNA_LMU_KKG_01_Rez"	"RNA_LMU_KKG_02_PT"	"RNA_LMU_KKG_02_Rez"	"RNA_LMU_KKG_03_PT"	"RNA_LMU_KKG_03_Rez"	"RNA_LMU_KKG_04_PT"	"RNA_LMU_KKG_04_Rez"	"RNA_LMU_KKG_05_PT"	"RNA_LMU_KKG_05_Rez"	"RNA_LMU_KKG_06_PT"	"RNA_LMU_KKG_06_Rez"	"RNA_LMU_KKG_07_PT"	"RNA_LMU_KKG_07_Rez"	"RNA_LMU_KKG_08_PT"	"RNA_LMU_KKG_08_Rez"	"RNA_LMU_KKG_09_PT"	"RNA_LMU_KKG_09_Rez"	"RNA_LMU_KKG_10_PT"	"RNA_LMU_KKG_10_Rez"	"RNA_LMU_KKG_11_PT"	"RNA_LMU_KKG_11_Rez"	"RNA_LMU_KKG_12_PT"	"RNA_LMU_KKG_12_Rez"	"RNA_LMU_KKG_13_PT"	"RNA_LMU_KKG_13_Rez"	"RNA_LMU_KKG_14_PT"	"RNA_LMU_KKG_14_Rez"	"RNA_LMU_KKG_15_PT"	"RNA_LMU_KKG_15_Rez"	"RNA_LMU_KKG_16_PT"	"RNA_LMU_KKG_16_Rez"	"RNA_LMU_KKG_17_PT"	"RNA_LMU_KKG_17_Rez"	"RNA_LMU_KKG_18_Rez"	"RNA_LMU_KKG_20_PT"	"RNA_LMU_KKG_20_Rez"	"RNA_LMU_KKG_21_PT"	"RNA_LMU_KKG_21_Rez"	"RNA_LMU_KKG_ADJ_01"	"RNA_LMU_KKG_ADJ_02"	"RNA_LMU_KKG_ADJ_03"	"RNA_LMU_KKG_ADJ_04"	"RNA_LMU_KKG_ADJ_05"	"RNA_LMU_KKG_ADJ_06"	"RNA_LMU_KKG_ADJ_07"	"RNA_LMU_KKG_ADJ_08"	"RNA_LMU_KKG_ADJ_09"	"RNA_LMU_KKG_ADJ_10"	"RNA_LMU_KKG_ADJ_11"	"RNA_LMU_KKG_ADJ_12"	"RNA_LMU_KKG_ADJ_13"	"RNA_LMU_KKG_ADJ_14"	"RNA_LMU_KKG_ADJ_15"	"RNA_LMU_KKG_ADJ_16"	"RNA_LMU_KKG_ADJ_17"	"RNA_LMU_KKG_ADJ_18"	"RNA_LMU_KKG_ADJ_19"	"RNA_LMU_KKG_ADJ_20"	"RNA_LMU_KKG_ADJ_21"	"RNA_LMU_KKG_ADJ_22"	"RNA_LMU_KKG_ADJ_23"	"RNA_LMU_KKG_ADJ_24"	"RNA_LMU_KKG_ADJ_25"	"RNA_LMU_KKG_ADJ_26"	"RNA_LMU_KKG_ADJ_27"	"RNA_LMU_KKG_ADJ_28"	"RNA_LMU_KKG_ADJ_29"	"RNA_LMU_KKG_ADJ_30"	"RNA_LMU_KKG_ADJ_31"	"RNA_LMU_KKG_ADJ_32"	"RNA_LMU_KKG_ADJ_33"	"RNA_LMU_KKG_ADJ_34"	"RNA_LMU_KKG_ADJ_35"	"RNA_LMU_KKG_ADJ_36"	"RNA_LMU_KKG_ADJ_37"	"RNA_LMU_KKG_ADJ_38"	"RNA_LMU_KKG_ADJ_39"	"RNA_LMU_KKG_ADJ_40"	"RNA_LMU_KKG_ADJ_41"	"RNA_LMU_KKG_ADJ_42"	"RNA_LMU_KKG_ADJ_43"	"RNA_LMU_KKG_ADJ_44"	"RNA_LMU_KKG_ADJ_45"	"RNA_LMU_KKG_ADJ_46"	"RNA_LMU_KKG_ADJ_47"	"RNA_LMU_KKG_ADJ_48"	"RNA_LMU_KKG_ADJ_49"	"RNA_LMU_KKG_ADJ_50"	"RNA_LMU_KKG_ADJ_51"	"RNA_LMU_KKG_ADJ_52"	"RNA_LMU_KKG_ADJ_53"	"RNA_LMU_KKG_ADJ_54"	"RNA_LMU_KKG_ADJ_55"	"RNA_LMU_KKG_ADJ_56"	"RNA_LMU_KKG_ADJ_57"	"RNA_LMU_KKG_ADJ_58"	"RNA_LMU_KKG_ADJ_59"	"RNA_LMU_KKG_ADJ_60"	"RNA_LMU_KKG_ADJ_61"	"RNA_LMU_KKG_ADJ_62"	"RNA_LMU_KKG_ADJ_63"	"RNA_LMU_KKG_ADJ_64"	"RNA_LMU_KKG_ADJ_65"	"RNA_LMU_KKG_ADJ_66"	"RNA_LMU_KKG_ADJ_67"	"RNA_LMU_KKG_ADJ_68"	"RNA_LMU_KKG_ADJ_69"	"RNA_LMU_KKG_ADJ_70"	"RNA_LMU_KKG_ADJ_72"	"RNA_LMU_KKG_ADJ_73"	"RNA_LMU_KKG_ADJ_74"	"RNA_LMU_KKG_ADJ_75"	"RNA_LMU_KKG_ADJ_76"	"RNA_LMU_KKG_ADJ_77"	"RNA_Lue_01_PT"	"RNA_Lue_01_Rez_2"	"RNA_Lue_02_Rez_1"	"RNA_Lue_02_Rez_2"	"RNA_Lue_03_PT"	"RNA_Lue_03_Rez_1"	"RNA_Lue_04_PT"	"RNA_Lue_04_Rez_1"	"RNA_Lue_05_Rez_1"	"RNA_Lue_05_Rez_2"	"RNA_Lue_06_PT"	"RNA_Lue_06_Rez_1"	"RNA_Lue_07_PT"	"RNA_Lue_07_Rez_1"	"RNA_Lue_08_PT"	"RNA_Lue_08_Rez_1"	"RNA_Lue_09_PT"	"RNA_Lue_09_Rez_1"	"RNA_Lue_10_Rez_1"	"RNA_Lue_10_Rez_2"	"RNA_Lue_11_PT"	"RNA_Lue_11_Rez_1"	"RNA_Lue_12_PT"	"RNA_Lue_12_Rez_1"	"RNA_Lue_13_PT"	"RNA_Lue_13_Rez_1"	"RNA_Lue_14_PT"	"RNA_Lue_14_Rez_1"	"RNA_Lue_15_PT"	"RNA_Lue_15_Rez_1"	"RNA_Lue_16_PT"	"RNA_Lue_16_Rez_1"	"RNA_Lue_17_PT"	"RNA_Lue_17_Rez_1"
"FCRL3"	0	0	0.151101560229779	1.25064147794921	0.26096265161069	1.98034964159774	3.38755623831908	0.476632614315582	0.220164004446619	0.530971645730408	0.531607532611285	0.919623825881886	1.34603326896265	1.89178700774548	1.34445868800154	0.542603759806594	0.412274257742826	1.33652905362718	0.0255844972387285	0.705037466602667	0.234757586167466	0	0	0.0746136686837696	0	0.87042469499212	0.532345887759196	0.868452881232385	0	0.157013950209992	0	0	0.133193927530299	0.130154636036098	0.47556639287316	1.21215903842693	0.793031046514449	0	0.368017337722133	1.29414430519086	0	1.24985912738384	0.178227659375884	0.52562591646417	0.177194509848119	0.0643917551654676	1.32218025594228	0.759709790522378	0.70855189264104	0.751460293314642	0.0890126510891329	0	0.017803637778324	0.568221856563913	0.299360725300163	0.85286259695931	0.460995177098156	1.40792155850896	1.18562237625876	0.781894303479371	2.0370637747512	0.119773153592655	0.705655055637143	0.4535291681387	3.22328414342918	0.571036009158881	0	0.110710677863391	0.0332587672397105	0.0849704281624528	1.16483453876703	0.0441590720746937	1.21440150265027	0.271735218703751	0.170695515398526	1.08546680789539	1.04104037380408	0.0713439387130555	0.403441162583746	0.0983292685889533	0.480772819998937	1.19462039757669	0.416635480739897	1.64054874520802	0	0.0718367925454743	0.979113682485314	0.824968207885423	0.18232998939485	0.424276089062229	1.42273032175344	0	0.0362796591073302	1.15182635247694	0.989556129406124	0.594599186302209	1.38152592425448	0	2.04436474054213	0	0.364493992374859	0.710251230166109	3.69523051905694	0	3.19389062287689	2.66336033292815	1.2989855239162	0.385394589700517	0.190190048024886	0.913592960346515	1.38151097361358	0.676503925861481	0.286034202800253	0	0.482741948137855	0.0557703960931972	2.11718602059904	0	2.06708383336613	0.496001063394762	0.209287407162452	0.108037287234071	0.0920869829198196	0.073702345555084	1.38449636510657	1.35558973148609	1.46557959510376	0.91376986571267	3.83056961163682	0.605562603050847	1.16655092336748	0.31342465361359	0.550630811123776	0.0264091510943314	0.63125704392228	0.285007976324412	0	0	1.60297702320505	0.711123943167111	0.561853011942431	0.500289116932319	1.13456727644878	0.53178517147661	1.94650966736903	1.11339379386735	1.69968754505025	0.111516136749068	0.0281023223981786	0.0696251841833618	0.816181889064677	0.215893509548782	1.84278578929331	0.636234358628659	0.304915173447717	0.444231330464142	0.405209280976472	0	0.621689474418788	0.778930164042279	0.520865738358975	0.164079557725819	0.121641427929292	0.664371789532395	1.31175942972992	1.04465150816665
"PLA2G2D"	0	0	0	0.0987604495311291	0.514204084229854	1.03054584545908	2.89336725921682	0	0	0	0	1.01696264222816	0	1.3154265331158	0.277550386091664	0.0690463095855119	0.0580158017610159	0.69787788196715	0.046458930099201	0	0.0730195038489113	0	0	0	0	0	0	0.17200739069316	0	0	0	0	0.180002693012458	0	0	0.483714156372071	0.448925260087537	0.259129039104302	0.323981031281537	0.37802768437496	0	0.675825865188428	0	0.180528539806505	0.235643742559421	0	0.606207208418388	0.0646911231564561	0.093134200499406	0.0973127886497386	0	0	0	0	0.156981601757621	0	0	0.172382541865658	0.118137755794778	0.390381539174549	0.593682672736793	0.0900133070812803	0.0839077374958477	0.247791438104707	1.02256808958879	1.27822388764639	0	0	0	0.160543334894059	0.235652319560273	0	0.581782183425298	0	0	0.312611739419205	0.443564218644515	0	0.0536396485004071	0	0.0907843419920946	0.155604178846948	0	0.973620826110663	0.040910661428949	0.0303134753829748	0.161453035252427	0	0	0	0.48145291725681	0	0	0.112730820964879	0	0.307134710103551	0.260336449472625	0	0.591103947353998	0.082356518987401	0	0	1.59939683027143	0	1.26703353891897	1.20747934471735	0.168572722922127	0.382828803412723	0	0.162145571288675	1.93489047816898	0.107868613287048	0	0	0	0.0674390935414373	0.581976881974268	0	0.54909740030935	0.128043910671076	0.0484356935120004	0	0	0	0.457760272343756	0.176561499766371	1.19687138807677	0.204964520887124	1.96480744569506	0.435257338987114	0.482647995221379	0.116730707632852	0.0802032963431513	0	0	0	0.236757100983389	0	0.243386363022742	0.0862334808959214	0.282444549730477	0.0720042421539243	0.922163588740596	0.601664192144281	1.33495492561292	0.17757724409341	0.445962896198247	0	0	0	0.276951586276348	0	0.492347503344376	0.148771446536326	0	0.22538476303563	0	0	0.427896827780896	0.304353329683409	0.449517003630343	0	0.0678507003810567	0	0.546756695221152	0.260714611734082
"BTLA"	0.0213262108050724	0	0.183318812256677	0	0.676309839848984	1.83317265346317	2.54507703199836	0.715485757110927	0.141583200069211	0.556398022848745	0.352286210830654	0.939434972859523	1.24883293802571	3.09097754429828	1.20686011200335	0.201088042851601	0.947749929785427	1.61175689548427	0	0.634975148760644	0.403597131914647	0.467180340685604	0	0.304576458077684	0.0408475538942009	0.552508889917748	0.867822153402808	0.431435758221066	0	0	0	0	0.102600355225016	0.0509153790383877	1.28854579030132	1.53461047932825	1.24604318671981	0.49257721160616	0.449286675173279	1.4969766478401	0	0.57847311227294	0.853765755460176	0.786915810292677	0.134817612301165	0.271041942290009	1.38321877414096	0.576981598794439	0.952391720346533	0.301582964421014	0.397532465405218	0	0.0265989531108999	0.396665878237164	0.0593940443327487	0.275674586612564	0.704277947475488	4.34617400607873	1.86364671116195	1.92493446851983	2.70363164304954	0.42614342901308	0.247780502922124	0.629390195137144	2.27912298612737	1.3785815367809	0	0.0838968480088891	0.420414489955798	0.163223048141904	0.943099909613538	0.842509854548961	1.46903990269132	0.552976061139229	1.64609904811486	1.3014465891985	1.83933562801949	0.273630465275536	0.308098712654497	0.0981944981122677	0.264523219995396	1.25823367404533	0	1.26738717634514	0	0.196092063648491	1.0305183020254	0.325275876726961	0.263113751879047	0.33539407085717	1.80508769808387	0	0	1.00811394016734	0.42156209918119	1.6995609602626	0.67841991331445	0.193795709279173	1.74080540624784	0.365492102310721	0.415560742007513	0	3.84835242696155	0	3.31676020530217	3.37673518278174	1.50394706235481	0.973187312510987	0.632240292099462	2.29184251407308	1.75636107681506	0.37950452155417	0.185194187895751	0	0.310447155305882	0.574355380696863	1.70516268689278	0	1.29533747080715	0.652181747184738	0.274385720240637	0.452326584491036	0.356451477218331	0.309193653414446	1.56671921464442	1.22178244460071	1.15873125823338	0.300848844426488	3.78323043629182	1.34062721020432	1.34890431158698	0.450695540659221	0.85655231836182	0.924928389515932	0.468017075162622	0.317077109717818	0	0.0282551196889766	1.76546727757612	0.723037743026922	0.763141282864287	0.441255052491075	1.15010795133388	0.982788822921429	1.81540901750781	1.57026910139938	0.973787583936141	0	0	0	0.529860916746693	0.23827571266923	1.33415291191357	0.226210095354228	0.123279483820037	0.947152192803681	0.203080848391498	0.16357215328721	0.536350363238855	0.559966515146292	0.296227145146868	0.219679666802379	0.196404347568609	1.33527572064893	1.22433545302111	0.26736799823327
"PVRIG"	0.0995402901676586	0	0	0	0	1.05743224921436	1.08567618812501	0	0	0	0.197738348097497	0	0	0	0	0	0	0.510994316275947	0	0	0	0.789186704382044	0	0	0	0	0	0	0	0	0	0.362246558825046	0	0.132274124610078	0	0.353142590056883	0	0	0	0	0	0.624413503186046	0	0	0	0.188892078966812	0	0.118391623049527	0.382052973763482	0	0	0	0	0	0.107484337885169	0	0	0.33976678725963	0	0	0.770373230369001	0	0	0	0.894879058359825	0.288243968968022	0	0	0	0	0.388070478899235	0	1.13756844356609	0	0	0	0	0	0	0	0	0	0.206555709498213	0	0.0866193819185431	0.147564602244324	0	0.323492282205827	0	0	0	0	0.00430290689019771	1.44409347890441	0	0	0	0	0.256719635302699	0	0.170049388452342	0	0	0.00457761485653359	1.42197619964448	0.404286249047947	0	0.135957700649417	0	0	1.31792975663605	0.218669590920736	0	0	0	0	0.247768352622043	0	0.258616608591894	0	0	0.29754008688259	0	0	0.884452569712881	0	0.302931974721175	0.40487914967187	0.312432836809219	0	0.217538458338067	0	0	0	0.537016696507328	0	1.01299480448872	0	0.450847539850073	0	0	0	0.977894609618921	0.391292607999076	1.64559929691014	0	0.466272112050376	0	0	0	0	0	0.309052755504082	0	0	0	0.00361950574441165	0	0.133017644501845	0.629106647865822	0.240244711893335	0	0.176966096706827	0.61506593974045	0	0
"GZMK"	0	0	0.471095874314179	0	0	1.40321208614587	0.859426547582306	0	0	0.260653197217119	1.33229776331913	0.933909479557124	1.41279886466763	0.847489469569337	1.31387388248949	0.245285114987863	0.650126691782729	1.04780289350375	0	0	0.163888980030666	0	0.0649573291387085	0	0	0.242437878401805	0	0	0	0	0	0	0.223074036749611	0.113667164790695	1.53747101898179	1.58562742988061	1.50157672011294	0	0.260653197217119	0.621719477981106	0	1.14305964664795	1.29476306327843	0.67843613962779	0.272038721097962	0	1.69253298589571	0.51986593362374	1.36263427788562	0.165346002149305	0.225345273421798	0	0	0.770111007689765	0	0.677558755438886	0	1.3220556234923	2.37057693833897	1.35742081896818	1.93867083561157	0.0574183852384183	0.10528114808003	0.235316553169841	2.25852947730101	1.98692093109337	0	0.096047254767956	0.874235120035714	0.260371379441537	0.692065586257396	0	1.66130769538332	0.105242253811574	0.277075414175655	0	0	0.119544760981345	0.121422614637866	0.11134920460351	0.654460288260911	1.59141133986646	0	0	0	0.0566362412606126	0	0.19258682795419	0.106348319505147	0.189298294238518	1.72132190721954	0	0	0.382556591163266	1.92828238464119	3.31009359066917	0.320826609651904	0	2.93887122093805	0	0.185942641504378	0	1.97925309634387	0	2.55024243877208	1.75308204231595	0.210341480424785	0.757487565924109	0	0.534781773825994	1.35430376468197	0.574310810876746	0.0790783612598782	0	0.554398280563603	0	1.06617049587525	0	1.3695865287515	0.159745423353064	0.908810602499291	0	0	0	1.42424813581504	0.409319240899181	3.03295245204409	0.132424175413817	2.64377631996644	0.453558666795883	0.699696427776198	0	0	0.249842141426103	1.63495052935567	0.516716146637072	0	0	0.717947254213949	0.779818617025575	1.23846160523006	0.547273121495675	0.149470095461672	0.12019000966334	2.96538350602482	1.72532889902411	2.48661836176281	0.0624809590442357	0	0	0.704107044830704	0.257153069762778	1.56737069768156	0.917669288797006	0	0.686764950351117	0.175662556698005	0	0.246603879145809	0.1356162940383	0.488233229167155	0.547294840920761	1.47005054870442	0.262623179144553	1.5773350422564	1.05870300987661
"SPIB"	0	0.0125643829538032	0.217259259582125	0.687860669403855	0.450697651868763	0.989922283492389	3.5497725334745	0.709557090566725	0.201423086845873	0.502200228747971	0.439328451959572	0.553402775892672	1.31162401312956	1.40580724730464	0.642399371231219	0.360219297371834	0.218329848222886	1.04495430088067	0.0370490105908873	0.704199139962944	0.0964710219275731	0.142068326166057	0.027522111233757	0.0392830071836028	0	1.63687143802632	0.411696318991209	1.03583642768825	0.129809216122987	0	0	0.229034116870551	0.736939048333231	0.0609258800312597	0	0.9489812801151	0.810218507178373	0	0.415116124016068	1.24283234331185	0	0.990369678989694	0	0.582225518153064	0.0581502210346915	0.162020500923631	0.927501317300941	0.576466992781206	1.10731292072363	0.224619459290161	0.562582890606895	0.03366191848331	0.0630956168320941	0.41616632708473	0.334888584761957	0.910932169762065	0.126938505966906	0.417830376518454	0.671112174912776	0.666273037620632	1.77708973855526	0.32729301195811	0.151376972219983	0.138000512155936	1.43066958358185	0.705122422896677	0	0	0	0	0.536905330874338	0	5.64821714926217	0.398100777839372	0.290136543922489	0.971665309975173	1.41274738792518	0.12549769971632	0.138688669844727	0.184550714876879	0.11944250373433	0.812674829148094	1.40596350548648	0.674796879642475	0.164832608373074	0.112016817324167	0	0.201796939217861	0	0.407595310197187	0.783566450066168	0.0221248871229877	0.0246544250471012	1.68016815020391	1.17143487308577	0.326159943139529	0.39874765880977	0.07251882216937	2.40890692412044	0	0.134132863661938	0	2.02761375766045	0	2.9497816174466	1.42696888643077	0.0920179535099069	0.381585725268814	0.194907792803239	0.784098547504453	0.831229504041097	0.141267976823549	3.57188961909395	0	0.301694162142597	0.652203779300052	0.93834903192443	0	0.590745718931927	0.376149219057952	0.238980021076136	0.550448582202398	0.0981001512871632	0.462499458776836	0.888556623920104	1.26123773334444	0.729289983520308	1.39826553563197	3.95104052618189	0.638693888965387	0.433900592301364	0.0318666066692805	0.544453732655173	0.0753395743592211	0.790223209010529	0.894283066919395	0.30775141958184	0	1.18322987135979	0.926984670560067	1.17986133104377	0.973360733583085	1.07967779871111	0.879964487301745	2.25681955409849	0.900141487314712	0.611724795774041	0	0.0207717092416765	0.549655372040128	1.00404109460043	0.348757043246211	1.45757748264095	0.253086467673566	0.149182610520629	1.92748880161521	0.627510655254126	0.277317086094527	0.733395993764078	0.845357567821302	0.312725574984884	0.137843172870621	0.447713542095635	0	2.34902834518031	0.243231575852153
"TTC24"	0	0	0.283561497928632	0.216577787769363	0	0.63794960941599	1.31306064081781	0.380556580676868	0.276834892567304	0	0	0.277896695595871	0.749544564935407	0.60834182837535	0.17715367886843	0	0.128464983079993	0.326165697005628	0	0.23827204349606	0	0.500558354656061	0	0	0	0.349787606079168	0	0	0	0	0	0	0	0	0	0.719434931682273	0.230242370239057	0	0.647395565315486	0.152066570630361	0	0.69624403665996	0.262790329277319	0	0	0	0.621209332540918	0.820598891524977	0.803925478980134	0	0	0	0.106269247196678	0.33230693041033	0	0	0.560374536095254	0.361541552176825	0.469744303957181	0.458588838617693	0.678582168235883	0	0	0.511828288530764	1.06922920955801	0.279962114761655	0	0	0	0	0.40845862001401	0	0	0	0	0	0.683262570108517	0	0	1.1504368473095	0	0.2832485550659	0.234248688857792	0.787043737067735	0	0	0	0	0	0	0.442366036956561	0	0.298813133066649	0.346301111674513	0	0	0	0	0.669809600765872	0.182271503063854	0.114131110031652	0	1.62312238520609	0	0.613454329935166	0.428764154505082	0	0.214976490205992	0.469346296984333	0.653453550817377	0.739896479685999	0	0.327834500071423	0	0	0	0.354258057927833	0	0.0900187288003279	0	0	0.242376900475953	0	0	0	0.947039200913804	0	0	1.08980048851264	0.383959151844781	0.427536449775451	0	0.203642199560682	0	0.256842797055832	0	0	0	0.267026345393808	0	0.188255318370475	0.117829333377178	0.148478615931968	0.222896040092679	0.835388116555166	0	0.754112727223316	0	0	0	0.303583213267541	0.128068993661171	0	0	0	0.604170980081619	0	0	0	0	0	0	0.27901597997139	0.289166363352926	0.796789602290369	0.201844604704297
"ZNF831"	0	0	1.23407390560047	0.327112470747085	0.356291453490812	1.33819733111886	2.535923549369	0.292870074791839	0.307350413528002	0.437479176402487	0.463095081066975	0.985137525003081	1.0068207826892	2.00185663535422	1.21918029435485	0.243053611023569	1.14673732437907	1.60007370115262	0.224379909867053	0.868014246341382	0.401581320193643	0.32857684765566	0	0.25892408874003	0.0401068858640113	1.28693258722708	0.331408278500974	1.00660681916059	0	0.0108886632572907	0	0.0565738178862973	0.149827745616816	0.471078180880013	0.570462931026041	1.52285272850811	1.18747259135565	0	0.298700540167306	0.907512936178874	0	1.41928053158719	0.272990635198709	0.624959937473857	0.70997696586437	0.314058408858261	1.64816306663944	0.456036506619055	0.778391109937097	0.802451327673687	0.0477407846100688	0.297193764795954	0.125543986504298	0.235842225800789	0.291888768562066	0.516298613773394	0.266905249002905	1.18689667390982	0.771754610502767	1.53961196335548	2.33623310692345	0.239169489814925	0.646200452507335	0.549716479506376	2.35262153594212	1.07659124587195	0	0.14782766837732	0.0327483233021752	0.370335049807262	1.29296487154736	0.758283560098773	1.39785168963868	0.484490832824164	1.57682249680137	0.81322750045125	2.36241742615849	0.104356790302768	0.477263885693201	0.374392959148019	1.0668090663808	1.71139578679198	0.128402951917493	1.82147838572081	0.0224544609100648	0.0565599456585323	0.957608573716534	0.747157065692015	0.0992399869481462	0.309172694265954	1.38839786546644	0	0.0192549833306898	2.06151078639809	1.37815090440177	1.12552547196731	1.3418741972641	0.0285224760139176	1.6828060872978	0.0451815284954343	0.227482328505337	0.231770308513382	2.73258983513648	0	3.15370126376175	2.46802541919714	1.48542476617585	0.867331132993604	0.409834063993309	1.32882038314424	1.64045989984658	0.61356654119968	0.144888240046178	0.025011779805941	0.622339099541376	0.189961153894506	2.07759337401705	0.00867619530951334	1.73000992304107	1.09619234830221	0.472089480668612	0.589292736924844	0.0353705361583809	0.0735117857042225	1.76757683551777	1.57301526228661	1.7112318936879	0.503221507772837	2.11287891578498	0.552273771809106	1.48960150540608	0.265844921800175	0.290409068513532	0.238901781563881	0.479903110141169	0.409746100908573	0.214359846001114	0.142592497402872	1.18663112958198	0.865113530392172	0.749955537467552	0.460985744201162	1.0369090950952	0.525757195962238	2.36046653990923	0.909247763843434	1.97397415354523	0.163393102529106	0.00708926920155164	0.0107554953064783	0.548262997614547	0.198165973913811	0.845740531238754	0.259501491990388	0	0.979312004712706	0.187596741450216	0.179852415860714	0.334356603847983	0.565259857717428	0.699046067670954	0.201443161917757	0.527386672537988	0.110317803430939	0.614226430852578	0.363274263278431
"RTP5"	0	0	0	0	0	0.0747602488809506	0.270765734236754	0	0	0	0.042100773200782	0	0.216112116456234	0	0	0.0549915241411364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0586212825138619	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601442520272604	0.0363162372050438	0	0	0.218518328505463	0.0533504911393683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141159398514105	0.26408959173026	0	0	0	0	0	0	0	0	0	0	0	0.131776476039392	0	0	0	0	0	0	0	0	0.138396406774967	0	0.118622855910701	0	0	0	0	0	0.0975096695980349	0	0	0	0	0	0.135654378009866	0	0.143907968702951	0	0	0	0	0	0	0	0	0	0.110208207124192	0	0	0	0	0	0	0	0	0	0	0	0.0606354128734504	0	0	0	0.209301133774857	0	0.0508791692254938	0	0	0	0	0.0465231895733157	0.131735655973183	0.0408517611490674	0	0.0562935730155068	0	0	0	0	0.0513637483359298	0	0.0473834320630321	0	0	0
"GPR174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
