"Control"	"RNA_Control_Cal33"	"RNA_J_03_U_T_PT"	"RNA_J_05_U_T_PT"	"RNA_J_06_U_T_PT"	"RNA_J_08_U_T_PT"	"RNA_J_10_U_T_PT"	"RNA_J_13_U_T_PT"	"RNA_J_19_U_T_PT"	"RNA_J_22_U_T_PT"	"RNA_J_31_M_T_PT"	"RNA_J_32_M_T_PT"	"RNA_J_33_M_T_PT"	"RNA_J_35_M_T_PT"	"RNA_J_36_M_T_PT"	"RNA_J_37_M_T_PT"	"RNA_J_38_M_T_PT"	"RNA_LMU_KKG_01_PT"	"RNA_LMU_KKG_01_Rez"	"RNA_LMU_KKG_02_PT"	"RNA_LMU_KKG_02_Rez"	"RNA_LMU_KKG_03_PT"	"RNA_LMU_KKG_03_Rez"	"RNA_LMU_KKG_04_PT"	"RNA_LMU_KKG_04_Rez"	"RNA_LMU_KKG_05_PT"	"RNA_LMU_KKG_05_Rez"	"RNA_LMU_KKG_06_PT"	"RNA_LMU_KKG_06_Rez"	"RNA_LMU_KKG_07_PT"	"RNA_LMU_KKG_07_Rez"	"RNA_LMU_KKG_08_PT"	"RNA_LMU_KKG_08_Rez"	"RNA_LMU_KKG_09_PT"	"RNA_LMU_KKG_09_Rez"	"RNA_LMU_KKG_10_PT"	"RNA_LMU_KKG_10_Rez"	"RNA_LMU_KKG_11_PT"	"RNA_LMU_KKG_11_Rez"	"RNA_LMU_KKG_12_PT"	"RNA_LMU_KKG_12_Rez"	"RNA_LMU_KKG_13_PT"	"RNA_LMU_KKG_13_Rez"	"RNA_LMU_KKG_14_PT"	"RNA_LMU_KKG_14_Rez"	"RNA_LMU_KKG_15_PT"	"RNA_LMU_KKG_15_Rez"	"RNA_LMU_KKG_16_PT"	"RNA_LMU_KKG_16_Rez"	"RNA_LMU_KKG_17_PT"	"RNA_LMU_KKG_17_Rez"	"RNA_LMU_KKG_18_Rez"	"RNA_LMU_KKG_20_PT"	"RNA_LMU_KKG_20_Rez"	"RNA_LMU_KKG_21_PT"	"RNA_LMU_KKG_21_Rez"	"RNA_LMU_KKG_ADJ_01"	"RNA_LMU_KKG_ADJ_02"	"RNA_LMU_KKG_ADJ_03"	"RNA_LMU_KKG_ADJ_04"	"RNA_LMU_KKG_ADJ_05"	"RNA_LMU_KKG_ADJ_06"	"RNA_LMU_KKG_ADJ_07"	"RNA_LMU_KKG_ADJ_08"	"RNA_LMU_KKG_ADJ_09"	"RNA_LMU_KKG_ADJ_10"	"RNA_LMU_KKG_ADJ_11"	"RNA_LMU_KKG_ADJ_12"	"RNA_LMU_KKG_ADJ_13"	"RNA_LMU_KKG_ADJ_14"	"RNA_LMU_KKG_ADJ_15"	"RNA_LMU_KKG_ADJ_16"	"RNA_LMU_KKG_ADJ_17"	"RNA_LMU_KKG_ADJ_18"	"RNA_LMU_KKG_ADJ_19"	"RNA_LMU_KKG_ADJ_20"	"RNA_LMU_KKG_ADJ_21"	"RNA_LMU_KKG_ADJ_22"	"RNA_LMU_KKG_ADJ_23"	"RNA_LMU_KKG_ADJ_24"	"RNA_LMU_KKG_ADJ_25"	"RNA_LMU_KKG_ADJ_26"	"RNA_LMU_KKG_ADJ_27"	"RNA_LMU_KKG_ADJ_28"	"RNA_LMU_KKG_ADJ_29"	"RNA_LMU_KKG_ADJ_30"	"RNA_LMU_KKG_ADJ_31"	"RNA_LMU_KKG_ADJ_32"	"RNA_LMU_KKG_ADJ_33"	"RNA_LMU_KKG_ADJ_34"	"RNA_LMU_KKG_ADJ_35"	"RNA_LMU_KKG_ADJ_36"	"RNA_LMU_KKG_ADJ_37"	"RNA_LMU_KKG_ADJ_38"	"RNA_LMU_KKG_ADJ_39"	"RNA_LMU_KKG_ADJ_40"	"RNA_LMU_KKG_ADJ_41"	"RNA_LMU_KKG_ADJ_42"	"RNA_LMU_KKG_ADJ_43"	"RNA_LMU_KKG_ADJ_44"	"RNA_LMU_KKG_ADJ_45"	"RNA_LMU_KKG_ADJ_46"	"RNA_LMU_KKG_ADJ_47"	"RNA_LMU_KKG_ADJ_48"	"RNA_LMU_KKG_ADJ_49"	"RNA_LMU_KKG_ADJ_50"	"RNA_LMU_KKG_ADJ_51"	"RNA_LMU_KKG_ADJ_52"	"RNA_LMU_KKG_ADJ_53"	"RNA_LMU_KKG_ADJ_54"	"RNA_LMU_KKG_ADJ_55"	"RNA_LMU_KKG_ADJ_56"	"RNA_LMU_KKG_ADJ_57"	"RNA_LMU_KKG_ADJ_58"	"RNA_LMU_KKG_ADJ_59"	"RNA_LMU_KKG_ADJ_60"	"RNA_LMU_KKG_ADJ_61"	"RNA_LMU_KKG_ADJ_62"	"RNA_LMU_KKG_ADJ_63"	"RNA_LMU_KKG_ADJ_64"	"RNA_LMU_KKG_ADJ_65"	"RNA_LMU_KKG_ADJ_66"	"RNA_LMU_KKG_ADJ_67"	"RNA_LMU_KKG_ADJ_68"	"RNA_LMU_KKG_ADJ_69"	"RNA_LMU_KKG_ADJ_70"	"RNA_LMU_KKG_ADJ_72"	"RNA_LMU_KKG_ADJ_73"	"RNA_LMU_KKG_ADJ_74"	"RNA_LMU_KKG_ADJ_75"	"RNA_LMU_KKG_ADJ_76"	"RNA_LMU_KKG_ADJ_77"	"RNA_Lue_01_PT"	"RNA_Lue_01_Rez_2"	"RNA_Lue_02_Rez_1"	"RNA_Lue_02_Rez_2"	"RNA_Lue_03_PT"	"RNA_Lue_03_Rez_1"	"RNA_Lue_04_PT"	"RNA_Lue_04_Rez_1"	"RNA_Lue_05_Rez_1"	"RNA_Lue_05_Rez_2"	"RNA_Lue_06_PT"	"RNA_Lue_06_Rez_1"	"RNA_Lue_07_PT"	"RNA_Lue_07_Rez_1"	"RNA_Lue_08_PT"	"RNA_Lue_08_Rez_1"	"RNA_Lue_09_PT"	"RNA_Lue_09_Rez_1"	"RNA_Lue_10_Rez_1"	"RNA_Lue_10_Rez_2"	"RNA_Lue_11_PT"	"RNA_Lue_11_Rez_1"	"RNA_Lue_12_PT"	"RNA_Lue_12_Rez_1"	"RNA_Lue_13_PT"	"RNA_Lue_13_Rez_1"	"RNA_Lue_14_PT"	"RNA_Lue_14_Rez_1"	"RNA_Lue_15_PT"	"RNA_Lue_15_Rez_1"	"RNA_Lue_16_PT"	"RNA_Lue_16_Rez_1"	"RNA_Lue_17_PT"	"RNA_Lue_17_Rez_1"
"RP13.512J5.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPFF"	0.242835391306988	0.359481813439925	0.810141988240876	0.666443936216909	0.434305294664477	2.21040507441097	2.18142413887498	1.58755701742961	1.87897168686024	1.38275245637905	2.24519352317564	0.729203827716098	2.36552457689222	1.06967673538329	2.53250473438376	1.57342348804762	1.56741840311432	1.51073765135466	0.0935223167516735	1.19484729330255	0.361879504405489	1.55989507514821	0.557414991867988	0.514500026336906	0.100135325330265	1.43497723422583	0.511152241226725	0.604908223661525	0.133554319818128	0.15756893666763	1.01295906008129	0.343540856810038	1.20924685049918	0.12281847169507	1.56416302876708	2.03084525808993	1.30655914883219	0.857508111647101	2.03224792707059	1.3972038589757	0	1.16838081223046	0.885785189378386	0.842612833454251	1.43255218920998	0.956516902819817	2.09411443234933	0.954103230284847	2.1241706211654	0.582229372640239	1.30670903846875	0.615393696119139	0	0.363640963056171	0.219338922698467	1.20112004479627	0.961815921701088	2.21174581833459	1.11411711386654	1.82246177151046	1.82204442447881	0.478868289567526	0.409884015950085	0.25051414746224	0.989657121659147	0.721020857128627	0	0	0.431111574758505	0.402193892237081	1.43235869362779	0.158536095006192	1.79109723303846	0.063846663142174	1.86341914529517	2.92579970536746	2.10812630164498	2.2462572728854	0.33341342872381	2.7148642324488	1.27677773302098	2.41264307415712	1.79470572795158	1.5670123697261	0	0.120208592798237	0.405798535549035	1.34806921433993	0	0.968714525166061	1.26749984260409	0.0651062727129421	0.214678146889549	2.35382772273916	1.74081878758689	1.55680558301179	1.38896317642683	0.0620291221860269	1.40032369532351	0.575212597314592	1.30570092042278	0	2.31526711106763	0.0791029444582219	1.67836582428522	1.30488247336292	0.889230541849906	0.99891251952695	0.513603933333231	2.3359299557115	0.90319641785277	1.78118091318352	0.513495798801828	0.09235765461929	1.5824206386316	0.0682952139858768	2.14863968011967	0.126836771461347	1.85589643721149	0.59243646563565	0.407830216418157	0.654598682648405	0.367278238097538	0.375582199734604	2.02126543930229	2.04964261589609	1.64735135364275	1.64996626145082	2.09733874880569	1.26453763199336	1.29017606907863	1.28413208828681	0.559044373762199	0.563752661879965	2.10572165306251	1.76962069259493	0.812689613603051	0.258984371281353	0.779641306348991	2.03639290751596	2.05815507098057	1.99945997032159	0.482203959097405	1.07759713367845	2.0947194775143	2.03628317627241	1.54383436975516	0.253120363080345	0.103026231958446	0.258578018219533	1.35985566148063	0.989960056006885	1.91789303851631	0.578902977275727	0.53536919930027	1.68015509470446	0.870834197265343	0.0831520843261611	0.799593818682875	1.6486453660215	0.583599953378979	0.695568957018755	1.53827989561846	1.24380859160481	1.52756232976102	0.858378129331691
"DNAAF1"	0.0648525077754064	0.0747821661351836	0.28465152622953	0.3940761634832	0.828661637521624	0.776736529079831	1.20048238202935	0.0954842886971277	0.438057529359332	0.212375098870278	0.779542977765804	0.71746564397416	0.769058253807588	1.2781697573572	0.575790567756007	0.70320703684295	0.28597622329957	0.275606654784813	0.857470688322506	0.887051833127537	0.0489991890612891	1.83788311152995	0.911821178954663	0.248296796107889	0	1.18372151883606	0.115546021235039	0.235861827602293	1.29480010976215	0.0785756795799244	0.338402734972003	0.594643133740541	0.550693847121963	0.320854330286961	0.0832555845481374	1.58925773613205	3.88332286312979	0.302730814709538	0.078859825528736	2.24989249207575	0	1.46596454186152	0.307721114878307	0.255401629436008	0.68251486926248	0.519512718265644	1.0746862756896	1.22322420434893	0.467295133485817	0.906816727731391	0.347799432428401	0.0418681548118815	0	0.201956236127798	0.513395741875987	0.294095475527937	1.37367103816681	1.23817174914912	0.542698840305833	0.733023676069719	0.69227006433029	0.448665238854465	0	0.222475683047564	0.0962537555892382	0.223595539396782	0	0.438298175167262	0.17249263598034	0.194591402773734	0.374262739508225	0.745158148483967	1.21423113800831	0.599258751504922	1.75360753119542	1.73179147871713	1.44196518280865	0.970592326214638	0.0935277252997388	1.58361487523687	0.688385388029315	0.7582716191654	0.524089760430871	1.4120064612525	0.060322749535747	0.0885039216174542	0	0.745232168111412	0	0.110619818457567	0.645531051762596	0	0	0.684394168240683	0.99770790178788	0.212055043912207	0.49277817633706	0.513264343453714	0.985695690964794	0.771049713935344	0.0684974705022371	1.80705687169661	2.60179657472646	0	1.88233941568978	0.432111708525814	2.47245761752154	0.459902647243255	0.209474576989295	0.319827156049746	0.550178644096277	0.179750524141502	0.483097055539759	0.25210194291168	0.296489124287622	0.0995941496047984	0.908994241764944	0	0.852002833492066	0.736233384925261	0	1.07717667446055	0.287806777191322	0	0.758524916348733	1.04663773197245	0.520115446765122	2.638298856882	1.35309741124371	0.394372554437648	0.508086827696329	0.281890497728577	0.271842766225949	0.0731086481156579	0.96130178814597	0.385160420208537	0.564261089660762	0.176461928548058	2.4525607227946e-05	0.513268386660548	2.47270117056732	0.298761529078546	0.129660211774849	0.280041723431062	0.579889733203398	0.245330148032252	0.498139533136845	0.0518620823460528	0	0.214923041564964	1.23982815843025	0.195214032598702	0	0.326734065869624	0.0759487792489357	0.691214324623122	0.0326651122818301	0.60384446102046	0.470667007624888	0.308866423087058	0.214901910160696	0.235758915173044	0.837707548820222	0.3605204781052	0.922218403799326	0.0347833830370713
"SPHAR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"H2AFB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	0	0	0	0	0	0.151231478096934	0.460736274097281	0	0.291800382897661	0	0.0499652669240792	0.330905981693532	0.669054893251951	0	0.63800245387699	0.0652552009118555	0.107611548393263	0	0	0	0	0	0	0.0687258349331863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21220823082517	0.165047509703641	0	0.0892594898147177	0	0	0	0	0	0	0	0	0.387825717178003	0	0	0	0	0	0.176920154500134	0.204423717736109	0	0.51617655839798	0.0712739096058055	0	0	0	0	0	0	0	0	0.0524604125012046	0.470421288681855	0	0.250580845785551	0	0.443076151362673	0	0.117645843935474	0.370570521981147	0	0	0	0.518829187165331	0	0	0	0	0	0.724807409987233	0	0	0	0	0	0.261936337580396	0	1.02393093612619	0	0	0.34176263867381	0	0	0	1.04707277053196	0	0	0.218246760278548	0	0.0804448245478605	0	0	0	0.102029187510243	0.215415191423457	0	0.0820199063830817	0	0.333861055932571	0	0	0	0	0	0	0	0	0	0.32984921140853	0.126461480856841	0.1302877720114	0.472112361967887	0.110325822346021	0	0.25605413847363	0	0	0	0	0	0	0.543540425638221	0	0.0507719271403619	0	0.0626508794090224	0.265610921144243	0	0.174044580781629	0	0	0.364818930000726	0	0	0	0	0	0.0667491478326692	0	0.0579451226860811	0	0	0	0.0506799990077833	0	0	0	0
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0.0904429151521402	0	0	0	0	0.468744910653125	0.300804340297285	0.363351648054852	0	0.629363148624215	0.365686938835716	0	0.696782626933078	0	0.242174435277556	0.499207580506814	0.155873552926274	0.2147490090138	0	0.998381109549046	0.209795204860153	0.423090826159177	0	0.292512028372039	0	0	0.833754764521576	0	0	0	0.0724653143984654	0	0	0	0.402309607477388	0	0.399393156041293	0	0	0.878687679880734	0	0	0.23811548341381	0.365657827004069	2.32424089997444	0.480211343172466	1.18687702910633	0.358981323825186	0	0.949558090654462	0.640489515574997	0	0	0	0	0.486893508340365	1.13983487038941	0.328749164754603	0	0.816958441449444	0.760370851196138	0	0	0	0	0.22407609411245	0	0	0.176529586662665	0.22141435483504	0	0	0.642199717762147	0	0.22694620421572	1.54839963204124	1.1288522875727	1.00875936751517	0.454495988543273	0.343587472839183	0	0.420597737644848	0	0	0	0	0	0.296055599398655	0	0.164339629903682	0.418089536115639	0	0	0.670350896510844	1.02355202365327	0	0	0	0.685553584423668	0	0.46714485742664	0	0	0	1.27301988735268	0.373105828651914	1.01814417277768	0.319911529757064	0	0.309404392373207	0	0.210629501370272	0.464937963040288	0	0	0.288156541210906	1.01886202505608	0	0.818896360011035	0.482920545053234	0	0	0	0	0.324668918627041	0	0.359233277378489	0.353283764729905	0	0.567321530227705	0.181368478405361	0	0.319577473435339	0	0.232628832972339	0	0	0	0.242176874786408	0.230378881070225	0.917232380446517	0	0	0.300029982962536	0.845606465464578	0	0	0	0	0.256036017207048	0.715942557485238	0.175205208783747	0.972475773990167	0	0.421426373298174	0.654287964109877	0.194974591388151	0.121926498491508	0	0.408050949905374	0.430667442859254	0	0	1.09294213223843	0.8064774967084	0
"FTCD"	0	0.0598065684290532	0.208210084761035	0	0	0.0948238398799436	0	0	0	0.547585060041968	0.426708097218449	0	0.697578126314903	0	0.0436286759115091	0	0.172996913258215	0.261812406646489	0	0	0	0	0	0	0	0.144428861575426	0	0.406695570149711	0.239160933698681	0	0.0935709929543341	0	0	0	0	0	0	0	1.3081715403622	0	0	0.280265079527318	0	0	0	0.0637831706803604	0	0	0	0.244719039284516	0.241190977252972	0	0	0	0	0	0	0.814173858600877	0	0	0	0	0.128834475166721	0	0	0	0	0	0	0.313097220417095	0.293714194341229	0	5.19177001531382	0	0	0	0.187774080197361	0.504638696083555	0	0.0901881472542552	0	0.598644378870127	0	0	0	0	0	0	0	0	0	0.120821702003839	0	0.602451178943948	0	0	0	0	1.4584114037554	0.48087619890658	0	1.48824402831199	0.398285786952462	0	0.94531404066017	0.133357035922275	0	0	0	0.375143996875078	0	0	0	0	0	0	0.132089830339355	0	0	0	0	0	0	0	0.814494642276675	0	0	0.253804153859588	0	0	0	0.0912204920673963	0	0	0	0.157875446050416	0	0	0	0	0	0	0	0.845493262505413	0	0	0.417078550314654	0.234834824766458	0	0.528537313872853	0	0	0	0	0	0	0	0.094007653205367	0	0	0	0	0.200279601442217	0	0.139604393488228	0
"LCAT"	1.66909300093127	1.73762922549784	2.21135054836562	1.8174894183167	0.852229010534986	3.03931740335328	3.1588551602562	3.53221620407791	2.90965695435647	4.48790169465773	4.52339220986346	1.27911228586892	4.0257646648355	2.92924467707421	3.8227441160197	2.98718786987809	2.91390138194256	3.58751753406937	0.688518775820192	1.64741628907069	2.4853397475916	1.65831660996603	0.519169483186005	2.69932219556426	0.71398256596802	3.04711378866832	2.78207490311803	2.35349070183275	2.34060926622375	1.1548618448283	3.17972584615826	0.811387179150558	3.46329901733195	0.682373733203524	3.62048260304972	4.66047208509326	3.29056890206002	2.08571765268247	2.51401517476156	2.52489915354227	0	1.86904620917401	2.42657607483014	1.10936055940423	3.9276403099666	2.13983225154053	3.37874326818642	2.54596367539804	4.05559567241701	2.0722612120508	3.90631022694311	1.52621758192284	0	2.34790882487242	0.765806286932363	4.32247643118874	1.6473462876354	3.89154293832993	2.97879052717415	3.52158925928455	3.53698438147238	1.40625964180766	2.25909106520496	0.463296008860186	1.73077731785429	2.20574250863932	0	0.267749115395841	2.07287274667342	1.79735212699051	3.1267639343973	0.58952189921673	2.95203716833874	1.44111213436015	2.72725328524111	5.02444716836733	4.30421290757342	3.77480002403534	1.84312761775075	4.3409865412718	2.42042338339575	4.24463578307428	2.71550596480038	3.75197791366968	0.406298287468406	0.567753756989352	2.63401607498301	2.26051681151408	0.683783574738371	2.42865938468387	3.39068831892243	0.440889493899105	0.458878566982774	3.5945598952035	2.92153249457538	3.25406820398852	3.23338407165326	1.07828122894478	2.61429358127061	2.34470239766819	1.49163302046122	3.52645385466008	3.28273572730662	0	2.87722046639273	3.0148433698432	2.09527227570898	3.01240186900628	2.03299545994322	3.88794515086714	2.21339270063595	3.04876959816807	1.85502811160688	0.124267249339577	2.40213330178175	0.909402928106538	4.37861260837215	0.58369814599708	3.71697246289809	1.49353461902216	0.979595170378909	2.35075917146463	0.971885254025243	1.2604026952464	4.25476280610973	3.25009539345047	2.81631666890086	2.18235637103992	3.59704518839857	1.99359900998532	3.56757221805234	2.03538531750567	2.04209656958677	0.752645843887946	4.33012280099207	3.96174796138375	0.538240157974276	3.41822625104055	2.68567691946414	3.72983279904087	4.09701792266625	3.39838225048922	1.46829605264857	1.75115818196368	3.56417010303472	3.24029387192565	3.36324187819976	0.973078546286689	0.140900347374835	2.22225061805513	2.86295617188017	3.43999725898375	3.03404294085272	1.36543834967296	0.904723772500074	3.84750921324714	1.53920100544273	1.60163994841648	2.54658607593919	3.81680191540852	1.72276283937035	2.0652389988207	4.32769828493383	3.3762095212372	3.66788917400211	1.82301723098591
