"Control"	"RNA_Control_Cal33"	"RNA_J_03_U_T_PT"	"RNA_J_05_U_T_PT"	"RNA_J_06_U_T_PT"	"RNA_J_08_U_T_PT"	"RNA_J_10_U_T_PT"	"RNA_J_13_U_T_PT"	"RNA_J_19_U_T_PT"	"RNA_J_22_U_T_PT"	"RNA_J_31_M_T_PT"	"RNA_J_32_M_T_PT"	"RNA_J_33_M_T_PT"	"RNA_J_35_M_T_PT"	"RNA_J_36_M_T_PT"	"RNA_J_37_M_T_PT"	"RNA_J_38_M_T_PT"	"RNA_LMU_KKG_01_PT"	"RNA_LMU_KKG_01_Rez"	"RNA_LMU_KKG_02_PT"	"RNA_LMU_KKG_02_Rez"	"RNA_LMU_KKG_03_PT"	"RNA_LMU_KKG_03_Rez"	"RNA_LMU_KKG_04_PT"	"RNA_LMU_KKG_04_Rez"	"RNA_LMU_KKG_05_PT"	"RNA_LMU_KKG_05_Rez"	"RNA_LMU_KKG_06_PT"	"RNA_LMU_KKG_06_Rez"	"RNA_LMU_KKG_07_PT"	"RNA_LMU_KKG_07_Rez"	"RNA_LMU_KKG_08_PT"	"RNA_LMU_KKG_08_Rez"	"RNA_LMU_KKG_09_PT"	"RNA_LMU_KKG_09_Rez"	"RNA_LMU_KKG_10_PT"	"RNA_LMU_KKG_10_Rez"	"RNA_LMU_KKG_11_PT"	"RNA_LMU_KKG_11_Rez"	"RNA_LMU_KKG_12_PT"	"RNA_LMU_KKG_12_Rez"	"RNA_LMU_KKG_13_PT"	"RNA_LMU_KKG_13_Rez"	"RNA_LMU_KKG_14_PT"	"RNA_LMU_KKG_14_Rez"	"RNA_LMU_KKG_15_PT"	"RNA_LMU_KKG_15_Rez"	"RNA_LMU_KKG_16_PT"	"RNA_LMU_KKG_16_Rez"	"RNA_LMU_KKG_17_PT"	"RNA_LMU_KKG_17_Rez"	"RNA_LMU_KKG_18_Rez"	"RNA_LMU_KKG_20_PT"	"RNA_LMU_KKG_20_Rez"	"RNA_LMU_KKG_21_PT"	"RNA_LMU_KKG_21_Rez"	"RNA_LMU_KKG_ADJ_01"	"RNA_LMU_KKG_ADJ_02"	"RNA_LMU_KKG_ADJ_03"	"RNA_LMU_KKG_ADJ_04"	"RNA_LMU_KKG_ADJ_05"	"RNA_LMU_KKG_ADJ_06"	"RNA_LMU_KKG_ADJ_07"	"RNA_LMU_KKG_ADJ_08"	"RNA_LMU_KKG_ADJ_09"	"RNA_LMU_KKG_ADJ_10"	"RNA_LMU_KKG_ADJ_11"	"RNA_LMU_KKG_ADJ_12"	"RNA_LMU_KKG_ADJ_13"	"RNA_LMU_KKG_ADJ_14"	"RNA_LMU_KKG_ADJ_15"	"RNA_LMU_KKG_ADJ_16"	"RNA_LMU_KKG_ADJ_17"	"RNA_LMU_KKG_ADJ_18"	"RNA_LMU_KKG_ADJ_19"	"RNA_LMU_KKG_ADJ_20"	"RNA_LMU_KKG_ADJ_21"	"RNA_LMU_KKG_ADJ_22"	"RNA_LMU_KKG_ADJ_23"	"RNA_LMU_KKG_ADJ_24"	"RNA_LMU_KKG_ADJ_25"	"RNA_LMU_KKG_ADJ_26"	"RNA_LMU_KKG_ADJ_27"	"RNA_LMU_KKG_ADJ_28"	"RNA_LMU_KKG_ADJ_29"	"RNA_LMU_KKG_ADJ_30"	"RNA_LMU_KKG_ADJ_31"	"RNA_LMU_KKG_ADJ_32"	"RNA_LMU_KKG_ADJ_33"	"RNA_LMU_KKG_ADJ_34"	"RNA_LMU_KKG_ADJ_35"	"RNA_LMU_KKG_ADJ_36"	"RNA_LMU_KKG_ADJ_37"	"RNA_LMU_KKG_ADJ_38"	"RNA_LMU_KKG_ADJ_39"	"RNA_LMU_KKG_ADJ_40"	"RNA_LMU_KKG_ADJ_41"	"RNA_LMU_KKG_ADJ_42"	"RNA_LMU_KKG_ADJ_43"	"RNA_LMU_KKG_ADJ_44"	"RNA_LMU_KKG_ADJ_45"	"RNA_LMU_KKG_ADJ_46"	"RNA_LMU_KKG_ADJ_47"	"RNA_LMU_KKG_ADJ_48"	"RNA_LMU_KKG_ADJ_49"	"RNA_LMU_KKG_ADJ_50"	"RNA_LMU_KKG_ADJ_51"	"RNA_LMU_KKG_ADJ_52"	"RNA_LMU_KKG_ADJ_53"	"RNA_LMU_KKG_ADJ_54"	"RNA_LMU_KKG_ADJ_55"	"RNA_LMU_KKG_ADJ_56"	"RNA_LMU_KKG_ADJ_57"	"RNA_LMU_KKG_ADJ_58"	"RNA_LMU_KKG_ADJ_59"	"RNA_LMU_KKG_ADJ_60"	"RNA_LMU_KKG_ADJ_61"	"RNA_LMU_KKG_ADJ_62"	"RNA_LMU_KKG_ADJ_63"	"RNA_LMU_KKG_ADJ_64"	"RNA_LMU_KKG_ADJ_65"	"RNA_LMU_KKG_ADJ_66"	"RNA_LMU_KKG_ADJ_67"	"RNA_LMU_KKG_ADJ_68"	"RNA_LMU_KKG_ADJ_69"	"RNA_LMU_KKG_ADJ_70"	"RNA_LMU_KKG_ADJ_72"	"RNA_LMU_KKG_ADJ_73"	"RNA_LMU_KKG_ADJ_74"	"RNA_LMU_KKG_ADJ_75"	"RNA_LMU_KKG_ADJ_76"	"RNA_LMU_KKG_ADJ_77"	"RNA_Lue_01_PT"	"RNA_Lue_01_Rez_2"	"RNA_Lue_02_Rez_1"	"RNA_Lue_02_Rez_2"	"RNA_Lue_03_PT"	"RNA_Lue_03_Rez_1"	"RNA_Lue_04_PT"	"RNA_Lue_04_Rez_1"	"RNA_Lue_05_Rez_1"	"RNA_Lue_05_Rez_2"	"RNA_Lue_06_PT"	"RNA_Lue_06_Rez_1"	"RNA_Lue_07_PT"	"RNA_Lue_07_Rez_1"	"RNA_Lue_08_PT"	"RNA_Lue_08_Rez_1"	"RNA_Lue_09_PT"	"RNA_Lue_09_Rez_1"	"RNA_Lue_10_Rez_1"	"RNA_Lue_10_Rez_2"	"RNA_Lue_11_PT"	"RNA_Lue_11_Rez_1"	"RNA_Lue_12_PT"	"RNA_Lue_12_Rez_1"	"RNA_Lue_13_PT"	"RNA_Lue_13_Rez_1"	"RNA_Lue_14_PT"	"RNA_Lue_14_Rez_1"	"RNA_Lue_15_PT"	"RNA_Lue_15_Rez_1"	"RNA_Lue_16_PT"	"RNA_Lue_16_Rez_1"	"RNA_Lue_17_PT"	"RNA_Lue_17_Rez_1"
"CDHR5"	0.0952547190965902	0.189395718278641	0.493781555750044	0.576938077196235	0.12001080286439	0.522415373432948	0.121675904572872	0.632988452437026	0.699942457547946	0.585253895689515	0.382558804478089	0.344626278324086	0.743410699029134	0.195627290247352	0.524112834923672	0.768965127659885	0.54309296138111	0.626476517784938	0.307562587593244	0.617580599005267	0.908563151960706	1.00960730692732	0.064670431515023	0.0734446039285747	0.143190943886938	0.79546025938602	0.0449354218993816	0.243057268056034	0.23827693572488	0	0.302838415414043	0.177013313561439	0.955120084015457	0.220736081378947	1.62424129607252	0.939650859533401	0.685741049518507	0.806673809243032	1.62213758769021	0.148934104526339	0	0.459489325284808	0.124628554890099	0.396892709241075	1.64528017698924	0.533400880143313	1.01414815852307	0.189004717091179	0.797394048093408	0.43407999944158	0.196508846849682	0.816693903561701	0.0483924458986538	0.451093449070749	0.080983682406182	0.793895050424606	0.564245478422288	0.381776186053437	0.729916416456697	1.13367136217877	1.32003288054662	0	0	0.042366977138938	0.112273098537173	0.225116952901268	0	0.0770460678753546	0.0455310395726367	0.788813480551016	0.377263707364656	0	0.363573685674971	0.0468458406201949	1.41019726215913	0.691342090564871	0.9129272648425	0.314498159575739	0.590046246673596	0.538000715501841	0.29838382551905	1.84064611471715	0.789508083774155	1.65765875326245	0	0.0674982950663946	0	0.284489258977382	0.0789636341285979	0.478446904974852	0.353837036269378	0	0	0.911981433803383	1.5166374902632	2.56608522136383	1.84560084566905	0.0358673879568675	0.132961071501954	0.902013361217519	0.0522475467208927	0.165070670810315	1.02337175694564	0.0865473730122373	0.502163559227869	0.336157682226089	0.805263560131697	0.202233395909361	0.0558481213749436	1.39153403281719	0.403886121420261	0.475765591360309	0.601666093595899	0.0435516892874285	0.130046536404887	0.0511186941859689	0.749650107676057	0	1.01567454131167	0	0.357510341798744	0.54873351804742	0.0383111520333838	0	0.90957189990527	0.885626683080532	0.471969867970096	1.36579890194462	0.893298521070924	0.819434390740104	0.301450686496025	0.14345742094666	0.157674993695357	0.103015485826784	0.386713844035388	0.462214645584997	0.442299147185412	0.0763812270263603	0.632047605907517	0.967127281660802	0.586200763311576	0.574955001559897	0.0338254022645492	0.270479904866147	0.968891432983209	0.263048832712069	0.732788432845615	0.298187896836485	0	0	0.740585675542532	0.380462381155267	0.634952851958997	0.557027706318312	0	0.941851510890811	0.541971711401885	0.367865299748199	0.407054663086752	0.899526011979347	0.271220074411744	0.31722648957648	0.280749690856782	0.119216715312493	0.174256835835444	0.627820658636135
"ALPI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C11orf86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOA4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUCA2A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MOGAT2"	0	0.157637486613218	0	0	0	0	0.254095725333055	0.26310413440901	0.328235599067492	0	0.251858432799362	0	0	0	0.180029435610621	0.0936331879345091	0	0	0.152461220643288	0	0	0	0	0	0	0	0.0989584800881688	0.309037616893408	0	0	0	0	0.125253016306884	0	0.240894344063999	0.0858624294150262	0	0	0	0	0	0.0951966457026739	0.223607894993226	0	0	0	0.341235464568647	0	0	0	0.0947711530272843	0	0	0	0	0	0	0	0.215488502413068	0	0.0855157566446745	0	0	0	0	0	0	0	0	0.254409008249638	0	0	0.81664393894822	0	0	0.296800382947419	0.247858262419585	0	0	0	0	0.92783957895306	0	0	0	0	0	0	0	0	0.0620318861443632	0	0	0	0	0	0.246929734694989	0	0.359298508181122	0	0	0	0	0	0.286383213826405	0	0	0.579880081326197	0	1.27514892540753	0	0	0.30624590503726	0	0	0	0.304028505209751	0	0	0	0	0.293898963549501	0	0	0.160250302156866	0.505482446972672	0.107646361945803	0.100374885574292	1.00466605681345	0	0	0	0.0757804180032618	0	0	0.0757201864445521	0	0	0.141906199743885	0.457211833742199	0.462934946694614	0.501985291337398	0	0.0494718534319026	0.154797050612905	0	0	0	0	0	0	0.0327680675855362	0	0	0	0	0	0.167288553379359	0.0788898761547579	0.102869061807309	0	0	0.0641364845420111	0	0.124076634129682	0
"SLC26A3"	0	0	0	0	0	0.0299800401697715	0.753345238603741	0	0	0	0	0	0	0	0.0300450378259334	0	0	0	0	0	0	0	0	0	0	0	0	0.306341577022907	0	0	0	0	0	0	0	0	0	0	0.07389562156159	0.203094634183519	0	0	0.167521072805902	0	0.0859018496707021	0	0.0514055147777457	0.0451927141614266	0	0	0	0	0	0	0	0	0	0	0	0	0.103609089674975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203545732871533	0	0.0605966795000873	0	0	0	0	0.312747644106081	0.762249301338197	0	0	0	0	0	0	0	0	0	0	0.351282312155117	0	0	0	0	0	0	0.885703986356987	0	0	0	0	0	0.287724050328046	0	0	0.0774781869148452	0	0	0	0	0	0	0	0	0.416908903163372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083985322711387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0471349081900879	0	0	0	0	0	0	0	0.0842343838902445	0	0	0	0	0	0	0	0
"CREB3L3"	0	0	0	0	0	0.0329443438538922	0.165021774704565	0	0	0.076408592777625	0.0723720140509407	0	0	0	0.0590991142014676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288936115252161	0	0.0749068141868549	0	0.30269806507607	0	0	0	0	0	0	0	0	0	0.0648828515848544	0	0	0	0	0	0	0	0	0	0	0.0506702487107414	0.294470774325506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222410145766643	0	0	0	0	0	0	0.11816699932577	0	0	0	0	0	0	0	0	0	0	0.41732488136276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0670893419435221	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0834516698714831	0	0	0.0350945898735579	0.0876026910264	0	0	0	0	0	0	0.124759555429087	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0757776802596908	0	0	0	0	0	0
"LRRC19"	0.144551550823915	0.174835903141095	0.530077735882154	0.142166377660301	0.703523343792604	1.64716251770593	1.18486487217638	0.993954722696091	0.864626340959534	0.346444092085491	0.220144188193775	0.339522812421145	1.25894157093633	1.44285009905012	0.987914559217081	0.224014335118427	0.0842670444623996	0.760615264709117	0.0338521780148332	0.107437468028208	0.0710102401222391	0	0.0741039468404355	0.475261316877109	0	1.34101394842854	0.53014567250085	0.578266345059439	0.0491553666914885	0.72004201025103	0.0900268613406965	0	0.949259253879402	0	2.1199991868407	0.471384142642478	0.250766372175533	0.213944457200742	0.89863713012757	0.116319505399657	0	0.195789789028636	0.177111570710265	0.147825063997244	0.474912579583134	0.0908412386105207	1.05438799108885	0.874298869856483	1.91215355375302	0.0361108250990407	1.35243085935921	0.398556142216671	0	0.484758910878761	0.0782026530722178	0.914427518361594	0.605692495243343	2.1811133669495	0.626162486541763	0.900208740689292	0.80456576523929	0	0.544315240072299	0.0326862680809751	1.30949578063928	0.504957956259172	0.0169954359852041	0.07440404682471	0.974938201678545	0.386536173794996	0.411740784038841	0.114333705975085	1.36584648363486	0.089060123354868	0.365010496857953	1.43317152128634	1.53581558226214	1.31227715025207	0.24377508591399	0.522216486171981	0.212087426241438	0.657315305127988	0	0.552562991172372	0.0789349509201865	0.0220552692351703	0.365205398430415	0.822600452497202	0.131834412214905	0.892041239260971	0.512210701938931	0	0.101156544269403	0.306304242368715	0.969044735546142	0.430173921530952	1.26898645266509	0.0224587221470325	2.19039330338993	1.22666697094808	0.075031451469934	1.46196119833738	0.904652105490841	0	0.842697302849801	0.796155824675267	0.239124264054306	1.24129777468213	0.296916647256722	1.33357143065693	0.399526595712982	1.59248047900327	0.177716279058721	0.0335745316233577	0.529074299191983	0.0493631125134454	0.71430091609205	0.0232894229247904	0.692053977462501	0.294710726148419	0.0238812716191734	0.228599538092821	0.0730537907572172	2.10039002498362	1.22681491583479	0.766553608121586	0.564235721312458	0.247336950659232	1.94396219764692	0.871798711406561	0.857031887144609	0.166477653804862	0.586363158361551	0.287239411987022	2.02425867900046	0.562337684748539	0	0.622498414569432	1.17766015646524	1.64067922691394	1.31691786996898	0.846663400536023	0.15632282950006	0.754856724340965	0.99457248357002	1.90150603981135	0.982179140234651	0.048908542504195	0	0.756895190968737	1.29704112188894	1.29902304844593	2.54478408270557	0.329402633897902	0.669910259064586	1.02408630404315	0.0707918523484356	0.553153054926497	0.0680750386067117	0.299074643080723	0.093871126585384	0.341870782333204	0.359943909215096	0.272425773240345	1.27671938031475	0.717791121329683
