"Control"	"RNA_Control_Cal33"	"RNA_J_03_U_T_PT"	"RNA_J_05_U_T_PT"	"RNA_J_06_U_T_PT"	"RNA_J_08_U_T_PT"	"RNA_J_10_U_T_PT"	"RNA_J_13_U_T_PT"	"RNA_J_19_U_T_PT"	"RNA_J_22_U_T_PT"	"RNA_J_31_M_T_PT"	"RNA_J_32_M_T_PT"	"RNA_J_33_M_T_PT"	"RNA_J_35_M_T_PT"	"RNA_J_36_M_T_PT"	"RNA_J_37_M_T_PT"	"RNA_J_38_M_T_PT"	"RNA_LMU_KKG_01_PT"	"RNA_LMU_KKG_01_Rez"	"RNA_LMU_KKG_02_PT"	"RNA_LMU_KKG_02_Rez"	"RNA_LMU_KKG_03_PT"	"RNA_LMU_KKG_03_Rez"	"RNA_LMU_KKG_04_PT"	"RNA_LMU_KKG_04_Rez"	"RNA_LMU_KKG_05_PT"	"RNA_LMU_KKG_05_Rez"	"RNA_LMU_KKG_06_PT"	"RNA_LMU_KKG_06_Rez"	"RNA_LMU_KKG_07_PT"	"RNA_LMU_KKG_07_Rez"	"RNA_LMU_KKG_08_PT"	"RNA_LMU_KKG_08_Rez"	"RNA_LMU_KKG_09_PT"	"RNA_LMU_KKG_09_Rez"	"RNA_LMU_KKG_10_PT"	"RNA_LMU_KKG_10_Rez"	"RNA_LMU_KKG_11_PT"	"RNA_LMU_KKG_11_Rez"	"RNA_LMU_KKG_12_PT"	"RNA_LMU_KKG_12_Rez"	"RNA_LMU_KKG_13_PT"	"RNA_LMU_KKG_13_Rez"	"RNA_LMU_KKG_14_PT"	"RNA_LMU_KKG_14_Rez"	"RNA_LMU_KKG_15_PT"	"RNA_LMU_KKG_15_Rez"	"RNA_LMU_KKG_16_PT"	"RNA_LMU_KKG_16_Rez"	"RNA_LMU_KKG_17_PT"	"RNA_LMU_KKG_17_Rez"	"RNA_LMU_KKG_18_Rez"	"RNA_LMU_KKG_20_PT"	"RNA_LMU_KKG_20_Rez"	"RNA_LMU_KKG_21_PT"	"RNA_LMU_KKG_21_Rez"	"RNA_LMU_KKG_ADJ_01"	"RNA_LMU_KKG_ADJ_02"	"RNA_LMU_KKG_ADJ_03"	"RNA_LMU_KKG_ADJ_04"	"RNA_LMU_KKG_ADJ_05"	"RNA_LMU_KKG_ADJ_06"	"RNA_LMU_KKG_ADJ_07"	"RNA_LMU_KKG_ADJ_08"	"RNA_LMU_KKG_ADJ_09"	"RNA_LMU_KKG_ADJ_10"	"RNA_LMU_KKG_ADJ_11"	"RNA_LMU_KKG_ADJ_12"	"RNA_LMU_KKG_ADJ_13"	"RNA_LMU_KKG_ADJ_14"	"RNA_LMU_KKG_ADJ_15"	"RNA_LMU_KKG_ADJ_16"	"RNA_LMU_KKG_ADJ_17"	"RNA_LMU_KKG_ADJ_18"	"RNA_LMU_KKG_ADJ_19"	"RNA_LMU_KKG_ADJ_20"	"RNA_LMU_KKG_ADJ_21"	"RNA_LMU_KKG_ADJ_22"	"RNA_LMU_KKG_ADJ_23"	"RNA_LMU_KKG_ADJ_24"	"RNA_LMU_KKG_ADJ_25"	"RNA_LMU_KKG_ADJ_26"	"RNA_LMU_KKG_ADJ_27"	"RNA_LMU_KKG_ADJ_28"	"RNA_LMU_KKG_ADJ_29"	"RNA_LMU_KKG_ADJ_30"	"RNA_LMU_KKG_ADJ_31"	"RNA_LMU_KKG_ADJ_32"	"RNA_LMU_KKG_ADJ_33"	"RNA_LMU_KKG_ADJ_34"	"RNA_LMU_KKG_ADJ_35"	"RNA_LMU_KKG_ADJ_36"	"RNA_LMU_KKG_ADJ_37"	"RNA_LMU_KKG_ADJ_38"	"RNA_LMU_KKG_ADJ_39"	"RNA_LMU_KKG_ADJ_40"	"RNA_LMU_KKG_ADJ_41"	"RNA_LMU_KKG_ADJ_42"	"RNA_LMU_KKG_ADJ_43"	"RNA_LMU_KKG_ADJ_44"	"RNA_LMU_KKG_ADJ_45"	"RNA_LMU_KKG_ADJ_46"	"RNA_LMU_KKG_ADJ_47"	"RNA_LMU_KKG_ADJ_48"	"RNA_LMU_KKG_ADJ_49"	"RNA_LMU_KKG_ADJ_50"	"RNA_LMU_KKG_ADJ_51"	"RNA_LMU_KKG_ADJ_52"	"RNA_LMU_KKG_ADJ_53"	"RNA_LMU_KKG_ADJ_54"	"RNA_LMU_KKG_ADJ_55"	"RNA_LMU_KKG_ADJ_56"	"RNA_LMU_KKG_ADJ_57"	"RNA_LMU_KKG_ADJ_58"	"RNA_LMU_KKG_ADJ_59"	"RNA_LMU_KKG_ADJ_60"	"RNA_LMU_KKG_ADJ_61"	"RNA_LMU_KKG_ADJ_62"	"RNA_LMU_KKG_ADJ_63"	"RNA_LMU_KKG_ADJ_64"	"RNA_LMU_KKG_ADJ_65"	"RNA_LMU_KKG_ADJ_66"	"RNA_LMU_KKG_ADJ_67"	"RNA_LMU_KKG_ADJ_68"	"RNA_LMU_KKG_ADJ_69"	"RNA_LMU_KKG_ADJ_70"	"RNA_LMU_KKG_ADJ_72"	"RNA_LMU_KKG_ADJ_73"	"RNA_LMU_KKG_ADJ_74"	"RNA_LMU_KKG_ADJ_75"	"RNA_LMU_KKG_ADJ_76"	"RNA_LMU_KKG_ADJ_77"	"RNA_Lue_01_PT"	"RNA_Lue_01_Rez_2"	"RNA_Lue_02_Rez_1"	"RNA_Lue_02_Rez_2"	"RNA_Lue_03_PT"	"RNA_Lue_03_Rez_1"	"RNA_Lue_04_PT"	"RNA_Lue_04_Rez_1"	"RNA_Lue_05_Rez_1"	"RNA_Lue_05_Rez_2"	"RNA_Lue_06_PT"	"RNA_Lue_06_Rez_1"	"RNA_Lue_07_PT"	"RNA_Lue_07_Rez_1"	"RNA_Lue_08_PT"	"RNA_Lue_08_Rez_1"	"RNA_Lue_09_PT"	"RNA_Lue_09_Rez_1"	"RNA_Lue_10_Rez_1"	"RNA_Lue_10_Rez_2"	"RNA_Lue_11_PT"	"RNA_Lue_11_Rez_1"	"RNA_Lue_12_PT"	"RNA_Lue_12_Rez_1"	"RNA_Lue_13_PT"	"RNA_Lue_13_Rez_1"	"RNA_Lue_14_PT"	"RNA_Lue_14_Rez_1"	"RNA_Lue_15_PT"	"RNA_Lue_15_Rez_1"	"RNA_Lue_16_PT"	"RNA_Lue_16_Rez_1"	"RNA_Lue_17_PT"	"RNA_Lue_17_Rez_1"
"C20orf85"	0	0	0.219637542800145	0	0	0.123149673467184	0	0	0	0	0	0	0	0	0.111000588000529	0	0	0	0	0	0	0	0	0	0	0.35730651444981	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24210490754116	0	0	0	0	0	0	0	0.313973692135147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376793793843734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196138658685035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390247250920052	0	0	0	0	0	0	0	1.43917789438916	0	0	0	0	0	0	0	0	0	1.07500132036642	0	0.394826902336263	0	0	0	0	0	0	0	0	0	0	0	0.431211084361656	0
"DRC7"	0.0271200720250845	0	0.0609590725544447	0	0	0	0	0	0	0.565400254038134	0.0536799591063392	0	0	0	0.073395243895694	0.0701048828299738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767615644380751	0.109003435646264	0	0	0.721189767967427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254912053912319	0	0	0	0.0739504469200135	0.0765207869310715	0	0	0.0670659303443597	0.143748660649004	0.132928179203093	0	0	0	0.0563795945581955	0.063585774093262	0	0	0	0	0	0	0	0	0	0.0921763101947317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583386640837946	0	0	0.836402468577799	0	0.331825579359704	0	0	0	0	0.164532722479629	0	0.408947672132303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179168329685424	0	0.207957802683248	0.0863394780787923	0.0585464771407158	0	0.0418331186720782	0	0	0	0	0	0	0	0	0.0540885616719586	0	0	0	0.137190031405876	0	0.0648663004951818	0	0	0	0.272503410085782	0	0.315354070732319	0	0.185324878115165	0.0964116480406869	0	0.0622695667538471	0	0	0	0	0	0.517246461013911	0.646507387818102	0
"DNAI2"	0	0.0191396697158432	0	0	0	0	0.111462720563984	0	0	0.307784054704528	0	0	0.386881562321492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0916267244535857	0	0.273190015675526	0	0	0	0	0.0700389165440816	0.0996224250044057	0.165057803574734	0	0.694244598562814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185824690694232	0	0.107934211054261	0	0	0	0	0	0	0	0	0	0	0	0	0.424718968241961	0	0	0.10198482855493	0	0	0.244456012420125	0	0	0	0	0	0	0.153806632882984	0	0	0	0.224067448012441	0	0	0	0	0.783635172897278	0	0	0.0584010111440476	0	0	0	0	0	0	0	0	0	0	0	0	0.163989422764434	0.0880330174273402	0	0.127754764719494	0.0762649167920715	0	0	0	0	0.33971206752054	0	0	0.0470609012366503	0	0	0.794268625959052	0.157856048652598	0.0614388957975655	0.155826934088566	0.254637577180552	0	0	0	0	0	0.0681369663284565	0	0	0	0	0.205677770536115	0	0	0	0	0.0597221351780994	0	0.198401114096141	0	0.263208720953242	0.0854572898901698
"TMEM190"	0.149221638986347	0	0.31892185090486	0	0	0	0	0	0	0.386366207871138	0.373907636494286	0.312467689706976	0	0	0	0	0	0.739910301384242	0	0	0	0.404809409302825	0	0	0	0	0	0.609498733420081	0	0	0	0	0	0	0.705119768088214	0	0	0.344797825202028	0	1.23886082637737	0	0	0.771170601962127	0	1.06030683786377	0	0.268263104545038	0	0.607452945014453	0.277046839449907	0	0.234986837867062	0	0	0	0	0	0	0	0	0.508272457759617	0	0	0	0	0.250851245576322	0	0	0	0.211554270762714	0.624557617252941	0	0.439751844147579	0	1.59651872766179	0	0.439102875742073	0.350291294739387	0	0.596694752674671	0.341332260429136	0.410464851928734	0	0	0	0	0	0.527628883748548	0	0	0	0	0	0.310149299939291	0	0	1.36683358959908	0	0	0	0	0	1.00143981229161	0	0	0.205742821376727	0	0.321095708304403	0.401134557329318	0.55262004120679	0	0.69715996544119	0.239903904369984	0	0.320411891566948	0	0	0	0.339679006672395	0	0	0	0	0	0	0	0.344246757787849	0	0	0.950695345482476	0	0	0	0	0.427822828928023	0.292356533174761	0	0.374108018845876	0.440939444867935	0.311798366914467	1.04214210808618	0	0	0	0.465076972701123	0	0	0	0	0	0.270180859557932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM216B"	0	0	0.488002828151733	0.254953160468529	0.686272815518424	0.174819288554453	1.06576185534639	0.0511103393334787	0.689415466145537	0.68457729591042	0.709622373320358	0.0922033779739999	0.533996839104488	0.857426097561946	0.201647660795348	0.0754915574142511	1.56209194862446	0.52103766713059	0	0.282601116872005	0.390501507452984	0	0.0557287558268224	0.358593184266986	0.0797951992018058	0.422916503933658	1.20070835777093	1.3326460718421	0	0.0645973186717612	0	0	0.285656702618221	0.0504250767255807	1.75160596979659	0.270581566151979	0.226406181145506	0	0.676945261496022	1.63599160980012	0	0	0.369991258380966	0.195415636483959	1.60257992637727	0.133666102051735	0.78101552412632	0.0358969403207706	2.88373360795215	0.567957170266624	0.705315325903673	0.31185066894133	0	2.09623182471535	0.0588193594903158	0.554960098358722	0.24926814116001	0.0972224301787086	0.129050848022809	0.570038317884364	1.23908759347786	0	0.296795685202631	0.17409572943359	1.12919925576139	0.0732910338355932	0	0.0421456109881306	0.668136375184794	0.175003316374728	0.639603557310325	0.0651407482005628	0.0698698641675965	0.236835456888217	0.298855353138572	1.29909985342438	0.840655781782036	0.712780644854803	0.0866003610473151	2.84944989026439	0.235521208408079	1.64826616707933	0.149639177494052	0	0.0665618002257724	0.186549998894491	0.255310979835397	0.524346568763945	0	0.637041680365125	0.604553406983617	0	0	0.412376159139549	0.716255206664331	0	0.81499331514479	0	0.392638352377203	0	0.262059054810823	1.20745872873281	0.273935955659818	0	0.643737999355829	0.508578745860039	0.742736646374239	0.179882981973271	0.986141485654641	2.75629189648993	0.133134730407987	0.888539479705136	0.227998544975611	0	0.226284093123458	0.0278306428058497	0.227341846230736	0.711982917569934	0.407480018152122	0.139465565768695	0.128851627857879	0.343729585583535	0.301654366048088	0	1.1554947312587	0.892333511267703	1.67981065696107	0.587191184925039	1.03083254843927	0.293384610892415	1.1834312511143	0.752722048999018	0.976102570469445	0.604616028032779	1.27678964144655	1.84950413602173	0	0	1.19998636672167	1.37435177984893	2.32616454623424	0.772801177474182	0.358448026996663	0.511207915773668	1.42128417058118	3.06066843916954	3.09538048049791	0.158030615844773	0	0.109466208289653	1.64439484923856	2.44508386175482	2.13170471095979	1.24574511614354	0.613476961481043	1.46599900969506	0.0790100723998398	0.776770211901543	0.216900565001174	0.37933927080564	0	0.0872985343885028	1.5762691301519	0.763742145355029	2.35745516486185	2.09900495270933
"VWA3B"	0.0368127634749453	0.0474281059724015	0	0	0	0.367423627998695	0	0	0.177063081005641	0.512368493801162	0.642842022736112	0	0.192750931807555	0	0.315436387718809	0.0663110469760686	0.272280043572643	0.279913396842068	0	0	0	0	0	0	0.313926109328137	0	0.238032303959209	0	0	0.25479356375541	0	0	0.0586171267615539	0	0	0.0533574427173482	0	0	0.111748474143355	1.53948193860826	0	0	0.462763279654057	0	0	0	1.12525566175484	0	0.422760456915237	0.0920748014992463	0.125926126379066	0	0.03360554046987	0.0718820882096124	0	0	0	0	0	0.0528234640072697	0.694933666218966	0	0	0	0	0.27156312599058	0	0	0	0	0.260312359346139	0	0.282930801196711	0	0	0	0.151237973683193	0	0.312847531695759	0.2009537524426	0.0640412639327205	0.115376891138015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494913701651037	0	0	0	0	0	0	0	0	0	0	0.0398079859742567	0	0	0.253433857846576	0	0.335339185011293	0	0.349738925721539	0	0	0	0	0	0.470767990140761	0	0	0	0.0978372954502222	0.239420039290195	0.0907911155167147	0	0.417040732613881	0	0.535880761528231	0.316309122600723	0	0.252504068628913	0.997912353238245	0	1.76739208094801	0.0864169326339101	0	0	0.0963563201739781	0.642901155867982	0.28025557571698	0	0	0	1.04111679347361	0.268405647187061	0.256719635302699	0.0492780658270616	0	0.826981612109557	0	0.0588858407711987	0.282355583557019	0	0	0	0.731694178004488	0	0.529991811459139	0.372223325027244
"BMP15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DTHD1"	0	0	0.62242531927017	0.47289011029653	0.373846403001742	1.63584491958236	1.94030885129554	0.467714571324478	0.174933030741827	0.135664883756139	0.786380568755411	0.17241838738353	1.29257269051424	1.22775524399583	1.08543145498803	0.72599761282689	0.117730943389982	0.901889056947845	0.0448710916635648	0.746675652113438	0.190034505139016	0.146797269109549	0.0660354436831688	0.192369677242076	0	0.193361739010094	0	0.683051419832436	0.134864914984181	0.0411756829343516	0	0	0.375249667102824	0	0.406071841816903	1.24607663977739	1.36687498404928	0	0.352292991554418	2.54869283444826	0	0.669497606106947	0.503264257429053	0.764093028479579	0.0807477010771252	0.0859575799184844	1.49211314271757	0.671508967938098	1.15544680484874	0.0508011757723615	0.0659224311129774	0.0746095587439761	0.0636879267480589	0.344554699754555	0	0.651923762799725	0.607285330556799	1.67764624728796	1.81177022514143	1.26008167601736	1.58645203548608	0.091345082160152	0.153347491437878	0.199674229171514	1.57364985325807	1.64604142880725	0	0.153744384978556	0.229611300978336	0.254902381611228	0.751650526723948	0.150187907253768	1.07408750120156	0.835485137232164	0.437423778685637	0.70482505397764	1.7961446085407	0.130743768474586	0.174809064098338	0.490520841802147	1.121254835303	1.41174674875805	0.097698434317508	1.98826113112974	0.0228265614978756	0.128053151823427	2.59974458736269	0.927447461154365	0.319382089772975	0.308652111051771	1.16462346706335	0	0.0583012545543038	1.09522095577994	1.24756421227893	1.38415316859916	0.969324765477307	0.02976948417662	1.43640013621962	3.4939681391318	0.438423806144789	0.390238444696154	1.93151665537512	0	2.09729862836778	1.27458610068156	2.68660540589977	1.52165734556009	0.281555827928853	0.876945541357232	1.83387334388714	0.65680569880042	0.262971887694119	0.0444682632346923	0.706241432016536	0.283057674007758	1.85355219474462	0	1.59915018374631	0.815475420399178	0.268271489796204	0.762734900190205	0.192014843245765	0.189708189962271	2.07914869540657	1.70917592146535	2.48741585931672	0.390180102105104	2.23668180184631	0.663429333935691	0.808969012845021	0.972867604628992	0.832403971865564	0.543304831226914	0.829231767432366	0.859413029585948	0	0.03526635855876	1.84342112343906	0.649589708738852	1.90931420998924	0.371950218963204	0.142646080240821	0.372611158260607	1.73490857650433	1.48061566987053	1.96511933757167	0.166854245473602	0	0.047059504842547	0.94381633128098	0	2.58886619678718	0.331873721692472	0	0.700332288849092	0.244901668619597	0.336756400013948	0.304211958235469	0.0614720765198749	0.403632031833843	0.214121074240158	0.413917894277915	0.816468639569939	1.3145503638203	0.53364308045217
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	0	0.0252627260717808	0	0.106171405968752	0	0.394108000986211	0	0.0992776966137779	0	0.0605261267549983	0.431966277606	0	0.553177635679684	0	0.188826263857493	0.30256939860404	0.260597801488672	0.0859453466338751	0	0.466059065316386	0.333874791655611	0	0.248708483424298	0.0782559484788201	0	0.58877962659315	0	0	0	0	0	0	0.0510922369870968	0	0	0.329201686327581	0	0	0.478872430328752	0.263914181504429	0	0	0.13258737085082	0.0340424124586455	0	0	0	0.0700787715358092	0.0513345111071973	0.039882365912831	0.0550901211974547	0.0996372357068471	0	0	0	0	0.0527733933688401	0.0960755997680422	0	0.259541262830011	0.58256371021239	0	0	0.0360981617518844	0	0.0366622763930043	0	0	0	0	0.132031904420296	0	0.0690380579122881	0	0	1.09307063144124	0.505347276713626	0.0525911772104857	0	0.683850034210729	0.049673978233304	0.471790950467269	0	0	0	0	1.1190965017674	0	0	0	0	0	0	0.218369530328737	0	0	0	0	0.0958042747773186	0	0	0	0.668923323288915	0	0.0819817429125106	0.143226215735804	0	0	0	0	0.275231184358852	0.451206363296837	0	0	0	0	0.89859688927179	0	0	0	0	0.0537550172334545	0.0805594339558708	0	0	0.0982511032459075	0.0522739827415233	0.0584522722641045	0.076195126150299	0.0451955105643735	0	0.0636451339487055	0	0	0	0.338675420457644	0	0.027639587454934	0	0.0474979061864995	0.321138436090632	0.318505427939247	0	0.137515327570163	0	0	0.0690738148220665	0.0539690504467261	0	0	0.0403762636914401	0.255234829768897	0.17763719659318	0	0	0.304182747531746	0.0525132762577218	0	0.0380259315574783	0.63385802684183	0.0697626499565802	0	0.242115885827569	0.298404941992175	0.0996049212509456	0.0993531129881655
