"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"MS4A1"	3.14597296834498	1.15308198672621	0.970733424659506	0	10.1968935246657	2.05475857353467	2.35458309761693	7.74343717438288	5.60926733474513	5.51721018822755	4.9145019143449	4.30666054422642	2.68166047166981	6.26890558879919	1.64570188941856	7.84787711120608	6.13938827230728	4.74904804122706	3.94810247794608	5.50081750385661	4.19824532732798	5.77160378925994	0	5.59809460789747	7.77462808096032	0	1.62622745240784	5.94484166159115	6.75871267997008	4.13363556984968	5.52523704728316	5.33758399612222	1.67334882145265	4.02045103801841	7.54714410373723	5.45405819769936	8.17791531393794	5.59769317277065	5.66059406543217	3.57285736992263	3.3792061684482	10.7945262415066	6.94221702902758	7.27476806496406	0	7.07204503285349	6.53479209534249	0	4.3164931818731	9.12075869433261	6.87509488663966	5.64680043681151	8.76914491759641	4.77923997593666	7.96246954879442	7.36812725339608	8.94021754298473	7.0273416671958	6.05906983931569	8.96454610099033	4.94705321094505	0.814114904059125	4.1537758349135	6.83843601375673	6.68381218433816	7.20379444739244	7.55866625263802	5.59865076172144	5.77424526709435	2.81683458207879	6.00177841071918	4.34840745265503	5.73297451911375	7.29098899843988	8.97462560242062	5.93938991687711	6.62124295485355	10.9098858450771	5.89355183478824	5.26367188945781	3.64018175563059	2.7283761830469	5.04021226892931	7.39239921392488	8.48203089985938	8.57605193824812	1.85720926810802	8.22783366835422	4.13424824374177	5.58343089646359	6.95732922183021	1.10890058809046	6.76914588050056	3.47089330864827	4.16656073546947	5.64778082085975	7.20240408988326	7.70245772605611	0	4.46086123833206	5.97368655347663	3.81284911338874	5.23103167019415	5.15146892595296	2.15472738907207	6.1518429875739	5.95155719558008	4.93136577986804	7.21086785205635	5.6326470451549	6.91023103979344	6.32822541856733	3.59614916659809	6.32292501585668	5.61326966353628	1.34762696143299	7.56787701897478	5.20273930001983	4.9287342201286	0	7.89447975555546	7.84379065234913	6.41795037671859	6.71479141141621	7.90560244158498	5.95012289851644	6.83086156153747	9.68839115354366	11.0312511527541	5.69271482984524	6.55103646081605	7.25487377498898	6.17222121560163	5.30813331900485	0	0	3.6291880565102	0
"FCER2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FCRL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD19"	0	0	0	2.58195950547118	7.2965303390183	0.53672662841622	0	4.53591958260571	3.14732002040864	3.18404433761074	0	1.32374879434595	0	1.25330921240676	1.64570188941856	5.77307020143224	4.23241054312809	1.87906764013871	0	3.5219908558751	5.75446046945863	3.08460213686681	0	2.1954406390861	5.14162779599431	0	3.75726674011669	5.83972692192271	3.28483997733718	0	0.759692629811245	2.56792376309593	3.17445707194991	2.74645448670021	0	0.797892051245031	5.95732559711883	2.06635262215793	2.84758279034474	1.81365731109848	0	7.6682281266089	4.74193179713896	5.30964317285077	0	4.45858604117688	0	0	3.32363069605044	6.0670052448487	0	5.26739514972961	6.13350507704392	4.83603058181919	4.39467709849867	3.41402861447462	6.07728957267267	6.16623736255495	4.29701643586307	6.06581669960468	3.83443667870444	0	3.03559646441509	4.83010008612618	2.70113836206015	4.20182593430724	4.33370012696415	0	4.84455264139825	0.898196967131458	3.3031196808583	4.46802432467241	0.92581606893739	5.3539862022765	5.43676625147503	4.03453736882649	4.41012384084975	8.23639088112363	0	2.32451144735388	3.84594875899565	2.24835126567735	1.56234536470467	5.39951779363765	6.53387462695225	5.69802511767643	0.906393307715643	4.98669445066261	1.40927319862182	3.99853360352585	5.01308279883755	2.49242979091893	4.67866963348884	3.09858871921504	2.06337830622935	2.42429394836233	5.32714767915297	5.0182669496858	0	2.21908089575804	4.34525617890664	2.58989414722378	1.75881018387961	3.0153582494894	1.44700914298548	3.35127118882402	3.83414959568007	3.81936339098792	5.15113112717007	3.77946806882849	4.41296219754598	3.60390382201763	3.01068005843784	2.89791685978038	3.29386287943505	0	0	3.8102826115401	2.98754265221772	0	6.04534507599378	5.2450734293182	4.62206807059677	3.48358474790237	6.16644025242804	0.974881118597806	4.36169140254024	6.72414306546657	7.32546067178837	2.90210998428747	4.22991420149469	4.90880933660421	0	2.25888394477345	2.66913943115355	0.746216533389277	1.27601674436361	0
"TCL1A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FCRLA"	0	0	0	3.90352682051394	6.3549342972493	0	0	4.30887934882859	0	3.27957630206769	0	0	4.10834192283343	0	0	3.89024479344076	0.885546092392625	0	0	0	0	0	0	2.1954406390861	5.75784657248167	4.54550909435704	0	4.19488140007167	2.64332993827092	0	2.98755709976609	0	0	0.964787879483278	0	0	5.17986110027188	0.845643534392138	0	1.81365731109848	0	6.34456206111286	4.61387344939985	4.06866504570972	0	0	0	0	0.536640231092717	3.38331042100682	0	4.4571319911957	5.17408935499351	0	0	3.12554663325208	4.93918549459204	4.52872571822176	3.20309947159692	5.03437796294424	1.80208605547377	0	3.51093340395837	4.27027671431273	1.24840556951559	2.37867567670443	2.35234666996095	6.379548592265	3.51086662490405	1.84446836172077	0	3.10949290590662	3.85762059617762	3.45610921935081	4.84131597634828	3.809447578496	3.80990815832331	6.90238751059845	2.21815756620685	2.81012262281091	0.967673029819237	2.7283761830469	2.29474466997398	4.10995903676774	4.68639952902798	4.35017504337392	1.4587534562761	3.92334947577929	2.10837941643692	3.45800968032571	4.09759954390477	0	2.40056685111012	3.35714294774524	2.87956419512501	2.69143993066995	4.43313445035197	3.09387450052205	3.39205538384259	0	1.55218151860755	0	0.843766578881326	3.42528826573788	0	0.772403699732841	2.81319319858883	2.56532456464924	4.55595238417055	3.65243256969351	1.82286613301949	0	1.59310685006798	2.89791685978038	1.97665039856525	1.73005193870562	5.33855759049038	1.66512283343804	0.900260065359875	0	3.65705846658806	4.03433674557525	3.77834560583842	3.48358474790237	5.30190079592306	3.12496229221867	1.32454048243527	5.87637847190411	6.4436664344626	2.08324547770104	3.56753649357508	4.36470897817659	0.991102927948419	2.25888394477345	1.05109316946251	0	4.11682086358348	0
"VPREB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CR2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BLK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD79A"	4.47248094868737	0	4.19196211563744	5.28189040542019	10.4606877092231	2.20333222457622	0	8.19451096205574	5.70294926018106	6.91242378398615	1.86820872657131	2.80995521844166	7.62939151117158	6.10454477584686	6.62839483848109	8.93621923228439	6.39320083670627	3.75478836077351	3.30493038002071	4.4577890641423	8.59774690839986	5.92754799251419	7.9010164601403	6.84139927514196	7.24299116019321	4.92906872649981	4.91736769351267	9.34010328898958	7.28632023796451	4.47782429692078	5.83651796960862	6.22772799321239	4.56225811496778	4.45543136316931	7.19916230940511	6.16795330914548	7.56079122583356	5.88717992509645	4.96416415069498	8.02744560986676	1.7447001746192	9.53073905729289	9.21849318588081	6.46888674402039	4.8976218548095	6.56205971144417	4.94235881403848	2.81330476656505	4.0678679805147	8.14994788972691	4.21986358923942	7.71870139133431	8.28039376769082	5.86614602968929	7.25038878586913	6.47409222042304	7.64055673502155	7.870414865965	4.87575921679682	7.98145030305787	6.7542376273991	2.6570760899053	5.38540052777517	7.32355603883736	8.23324381645442	6.84569139593124	6.30422440764673	7.39817493176777	8.84643087283688	2.1554063793986	5.97941566043195	6.14671821214271	5.3746616614987	8.84810190239204	8.10021269102917	5.73013147253029	7.94568714514625	10.5039867008056	6.21061809457278	5.26367188945781	5.3955563283975	4.55510274790512	5.89724215988308	7.96200138575032	9.19649722657884	6.42383142061024	2.83197382452782	8.65722561225992	1.40927319862182	5.95265734377504	6.85468789680568	3.65169722942019	7.38244334126877	9.75265000289654	4.88834143490932	7.0566029167048	8.19242640302423	6.97010231714333	5.21306546434208	4.73290792663002	7.77094647635084	3.59038638594332	4.48913839760746	4.87491873730551	2.62743582406791	5.98445202817936	7.8115550272995	7.21496448705917	8.50921483378644	5.76136075495779	5.03222950505293	5.38938865413223	5.25980714344981	5.15734813413801	5.17908848248652	4.28829808367833	7.82964360914329	6.47479238039009	4.19598123242822	3.67143470544933	7.53665233902707	7.29374869946932	6.67046875607514	7.61458886434726	8.26004864610075	5.0382963392959	4.13338607625394	8.21224263416906	8.53358026161936	4.96428526962939	6.45692786867961	8.17240382449886	4.4423984089136	5.69307499793777	2.89386619914937	2.13321515296477	5.97369624022711	0
