"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"MS4A1"	-0.855735595555142	-1.6344424360559	-1.70569373577399	-2.0850003637116	1.89935744248672	-1.28211923697313	-1.16496510761725	0.940688222515964	0.106777753632012	0.070807130867694	-0.16469649679065	-0.402205842367664	-1.03716213650785	0.364526333672569	-1.4419549936762	0.981497325460286	0.313918437281953	-0.22934632659697	-0.542309652111654	0.0644018153880431	-0.444568255460937	0.170209476069052	-2.0850003637116	0.102412096451783	0.952875829634111	-2.0850003637116	-1.449564480324	0.237900843766712	0.555914691559927	-0.469814021825225	0.0739435643765969	0.000619576297146167	-1.43115216738396	-0.514040008087801	0.863988213200597	0.0461309757397337	1.11045721762916	0.102255238760039	0.12683327932568	-0.68893379521704	-0.76460151445015	2.13287783522445	0.627617606165244	0.757559368603749	-2.0850003637116	0.678346901244732	0.468419443407017	-2.0850003637116	-0.39836381474736	1.47886602503808	0.601390144699145	0.121443524912968	1.34147564308333	-0.21754906006149	1.02627344008107	0.794038754243077	1.40832095717277	0.660879404551675	0.282534626644178	1.41782715430709	-0.15197732772245	-1.76689121946252	-0.461944367980961	0.587065971755277	0.526647898321646	0.729826972798929	0.868490404363623	0.102629409285795	0.171241613239452	-0.984343891352975	0.260148441066722	-0.385893558623619	0.155115385532318	0.763897573740624	1.42176564205429	0.235770616403227	0.502199452594351	2.17795371405895	0.217859737982248	-0.0282610115454703	-0.662627308727388	-1.01890833118497	-0.115576141518062	0.803522836348156	1.22928804643222	1.26602604485742	-1.35931011037803	1.12996243111501	-0.469574624208815	0.0966823638642924	0.633522579402072	-1.65170597814519	0.559991384513199	-0.728775468811791	-0.45694876630988	0.121826602447927	0.729283701283766	0.924675817910629	-2.0850003637116	-0.341953105806787	0.249171763667448	-0.595158865216119	-0.0410149264612843	-0.0721034575254864	-1.24305719032144	0.318785021587898	0.240524887080185	-0.158107070895669	0.732590851329276	0.115913195857871	0.615119326607282	0.387705101424463	-0.679832704607456	0.385634009786107	0.108341632858898	-1.55842548179874	0.872089440547157	-0.0520699527481858	-0.159135332646657	-2.0850003637116	0.999706950710738	0.979900573056524	0.422764439501892	0.538752793301657	1.00405305482572	0.239964446521686	0.58410631274202	1.70066404758665	2.22537627563369	0.139384221249384	0.474766804416993	0.749785827635686	0.326747657632137	-0.0108880495289544	-2.0850003637116	-2.0850003637116	-0.666923012198585	-2.0850003637116
"FCER2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FCRL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD19"	-1.45416577958087	-1.45416577958087	-1.45416577958087	-0.243762217307427	1.96639379769735	-1.20255229702028	-1.45416577958087	0.672239847361714	0.0212746199469862	0.0384907088396623	-1.45416577958087	-0.833602113560431	-1.45416577958087	-0.866623669755862	-0.682672878483317	1.25220692776066	0.529957049437332	-0.573272736697306	-1.45416577958087	0.196917542683607	1.24348282274427	-0.00812706102300025	-1.45416577958087	-0.424959409504685	0.956191387899161	-1.45416577958087	0.307213140968402	1.28345510642503	0.0857429609094483	-1.45416577958087	-1.09802748097165	-0.250342069754439	0.0339962694482824	-0.16664818401844	-1.45416577958087	-1.08011987410087	1.33858449752291	-0.485474919219527	-0.119239981558785	-0.603936616247704	-1.45416577958087	2.14064297752975	0.768816853242132	1.03495575667909	-1.45416577958087	0.63598645383237	-1.45416577958087	-1.45416577958087	0.103927763581289	1.39000150698407	-1.45416577958087	1.01515019521443	1.4211761375734	0.81292966908653	0.606026413128822	0.146305640635858	1.39482272397347	1.436520791469	0.560243815184266	1.38944432574469	0.343389838693178	-1.45416577958087	-0.0311005586249065	0.81014949647048	-0.18789204883372	0.51561921052504	0.577440858860586	-1.45416577958087	0.816924747727594	-1.03309766974592	0.0943123510228035	0.640411051484086	-1.0201500386379	1.05574344163897	1.09455011781757	0.43719556555445	0.613267731951852	2.40699348401851	-1.45416577958087	-0.364451967082836	0.348786616978867	-0.400155298219258	-0.721749802129344	1.07708831566303	1.60886642799351	1.21702634630047	-1.02925528576597	0.88355977895756	-0.793508903973889	0.420317266075777	0.895930441845873	-0.285733086793855	0.739160017773965	-0.00157025443387291	-0.486869256577509	-0.317674666967459	1.04316174005688	0.898360733506445	-1.45416577958087	-0.413877031633096	0.582858250731905	-0.240042515808484	-0.62964854473671	-0.0405880844316468	-0.775818571733299	0.11688542261709	0.343255256289916	0.336323592646876	0.960646479423342	0.317620960031028	0.614598332625037	0.235317736724299	-0.0427811858733253	-0.0956437412538878	0.0899728308273003	-1.45416577958087	-1.45416577958087	0.332066590254479	-0.0536278311639477	-1.45416577958087	1.37984737966879	1.00468593741148	0.712625622788438	0.178913042688644	1.43661590474425	-0.997148705438738	0.590562962285555	1.69806286785941	1.97995612420497	-0.0936780354286446	0.528786782901653	0.847047812249872	-1.45416577958087	-0.395217655986223	-0.202892911502642	-1.10434497552574	-0.855978546347552	-1.45416577958087
"TCL1A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FCRLA"	-1.18066841413943	-1.18066841413943	-1.18066841413943	0.810751125937205	2.0613588389945	-1.18066841413943	-1.18066841413943	1.01754538728648	-1.18066841413943	0.49243712129276	-1.18066841413943	-1.18066841413943	0.915239404259869	-1.18066841413943	-1.18066841413943	0.803975179604177	-0.728899059626064	-1.18066841413943	-1.18066841413943	-1.18066841413943	-1.18066841413943	-1.18066841413943	-1.18066841413943	-0.0606445001808281	1.75674913169253	1.13826419381096	-1.18066841413943	0.959388301881009	0.167850279847469	-1.18066841413943	0.343460882040368	-1.18066841413943	-1.18066841413943	-0.688473144688417	-1.18066841413943	-1.18066841413943	1.46188461143609	-0.74925571076616	-1.18066841413943	-0.255414720647744	-1.18066841413943	2.05606734884568	1.17314088833282	0.894997886261799	-1.18066841413943	-1.18066841413943	-1.18066841413943	-1.18066841413943	-0.906896542873387	0.545358021014105	-1.18066841413943	1.09317781469196	1.45894010333964	-1.18066841413943	-1.18066841413943	0.413857491554091	1.33910177273446	1.12970200256159	0.45342177400162	1.38766507209454	-0.261317901441374	-1.18066841413943	0.610466040940335	0.997851903878266	-0.543783012966105	0.0328345128035835	0.0194025316976197	2.07391604439191	0.610431973001324	-0.239696184287995	-1.18066841413943	0.405667537239237	0.787331650073981	0.58249698692423	1.28917275214102	0.762755749067872	0.762990718035692	2.34064705103187	-0.0490552541889661	0.252941077581771	-0.687001259129724	0.211237391412064	-0.00998364997755892	0.916064389570689	1.21014072432155	1.03861275964484	-0.436472134581118	0.820863832944666	-0.105059570945915	0.583466524292513	0.909759082415267	-1.18066841413943	0.0440024935735936	0.532008447676044	0.288367324244972	0.192394027935193	1.0809352520179	0.397699666363029	0.5498193429594	-1.18066841413943	-0.388808962922966	-1.18066841413943	-0.750213256609176	0.566773398464168	-1.18066841413943	-0.786619675344557	0.254507559608048	0.128055132432358	1.14359193263627	0.682653121113232	-0.250716756791517	-1.18066841413943	-0.367930534644692	0.297730102237196	-0.172262321752223	-0.298066758124101	1.54284506235495	-0.331190928879137	-0.721392593133979	-1.18066841413943	0.685013064285076	0.877484993227187	0.746888796198551	0.596513876508276	1.52414426680916	0.413559384686763	-0.504942098008507	1.81721925306886	2.10662634194868	-0.1178818772907	0.63934261944853	1.04602737803766	-0.675048284524488	-0.0282783235302944	-0.644443719817197	-1.18066841413943	0.919565012630242	-1.18066841413943
"VPREB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CR2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BLK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD79A"	-0.70423738181573	-2.8025368958131	-0.835844992403432	-0.324496587126414	2.10517678439454	-1.76882630228673	-2.8025368958131	1.04198219021546	-0.126953523121119	0.440480935428617	-1.92605211969332	-1.48422436707198	0.776851967695732	0.061458162700011	0.30722652805336	1.38996044228724	0.196883417533451	-1.04094848817855	-1.2520028880097	-0.711130194676045	1.23116349695494	-0.0215812663567067	0.904286942813494	0.407159230071009	0.59556921256085	-0.490025644913378	-0.495515276308546	1.57944581508565	0.61589738921997	-0.701730508085036	-0.0642887155361126	0.119250535232437	-0.66211772014796	-0.712236328578578	0.575006563471261	0.0912067733995876	0.744667605808829	-0.0405202617857438	-0.473560351404669	0.963602169970354	-1.98399712549859	1.66888408090962	1.52239148144445	0.232392054541795	-0.504779191399448	0.276104882948676	-0.48379049611268	-1.48265290029995	-0.894064729145833	1.02107507533165	-0.82275479723647	0.818752398416544	1.08227478204365	-0.050388478781343	0.59903986666505	0.23483424462178	0.782090220031932	0.88992996490296	-0.515036219488117	0.942023111047462	0.36626665943821	-1.55594880923027	-0.275934001410986	0.633366857233631	1.0601540126319	0.409172912201689	0.155139428012905	0.668374896075442	1.34783552925735	-1.7913110884262	0.00275285683636308	0.0812441610974224	-0.280972224747723	1.34861950587875	0.997741416797756	-0.114200775011927	0.925244545028753	2.12549084588224	0.11122329209559	-0.333043946774942	-0.271169327898771	-0.665474716723757	-0.0357994854191705	0.932898498958013	1.5120719046273	0.211253996202549	-1.47389416533842	1.25906839735242	-2.14136532198548	-0.00980101728423124	0.413393691144984	-1.08931450097948	0.6609942970126	1.77299534145003	-0.509133173180403	0.508123706316416	1.04100420299697	0.467541271622405	-0.356786348015722	-0.582056022628666	0.843263589801519	-1.11807896404735	-0.69642240901328	-0.515430537033204	-1.56985477241154	0.00511570826445064	0.862315409965162	0.582420279051499	1.18962797980779	-0.099549312235021	-0.441626956582436	-0.274062940652363	-0.334857122675153	-0.382926570462671	-0.372726915529049	-0.790648217450153	0.870801810002903	0.235162730161558	-0.833959392239779	-1.08005450930268	0.733342657746306	0.619382510195137	0.326965836471313	0.769907189843417	1.07272970868628	-0.438780653716181	-0.863326400682293	1.05030114325396	1.20105921136958	-0.473503527506676	0.226781454384206	1.03161045324806	-0.718350841282923	-0.131586110694745	-1.44485687237316	-1.80172227634971	6.95459908047343e-05	-2.8025368958131
