"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"FCRL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLA2G2D"	0	0	1.54580696257269	3.58165886186641	6.46157874930073	0	0	6.92648011319806	0	0	0	3.32465828314488	1.59978300082437	1.25330921240676	0	2.55592509616167	3.36766485220086	0	0	0	3.46580383437131	4.10547006985391	0	3.65946336770335	3.5927278974241	0	0	6.34123191346042	2.34527159488103	1.12588138739052	0	3.06941553048006	0	2.74645448670021	2.02977418413756	0	2.92773509657689	1.37525208477502	0.827609065056619	0	0	5.76844885027489	0	2.8702607784958	0	5.33736595590573	4.19788355150715	2.81330476656505	0	8.14033180791615	1.46644312231059	6.08229484703859	3.46332592424667	2.43561189098267	3.17212748546392	0	5.03236372518339	4.70754290976991	3.60816690893536	5.3035111319687	0.871118429952156	4.14411338710984	0	3.68849448657945	5.30458548563043	4.10452796286249	0	0	1.84792146569514	1.44756363685864	0.989581167761814	0	2.86756239860834	6.65459265647583	4.57195211370207	2.79042345184138	5.8560692601544	7.45059580884601	1.90293845122147	2.11796129566651	0	0	1.20302809419925	3.9163052912288	6.38360047191352	5.2236719263951	0.906393307715643	3.6792085432528	0	1.9988270020839	4.38631269103609	1.10890058809046	1.04964921050406	0.880211345264111	0	1.06482465410423	5.82342014249893	3.09387450052205	0	0	4.41226164967711	1.00296101041502	3.60005749577261	0.915102003346477	4.32125329130078	3.7046425579205	5.11931282003769	3.20134149352774	6.62346147264488	1.10932912930396	1.82286613301949	0	4.40393818205698	3.18060417997992	2.97272179137858	1.34762696143299	1.44138497742826	2.90962329052176	0	0	0	5.2450734293182	4.77353596725184	2.76985739263921	5.14573225602751	0.974881118597806	4.13338607625394	4.67061091386097	6.59868474082776	0	4.73657578507692	4.90880933660421	2.30766632325825	4.26106528138166	0	1.23558996157522	0.77471086207065	0
"BTLA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PVRIG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GZMK"	1.74654662758088	0	0	3.99662119045379	4.06171496028125	0.927027614176043	3.03567885096183	5.97195613405999	0.726837160130631	3.36917332331574	0	2.25032269358235	3.793152564226	1.25330921240676	0	2.08869432696234	2.60520575966731	2.19256142784372	1.07748845575778	3.66138012338726	0	1.168124478712	0	2.45295625377115	0	0	2.04634106033992	4.81009609021923	4.33925443646524	0	3.89361434050888	0	4.15270919779338	2.26516865143323	1.61145862476901	1.3086626278999	3.51909974145321	2.71796988668018	2.03526030186204	0	0	5.06915652314196	3.33503692722081	4.71412969712024	0	2.26778688202913	0	0	3.1143732261501	3.09553976312732	0	4.97011839109753	0	0	7.13174289343372	1.55180735860193	3.02926329094582	5.00988656171699	4.05938964273108	4.76938773476244	4.54752192907771	0	3.4059640512915	3.68849448657945	3.88341272286616	1.48555740183994	2.35234666996095	0	2.41495262803418	1.44756363685864	0	1.46516577203001	2.4591149092039	2.58191726046192	2.55640514976815	1.75160565819718	5.09953072441694	5.90369031107435	1.90293845122147	3.62745783461136	5.32851445678438	2.7283761830469	4.40493507049037	4.75635394551163	7.38287975560687	4.96833880073639	0	5.75876683106221	0.87027918473588	3.99853360352585	4.57030860681405	0	4.48546091319391	3.47089330864827	2.38943424681803	3.436593690795	5.84942905904471	4.48267212326596	0	0	4.27498643914906	3.59038638594332	3.60005749577261	3.83648325150876	4.44075756164772	5.51131432120148	3.56694819248466	1.40033416445393	5.74286448455876	4.00422172252894	3.47914437583228	1.79895724262242	3.71170430783678	2.33154290580104	3.77838974421325	1.34762696143299	2.97512724063293	5.06914783164836	2.15885712723962	0	4.00893396046419	5.03546734756985	3.19817676265388	3.88981049033057	5.060814203388	3.12496229221867	1.32454048243527	1.97678665251465	5.18045714271863	3.26807275154022	3.15303015937242	5.91962248082758	3.3058736478274	4.6998287407571	2.89386619914937	4.10913608001608	2.57916323965675	0
"SPIB"	2.51376555926247	4.31977779590487	0	1.99729758571665	11.4288890794392	6.09066117161289	2.35458309761693	6.39232909765574	0	3.08173503365433	1.86820872657131	2.25032269358235	1.59978300082437	4.61623373256189	8.75884647638172	4.23992966916175	2.38882847449532	6.04818678897388	0	0	0	3.45648413762924	9.56313904984282	9.36387033895105	4.46094259488899	0	3.75726674011669	5.39646580574164	2.89022890794376	8.15959864060169	4.49102094510214	4.19009658409099	2.92003084392922	4.8380198817691	6.12645272019317	5.15834811032237	4.96771885371234	3.73925683198953	1.35020494209915	2.78011842372932	4.7475899849966	7.02372044318441	4.31760519597622	3.49274490837015	0	3.96600395047461	6.68137189853252	0	5.58079081920739	8.68111134483686	3.29528040824748	4.0874267748955	5.00414950222795	4.94331549310256	0	4.95156686304214	6.5721995222749	7.66382911079762	4.29701643586307	9.42575552476988	9.48314512411903	0.814114904059125	3.03559646441509	4.27027671431273	4.83368668630176	3.48561180446456	5.80100064637733	8.17447324274718	5.35275076660632	1.44756363685864	2.98171736657287	3.73624372765321	1.4851779898972	6.72429991915002	5.75201737659187	2.79042345184138	5.11968803431829	8.40530990882461	2.69587858945339	5.57806964852922	2.5306746488612	0	5.60083971317074	3.8087690180879	9.76780359545034	4.5122189866556	9.25160135346713	8.50139419809057	0.87027918473588	2.58365911081229	10.3807419489914	1.10890058809046	2.89145005724154	1.42292718315883	1.04256003781009	4.29002366988204	7.11933085942664	3.09387450052205	0	2.69687314470546	3.41454315760024	2.58989414722378	3.39735891446953	0	1.44700914298548	3.13573951349953	2.00510978271877	2.91810160216118	5.15113112717007	4.19863519206414	3.30486394534043	2.84783974507501	2.33169581139291	3.30356949256774	3.97075346873789	2.03205268729323	5.97198777644077	7.67261282904433	0.900260065359875	0	6.14342370655318	4.12193264482149	4.19098029011213	4.36764130792492	6.52453988184473	1.9621557460592	4.81155109723054	5.92366732651458	7.28688671456426	2.90210998428747	3.56753649357508	10.4140768597796	2.79206903724619	3.62744720557018	0	1.89124513264435	1.64733358201208	0
"TTC24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZNF831"	3.01196638275766	0	0	0	3.26822628934477	0.927027614176043	2.03063557710211	4.27331890309912	0.726837160130631	3.4535298856194	0	2.80995521844166	2.3396945124631	3.5934742780539	0	1.78250167207613	0	2.44994544329164	1.68738236549515	3.90528456264904	0.936227141370785	0	0	3.02867359460234	3.83569349515865	0	1.62622745240784	6.66729743822878	2.77205469387187	0	0	4.93439044467059	0	3.51973585557631	4.03712269927966	2.44131194280375	0.632977669588096	1.76179524225164	2.03526030186204	2.59231261641266	0	5.88662419952005	4.65783472368622	4.06866504570972	0	2.26778688202913	0	0	2.2031144978377	5.4414811148064	5.88733319534503	5.06827782126932	3.00374845870004	2.70319412312519	6.1521898120975	4.0404309768619	4.20148554991644	3.87836838047712	2.45360390190101	4.27275618373478	1.80208605547377	0	3.4059640512915	4.04894516311682	6.06690250478383	0	4.23227818583602	0	3.61657541867339	0	3.3031196808583	2.78027645266113	4.49788089923723	4.16647324305236	4.52172949626779	3.01827698423945	5.03731179068503	5.76859460837297	1.49901371663077	2.50515960396663	2.94294338315462	3.23888460834917	3.93776451667215	3.2743838515712	5.68406114314042	5.51891166871697	1.85720926810802	4.62176923445857	1.40927319862182	4.45793854660798	3.73627546500797	3.89547197908733	4.41484606668885	4.221377803615	3.24474050982463	2.69143993066995	4.68499514168954	3.88941610025466	0	1.9038000750404	3.41454315760024	2.00443923977693	3.85901587064456	3.42528826573788	3.13239607805093	4.38039514197197	4.42603045704344	3.64124428970785	5.21083899884457	1.7289679589266	3.63462237005519	0	1.59310685006798	3.30356949256774	3.14220961980743	0.825757848038429	4.03934294605336	2.90962329052176	1.45038241102731	1.48869282382586	2.99438935620141	4.84266080929298	4.03977857973983	3.66001698795085	4.10340263961811	3.12496229221867	2.00326474597373	4.21854279901539	6.3217631171009	3.26807275154022	3.44215049408947	3.57167342655319	3.3058736478274	3.09970281115628	2.0759768436568	0	0	0
"RTP5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
