"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"FCRL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLA2G2D"	-1.11030074846203	-1.11030074846203	-0.402397483179162	0.529922167357142	1.84878328095622	-1.11030074846203	-1.11030074846203	2.06168515130984	-1.11030074846203	-1.11030074846203	-1.11030074846203	0.412228591599293	-0.377679122704317	-0.536347010800476	-1.11030074846203	0.0601867478421503	0.431923476795486	-1.11030074846203	-1.11030074846203	-1.11030074846203	0.476866285058149	0.76980183765503	-1.11030074846203	0.565552789465367	0.53499123911354	-1.11030074846203	-1.11030074846203	1.79367037221629	-0.0362821548154308	-0.59470266296209	-1.11030074846203	0.295340013383488	-1.11030074846203	0.147439801399442	-0.180764391382593	-1.11030074846203	0.230457370068294	-0.480503196134384	-0.73129665951924	-1.11030074846203	-1.11030074846203	1.53136401020268	-1.11030074846203	0.20413697015769	-1.11030074846203	1.3339493291201	0.812122649375019	0.178053928872792	-1.11030074846203	2.6175692940685	-0.43874220346262	1.67508998070498	0.475731524566847	0.00508924028460156	0.342377017406066	-1.11030074846203	1.19427336680747	1.04552147124067	0.542061544090932	1.31844549132478	-0.711371518653868	0.787498568960538	-1.11030074846203	0.578847608511209	1.31893749225608	0.769370399169102	-1.11030074846203	-1.11030074846203	-0.264043957526931	-0.447388075632876	-0.657121433785421	-1.11030074846203	0.20290124540062	1.93717412046108	0.98342758138072	0.167575416484744	1.57148983170622	2.30170426192227	-0.238848894596635	-0.140379048504261	-1.11030074846203	-1.11030074846203	-0.559373280330233	0.683173708976943	1.81307308005787	1.28188307719962	-0.695217366320599	0.57459510495719	-1.11030074846203	-0.194936672758932	0.898413891668934	-0.602479030621617	-0.629613236044082	-0.707207412399901	-1.11030074846203	-0.622663632156415	1.55653814785661	0.306541014011253	-1.11030074846203	-1.11030074846203	0.910297233507485	-0.650994126474416	0.538347833261291	-0.691229213709899	0.868619898870946	0.586242627881109	1.23409175917537	0.355755590669807	1.92291757535575	-0.602282779904882	-0.275518062795755	-1.11030074846203	0.906485496305218	0.346258924961133	0.251059055088134	-0.493154138646067	-0.450217596583251	0.222163057157931	-1.11030074846203	-1.11030074846203	-1.11030074846203	1.2916839088481	1.07574303318764	0.158157176810764	1.24619055641005	-0.663853330493727	0.782585990245045	1.0286084406163	1.91157105552433	-1.11030074846203	1.05881709464514	1.13769155728472	-0.0535035124740272	0.841056762085929	-1.11030074846203	-0.54446155280069	-0.755521424660058	-1.11030074846203
"BTLA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PVRIG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GZMK"	-0.537526389452029	-1.46975238525015	-1.46975238525015	0.663459583020717	0.698203633617127	-0.974947822285458	0.15055290466982	1.71780222452734	-1.08180024891105	0.328556864984302	-1.46975238525015	-0.268633972054643	0.554857419354697	-0.800793761341471	-1.46975238525015	-0.354903735851479	-0.0792137673784156	-0.299464270325199	-0.894638768031102	0.484523371044868	-1.46975238525015	-0.846261441357202	-1.46975238525015	-0.160477528106295	-1.46975238525015	-1.46975238525015	-0.377509955192486	1.09765494689771	0.846341399006921	-1.46975238525015	0.60847927974824	-1.46975238525015	0.74677215869231	-0.260709884817256	-0.609630131747249	-0.771248662422245	0.408580668664957	-0.019025479854434	-0.383424352748848	-1.46975238525015	-1.46975238525015	1.23592945170597	0.310336431965209	1.04643251460927	-1.46975238525015	-0.259312394142829	-1.46975238525015	-1.46975238525015	0.192556330810931	0.182503897315318	-1.46975238525015	1.18306746691317	-1.46975238525015	-1.46975238525015	2.33684287857973	-0.641469225032865	0.14712857477786	1.20429388129647	0.696962486410104	1.07592670523286	0.957504976106465	-1.46975238525015	0.348194057877826	0.498995766930615	0.603034127001928	-0.67683039486294	-0.214178281337376	-1.46975238525015	-0.180762109855859	-0.697109713396145	-1.46975238525015	-0.687714505888271	-0.157190322026074	-0.0916440936116502	-0.105261281049328	-0.534826112356891	1.25214179873581	1.68136507832879	-0.454051650658501	0.46641721863274	1.3743627486703	-0.013471079050102	0.881398690631328	1.06896986997207	2.47088814695327	1.18211760369719	-1.46975238525015	1.60401161215996	-1.005237515277	0.664480340870709	0.96966745319596	-1.46975238525015	0.924379669619426	0.38285029930877	-0.19438264420903	0.364542746046908	1.65240292586874	0.922891142243974	-1.46975238525015	-1.46975238525015	0.81203810767194	0.446630189987469	0.451792182143139	0.577985340741333	0.900519083390258	1.47193288103718	0.434119963869448	-0.722318626372309	1.59552367340665	0.667516396317573	0.387254338227938	-0.509552021618995	0.511384098505753	-0.225282370660881	0.546977707258925	-0.75045129918276	0.118233249216809	1.23592481258775	-0.317454070710233	-1.46975238525015	0.670031571482241	1.21794772436507	0.237286791501149	0.606448960050877	1.23147670637579	0.198208285648242	-0.762773796351322	-0.414634888516978	1.29533658649373	0.274594045033863	0.213189617949442	1.68986893535664	0.294770419158028	1.03879932401707	0.0748598550455176	0.723514839094587	-0.0931140628337772	-1.46975238525015
"SPIB"	-0.573505671751541	0.101991411139333	-1.51372150634091	-0.766678565300346	2.76098996969941	0.764349356539882	-0.633044187774475	0.877181263162248	-1.51372150634091	-0.361069833644463	-0.814961265725733	-0.672040379138782	-0.915359696609028	0.212873893746316	1.76232232339776	0.0721260671538713	-0.620235497049955	0.74846279664393	-1.51372150634091	-1.51372150634091	-1.51372150634091	-0.220903603640595	2.06314934778925	1.98861749790043	0.154790837403425	-1.51372150634091	-0.10840283180622	0.504701644808877	-0.432698268185819	1.53818753804844	0.166040948235965	0.0534871549063379	-0.421551543698442	0.295827870344835	0.777736357008426	0.415639231289769	0.344338769343218	-0.115139021160973	-1.00870859381023	-0.473882546660496	0.262004660160216	1.11333858447702	0.101178800413714	-0.207341101481476	-1.51372150634091	-0.0303295088094183	0.985291033883327	-1.51372150634091	0.57364415049833	1.73324729636787	-0.281198128084658	0.0150858887324984	0.357964810352699	0.335211257042807	-1.51372150634091	0.338297491017835	0.944457632980469	1.3527564183837	0.0934780511526664	2.01176421952647	2.03322947106911	-1.20922066649482	-0.378326897742659	0.0834766771098462	0.294207138857859	-0.210009073925086	0.656008540317606	1.54375103875712	0.488351046061403	-0.972293827082869	-0.398479127435673	-0.116266003109564	-0.958225048789532	1.00134726656717	0.63768748181135	-0.470028189371228	0.401179324521007	1.63009015174644	-0.505390507216949	0.572626359578722	-0.567181218092515	-1.51372150634091	0.581142975319475	-0.0891395965822632	2.13969938478462	0.173969585119945	1.94662588197733	1.66602825659088	-1.1882137170456	-0.547363606251166	2.36895479148037	-1.09896290322996	-0.432241525550476	-0.981508522459428	-1.12377605082805	0.0908625688620776	1.14909944808317	-0.356529346990709	-1.51372150634091	-0.505018516840629	-0.236590656634127	-0.545031535170898	-0.243018025104266	-1.51372150634091	-0.972501222684183	-0.34087070771479	-0.76375659379936	-0.422273131935812	0.412939885755039	0.0566808236206389	-0.277613627814546	-0.448552953598834	-0.641604647535457	-0.278097787918311	-0.0285530614150514	-0.753679223848372	0.719962319381952	1.35604176492355	-1.17700006245727	-1.51372150634091	0.784083961718613	0.0279920108532147	0.0538176846930679	0.119893650166551	0.926631647403505	-0.779822557181684	0.285927834021322	0.701889173305268	1.21176983816711	-0.428254426527965	-0.179367039841319	2.38142294343359	-0.469412696232234	-0.156958824456328	-1.51372150634091	-0.806345031136117	-0.897574502117887	-1.51372150634091
"TTC24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZNF831"	0.125706200902614	-1.57045560087521	-1.57045560087521	-1.57045560087521	0.270016664448445	-1.04840833057367	-0.426921423691535	0.836025537740815	-1.16114378578201	0.374368719482115	-1.57045560087521	0.0119454290669946	-0.252877661563793	0.453177146488218	-1.57045560087521	-0.566655802481545	-1.57045560087521	-0.190790840624373	-0.620221385204461	0.628770306212505	-1.04322769950439	-1.57045560087521	-1.57045560087521	0.135114717115604	0.589580721927016	-1.57045560087521	-0.65466022494834	2.1841730366001	-0.00939791075599771	-1.57045560087521	-1.57045560087521	1.20830203573722	-1.57045560087521	0.411652016511394	0.703013768108547	-0.195652718840221	-1.21399991442406	-0.578316442361375	-0.424317051502512	-0.110618046446683	-1.57045560087521	1.74454391764705	1.05256216669946	0.720776557049149	-1.57045560087521	-0.293371797453444	-1.57045560087521	-1.57045560087521	-0.329791469440282	1.49386558971513	1.74494318227458	1.28369950870605	0.121078350818948	-0.0481761223647893	1.89409480589674	0.70487679489955	0.795573230417746	0.613612700101414	-0.188730612534805	0.8357086473876	-0.555627032963862	-1.57045560087521	0.347582447324984	0.7096714823773	1.84606602520713	-1.57045560087521	0.812913826621551	-1.57045560087521	0.466186346232474	-1.57045560087521	0.289666564314039	-0.00476790117766705	0.962485607866732	0.775856364441106	0.975915730971957	0.129259959417627	1.266261266855	1.67807661405124	-0.726299497060326	-0.15969748221564	0.0868365189430145	0.253493160471243	0.647061100443438	0.273484240282071	1.63047235275531	1.53746991032955	-0.524584891126975	1.03225221053907	-0.77683606333474	0.939992430920702	0.533594351655783	0.62324443795933	0.915725288099609	0.806775374328753	0.256790858763799	-0.0547953902183245	1.06785731202421	0.619834124215135	-1.57045560087521	-0.498347696885666	0.352413693947644	-0.441673655645992	0.6027145080982	0.358464705035743	0.193525101580105	0.896324559434375	0.922023677020626	0.4800783992717	1.36398155474875	-0.596802831967454	0.476349324726389	-1.57045560087521	-0.673311794521738	0.289919871736034	0.199051509432073	-1.10543748932555	0.704264080127177	0.0680726082038066	-0.753685779791561	-0.732111615095955	0.115807856351287	1.15664531589161	0.704509403322945	0.490650075588661	0.740338720893466	0.189338831891491	-0.442335061276815	0.805178866964911	1.98958848875938	0.269930201013563	0.367960517401562	0.440900192876315	0.291217436064496	0.175114182122478	-0.401387896885081	-1.57045560087521	-1.57045560087521	-1.57045560087521
"RTP5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
