"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"MCEMP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRC1"	5.27384043138481	0	5.79988227919926	6.24437065242413	5.5154784441849	4.21540017224955	4.99360558555916	9.38661373682486	5.93688823318162	6.41984718929091	6.70571274931888	8.41559417834219	8.34553547135251	7.1229584446163	1.64570188941856	5.95432545739944	6.4361925507606	6.83774702376723	8.15046600386197	8.11462934802837	8.11312903884019	7.82490820828418	7.99179476485543	6.23440798946048	7.56301320725176	7.30819318929839	5.64517146413004	7.06718691523159	7.76756068765146	3.21357098082348	3.59575161903532	6.36348041084953	6.96663798870864	7.67050330289792	7.90976184063014	7.79330514590499	6.13742285321289	7.43933080088766	8.36069672109392	6.46267188876838	0	8.72937231087027	7.47185650326037	8.14700542620533	7.35473240309428	6.22444299006206	4.688678413329	2.81330476656505	6.70923269696421	7.85890691762724	5.03303334339269	7.26513236623086	6.19404912992865	7.57461098487216	8.32889933373018	8.39720617181539	3.83839070550582	8.41199037544334	8.26902148091173	7.19393492275413	5.84241224464315	6.93445828376587	6.78917660075895	6.04336687157712	6.40808367309632	6.60011385945133	7.06369913372417	6.99495951718878	5.67984677233502	7.2246043940235	7.56415875940298	5.79674075914647	8.5414849488638	6.51994667437658	6.83426824137707	8.23673689741163	8.01458724728811	6.56456302503329	5.84853077998101	7.70133879164281	7.57879571201187	9.68396937200851	6.43121609714032	6.89733773451154	5.89874995866995	7.60699323736155	3.40842545594509	7.9113608118922	7.56193531913978	7.35599733836575	6.20971678599825	6.74720914589038	8.62095184546223	5.66100989515587	7.18133744836185	6.29509865988465	6.82380391763302	5.36463965694049	6.03533870042766	7.09033250258235	6.49024461382635	5.39809280428889	7.81959477529864	7.56047734277977	8.66478884946654	7.45864442175101	5.92317320313197	8.31037666414469	8.00984719832402	7.02939475014916	7.61774790178348	7.63934000316371	6.68450558723604	6.26357068056509	7.20739617281967	7.01378978242215	6.41066187933332	7.10641755536879	6.28743190793905	7.71792395914539	4.37471635733589	7.32176761845478	8.46581872905498	5.35808970636767	7.27420804267067	7.35050176173737	6.79221459432937	4.67061091386097	7.04637358880151	7.67164185641518	7.68843006301544	6.32433893949805	6.65475205907187	5.43980798907334	5.30726735018686	6.07433490727388	6.94562768922769	0
"ITGAM"	0	0	4.33605006171462	0	6.47437163795433	3.81451367708261	3.94491695457871	6.67719868709513	2.91648967199171	3.60874776472492	1.86820872657131	4.30666054422642	5.0947692801267	0	1.64570188941856	3.89024479344076	0.885546092392625	4.59768389013419	2.11472584265642	3.19486422014156	4.19824532732798	3.61173225571169	0	8.09329843964045	3.45395057406048	1.01151400564314	3.2246867540357	5.75553851659036	3.7894957180956	1.12588138739052	5.45858054930237	3.73594308962594	3.05284536638292	3.39475630303217	4.12472925556123	5.83618890225412	4.45476624779953	4.04813069917038	5.99444571056159	2.59231261641266	5.72048489296816	4.11150297298225	2.47135364872078	4.3732943621118	0	4.02355275694007	0	0	2.2031144978377	5.34431485435882	5.18062332835773	4.49292156773918	4.32599739732787	4.94331549310256	0	2.28204949966102	5.55623984610115	6.02154673245965	3.517057036576	6.49513736211943	6.63895074933215	3.7149605221168	3.94482921831051	4.40096744029089	0	3.48561180446456	3.87661254869255	0	4.19629845306162	3.13317183189859	3.4404319641437	2.65142046922252	3.85762059617762	5.69685503474373	3.53338089778177	3.92637785201394	3.80990815832331	5.36235156355854	2.88610713843579	4.60795799206642	4.02599782326803	5.49438027238797	5.7479261473195	4.86771924216271	6.23351599417165	4.5122189866556	6.60257148176855	5.09035584937932	4.20072004437917	5.726385774394	4.45028773325573	4.00347263134328	4.90162547705603	2.94956469990364	4.4017473898499	4.02563291288386	6.67175818754749	2.59101870326646	0	3.87871327913068	5.95133082826589	3.005177786856	5.76146852035381	4.41759297712909	4.92358574514365	5.09935103396842	3.83414959568007	5.27468749390535	4.64522335663197	4.36993411215409	1.82286613301949	4.75684748490283	3.81868630024819	3.52192106409438	3.77838974421325	3.46493695904001	4.54260409259714	4.572875654464	3.51056053673533	2.68235701131114	3.78412759840877	3.8413684756858	5.86408371439206	4.68575634738306	5.68902549191025	3.27639438900915	3.09130295273267	3.29402691790306	5.1232201424248	4.4972267069569	4.37420820162372	6.46139393773908	4.07066958577349	4.07912935710808	4.00084650088797	4.41424672518981	4.11682086358348	0
"FCN1"	4.1283599930961	0	3.94462890772124	4.16652113412854	4.31027826598193	1.23390762292531	3.03567885096183	7.16830485855433	4.11895522495291	4.9767061061478	0	6.64685911290615	4.62613152521126	1.25330921240676	0	6.08107117930196	0.885546092392625	4.23693780261829	1.07748845575778	1.11455087814916	7.16499478822732	4.20638626504165	5.49130291370049	1.48034148928762	4.53166403239695	6.04495453254016	5.78824777901315	5.5035819283413	3.90630585986422	4.31596996937401	4.91224047473866	0	0	6.61590481315628	7.33393606197356	6.91464300201627	5.0894025794693	5.86761887909321	6.66840879125448	5.89943845307836	0	6.62518136550463	6.04775988584392	5.75121666407293	0	4.02355275694007	0	0	6.44398403594381	6.97197332175327	3.53361134308013	3.71563078865549	5.39649874908361	4.72012191936069	6.67487863108018	6.16011814971315	2.83602689790963	5.4476456898084	4.67965195367559	4.12902220532695	3.83443667870444	0	5.91166084389426	4.33710144651067	0	3.82800783300506	6.22723578082287	0	3.9756546356087	4.65446923452251	5.06716883505632	3.00787859869254	6.13507119254653	3.45610921935081	4.84131597634828	1.75160565819718	7.17747122108938	5.08751485355002	2.47670192315274	4.82754308081956	4.52235236161122	4.37119819847116	3.51321159310033	5.39951779363765	3.34568009378673	4.06684682777323	1.4587534562761	5.03945599251539	3.74633956176786	5.85644376937137	3.38987987469032	4.36917387072083	5.85078448646973	4.66554642385425	3.24474050982463	5.61601318395624	4.79615162748061	3.4660371264891	4.57261221394706	3.46648484119592	3.6548496388748	2.32666279886687	4.92623663083064	1.47061744299256	4.25757160407542	4.05124099161979	5.86467289965827	3.97788841946245	4.55595238417055	6.04039642734658	4.02032446163563	3.60390382201763	3.81868630024819	3.18060417997992	5.66982892712897	4.59538288063675	5.07040979942809	2.41759955232159	2.63189920665737	2.20560887979503	5.11616721344465	1.60946340245296	5.1509353931425	4.31587890479368	4.97058347671296	4.34408882736402	4.13338607625394	4.92417304585966	4.93647632829829	5.53376019121102	5.37375254580252	3.95605319632667	3.44321409057216	4.82072620913442	3.0882595617151	2.52148216347814	4.2304473186627	0
"OLR1"	0	6.50708936860805	0.970733424659506	5.12578177817437	3.48601141928142	3.50659913012738	2.8423143838105	6.04757944543637	0	3.27957630206769	0	3.61749569673868	4.62613152521126	4.77049314790573	0	1.78250167207613	3.36766485220086	1.87906764013871	5.39517537816196	4.73530934385703	0	4.76506088615103	0	3.43906620159269	6.99025511791225	6.13113147581251	5.14715507980896	3.27158112485207	0	3.54115980968014	5.43565931021627	4.81314245850168	3.28660972699231	4.88524712828872	0	4.53336218298334	2.43458800512799	6.1766702890132	6.42997720819038	3.93106819918722	6.88950517941706	1.73401434440977	4.01365245725608	3.27485250412895	0	4.61653422403196	0	0	1.88890591224568	5.37743608872089	0	4.17815641367372	4.70455837482456	4.65847745737146	6.26923195012283	3.86025706691386	2.83602689790963	6.25521715970227	4.40260109815816	4.02457222832478	3.45272244255026	0	4.73332425850271	3.20687475607882	3.88341272286616	2.5362209941809	4.00515927754117	0	2.63218060638963	1.84446836172077	4.30206754445329	2.65142046922252	4.98147780609146	4.08402304091112	0	3.21500437197309	4.50512860361691	3.65478211262576	3.7850754121874	4.68492685909183	5.36242478605838	6.64978756304783	3.59322257445824	2.9082104616799	3.34568009378673	3.71393252077489	3.81918861820593	5.03945599251539	4.38352450976663	1.58391988301396	2.933117867465	2.98929770086282	4.09173342037122	4.08510623150219	4.4017473898499	2.09617643424779	3.74001790527294	2.59101870326646	4.97241225386792	4.46086123833206	2.95682030525549	0	5.69662543135796	3.53958426097591	2.62743582406791	5.3947395711301	2.38401371758077	3.97788841946245	4.35890667276937	5.7302428179343	2.87668070573852	4.9428070202516	4.1814493068073	2.54599811618251	5.75071583352707	4.54852973363101	4.18254497572225	4.50551404864967	0.900260065359875	4.61367875899689	2.49722033930091	3.61854501909816	3.95778761349736	2.21342600916207	4.53976018886334	4.19995702011412	4.7321078454774	0.984566009899292	6.0106633076964	5.35509838861993	4.44128098017208	5.73530191539096	5.23055072079351	4.56786574195197	1.05109316946251	3.19040267522971	4.77090007357074	5.9478828906119
"CD300C"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CLEC12A"	1.74654662758088	0	3.64593678610124	4.95070837512512	3.67519134715146	4.44169299596867	6.12757704596709	6.48073144654479	0	4.58623353200422	0	5.57282504048292	4.74015643657278	5.45615419171089	6.80358903453794	3.05669901614547	2.9597164452461	2.19256142784372	4.66834032763803	4.29604727936948	4.12460242802445	5.11579192515575	0	2.86106544331443	5.81567339382442	2.34030665227009	3.86451358674219	1.66186820224327	6.19577924632085	0	0.759692629811245	0	5.68255764788773	3.7412614760132	6.10507050004379	3.76080679467307	5.20161647859237	3.03097085918573	1.35020494209915	5.11009767585312	0	4.52994297389423	3.62808496731184	4.13495439126331	7.60126754003407	5.54813007488473	4.19788355150715	6.99556928231758	4.34875564637567	6.65831573698013	0	4.17815641367372	3.9108886056061	3.58794620225673	5.04679666256922	4.9959128337057	3.19964803662775	5.00988656171699	4.80048405988889	5.45185651743646	2.10980225526207	0	0	5.16041963833659	3.4101388833166	2.80752901899111	2.83992190638956	0	3.27292484309285	4.19177627853821	3.68114579803848	5.61861121166872	2.4591149092039	3.16667651643615	2.90878756500999	5.59534328944137	5.2164547246745	4.09209327554168	4.7805287617339	3.77558198775885	4.25987427099179	4.66585150078347	2.6343365940032	4.63566754463008	3.47022433687216	5.8871921805142	0	5.90810297779385	4.69156199722305	2.3206768631898	2.52133653223961	4.10394836664989	4.61709756881005	3.67457690913552	3.24474050982463	4.51338413335316	2.62074010794821	2.86424557947909	4.45258256610427	4.96170339762986	3.6548496388748	2.32666279886687	5.88301634223061	6.25332189129917	4.25757160407542	4.5643554011278	4.16023268686844	6.61084770955988	5.61610489885118	4.10470080800309	2.60304277693932	4.99982319213123	5.47135485063907	4.9843202883073	4.55505926469149	3.97056393965173	5.75996144002074	6.24628505963859	3.97534043985899	4.61367875899689	2.99438935620141	4.35671718758876	5.86408371439206	4.02490143737944	4.97058347671296	4.59523519073438	4.5587553096746	3.55653951227313	4.5588073140058	3.90973234312055	3.56753649357508	4.64142687779638	3.44321409057216	3.43884482016121	2.0759768436568	5.448750689862	5.32540773517847	0
"CD33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADGRE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	3.58406512439941	0	0	4.75141681200837	5.01785878061018	0.927027614176043	0	6.08907713543129	3.34626131402587	2.97161284682637	0	2.46191382135088	5.37918925489558	1.25330921240676	8.58578914645805	3.9672914791264	0	3.9340119963664	0	4.91321964491718	6.71618157861938	4.69732200628441	0	3.85061019124835	3.83569349515865	0	1.03105883739658	4.35602694423875	2.5019844095276	1.12588138739052	3.89361434050888	3.73594308962594	0	3.39475630303217	3.35758408252161	2.44131194280375	2.43458800512799	2.53166767323883	1.35020494209915	3.23026611515787	0	4.85390872461425	4.2617229958502	4.479160021089	0	2.8796528621053	6.49569588517337	0	2.77771964370942	4.96305247546066	5.37705929976053	5.06827782126932	2.325355638478	3.29570462053614	4.08979477850329	4.9959128337057	3.48982311129231	4.90379271953312	2.94799180232018	4.70325310869558	2.578813615874	0	4.49822099339806	3.58231219729604	0	2.67824328194312	3.49394892989196	0	2.63218060638963	2.41106727891626	0	2.78027645266113	4.85262388501839	2.58191726046192	3.80938729387666	3.54262836337714	5.25341435278011	6.02721160129891	2.88610713843579	3.62745783461136	3.64018175563059	4.0826540897486	3.24251940086574	4.01637900858994	3.58486617856253	4.79018484178587	1.4587534562761	3.92334947577929	1.40927319862182	4.80584660663245	3.10195584569132	1.72841011568315	3.9982289492715	3.47089330864827	3.88542161763269	3.57521019060051	3.62426954964395	1.81254750776384	0	2.47766670894943	3.53969403883275	2.00443923977693	3.85901587064456	3.53958426097591	2.15472738907207	3.53874921102238	3.32805766597524	4.25065077737432	3.52486228074959	3.35890595180091	2.26506182410519	4.19832158324935	3.3329121391358	3.18060417997992	4.55505926469149	3.3603067425131	1.44138497742826	3.42912442581651	2.63189920665737	2.8722792552096	3.36344181357063	4.89333142494975	4.32782780553797	3.38655686523441	2.82187866272007	3.76035190050867	2.00326474597373	3.67181598271062	4.46977295110275	4.10332739050678	3.56753649357508	3.27976510785093	2.30766632325825	2.96627900470279	3.79339569673757	2.52148216347814	3.54383078983834	0
