"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"MCEMP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRC1"	-0.836178854038138	-4.06294439069894	-0.514323513996437	-0.242366145769461	-0.688334181413905	-1.48377875684657	-1.0076387520852	1.68019518775436	-0.430497297337178	-0.135001949028753	0.0399030654891583	1.08608308150075	1.04321810972193	0.29519217546935	-3.05603221550463	-0.41982844322733	-0.125001144157827	0.120687391824202	0.923866103694707	0.901939675032802	0.90102172045193	0.724675648725663	0.82678412096374	-0.248461737382958	0.564436867414402	0.408526869248736	-0.608982336672074	0.261068721927888	0.689587935019086	-2.09674153995937	-1.86290676088222	-0.16948960189835	0.199548504341915	0.630203994932958	0.776592800955944	0.705339517140935	-0.30780147268282	0.488762578148471	1.05249442340543	-0.108799930558606	-4.06294439069894	1.2780662249751	0.508663221112064	0.921748771389215	0.437001589546715	-0.254558758529129	-1.19420649211167	-2.34164186306597	0.0420567229425001	0.745477541582768	-0.983515130633181	0.382180380070245	-0.273155047453787	0.571532893472501	1.03303939532181	1.07483249731632	-1.71444958773557	1.08387811774687	0.996403514051298	0.338618679655139	-0.48830182665963	0.179859557692846	0.0909698891611575	-0.365349023468202	-0.142199381173412	-0.0247069398698375	0.25893474512029	0.216876850399077	-0.587766471128805	0.357383599490537	0.56513776617122	-0.516245632947698	1.16310854425184	-0.0737567193115694	0.11855892106894	0.976650398127722	0.840729555560325	-0.0464584905267323	-0.484558239947081	0.649070491498912	0.574093292007579	1.86213033126619	-0.128045955476189	0.157147587053199	-0.453831956666202	0.59134576754248	-1.97752107563799	0.777571121295677	0.56377736846722	0.437775532102088	-0.26356889229733	0.0652923703220588	1.21172985666835	-0.599291693950922	0.330910995521186	-0.211328538859145	0.112156391515559	-0.780623928630279	-0.370261008638119	0.27523020151016	-0.0919297350859822	-0.760155834390214	0.721424658737972	0.562885314956504	1.23855124718858	0.500579493544534	-0.438888750752252	1.02170641840621	0.837829386918819	0.237945827439449	0.59792594018262	0.611136929309858	0.0269275990089693	-0.230618731354064	0.346854859410098	0.228398027744457	-0.140621922177411	0.28507173817816	-0.216019392000806	0.659218020157265	-1.38630216798173	0.416832296906541	1.11681265162006	-0.784631473995025	0.387733274652263	0.434413098691509	0.0928286660963274	-1.20526097610215	0.248334221272886	0.630900611620346	0.641172368451987	-0.193438060797397	0.00872309310415138	-0.734632665388572	-0.815726807566405	-0.346401428897512	0.186693486985567	-4.06294439069894
"ITGAM"	-2.20894777714644	-2.20894777714644	0.288046198444453	-2.20894777714644	1.51943790696989	-0.0122900965573195	0.0628050231185616	1.63623958420679	-0.529433694701403	-0.130784172092958	-1.13310550849186	0.271121705629782	0.724968579546029	-2.20894777714644	-1.26124015269347	0.0313210561322564	-1.69898981394477	0.438712838376216	-0.991144104683448	-0.369126604193981	0.208688814033796	-0.129065498205868	-2.20894777714644	2.45172660594639	-0.219926974188435	-1.62644888013925	-0.351952750937988	1.10548466658888	-0.0266971472101064	-1.56058832521881	0.934475973246304	-0.0575364107708507	-0.450910766555662	-0.254015081116037	0.166353235408558	1.15192867075516	0.356411092124191	0.122242551462427	1.24306375713923	-0.716116999387607	1.08529839434537	0.158736637941024	-0.785773440000948	0.309494012098172	-2.20894777714644	0.108088892531366	-2.20894777714644	-2.20894777714644	-0.940243876052101	0.868673976537363	0.774409208266125	0.378383533094668	0.282257187234926	0.637751137773653	-2.20894777714644	-0.89478770714012	0.990714870928809	1.25867037778444	-0.183585960021313	1.53139623019057	1.61421380756362	-0.0696196072093259	0.0627544985789419	0.325430061847545	-2.20894777714644	-0.201694273815155	0.0234706779019321	-2.20894777714644	0.207567670770889	-0.404653297749172	-0.227711913716374	-0.682078657976489	0.012533813626957	1.07169070698229	-0.174185565074519	0.0521289407951981	-0.0149422690259864	0.879060746424742	-0.546930034036178	0.444629368458723	0.109496928832593	0.955091900553475	1.10110094409058	0.594217649809403	1.38073676585008	0.389496305800916	1.59326413893669	0.722427024483003	0.210113925247956	1.0886965251698	0.353832057362995	0.0965253838239835	0.613743177203822	-0.510386833096231	0.325879210109761	0.109286788493363	1.63310657273292	-0.716862123010492	-2.20894777714644	0.0246804220639438	1.21823526119975	-0.478361016717822	1.10889956804569	0.335004182241703	0.626389400456941	0.727607066550932	-0.000982392599754906	0.82857778366272	0.466089312300233	0.307558950514139	-1.15921687282693	0.530370114379509	-0.00988721495803609	-0.180784920541223	-0.0330927260163029	-0.213600262845862	0.406994126491145	0.424426560742924	-0.187327088636918	-0.664263282664527	-0.0297884774132851	0.00317473188641964	1.16799241007259	0.489430978627336	1.06718192110377	-0.322175960729597	-0.428764259927666	-0.312021945486259	0.741352530549273	0.380862726493665	0.310020263346073	1.5119644602169	0.135221982802807	0.140093697325633	0.0950130784232848	0.333077181673383	0.161799042803771	-2.20894777714644
"FCN1"	0.0516742928502282	-2.1046158993507	-0.044290578929067	0.0716062983606643	0.146692311691089	-1.46013167078409	-0.519045710717102	1.63947267021586	0.0467620736297677	0.494775283612731	-2.1046158993507	1.36711552379781	0.311666123613951	-1.44999799610893	-2.1046158993507	1.07159793954242	-1.64208492895051	0.108385739079459	-1.54183121166706	-1.52247307961574	1.6377437821844	0.0924283175020428	0.763555150416841	-1.33141641098314	0.262324659066779	1.05273379704567	0.918652889414627	0.769968621839912	-0.0643071502473432	0.149665154229474	0.461104138418511	-2.1046158993507	-2.1046158993507	1.3509477348771	1.72598376422233	1.50698214751357	0.553637955599953	0.960109333361627	1.37837117014292	0.976729065027209	-2.1046158993507	1.35579298550438	1.05419906553599	0.899311109607294	-2.1046158993507	-0.00306773928186782	-2.1046158993507	-2.1046158993507	1.26115152370396	1.53692643686125	-0.258969808681331	-0.163898946174098	0.714037838291678	0.360758394008111	1.38175044234413	1.11288508681298	-0.623326235899053	0.740752477235563	0.339620462666993	0.0520201739606314	-0.101845255140206	-2.1046158993507	0.983112961171354	0.160702369242873	-2.1046158993507	-0.105203115634918	1.14794140213618	-2.1046158993507	-0.0280854822656204	0.326467237072918	0.54202501363419	-0.533566104144328	1.09980277127529	-0.299450064655071	0.424059452266694	-1.18973199685903	1.64426036742868	0.552651974510099	-0.811005827837947	0.416865709570695	0.257461065673313	0.178511497313407	-0.269624834134139	0.715614720194559	-0.357128474673903	0.019545254854813	-1.34269209041262	0.527550275319473	-0.147859398657055	0.954272444250631	-0.334042417687781	0.177454167506619	0.951316535309526	0.332252981231165	-0.409850387313865	0.828692767550254	0.400469590272258	-0.294264603884407	0.283712368087462	-0.294030757312683	-0.195645643981938	-0.889372998502587	0.468414492689966	-1.33649539287658	0.119163012327005	0.0113941460622127	0.958570614215864	-0.0269187511124771	0.275010746230138	1.05035304596283	-0.00475391527285265	-0.222255233602634	-0.110071860050017	-0.443349534490755	0.856801352892479	0.295605750770891	0.543717806825631	-0.841875679975878	-0.729944490930092	-0.952600861106286	0.567617433609483	-1.26397454171247	0.585777256156095	0.149617590145495	0.491577363416119	0.164351959111112	0.0542994742386158	0.467336658382608	0.473762805157274	0.785731077718873	0.702157233129615	-0.0383235408040114	-0.306185339621174	0.413305178613913	-0.491582197097691	-0.787616590179522	0.104995684210337	-2.1046158993507
"OLR1"	-1.97672827952797	1.61786808072407	-1.44048317247753	0.854816744605174	-0.0510126100924182	-0.0396397048992255	-0.406598785375539	1.3640291361875	-1.97672827952797	-0.165049912936991	-1.97672827952797	0.0216209251804079	0.578803787204467	0.658550926686069	-1.97672827952797	-0.99205238841467	-0.116388712244692	-0.938708157582902	1.00363308923112	0.639114959726179	-1.97672827952797	0.655550078345858	-1.97672827952797	-0.0769457268941092	1.88477479514942	1.41018430745818	0.866623619831585	-0.169466547363051	-1.97672827952797	-0.0205479595902547	1.0259969122198	0.68211093146717	-0.161164562329067	0.721942439671752	-1.97672827952797	0.527556859273184	-0.63183186175857	1.43534050908822	1.57527037298307	0.194842239984292	1.82911928748764	-1.01883738577289	0.240462801905658	-0.167659397134198	-1.97672827952797	0.573502119756378	-1.97672827952797	-1.97672827952797	-0.93327337482466	0.993833687125783	-1.97672827952797	0.331336814769014	0.622127745459292	0.596672078759354	1.48647271141031	0.155725297843754	-0.410072070073831	1.47873076846443	0.455322824522908	0.246495018018699	-0.0694018510903378	-1.97672827952797	0.638018374112365	-0.205211142911339	0.168516767560914	-0.575688546086038	0.235771064761633	-1.97672827952797	-0.522679273700635	-0.957821225380694	0.399786850486021	-0.512050936360674	0.775101452031885	0.279336379560136	-1.97672827952797	-0.200720242902381	0.511960282081999	0.0422184008322949	0.114194025238034	0.61128305423075	0.985541258536495	1.69669632193777	0.00821215329199225	-0.370196979860625	-0.128533363731682	0.0748938152604476	0.133038580652057	0.807129316732634	0.444784681996537	-1.10175141600432	-0.356437821947354	-0.325403389621037	0.283595688196214	0.279934747391826	0.454851225532365	-0.818774584079494	0.0893037031321015	-0.545417616263043	0.770093529260201	0.487506443949926	-0.343344303204269	-1.97672827952797	1.17015781367145	-0.0214183121114511	-0.525300349929604	1.00339234405585	-0.659769721474559	0.220706306674302	0.431185485450299	1.18872847231516	-0.387614405613727	0.753739233357181	0.333155849517452	-0.570287543399603	1.200038018437	0.535935601175069	0.333761110529033	0.512173206668301	-1.47941352466468	0.571924725680401	-0.597232988483797	0.0222005837835807	0.209602373737892	-0.754004473919148	0.531091196569991	0.343379738436238	0.637346412566176	-1.432841881919	1.34363620674736	0.981494066301352	0.476690068036264	1.19152318009828	0.912692399675019	0.546617050467531	-1.39609145909901	-0.21431052337346	0.658775717438351	1.30895553064727
"CD300C"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CLEC12A"	-1.22179134565155	-2.21665629324966	-0.139863923454963	0.603357870938063	-0.123199989674649	0.313413388200418	1.27372382055416	1.47488703525254	-2.21665629324966	0.39574632482976	-2.21665629324966	0.957726917780152	0.483423630416414	0.891269065457834	1.6587926306075	-0.475504549289171	-0.53074759793848	-0.967733146526304	0.442515859433498	0.230450920480311	0.132792793090042	0.697392484590501	-2.21665629324966	-0.586941015461597	1.09605778768427	-0.883574760694713	-0.0153585745098769	-1.27002572763474	1.31257304301953	-2.21665629324966	-1.78392145730963	-2.21665629324966	1.02023262074372	-0.0855652341806758	1.26090367978208	-0.0744318626936077	0.746279722130569	-0.490159778712393	-1.44755482881941	0.694148935895826	-2.21665629324966	0.363682191951772	-0.15003264639885	0.138689460950225	2.11316491706041	0.943660213079682	0.174535063191657	1.7681480959189	0.260474571696672	1.57604229959433	-2.21665629324966	0.163298124173257	0.0110574856074581	-0.172896422127822	0.658091519352179	0.62910715847885	-0.394078169068058	0.637066849887121	0.517787349575881	0.888821031477915	-1.01487428698801	-2.21665629324966	-2.21665629324966	0.72281324738833	-0.274178727590771	-0.617436343291916	-0.598984761344259	-2.21665629324966	-0.352338358018736	0.171056248652005	-0.119808225391844	0.983807559475114	-0.81589940153617	-0.412859350852528	-0.559757620898764	0.970553724815406	0.754731858865904	0.114274984420927	0.506420446259498	-0.0660156420998305	0.209846112388822	0.441098178073524	-0.716089920636505	0.423904843820297	-0.239952952762326	1.13679619847092	-2.21665629324966	1.14870737158896	0.455743347741004	-0.894756248080351	-0.780456825447247	0.121027861445732	0.413327045478504	-0.123549984822149	-0.368392670452874	0.354249973099421	-0.723834728117169	-0.585129551657057	0.319616286795415	0.609620837133914	-0.134786999273557	-0.891346549484478	1.13441756450285	1.34535038751007	0.208534471139224	0.383284140777994	0.153088441106511	1.54900364178452	0.982379917790368	0.121456465821702	-0.733915451991787	0.631334570257422	0.899927639187974	0.622503832298955	0.377988891202325	0.0450496488515843	1.06432323841647	1.34134207931451	0.0477704308526806	0.411379628792394	-0.510997272813519	0.265009611389672	1.12363319292922	0.0760012827649428	0.614679092820977	0.400873834510554	0.380094226118887	-0.190786247965475	0.380123848738413	0.0103988573183922	-0.184522166002859	0.427185465475743	-0.255338483755611	-0.257827300206192	-1.03414186096098	0.887051895207338	0.816793489156198	-2.21665629324966
"CD33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADGRE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	0.29726332008278	-1.8644246160363	-1.8644246160363	1.00133815486565	1.16203958444664	-1.30529850072906	-1.8644246160363	1.80813269776699	0.153834668480431	-0.0721302745997777	-1.8644246160363	-0.379549419112856	1.37997193224286	-1.10850548213367	3.31399602526569	0.528401918033074	-1.8644246160363	0.508329778184716	-1.8644246160363	1.09892768513052	2.18636357875678	0.96871149076177	-1.8644246160363	0.458026932193754	0.449030097352682	-1.8644246160363	-1.24255325687604	0.762863272977298	-0.355381301612666	-1.18536211908155	0.483964393549212	0.38886677978485	-1.8644246160363	0.183083867102265	0.16066386694953	-0.391975206806704	-0.396030673002885	-0.337478180201066	-1.05006392968767	0.0838734893897695	-1.8644246160363	1.06315498110622	0.705984923816694	0.837129581631218	-1.8644246160363	-0.127594888851325	2.05338015154047	-1.8644246160363	-0.189074745061553	1.12898378759227	1.37868727413535	1.19244925284289	-0.461912927098529	0.123341976351922	0.602288383598397	1.14880313727743	0.240422326479651	1.09324194277649	-0.0863770377514701	0.972288767425307	-0.309042643486737	-1.8644246160363	0.848625989330588	0.296206062125483	-1.8644246160363	-0.2490727762623	0.242910766835482	-1.8644246160363	-0.276854952811344	-0.410216930321289	-1.8644246160363	-0.187532634950812	1.06238004478174	-0.307170715708961	0.433163812566378	0.272271211037691	1.30411223685992	1.77081920759487	-0.123702065814984	0.323435137537244	0.331109425144397	0.597981558749846	0.0912639186853198	0.558008500662628	0.29774646675018	1.02472064914752	-0.984594133398941	0.501898800699159	-1.01443758555029	1.03416686369778	0.00648461615256593	-0.821953799782773	0.547061499727457	0.229005032265279	0.47902304633851	0.291922567919017	0.3215121598815	-0.771207292918497	-1.8644246160363	-0.37004824491571	0.270501406709897	-0.655469986888602	0.463096721696735	0.270435195449624	-0.564825406503805	0.269931544609599	0.142855346113622	0.699306841729837	0.261555801257158	0.161461137304561	-0.498278452452686	0.667745086091891	0.145783266143856	0.0539204605154719	0.882907343351871	0.162306008220262	-0.995069733001889	0.203812607744889	-0.277024675845199	-0.132042195615815	0.164196890514169	1.08693233245632	0.74585528461139	0.178138469863323	-0.162440737209318	0.40358867522726	-0.656178369408811	0.350189247824463	0.831467877605074	0.610450423934376	0.287294265220947	0.113728241365728	-0.472582035494026	-0.0753473205438391	0.423518663436824	-0.343621454055946	0.27299644082148	-1.8644246160363
