"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"ADH1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CHRDL1"	2.51376555926247	0	0	3.80400832900162	5.11908537619463	0.927027614176043	4.49831067071401	4.99475954603403	0.726837160130631	5.03262369741202	0	5.45417507599546	5.99910464876354	4.84184839169523	0	3.63083676320254	5.38122321927005	1.47797866118339	3.30493038002071	4.79708283506984	3.34129918155502	4.30070254315954	0	4.01936880704152	7.51145336690465	0	0	4.01344625504727	1.73652706457805	0	5.15609290888027	0	0	4.516699771222	5.03834382095636	5.71970729480312	5.5457608426414	3.78168061484031	3.8248298423868	4.66190862930917	0	6.97118598050075	4.2617229958502	5.87274887386518	1.43006104226714	3.7096752160896	9.51134489137392	2.81330476656505	5.2798276795257	5.24012876189694	0	5.0443569600697	3.81133256213867	4.03868030744201	4.46179665286322	6.03818828698623	3.83839070550582	5.4476456898084	4.05938964273108	5.56789646922315	0	0	2.32190308917649	4.40096744029089	3.21018976444764	0	4.12318345037028	0	4.12643392890588	3.61218247882697	4.43947538137989	1.97633426466497	4.89686631839982	4.58145991950981	0	2.18618260646004	6.90292239812364	5.04916463810241	4.51840483301412	4.52665020642997	4.46107277328686	1.93113330657785	2.08934883500504	4.57131433745686	4.87846036573021	3.57409393988003	2.16909609303309	6.01735358282857	1.80076526654652	2.58365911081229	4.68110701598366	2.16041577482006	3.79080513875178	2.59547252017963	2.65521400290289	5.55029907846667	4.28853270950436	1.81254750776384	0	2.69687314470546	4.27498643914906	5.52934956198395	4.07848977453704	2.44055678770656	2.41035636534478	5.2679105276204	0.680629058719504	3.20134149352774	5.52495511625308	3.18621068774366	0	0	0	2.33154290580104	5.09896684200693	1.34762696143299	2.14783715308743	2.41759955232159	1.84767915458535	1.48869282382586	3.90090513193354	3.03207288004048	4.56782607863896	5.04492856291309	4.40844592386849	3.27639438900915	3.32584490443654	3.43124584061541	3.00948238038204	0	3.30482081025386	6.24370351299358	2.30766632325825	1.71005214731723	2.66913943115355	0	2.88706202030314	0
"LMOD1"	4.94658533317384	0	5.11246174853392	1.99729758571665	4.98247423693214	5.19390995627153	4.12580454043033	5.01643106364573	5.37887303886865	5.21284998147902	6.77718816001939	4.25080125279862	5.42537634631038	5.20870362355842	0	4.52117628415343	3.9455032542425	5.42496142435286	7.14990556017024	5.70797033124532	7.60485506444576	6.31421075740421	5.64838761719774	5.12981078567248	2.93335715054728	4.60695089041082	4.45091232555891	4.5009678003916	5.46427372525628	5.23468517147771	5.03931273414446	7.04037958859706	2.92003084392922	3.39475630303217	7.63181872399639	5.27301266633174	4.3417498550627	6.39051089773152	5.06777427778449	5.58354010023237	7.02590207761818	6.62518136550463	5.81519810262023	6.23200227822371	0	4.57863857712518	7.50746944652238	3.70684622824418	3.50634548145604	4.00858023124168	5.1087148495614	6.48016036348355	3.46332592424667	6.76875950717941	5.17233379605575	5.56572535759067	2.61284567925259	5.31595340457156	4.40260109815816	5.13814526309224	3.99308065858604	5.65203453571302	3.03559646441509	3.58231219729604	2.9780007410512	4.83813925163524	3.40353105470795	5.85671456074957	0.90041582920636	5.96174383457732	4.30206754445329	5.88536482226044	5.63188892218552	5.5510116549954	4.99647341523568	5.82355283343451	6.92599927539054	4.36613687100105	3.96457914609806	5.73108807532634	6.10545892744655	6.46303291927091	5.39300597882459	4.57131433745686	3.20935964685647	6.02784872652031	5.30274191396849	4.39760793401332	4.49367500155346	7.0428417665517	5.70609623436351	6.3571447676497	5.95399870212911	2.78335491122652	6.4227438201465	5.55029907846667	3.03754340738788	4.56154487061426	6.69459336393187	4.39970565449975	4.47629270920771	5.9127081509189	5.376124161638	5.35249751659435	4.19094862696819	5.31998756492502	4.6503934744575	5.14698792933756	5.61610489885118	4.72595737846135	5.19099674978817	6.16331876693381	3.3329121391358	3.95609023283125	4.72483829113702	3.12509869633979	4.64509083584115	4.69883940190266	4.84422879546158	6.29779435031596	4.10943408050439	3.49273977478812	4.19098029011213	5.16681302075224	4.87433070246367	4.9952735431089	5.7856320699345	4.36277563096659	6.10237352693471	4.69050405702073	5.86394685501366	4.97690990141942	5.02708891323278	5.28029226104065	4.95507010948737	4.70395117862318	3.85858735770954	0
"HSPB6"	6.28443579046723	0	5.49673353763787	6.77778817576711	6.47437163795433	4.78607148938254	7.9712773939227	6.64972740557578	5.48817617186895	6.31100097850956	7.5838867480794	8.35727334664873	8.75570265930032	4.61623373256189	8.48652165271051	5.72950028319767	4.47161636026873	5.62090035337897	3.45854358822717	6.04996725900558	8.47348177471617	6.67274621976105	1.84286864418176	7.14492935825953	6.07443242182092	7.51466351772675	3.05392189166584	6.60450986908132	6.32730812442823	7.45932957528553	6.01720811269773	7.24175838284346	2.21699334742985	7.71692805933674	10.5902846775159	9.46870457403313	5.26498087471341	7.90521440685083	8.36748124528233	5.99736193008797	0	8.93879380148133	6.53403641513559	9.46909229344955	6.55768523256157	7.54951587046373	7.91559465890991	2.81330476656505	8.8159892095991	7.71732854836221	8.37729182949225	7.37948966264568	6.15397004016435	6.56546266337262	7.72356501500877	8.44197158597544	3.61560458509846	6.18145367757259	6.67944391277968	6.96615093230008	4.98531697933202	6.65942409165425	2.72243950324866	2.4787535115593	0	5.79721243605893	8.10924726304272	5.77571612231373	5.15640295687595	7.35210731237316	7.85569313065469	5.82689108132523	6.957298502059	6.2443206060946	5.29445441447555	4.81886638813818	9.50487762242339	5.42359417134112	4.45973867348656	6.82337889199813	6.52026426690063	4.0826540897486	3.33850524061822	3.8087690180879	3.58486617856253	3.71393252077489	2.42539728082013	4.2261333822458	3.65446219432474	6.24638389690444	6.36715366259058	6.43636351559383	5.68064064939089	8.01724265509954	3.53590319238736	8.86466918258931	3.74001790527294	4.31067820663007	0	3.7861661247387	3.95368601938199	8.42796350974989	6.25737504555118	3.74414316899549	2.8160833004195	3.24752653771607	4.75071663339096	3.64124428970785	5.15113112717007	6.63493451521087	5.46411828785306	1.79895724262242	2.00915916786328	1.77402172323877	4.55505926469149	2.28164761830119	4.43227629034441	1.06053392706229	0.900260065359875	2.20560887979503	6.07049687838144	2.61552416108234	5.38853064431993	5.07637856160856	4.87433070246367	4.59523519073438	4.36169140254024	5.75089510377879	4.93647632829829	5.15114197169585	5.02595352642466	4.20351091752776	4.98271179515189	5.96200791686185	5.71316703085249	4.81226841979434	5.9899234658375	0
"FHL1"	1.36197189052788	0	7.10115426039241	3.69711295025998	5.82610311807422	4.76231071529056	6.89833951255331	4.67867290328923	6.97849656611426	5.05979020583244	7.11729073954234	7.76954821714358	8.33951767793495	3.75005807666832	1.64570188941856	4.30073646712111	4.93834380176426	5.69735905600232	3.13299020485251	4.53233207627918	5.23038374059846	3.28249256420404	6.59585215430142	6.66175345540744	3.12851372000384	7.62273238739821	5.58371636719529	3.56331686681439	5.21532774792372	5.85181697748955	6.48736771886602	5.15002680665494	3.8214291956804	6.5587895654919	7.89114399624657	7.39791331148917	4.03750060804262	5.98119419451702	8.04664481035894	5.70445435694027	1.7447001746192	7.91764043435698	2.81984221783169	8.74095179242887	0	7.31035199835913	3.74356351537043	0	7.94322506969328	6.18394986447026	5.60323267952717	5.02003277805704	4.9583415009117	4.65847745737146	7.03588166324042	7.11020434559098	5.07678912809274	5.52125194819097	5.95877260963231	3.96936738923228	6.93127797318595	0.814114904059125	6.40936004666716	3.58231219729604	0	0	7.21092541282074	5.50124011687505	5.08452987126879	5.83649967274381	7.07727238481631	6.46696333008795	5.20907673037281	1.58252682296224	4.92097952983282	5.85339566023643	6.54875704516629	4.23561222396879	5.22996789590405	5.78452954697551	7.25695121995375	6.63624945545655	3.74104908219784	4.92033573721463	5.0873608528821	3.95852565222618	4.67140132705665	4.98669445066261	5.51452935566303	4.24644567328709	6.85468789680568	5.90682865865591	6.24606318926612	5.75383529230096	4.07879720407895	7.64189742152657	2.03223950984574	2.59101870326646	0	7.90419420498189	7.2176581177071	8.04481249709539	7.3427869828676	4.83070022360405	5.34723042039651	4.52051737451564	4.96078619488357	4.12070622878086	5.37642923614692	6.82365945391614	6.44768394641847	4.82153415745723	4.6555695387432	4.0987677517735	5.29149927973093	5.72124176420865	0	4.28221409430116	3.39649194595961	4.85789945190542	7.33347573423122	3.20250126980291	4.62206807059677	5.30597717950203	5.30190079592306	6.01617601936651	4.13338607625394	4.29246091696502	3.61875636554838	6.27841350264421	5.91203050560434	5.59065827851404	6.15232507466775	5.53712612174314	3.67729317302053	6.72785453541758	5.19149778113161	4.51251656038469
"SCARA5"	3.48637416805171	0	4.33605006171462	0	3.58370004857524	3.44822708015119	0	2.41766590073637	3.52106444533434	4.29761698664584	6.07188604820637	2.64640452613471	5.17806145034849	0	0	2.08869432696234	2.38882847449532	3.17554343000808	1.07748845575778	1.73576123708989	5.48699886029841	2.24536820310084	0	3.85061019124835	0	0	0	0	4.06550009012284	3.0168688794739	2.36702968854624	3.98081720100816	4.47024809872712	4.32448881099347	5.28646404863859	5.63647659955923	0.632977669588096	4.72825346396498	4.85253331085025	4.8829851253049	0	6.97118598050075	2.47135364872078	6.67230611479821	0	4.53972060123053	3.44831431786294	0	4.02857573336938	5.47246807572867	0	3.03072862230363	4.75901225184626	2.70319412312519	5.58738848655225	5.2731771468433	0	5.56831592781017	2.24230467700206	4.48444676355027	1.41042829429945	0	5.61467922481783	0	0	3.70062720627625	4.82664745854087	0	4.05301317167612	4.12192472067505	3.78794538118499	3.6712570850628	6.13507119254653	3.31863895749565	4.46969529197482	6.23975956923364	5.03731179068503	3.31023107305988	3.05414981493732	4.5678768191477	3.26320766487615	4.91041196492721	2.4745095974923	1.05968575358691	0.938549201098928	3.2457248818115	1.4587534562761	3.21211202152854	3.74633956176786	4.80584660663245	3.38987987469032	6.58283601834789	5.68064064939089	0.880211345264111	5.25155956086005	6.12496255657023	3.03754340738788	1.81254750776384	2.74391470208582	3.46648484119592	2.54386855332692	3.81284911338874	3.50226517349268	0	2.15472738907207	4.90845971192604	2.20696539834034	4.12070622878086	3.85930693021089	5.15880516201731	2.26506182410519	3.74399220493529	3.81868630024819	1.77402172323877	4.61390040444771	4.72745075225149	0	1.06053392706229	3.39649194595961	2.68235701131114	2.16493884111842	2.02753446369833	4.39167282888025	2.21342600916207	2.82187866272007	3.27639438900915	3.86203267759401	4.14063190759082	3.91700292418429	4.74957473262364	4.56673937910193	3.81434190344451	2.98439393067445	3.8708932604398	4.00084650088797	4.10913608001608	2.57916323965675	0
"CD300LG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AOC3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SORBS1"	3.2685832464329	2.22393345057767	5.72331772798762	0	5.656861492973	7.00102527842838	5.71234270913574	4.19945526077823	6.0410167755938	5.08645459880593	5.75530961883665	6.3867012279682	5.93669267010651	4.53244267391818	0	3.9672914791264	3.6853227107642	5.3320920152822	5.73299834129952	5.99830608553141	0	4.95105846237016	5.97941774692579	4.43207070221676	4.99915856043458	6.17236343047874	2.63636187207725	3.42481066312266	5.34516373447595	6.16874029029424	6.65550496198002	6.86844645195337	3.57866161349287	4.63194317883178	5.87176908890148	6.01158679888787	2.27957139405281	5.05663468208844	6.1599014920666	4.40071450478379	5.43704579149697	5.42214506453402	4.01365245725608	6.99140238465464	8.03323301044438	5.26762596947978	6.23585540209446	0	5.02420130032284	3.50818977944082	2.65310419685645	5.30814473418399	4.2519855594168	6.6149839600416	2.0018585674591	6.56520624780073	3.02926329094582	5.93441493967729	4.59308142535246	4.73669934847141	5.51634101960038	0	4.81759310872827	4.52079631153063	4.01200170081569	4.05330221271037	4.00515927754117	0	4.55653375890026	5.76954929144794	4.2281223577435	4.64767963327936	4.89686631839982	4.52006600401086	4.04097452755225	4.13515057946135	6.11895753691376	4.42722235244138	5.36397252255047	5.61787249760787	5.55067956113941	6.76623228774174	5.09620733203344	5.06756657181156	3.96952797932035	4.5122189866556	5.85382097907739	4.75393580093853	4.59600873454647	5.04287733531047	5.35140050332627	5.79103718207835	4.09173342037122	4.15485038259589	4.60391422851319	6.99618772857094	3.62426954964395	3.09387450052205	0	3.46648484119592	4.70729463550753	6.59081695709546	5.62873019857825	3.92326693848306	4.55111560093077	3.62407905045159	4.8744728384462	4.36985211797642	4.46079102115964	4.52303539923099	4.41296219754598	5.38938865413223	3.18077394879362	3.4168722742655	3.77838974421325	2.28164761830119	5.61596967604173	5.20273930001983	3.89359892088105	4.18271499656308	4.20338684701312	3.35490694747907	1.89762517484221	4.84030829880439	4.53976018886334	4.19995702011412	6.33521425936702	2.97288118650353	3.00948238038204	4.35230414293248	5.47325783718118	5.93682272653147	4.88963979286583	4.47266845991724	3.41263170127496	4.74096792268973	5.10474824958116	0
"PGM5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
