"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"ADH1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CHRDL1"	-0.347448447616227	-1.58056933641266	-1.58056933641266	0.285476649603544	0.930584134386737	-1.12581845030895	0.626064783429764	0.869596435027465	-1.22402133550301	0.888170591964536	-1.58056933641266	1.09496147933141	1.36227520579538	0.794586282290519	-1.58056933641266	0.200527806882076	1.05917514354002	-0.855550905960716	0.0406553130399993	0.772626659695658	0.0584959301600834	0.529128651503894	-1.58056933641266	0.391121148993573	2.10415377462718	-1.58056933641266	-1.58056933641266	0.388215857148766	-0.728720686724019	-1.58056933641266	0.94873807934367	-1.58056933641266	-1.58056933641266	0.635085506893421	0.890976583081345	1.2252175903095	1.13988862918093	0.274523849876483	0.295690586618081	0.706317319058954	-1.58056933641266	1.83912707106077	0.510007340112758	1.3002917225413	-0.879056764177802	0.239201796481944	3.0851951470269	-0.200510300509658	1.00943583605814	0.989961639504578	-1.58056933641266	0.893926312192149	0.289069532337751	0.400594353226999	0.608152930838823	1.38144757870222	0.302342831303572	1.09175850661639	0.410753261580224	1.15074720086594	-1.58056933641266	-1.58056933641266	-0.441566062827932	0.578313325313322	-0.0058194394086151	-1.58056933641266	0.442047141188807	-1.58056933641266	0.443641654633416	0.191376998190188	0.597203291549999	-0.611083914026038	0.821575177268303	0.666853422290705	-1.58056933641266	-0.508143378146188	1.80564055555692	0.896284705633772	0.635921920338903	0.639966665942785	0.607797833672621	-0.633257121629055	-0.555644922545233	0.661876534484922	0.812546187022391	0.172692768538723	-0.516525121044142	1.37122717098996	-0.697208810680458	-0.313162355148026	0.715735035660357	-0.520783227640619	0.278999860375589	-0.307367319168995	-0.278061296575806	1.14211484847724	0.523158772555527	-0.691429064153034	-1.58056933641266	-0.257625517361317	0.516513686310764	1.13183811988979	0.420122779521908	-0.383360812282089	-0.398175547700658	1.003589909458	-1.24668859453667	-0.0101599347506972	1.12968243643496	-0.01758231055974	-1.58056933641266	-1.58056933641266	-1.58056933641266	-0.436837276883634	0.920715041914129	-0.919494579331553	-0.526953636473543	-0.394622421940918	-0.674195329927583	-0.850295102486242	0.333009113922927	-0.0931941947832794	0.660165378566652	0.894206710419295	0.581981875183486	0.0266570599136492	0.0509148763637838	0.102619020221574	-0.104275903224434	-1.58056933641266	0.0406015638875438	1.4822625163648	-0.448549869801497	-0.74170788570253	-0.271230215452092	-1.58056933641266	-0.164328879394402	-1.58056933641266
"LMOD1"	0.0536698356237006	-3.40035639429617	0.169495491301047	-2.00571387114888	0.0787297924615842	0.226367904684679	-0.519452469198946	0.102440647981857	0.355521107515891	0.239593056876694	1.33191528265677	-0.432171669597983	0.387992728414562	0.236697801250486	-3.40035639429617	-0.243378312703494	-0.645350503870365	0.387703003032688	1.59217070933159	0.585318150021428	1.90984591661411	1.00863447685149	0.543713640383242	0.181609712587916	-1.35209646198191	-0.183484927687538	-0.29244115902212	-0.257489184805942	0.415153397463016	0.254839800622315	0.118418112184682	1.51569258286844	-1.36140175229967	-1.02991769262809	1.92867368993036	0.281602539691046	-0.368665465492305	1.06191217617059	0.138291805177985	0.498432904389173	1.50558344711177	1.22577429447672	0.660191524270319	0.951231192709806	-3.40035639429617	-0.203254418382959	1.8418449713017	-0.81199629530645	-0.951998901524589	-0.601306073544236	0.166879163782114	1.12451123902899	-0.982037942396719	1.32602985138826	0.211302032308746	0.485993497360037	-1.57589832817387	0.311586544054172	-0.326175186720525	0.187429384479042	-0.612128878954283	0.546260155072006	-1.2807063518265	-0.898954020775733	-1.32092341588804	-0.0220542416815632	-1.02379059273842	0.689181004021214	-2.77162774969835	0.762519244903779	-0.39637422466189	0.709186472053667	0.532193183038758	0.475719437320585	0.0885049253665958	0.666025338393149	1.43582484070048	-0.351636871614496	-0.632030480785683	0.601460456087983	0.862870430008517	1.11255174827379	0.365389641469266	-0.208368676851109	-1.15937364461092	0.808677961537224	0.30236142571379	-0.329661737293285	-0.262581489250288	1.51741183497171	0.584009534208461	1.03861378329326	0.757111091838894	-1.4568377399067	1.08441929006624	0.475221870240414	-1.27934687015516	-0.21519035128991	1.27424224703198	-0.328196972997279	-0.274718931476489	0.728279354929098	0.35360166341092	0.337104009734862	-0.473964649122955	0.314403456072873	-0.153150502081568	0.193603906719451	0.521171755743279	-0.100386890643578	0.224333715253193	0.903271917052043	-1.07310129300652	-0.637957989786782	-0.101168309887656	-1.21821009716149	-0.156853147772493	-0.119322418088724	-0.0178021278115442	0.997171478264651	-0.530883384501436	-0.961499287051631	-0.473942539865295	0.207447069455904	0.00321697311421037	0.0876670969416705	0.639546605496488	-0.353983907086871	0.860716003554725	-0.125142695698117	0.694231060253564	0.0748444130496254	0.109882648786198	0.286685624157244	0.0595944559360994	-0.115753044534051	-0.706040811668863	-3.40035639429617
"HSPB6"	0.376489477862563	-2.43030416502514	0.0246810181304295	0.596833576351669	0.46131980266148	-0.292719268194446	1.1298771242634	0.539638281871685	0.0208590744204647	0.388354186709206	0.956858314250819	1.30227302779626	1.48022199555991	-0.368573259238418	1.35999870690312	0.128640743950833	-0.433163165912188	0.0801371705520023	-0.885628003036009	0.271769689880634	1.35417475581525	0.549919087257595	-1.60723075515553	0.760808445603278	0.282696472451392	0.92594140629407	-1.06634265166134	0.519442945613783	0.395637385237163	0.901227818144195	0.257138597023775	0.804054824389017	-1.44013686260326	1.01627804883462	2.29959438120739	1.79866732754571	-0.078825791821448	1.10037166373745	1.30683214271879	0.248274772005599	-2.43030416502514	1.56199529567417	0.487967655051141	1.79884049319328	0.498529836387091	0.941507379973078	1.10500775621455	-1.17380856262304	1.50714754811101	1.01645691772409	1.31121380661218	0.865569221777255	0.318220056267043	0.502003440714719	1.01924228709077	1.34010148012393	-0.815480447668722	0.330494968659006	0.552910452403725	0.680961317523842	-0.203731013208609	0.543969075876045	-1.2143913694078	-1.32322791657596	-2.43030416502514	0.158882765117714	1.19149808189074	0.149281948309773	-0.127319534092862	0.853339546873292	1.07825416459364	0.172138025516643	0.677007590291483	0.358572985716814	-0.0656621369133572	-0.278072207357883	1.81482315849869	-0.00798493872093241	-0.43846805196146	0.617195584455249	0.481816652892216	-0.606883904673668	-0.939240273445808	-0.729208152012657	-0.829209025210788	-0.771564615925559	-1.34705820687414	-0.542802294248427	-0.79812562152513	0.359494505439756	0.413433446322099	0.444344379604192	0.106818751629628	1.15040641395087	-0.851077177406999	1.52888929920538	-0.759914199910095	-0.505042361052709	-2.43030416502514	-0.739303196258256	-0.664484423178384	1.33384510634434	0.364403440335154	-0.758071749071591	-1.1725675966208	-0.97987374532108	-0.308509672989879	-0.804029083965986	-0.129674071333466	0.533031389539497	0.0101141932300856	-1.62684273733761	-1.53296105135018	-1.63797959347262	-0.395895379035735	-1.41126057163335	-0.450733471641437	-1.95664193283868	-2.02822443779955	-1.4452214640616	0.280938755660966	-1.26214256183382	-0.0236452283669137	-0.163060525233728	-0.25330039170944	-0.377951758068938	-0.482258531484232	0.138196231253116	-0.22554452732612	-0.129669227884184	-0.185581666815168	-0.552906079580018	-0.204894556705452	0.232484743611297	0.12134588560895	-0.281019032851992	0.244952559023053	-2.43030416502514
"FHL1"	-1.91736593813807	-2.61761193255755	1.03338472983858	-0.716773484759233	0.377828281649152	-0.169111324170772	0.929109292312131	-0.212112977320342	0.970321343802245	-0.0161648330407954	1.04168116015947	1.37703366574121	1.67007850362395	-0.68955220879215	-1.7714886284802	-0.40642570683587	-0.0786054447574077	0.311635642580661	-1.00681228481068	-0.287352839939019	0.0715443482018994	-0.929946947853106	0.773588049581986	0.807470630013683	-1.00911383053725	1.30154958460006	0.253207243150669	-0.785563576649809	0.063803440598876	0.391048838682583	0.717811721231293	0.0302295299526247	-0.652857369087288	0.754532642097312	1.43955107733198	1.18596081329776	-0.541766132867601	0.457567008861198	1.51950046760093	0.315283629808266	-1.72058952171576	1.45317399039079	-1.16781459704406	1.87647235995292	-2.61761193255755	1.14094192618868	-0.69289133096199	-2.61761193255755	1.4663281079886	0.561812072006785	0.263241385287731	-0.0366057685268839	-0.0683238017785869	-0.222496290080163	0.999825392073307	1.03803775238151	-0.00742498510046058	0.221091705740747	0.446039146125374	-0.576796234362837	0.946044315186508	-2.19904183979033	0.677704755462664	-0.775797292796993	-2.61761193255755	-2.61761193255755	1.08982261253303	0.210802796830487	-0.00344514936335397	0.383173579752421	1.02110607135254	0.707320982318258	0.0605895343270098	-1.80396953909288	-0.0875331340515586	0.391860504677781	0.749374509083849	-0.439908769683329	0.0713305452713218	0.356453591879086	1.1134863807128	0.794357970397514	-0.694184104894835	-0.0878641344233473	-0.00198962480459886	-0.58237041909005	-0.215851594956575	-0.0537463794168383	0.217635343298506	-0.434338845998675	0.90666619397082	0.4193326157935	0.593747097384969	0.340672407966977	-0.520533847415377	1.31140312010592	-1.57275367493306	-1.28546221563124	-2.61761193255755	1.44626072857868	1.09328417415635	1.5185583996829	1.15761809119551	-0.133949453657956	0.131620051715934	-0.293427266028662	-0.0670668836488583	-0.498986687094639	0.146632368719842	0.890713190096377	0.697408654991002	-0.138662106796048	-0.223991371135574	-0.510266164119756	0.102966370764872	0.323914729156297	-2.61761193255755	-0.415948823623024	-0.871335157847882	-0.119965207138777	1.15283079374391	-0.971073775713781	-0.241215859423375	0.110410056932572	0.108314219791771	0.47555260966449	-0.49246745386771	-0.410680508927402	-0.757059840859746	0.610379729467001	0.422007100130917	0.256776366440498	0.545552461556986	0.229253273921364	-0.726963650737503	0.84145592503028	0.0515514705623599	-0.297540814983864
"SCARA5"	0.192147808565643	-1.68150130452618	0.648781092269287	-1.68150130452618	0.244452736532024	0.171646779712568	-1.68150130452618	-0.382197973237883	0.210791076364933	0.628126368035757	1.581655017956	-0.259269136013582	1.10129531348631	-1.68150130452618	-1.68150130452618	-0.558994056424384	-0.397695798627802	0.0251009832438018	-1.10243686904551	-0.748667550703915	1.26732462538803	-0.474794296180174	-1.68150130452618	0.387895731457079	-1.68150130452618	-1.68150130452618	-1.68150130452618	-1.68150130452618	0.503381978495097	-0.0601739805288789	-0.409410914100565	0.457871653889736	0.720901874751925	0.642567838580566	1.15955309717583	1.34765703381381	-1.3413260989792	0.859559259315148	0.926349802632504	0.942715233419549	-1.68150130452618	2.06495727965458	-0.35334507433888	1.90433309868564	-1.68150130452618	0.75823782506173	0.171693663051352	-1.68150130452618	0.483538070484134	1.25951548319351	-1.68150130452618	-0.0527254699534586	0.876089663929107	-0.228749239724448	1.32127607326123	1.15241244314259	-1.68150130452618	1.31102608830582	-0.476440698052502	0.7285325289705	-0.923508158836205	-1.68150130452618	1.33594267675305	-1.68150130452618	-1.68150130452618	0.307291793604681	0.912438213720005	-1.68150130452618	0.496671251950784	0.533705734321269	0.354218374943478	0.291507686991212	1.61561201280135	0.102003459926134	0.720604785044614	1.67187369748463	1.02565355437363	0.0974848900719827	-0.0401384397924973	0.773369555101484	0.072213544315301	0.957454980576976	-0.351649002623201	-1.11200440698758	-1.17710567930998	0.0628179374743492	-0.897537223843831	0.0447536957085702	0.331858552706174	0.901259408505436	0.140289792626976	1.85625003049447	1.37139170164032	-1.20845764171442	1.14079470825462	1.61017942412366	-0.0490630644245217	-0.707401031101901	-0.20686516389767	0.181458875643632	-0.314374074626264	0.36760215233141	0.200687961405074	-1.68150130452618	-0.523506532052963	0.956405799700838	-0.495432752528064	0.533050891740751	0.392569537669068	1.09094658847458	-0.464210539603928	0.330597034912775	0.370739176487446	-0.728105579302157	0.798103575496909	0.859127865546855	-1.68150130452618	-1.11154858113433	0.143843255586554	-0.239947531757343	-0.518018687906644	-0.59186262360559	0.678673910235479	-0.491960687525092	-0.164965729512771	0.0793003608144551	0.394034410319197	0.543759360949866	0.423576550320729	0.871017747184399	0.772758271449695	0.368404408380015	-0.077626685282539	0.398796269600572	0.46863581119091	0.526832856060552	-0.295405984986104	-1.68150130452618
"CD300LG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AOC3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SORBS1"	-0.780935188846801	-1.43396550573633	0.753565696262737	-2.82418830741985	0.712022648647096	1.55228481712696	0.746705004701655	-0.199029512012903	0.952165371059895	0.355450526265214	0.7735644314388	1.16825925091657	0.886950402430328	0.00912720881906312	-2.82418830741985	-0.344159476622956	-0.520423479054287	0.509003114470244	0.759617230474332	0.925466112057813	-2.82418830741985	0.270811844256107	0.913658654865855	-0.0536172063400346	0.300880123985885	1.03427264567212	-1.1761487102373	-0.683274480126491	0.517174493013806	1.03200775231532	1.33629354173756	1.4694072887827	-0.587099345385034	0.0713268536303689	0.846365445657123	0.933768136799591	-1.39918517647881	0.33680953313919	1.02648245261161	-0.0732185575558628	0.574611702163666	0.565296976320513	-0.315178353609811	1.54626936448877	2.19753736492686	0.468704171718329	1.07396267625334	-2.82418830741985	0.316534813653076	-0.63115261979851	-1.16568276681835	0.494033216781801	-0.166191830234426	1.31096309813674	-1.57278870933195	1.27984611010145	-0.93053861287444	0.885526550121274	0.0470336375782787	0.136811913721627	0.624180646839335	-2.82418830741985	0.187380131036674	0.00184684773467989	-0.31621027263727	-0.290392542640779	-0.320487600653781	-2.82418830741985	0.0241870010312284	0.782465919721903	-0.181109168286411	0.0811640085079105	0.236935311574742	0.00139031871131606	-0.298098811456667	-0.239227582777339	1.00088761296845	-0.0566480013516873	0.528932221666361	0.687649891289066	0.645646317681115	1.40551128429339	0.361547143998137	0.343643263867336	-0.342761398112649	-0.00351500003806542	0.835145743233883	0.147586745690498	0.0488635538412982	0.328209555843809	0.521073215011217	0.795898405980305	-0.266368468911201	-0.226912863782849	0.0538054274249055	1.54926077334798	-0.558588963134838	-0.89014892550592	-2.82418830741985	-0.657223164344618	0.118430472303622	1.29585584817143	0.694437245226731	-0.371680048436876	0.0208000081559009	-0.558708047777799	0.22293672432723	-0.0925112184234042	-0.0356635925501769	0.00324654374411194	-0.0655622934974253	0.544820325533122	-0.83582643918805	-0.688236916927371	-0.462245518759523	-1.39788728948909	0.686460401590941	0.428142289174093	-0.390226086557014	-0.209494167334338	-0.196571803204613	-0.726972612993225	-1.637946971633	0.201579825357651	0.0137015256115828	-0.198715852775694	1.13607377444904	-0.965784131206932	-0.942904033654759	-0.103480789038537	0.597248535830033	0.887031703157844	0.232417873981594	-0.0282387812627123	-0.690887779192208	0.139480280082792	0.366886232862979	-2.82418830741985
"PGM5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
