"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"SLC44A4"	5.92300125511382	0	0	0	3.58370004857524	2.7779572121578	0	5.01643106364573	3.43630874912511	0	0	3.4290160870415	2.13256434160476	0	0	3.05669901614547	0	6.2478218493549	5.98139843375978	3.19486422014156	4.78094044617913	2.85518611780521	3.13120720052666	2.45295625377115	1.07483181420839	0	1.62622745240784	3.68968278351583	3.3686679400645	4.75551056384763	0	4.53499512399381	0	0	0	4.66519081301708	5.52865000145346	2.62782395639735	0	5.14470240440716	0	2.76898960995847	1.3306805376557	0	5.7872913330221	3.30795627365523	0	2.81330476656505	0	3.72955778306478	0	0	0	0	4.64623472734754	0	1.60731198913804	0	0	2.01969115011244	6.61474513888899	0	4.44622640651487	4.46212562739562	0	3.56090085382949	2.97163306210783	0	2.82094018352799	0.898196967131458	1.57105393648294	3.91529290757778	0	0	5.66214122934795	5.19021854227429	0.567934739502786	4.16563666807041	4.7805287617339	3.17279510773285	4.58113476187491	0	4.40493507049037	7.37365316887632	6.64375216156558	1.77586410602326	6.39340954191273	3.92334947577929	1.40927319862182	0.999218107367498	4.92576451625946	1.10890058809046	4.3405961868091	4.34588125511848	4.7244926364049	5.64778082085975	5.17090472072256	1.17396529326109	0	0.936584649510515	7.36023177111371	2.81242722533286	0	2.65860323819518	0	3.85341219609543	3.6385293196916	3.20134149352774	4.24927669967213	1.10932912930396	1.82286613301949	4.38110961908155	0	3.18060417997992	3.97075346873789	2.49436318152026	0	1.06053392706229	4.44583643262526	0	2.16493884111842	4.49438516604454	3.4588163307103	3.74075063331457	0	0	5.43051506424254	5.96945520954135	0	3.0966644307707	5.81420520383901	2.21100929724144	2.30766632325825	4.01300153098305	6.75768913784562	1.89124513264435	3.78609953679926	0
"AGR2"	8.47533601154269	7.64299942539523	0	0	1.74626704403342	3.71899578340597	0	6.83796961799221	2.91648967199171	4.62312630404556	1.86820872657131	4.51069466941601	5.0364436745464	6.10454477584686	0	4.84075776010312	3.86388105151397	6.42316018574795	3.94810247794608	6.04996725900558	7.57060056933432	5.89767857620671	7.0263718399455	1.48034148928762	0	4.26966620563204	1.03105883739658	1.05806018914667	4.73636258161054	5.04104163210681	3.32346925036532	0	3.57866161349287	1.94685419984218	4.28543594176724	1.6851225403523	2.70213091767204	6.86510960946666	0.827609065056619	6.1241661065355	0	4.01099368038269	5.62897224870577	0	8.32766868243707	3.77815181615567	0	0	1.23374775541561	0	2.65310419685645	0	5.17408935499351	4.13235187649	6.99114275330412	0	2.61284567925259	3.44612894416662	2.63787274455303	2.70020565860267	4.64635446446475	0.814114904059125	6.93778416655258	4.57717395860285	2.70113836206015	7.74973643495747	2.83992190638956	0	5.81922495606281	5.7231248552885	1.57105393648294	5.9277155310948	0.92581606893739	5.16637159561913	8.02558802749495	5.66431093343276	4.03885741444986	5.19680376707416	4.73177618106522	4.52665020642997	6.9795059087985	4.00050319192293	4.44860901565673	8.72404216001695	7.16982065214684	3.41923174565455	0	7.30445790455227	4.43965075609723	5.52203176939129	4.17537241207921	4.52227126664479	6.40023159840616	5.73118284164514	4.83576597894742	3.57521019060051	1.61365521494079	3.88941610025466	0	3.68727275441859	4.70729463550753	10.9262657651034	3.39735891446953	2.65860323819518	0.897791252929835	5.15775328909458	6.13599500075965	2.56532456464924	4.13062578146609	2.4930867440924	4.3243606551416	3.27484339137554	1.59310685006798	6.36589127108203	5.64182644550727	2.49436318152026	6.01089481555969	2.41759955232159	5.72748877446656	0.928406658984094	5.53288309740896	2.61552416108234	4.19098029011213	6.97052186909116	1.59627135548648	4.34408882736402	8.14899424502744	6.683509378506	3.24234421435458	6.1958647534674	7.87587753227212	0	5.95971562549748	4.31694610684328	8.89788207229911	4.81226841979434	2.57916323965675	7.91897829898305
"C9orf152"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCAS1"	5.80639342606314	6.88118724850488	4.26580417425135	3.69711295025998	6.34103190359348	2.46120713289586	3.49648285368523	4.62325483246984	4.27353012974223	4.20331186319556	4.9145019143449	4.68941607485166	4.50231512208941	4.24719750642013	0	2.74283651712675	5.91462349505675	2.66828827938313	4.46576694962004	5.21426290807457	6.78949592055593	5.92754799251419	5.72094931061197	3.75820016587653	7.30487296204291	5.19222961260584	4.38037943818233	3.27158112485207	6.99467446679064	2.789049285323	1.25475107452936	6.98531421447983	3.28660972699231	4.57547188390325	7.91591477739251	4.16887126182693	4.83481841646319	4.38726977332264	4.29232536957711	6.84584104952224	1.7447001746192	5.16582441104486	6.06418793763951	4.479160021089	0	5.19434274137102	6.23585540209446	3.70684622824418	2.57446357164148	0.958631188498583	4.21986358923942	4.49292156773918	5.13344397592147	4.94331549310256	5.52598569956698	6.9390625273763	3.61560458509846	3.95119846969699	4.40260109815816	6.09189727910176	6.47382771842534	0	4.97266239226082	5.68132898829554	4.524351702506	8.04021801825013	5.41784723760037	2.87335624995804	6.17115720401057	4.65446923452251	5.26502881105431	4.50578978435092	5.68331688765111	6.33624012317047	6.55098713945629	5.28085613668009	5.86803465609944	6.32878848813471	5.08222974044981	5.59810833497309	6.76808179685998	3.82067770208187	4.2653718863875	9.00245879347995	4.40362207154983	2.21308153400757	1.4587534562761	6.16712769680762	3.55633327587139	7.06453666068983	3.25308873047216	3.5123925337502	5.13917668551466	6.77403844486812	4.16656073546947	5.9827469808042	4.68499514168954	4.31067820663007	3.63200194973884	5.77940461938957	3.6548496388748	10.6206220349544	5.23103167019415	3.16532051901353	2.8160833004195	6.16613964149331	3.95122630506626	4.25065077737432	5.32331661345013	4.52303539923099	2.60304277693932	5.38938865413223	3.47052618730178	5.36926883438612	5.58413619289708	3.73978913315982	4.54260409259714	3.27584532791947	2.4146800233918	2.46358705995863	2.49722033930091	5.5593732240953	3.0477680220352	6.36607158068979	0	1.55137252147389	6.25222169882309	5.55458103663754	5.91272504303761	5.27694078264614	5.37375254580252	2.21100929724144	2.30766632325825	3.94369643145674	6.71415807273002	4.62694041778999	3.25250129047189	4.32033287284815
"ERN2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCL2L15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM83E"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TSPAN1"	8.45933341222313	6.90348199396304	2.94838716813491	1.99729758571665	5.30243835681204	2.86976920358605	0	8.58191300163974	5.75637090465997	7.26150607207129	4.47289848120094	3.52633167430269	4.58602859653847	6.69218761539631	0	5.56572566843472	6.12193891601588	7.14127100321691	7.24801129049287	7.30662907543057	6.57125675364305	6.95967946622443	3.50448107891324	3.02867359460234	8.94007594767995	4.54550909435704	3.64140250982309	3.56331686681439	7.04012459003177	6.14483260049235	6.13571925853681	1.79276264490885	2.61091947019932	4.57547188390325	7.43164901434583	7.72444102202527	9.00185368144372	6.58870575826945	3.8248298423868	6.4763218943399	6.91783571945896	4.29367739551048	3.71388311312971	4.3732943621118	8.2733936003201	5.67925116086709	0	2.81330476656505	4.41119362776358	4.56335108775478	0	3.52136238867571	2.325355638478	6.76875950717941	4.46179665286322	4.41172051933874	3.48982311129231	3.63482177446571	2.24230467700206	6.11751474191186	7.12367047514157	0	6.0916690352522	5.8736747300871	0	8.10139018669677	6.11774421055693	0	4.19629845306162	9.61227957899066	1.98434339915908	5.82689108132523	4.31432888158324	7.18619456464339	6.09887178857614	6.21698383628655	4.37701252409466	7.24541321810753	7.24494192269765	5.40687447471161	6.70340301552132	2.91932900774014	7.68263747321937	8.5842880860326	7.38287975560687	6.904449143536	5.20353423153388	5.03945599251539	4.82398104697199	8.21760956306899	3.10195584569132	4.95778082304685	5.4877141625605	6.30706375980289	6.01330096401084	6.85363566708959	3.49841816578391	3.4660371264891	4.57261221394706	4.73290792663002	6.39406659408211	7.44051005702287	4.92623663083064	2.84798022488826	4.04769563511429	6.55094446301127	4.98844669908225	3.97788841946245	7.63804157179153	3.89621719925436	3.90285348407529	7.49806936534956	6.0120095237332	4.65538629739165	4.55505926469149	3.56248937855648	4.99479069220879	3.10432373221624	6.8282293168025	5.76254025105079	4.85178869258707	8.76102548507917	6.57744558968021	8.01025040485632	5.060814203388	7.32466727180611	6.55889398459234	5.21771795188694	5.57131823833995	4.19118121390497	5.86394685501366	2.60454272964472	7.04837386296313	6.31747023044722	9.2851472187644	5.87228676595718	4.2304473186627	8.58629012534539
"TMC5"	5.30282655709932	4.73885312825531	0	0	0	2.46120713289586	1.02049582944138	0	1.20790136750163	2.24280370497034	0	5.24135769502397	4.05057354461038	2.98538751482607	8.82806381319651	6.01001381610656	4.09607729670483	0	0	3.36767961213704	5.29894189944265	3.75188538134355	0	2.45295625377115	5.2712837548118	2.82703731796487	0	0	3.52298993447973	3.80795573617159	4.5773252154856	3.06941553048006	2.21699334742985	0	5.65347707814792	0	6.42319847319528	2.88294219691152	3.25128867017563	5.8373264346703	6.42029833039235	3.65908053369053	0.813612080428896	0	0	2.60591719267745	0	0	2.05454739782634	3.24658833745278	6.08765603373998	5.02003277805704	0	0	4.70282206432736	3.65432692407421	2.02511898664294	3.2289894003224	0.80430524465029	4.31765228326694	0	0	6.50140823295853	5.1968596196593	5.35395226588968	3.13768355543587	3.49394892989196	0	5.08452987126879	4.38307605376151	4.06778801771126	6.09809858177497	1.4851779898972	4.16647324305236	7.07965575436915	5.76194884652177	4.23640063610835	4.36613687100105	3.7850754121874	4.79318883319422	7.12488776577649	2.50823701604883	3.42850135915938	6.94890390746972	5.04793079368914	3.2457248818115	3.72693509491993	6.16712769680762	4.38352450976663	6.33830511519872	2.52133653223961	3.35818494975387	4.3405961868091	4.08510623150219	6.21201858789688	5.76828663258615	2.62074010794821	1.81254750776384	3.63200194973884	4.63016003972922	3.76148911367618	5.39809280428889	0.843766578881326	3.30115212775964	2.41035636534478	4.5643554011278	3.8938752418644	2.91810160216118	5.93213810696156	2.4930867440924	1.18200366012195	6.5919773822397	0	3.7977380641459	6.75042903052525	2.03205268729323	5.39847178535922	3.10432373221624	4.96920041213414	0	1.11202709654039	2.02753446369833	3.5733713971094	7.0439471497537	3.4748309044466	2.76402238768832	5.61897252694016	3.14237159394381	3.77557297766168	3.80223223155902	5.98127845809165	0	4.30497647408558	0	5.00409148453932	1.89124513264435	3.54383078983834	4.2501280598108
"TFF1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
