"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"SLC44A4"	1.54613793404721	-1.17580222468549	-1.17580222468549	-1.17580222468549	0.471102217660745	0.100819705536966	-1.17580222468549	1.12951978649297	0.403367925577873	-1.17580222468549	-1.17580222468549	0.400016552020032	-0.195773304805782	-1.17580222468549	-1.17580222468549	0.228916674879424	-1.17580222468549	1.69541060541206	1.57297460330773	0.29241107596059	1.02129908197536	0.136310574210206	0.263157224642322	-0.0485358529301951	-0.681858740130023	-1.17580222468549	-0.428462553581976	0.519807029620401	0.372283307050685	1.00961267250681	-1.17580222468549	0.908273873896822	-1.17580222468549	-1.17580222468549	-1.17580222468549	0.968105850825806	1.36491215546782	0.0318253358898495	-1.17580222468549	1.18846742107798	-1.17580222468549	0.0966986061985505	-0.564282382314725	-1.17580222468549	1.48377186810032	0.344383005196065	-1.17580222468549	0.117063822954808	-1.17580222468549	0.538131753510676	-1.17580222468549	-1.17580222468549	-1.17580222468549	-1.17580222468549	0.959394501863695	-1.17580222468549	-0.43715523434929	-1.17580222468549	-1.17580222468549	-0.247644655078083	1.86403174762351	-1.17580222468549	0.867479836121376	0.874786390002401	-1.17580222468549	0.460624751745699	0.189824257629631	-1.17580222468549	0.120572710960218	-0.763032027620922	-0.45381777506953	0.623487111803515	-1.17580222468549	-1.17580222468549	1.42625861115713	1.20938455382787	-0.914805424514746	0.738533640720709	1.02110989065563	0.282269122456698	0.929477538702652	-1.17580222468549	0.848504228841911	2.21279112730856	1.87736204699506	-0.359696399540976	1.76231604235558	0.627189541633376	-0.52816479414426	-0.716607337392799	1.08785359299499	-0.666202291685353	0.818937024021739	0.821365799409984	0.995358253385406	1.41965922498849	1.20050880583527	-0.636301532544517	-1.17580222468549	-0.745390806596696	2.20662326747148	0.116660545187682	-1.17580222468549	0.0459700844006065	-1.17580222468549	0.595049570364644	0.49629923999749	0.295387734210276	0.776970769312881	-0.666005353766816	-0.338096420187195	0.837555142357487	-1.17580222468549	0.285857814478906	0.648974246137178	-0.0295071249871219	-1.17580222468549	-0.688429394352728	0.867300621978872	-1.17580222468549	-0.180895467278903	0.889611396779983	0.413711379437483	0.543275474957515	-1.17580222468549	-1.17580222468549	1.31981383198891	1.56748604434502	-1.17580222468549	0.247282949398593	1.49614025072395	-0.159723595241205	-0.115304452072583	0.668389520978534	1.92972226404439	-0.306672563078913	0.564115754443006	-1.17580222468549
"AGR2"	1.797876729324	1.46288575571844	-1.61319651843779	-1.61319651843779	-0.910375439811759	-0.116410195389585	-1.61319651843779	1.13888495670075	-0.439395281064346	0.247475723379704	-0.861297502308683	0.202225300203009	0.413823797772337	0.843703048292783	-1.61319651843779	0.335065977809542	-0.0580981401076566	0.971936371379692	-0.0242014952785142	0.821737204416739	1.43374734743096	0.760445492663408	1.21471130485361	-1.01740264728226	-1.61319651843779	0.105218438924249	-1.19822568868874	-1.18735843947494	0.293049991650836	0.41567434033576	-0.275597981431044	-1.61319651843779	-0.172890567623264	-0.829645014482067	0.111565293489281	-0.934984302571924	-0.525668369386456	1.14980800432233	-1.28010823290255	0.85160005628236	-1.61319651843779	0.00111036231143294	0.652299106019329	-1.61319651843779	1.73844497638883	-0.0926016336427227	-1.61319651843779	-1.61319651843779	-1.11664936594108	-1.61319651843779	-0.545400181266456	-1.61319651843779	0.46922213213969	0.0499534637028682	1.20053263455407	-1.61319651843779	-0.561603049472039	-0.226231065531256	-0.551530392435194	-0.526443229486116	0.256824374157999	-1.28553923546303	1.17905737415629	0.228981257083849	-0.526067843801396	1.50584425994388	-0.470211552717848	-1.61319651843779	0.728870220072627	0.690192758505084	-0.980893557678553	0.772534482778188	-1.24058280485766	0.466115961186851	1.6168664054229	0.666521886321982	0.0123246950210535	0.478364014335444	0.291204100445774	0.20864693415214	1.19584914720591	-0.00311175047469204	0.177237652241953	1.89797363267498	1.27244522891949	-0.237056396132818	-1.61319651843779	1.32663275956215	0.173632216482442	0.609258711208357	0.0672679628392896	0.206884539795803	0.96270828994622	0.693435860802683	0.333056932842392	-0.174279663734474	-0.963747797195415	-0.0478210346901184	-1.61319651843779	-0.129177780694693	0.281350999046378	2.78430380467869	-0.24585956679253	-0.543186979008358	-1.25186196830636	0.462647346516368	0.856360837988671	-0.580728899173638	0.0492587612685197	-0.609802495411293	0.12723134475701	-0.295168458226721	-0.972017909154093	0.948887319108579	0.657472541830174	-0.609288766922337	0.806011696144095	-0.640183867907605	0.69194910750923	-1.23954016862563	0.613626051294146	-0.560525039384696	0.0735496742829307	1.1922333356958	-0.970744288879838	0.135171353318735	1.66653377514833	1.07671925730703	-0.308248420267104	0.880456651008165	1.55661233827226	-1.61319651843779	0.785413578756705	0.124247207336358	1.96793907987039	0.323599857004267	-0.575159239865939	1.57395912807333
"C9orf152"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCAS1"	0.679342433660325	1.28938555251278	-0.195081900032552	-0.517865824450318	0.982798331415839	-1.2193546343877	-0.631741627692355	0.00780381611352117	-0.190696718535079	-0.230551962796927	0.173112989346486	0.0453563306581884	-0.0608404546043518	-0.205642874089349	-2.61631323625489	-1.05950437815307	0.740772828461518	-1.10181727436488	-0.0815848621884209	0.343254580884218	1.23734239548511	0.74810865471387	0.630845137165818	-0.483193280973959	1.52986567875018	0.330748684399063	-0.13005003076389	-0.759393786858097	1.35379985704949	-1.03327443464893	-1.90412803114235	1.34848706366186	-0.750863690080283	-0.0193173473718635	1.87668741051106	-0.250100132348503	0.127885366565406	-0.126139139715611	-0.180028712738023	1.2693233740589	-1.62603741426595	0.315761334101875	0.82566423471777	-0.0739830776234755	-2.61631323625489	0.331948076910937	0.92310111352647	-0.512341305110744	-1.15507131820196	-2.07220296333544	-0.221157354856916	-0.0661721499242103	0.297382496021472	0.189467312458138	0.52018557915457	1.3222350301428	-0.564129225167244	-0.373649213323488	-0.117437220311614	0.841391802865285	1.05817201831194	-2.61631323625489	0.206124343339174	0.608357005497042	-0.0483326936129102	1.94724079028764	0.458807179661959	-0.985422574531142	0.886379009510683	0.0255208245143183	0.372068841943852	-0.0588682681638377	0.609485318944249	0.980078560783488	1.10196699821574	0.38105228684858	0.714329430641582	0.975849081061097	0.268313765550171	0.561121725719912	1.22518793522101	-0.44773160427923	-0.195327262660436	2.4933998315395	-0.116857725175789	-1.36018844925748	-1.78833814975712	0.88409189816877	-0.59777107682695	1.39345299774146	-0.769889900351702	-0.622711439163051	0.300636329423453	1.22856887401404	-0.251411565923819	0.779439094348737	0.0428470495308265	-0.169611810703598	-0.554822231344509	0.664023834452295	-0.541854092480997	3.41185445049038	0.352772376510808	-0.819706332430445	-1.01793017555456	0.883531087031829	-0.373633414223115	-0.203682829158728	0.405152464143896	-0.0490798152826438	-1.13885002331713	0.442654348621687	-0.646474393535387	0.431234523412068	0.553191265987891	-0.493643214333533	-0.0379728043530167	-0.756973464295442	-1.24576299513596	-1.21800380960838	-1.19891386863664	0.539136031947226	-0.88642805187859	0.99701062254735	-2.61631323625489	-1.73576841757342	0.932390473487354	0.53641603028568	0.739695284502325	0.378829967798719	0.433779436900945	-1.36136463184564	-1.30650299012505	-0.377907301442602	1.19458132383052	0.00989572054817124	-0.770223325909627	-0.16413191068168
"ERN2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCL2L15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM83E"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TSPAN1"	1.49034857982399	0.765642005106426	-1.07661824562781	-1.51963026170753	0.0198851567110974	-1.11323803793625	-2.44995990311703	1.5474454422453	0.231324307032778	0.932407545997473	-0.366509710298788	-0.80741504375004	-0.313814358145334	0.667222307986883	-2.44995990311703	0.142522860757444	0.401603768314704	0.876402747667929	0.926121754938327	0.953425579481701	0.610893413357051	0.791818462030496	-0.817592924461773	-1.03922129342617	1.71427566701433	-0.332688107457464	-0.753815715381567	-0.790187555401316	0.82928933453344	0.412267513878633	0.408022572006092	-1.61490145188881	-1.23380874375534	-0.318731613716372	1.01165914255805	1.14803996305268	1.7430513774095	0.619021058597862	-0.668376326805195	0.566673306025838	0.772327887264904	-0.449989853456124	-0.720054670374747	-0.412904731780708	1.40373889293077	0.195402377270525	-2.44995990311703	-1.13953884549832	-0.39525147346024	-0.324377410324274	-2.44995990311703	-0.80972970819888	-1.36682272177479	0.702889051457692	-0.371680877605191	-0.39500605041778	-0.824420520839042	-0.756880983776736	-1.40550737836336	0.399543013654426	0.86820452368266	-2.44995990311703	0.387504233264057	0.285963749159986	-2.44995990311703	1.32362069959706	0.399649898819565	-2.44995990311703	-0.495348400553537	2.02738422316726	-1.52566424673862	0.264172196670408	-0.440370510915462	0.897327882255594	0.390859234023555	0.445875141406803	-0.41117283347524	0.924911587876647	0.924692061205804	0.0685308952382612	0.672446376373678	-1.09015336835234	1.12856811226371	1.54855174279226	0.988942704447428	0.766092497773036	-0.0261838117100158	-0.102610504637901	-0.202977485629467	1.3777550116387	-1.00508684552775	-0.140654325281916	0.106185553385326	0.487833847782085	0.351000839810166	0.742423874900199	-0.820416994263809	-0.835499894724433	-0.32006363141064	-0.245398817330716	0.528359263821956	1.0157865648887	-0.155347427222722	-1.12338721795006	-0.564566732024046	0.601432066087217	-0.12637033792843	-0.597082528553122	1.10779559980468	-0.635124509654502	-0.632033366641113	1.04259735716036	0.350399294412525	-0.281507943004611	-0.328239693457378	-0.790572994636689	-0.123415342692504	-1.00398389770596	0.730589744162173	0.234197952831254	-0.190024845442785	1.63087499910344	0.613776137319854	1.28116831735611	-0.0926619737808243	0.961827666824989	0.605134907173485	-0.0195771169619307	0.145127847411262	-0.497731980899131	0.281432561322245	-1.23677899255349	0.833131798061663	0.492681121504397	1.87500786545312	0.285317243511299	-0.479442056843723	1.54948428110267
"TMC5"	0.918580171145059	0.656903149914305	-1.54186882626488	-1.54186882626488	-1.54186882626488	-0.399897736442113	-1.06837079396575	-1.54186882626488	-0.98141683398528	-0.501234351827133	-1.54186882626488	0.890059343915148	0.337549538537048	-0.15668421978363	2.55424869226317	1.24670672095197	0.358662742978798	-1.54186882626488	-1.54186882626488	0.0206948058017473	0.916777735795964	0.198961752582739	-1.54186882626488	-0.40372604707071	0.903944682801598	-0.230156844036294	-1.54186882626488	-1.54186882626488	0.0927569641206676	0.224977736103149	0.581956102948215	-0.117696211285894	-0.513210053398644	-1.54186882626488	1.08127787842727	-1.54186882626488	1.43841953002321	-0.204217639373741	-0.0333092189146892	1.16658181210475	1.43707389795794	0.155901397524183	-1.16436241416248	-1.54186882626488	-1.54186882626488	-0.332753974964933	-1.54186882626488	-1.54186882626488	-0.588583058631136	-0.0354901178769494	1.28273179446245	0.78736719206189	-1.54186882626488	-1.54186882626488	0.640185161090315	0.153695778711534	-0.602237494432858	-0.0436558171981825	-1.16868067622781	0.461470924175673	-1.54186882626488	-1.54186882626488	1.47470793639011	0.869412761618182	0.942301897205798	-0.0860206526476783	0.0792822804114524	-1.54186882626488	0.81729308283353	0.491826782280181	0.345536851081768	1.28757701362367	-0.852763750533956	0.391325632052667	1.7430079682674	1.13160749997324	0.423771117923926	0.483967201207497	0.214361535554038	0.682114276339235	1.7639950882344	-0.378076425183666	0.0489153792771278	1.68234065298768	0.800311542372544	-0.0358907511135852	0.18738511386845	1.31960570908361	0.492034860578859	1.39903001288169	-0.371998404126197	0.0162893944065474	0.472116624890019	0.353572298083475	1.34043455324513	1.13454815797893	-0.325876317054772	-0.700868154224252	0.143337253851405	0.606470838427258	0.203417771148459	0.962782586566466	-1.15037108242915	-0.0101731625306199	-0.423491893009631	0.575938262011948	0.264843373676532	-0.187904089898843	1.21057331013319	-0.385105972736145	-0.993433064852242	1.51673095376502	-1.54186882626488	0.22023685675875	1.59025065028237	-0.599020339085674	0.962958429314576	-0.10149921727933	0.76378157363288	-1.54186882626488	-1.0259013652676	-0.601116741559799	0.116133368738178	1.72643959676233	0.0704117420234834	-0.25939502868203	1.0652681735065	-0.0838454580561757	0.209952517976334	0.22232209744817	1.23337385364871	-1.54186882626488	0.455589498174687	-1.54186882626488	0.779970619831823	-0.664353384195318	0.102426875274676	0.430140480663216
"TFF1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
