"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"BTLA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM78A"	2.6996113905877	5.14031941409399	4.26580417425135	0.998198953048514	5.90381779579895	2.95608629895211	3.62231853280152	5.66402468466176	4.99028872736487	3.08173503365433	0	2.25032269358235	3.86194028375419	4.01993638477482	0	4.84075776010312	1.43024651032788	4.1669585552871	2.11472584265642	4.85631954982038	0	3.08460213686681	0	3.85061019124835	5.35166908923431	4.88013295630221	2.37130626956467	7.01985174778737	3.90630585986422	0	4.14037921331226	4.68076168292303	3.17445707194991	2.26516865143323	4.20731915043015	3.59435571125115	2.57455246080356	4.11602005907454	4.92790519905354	1.81365731109848	0	5.34166078269784	5.03648010066094	5.47231930445268	0	4.07889374148708	0	7.40777757849944	4.17970500066823	3.38331042100682	6.80856582754496	5.38634543562738	5.04854767196245	4.45596515221263	6.0024388791099	5.19924347881492	4.27958470834337	5.70094237590326	4.80048405988889	4.83262310112578	3.65616734970298	0.814114904059125	1.37849238812999	3.05634949129797	4.524351702506	4.49844499196464	4.68028226681468	5.28414661342134	3.51086662490405	3.39246693457951	3.4404319641437	2.65142046922252	4.60843801066944	4.64034750970449	5.03278882010452	4.13515057946135	5.48859198773181	6.52319107609368	2.88610713843579	4.4842107542862	3.52513179496368	3.91339044058217	3.66902839074198	3.9163052912288	4.83278862224067	5.48025704522745	1.4587534562761	5.32096449342337	3.91420882732257	4.58346350072371	4.45028773325573	4.36917387072083	4.95236809277599	3.23365023478444	2.06337830622935	3.436593690795	4.28853270950436	4.31067820663007	4.88236324335119	3.96567983540574	3.76148911367618	2.58989414722378	5.29083078886806	1.87070290791148	3.50570486064267	4.22518493579414	4.6503934744575	3.97788841946245	4.80872818943439	4.28682556499393	2.87668070573852	3.87167360418165	3.59614916659809	2.33154290580104	4.82785123984892	2.03205268729323	5.84854484435318	4.69883940190266	1.84767915458535	1.48869282382586	4.85178869258707	5.2055179167807	4.91060145499501	3.66001698795085	5.8992879579599	3.85964254256257	3.70445681901024	4.21854279901539	5.73309356069013	4.19118121390497	3.15303015937242	5.00979145393895	3.15406985057958	3.62744720557018	2.89386619914937	2.13321515296477	3.25250129047189	0.96265628173213
"IL16"	3.14597296834498	0	5.15194484328896	4.64039619148223	6.94783527600421	4.10638037574611	3.03567885096183	7.19705694750288	5.15847281224896	5.9094939292858	6.97254487327519	5.72407496991973	5.74967926086777	3.5934742780539	8.28463476502376	5.87656411897631	4.47161636026873	5.72197058761337	4.60392535274825	4.73530934385703	0	5.35438861765266	5.85596409712369	5.01469381155206	5.92480610230303	4.41417026775879	3.2246867540357	7.11301821617289	5.77197445526586	4.13363556984968	4.44585220601527	6.27441259101602	4.32019740691535	4.68628703521878	5.56227721768157	5.57074278457486	6.01988956578873	5.54940133507923	5.52152250399216	4.45687356115288	2.51159555283191	7.18233804528669	5.53780507772298	6.9085546709905	6.27157792183747	5.6612335430021	2.57477492077421	0	4.73788434631025	6.76228262703362	0	6.59164562013881	6.25215439720515	5.2242712066743	7.54935878047706	5.62340014770337	5.20240342966273	6.72903742359111	5.04837129645752	6.79414173875983	4.59778435278003	0	4.89721021727901	4.68372144425885	4.83368668630176	5.0876599788508	5.59171630209391	2.05791441058522	5.77424526709435	4.32208508187143	1.98434339915908	5.47368349015512	4.98147780609146	6.18621963038992	4.8816975466602	6.61560142174929	6.98212641351424	7.94415203688393	4.87335352414963	5.5162274316038	5.32851445678438	6.71563563329839	5.12341040716527	6.24467670602608	7.75143946767512	6.44405882992104	4.1385460190363	6.85247156866332	4.54574902426985	6.71269621364449	6.09432366340195	5.06137627726652	6.4540466146997	4.8866441490955	5.54147841981292	6.61736445353056	7.03118025460869	5.81448991916612	5.65506795094985	5.15913218196858	6.05979834878578	5.00573144915718	6.08230436990605	4.9594864721166	5.003404566481	6.44939343264621	5.65628916400165	5.69567211519691	6.938050423389	5.06215124699838	5.50500438461858	4.99982319213123	4.33351991866871	5.3408346203866	5.8273074484978	2.03205268729323	6.28931171681213	5.76020658776143	3.61626725074094	3.04008293831779	5.38032075932719	6.28404901532217	5.88641672248244	5.45698635238515	5.94739160127903	5.34286221148421	6.03770802212259	6.89995957421293	8.00174437357944	5.15114197169585	6.30314673097126	7.40455889439082	3.9832727249449	5.77516102155722	3.67729317302053	6.23864724301215	3.85858735770954	0
"CYTH4"	4.19171964961449	0.68880014435229	0	0	7.26005506151922	3.50659913012738	4.12580454043033	6.80098683409749	5.50907707310405	5.30655342966942	0	4.25080125279862	5.17806145034849	6.34455884919576	1.64570188941856	6.43308915216462	5.5209119011276	5.74616929364242	5.19106864028242	5.12072524342045	4.46014648766221	6.65500106248007	7.9010164601403	4.84535401368568	6.14380193243021	6.11006500932179	6.12665391435026	7.77867033379623	5.99938327968385	3.68071628766333	2.71040176282897	5.78725226329705	4.15270919779338	7.01669500056231	7.74673630101313	6.78537708640259	6.4324278742389	5.85773799034768	6.33625472807981	4.61331648623032	7.77917063852736	7.46476930154266	7.50833313111923	6.12190040368625	1.43006104226714	5.29124920063782	0	0	6.35148144567487	7.30887294685407	7.35078517164673	5.79751209646693	6.28963054559668	6.18311888970356	5.67485436152561	5.73226198261206	5.55623984610115	7.15615787698969	7.04821017771234	6.50487634469035	5.80010525897506	5.30994654961914	6.38194459614165	4.68372144425885	7.23803012375195	4.74435662836022	7.19079081307605	4.88139808923749	6.31941844750161	4.55195384065668	6.35437975879479	5.6526773355268	5.73297451911375	6.20584775969197	6.0642019945841	6.91349058454767	6.72356933967813	7.34374916846444	4.68131832454623	6.94571675517544	5.42794405353451	5.1194623618056	5.25222560206137	5.81527694823358	6.85268540171715	6.44405882992104	2.83197382452782	7.36772252985421	5.56586919529199	6.64230763101069	5.67965051839207	5.90682865865591	6.57231867052887	5.63683935818767	4.98807155299707	6.72552166474176	6.48528625208961	5.27386271525941	4.97241225386792	5.54533797978325	5.47520020129545	5.09320514440738	6.34461015250991	5.18697967431654	6.31383034839828	6.65598114998398	5.49208421977865	5.44725868774048	7.22541625712357	7.68558405916323	5.82864010981518	6.35031697217779	5.2972900476349	5.12436299906069	7.15882314856878	5.27987342802444	7.51472465799674	6.65656360521021	3.97534043985899	3.86270866261113	4.85178869258707	7.04754416235907	6.92899062533766	5.27919758732055	7.41771005199814	6.07933686713747	6.51209824928564	4.96994513320676	7.8335144148083	4.19118121390497	5.44084602661301	6.58655094201637	4.07066958577349	6.98529775540947	4.34325061733643	4.41424672518981	4.84413646206156	0
"SELPLG"	0	0	0.970733424659506	5.48832894567295	7.38048289889061	3.11461923471834	0	7.11907348543805	5.07683016860343	5.35121748809705	1.86820872657131	5.72407496991973	6.0589282312388	6.41644182844138	0	5.68457345187547	3.77736257822865	4.74904804122706	4.46576694962004	4.29604727936948	2.8864765824135	6.24472766548505	6.93781072662429	5.3673124550767	8.17334677678931	4.92906872649981	4.30622016910683	6.28227733053531	5.38596952112498	5.14110990441136	0	0	4.42194469879781	6.23340051015921	6.65387547108793	6.84220060241584	4.65727105414822	4.74978366839078	5.39442187809349	4.08154243788711	0	6.60807944661185	4.93294236398359	6.71627152689137	0	5.4674805030868	5.15803247537067	0	5.2798276795257	7.60994556230121	3.00963205718404	6.54977994358344	4.81148532950245	4.72012191936069	2.58702742795574	6.37683360352598	5.67659151970973	7.15615787698969	5.79390206244272	5.65794034099009	4.49544499346985	0.814114904059125	4.89721021727901	5.39805645902008	5.0287063305515	4.86809261965439	5.85317639769988	0	5.94631619613736	5.28556323092899	4.50356411385335	5.24716764394904	5.1371274235568	6.9271122743272	6.11589917507006	5.48528604627771	7.22941089224862	7.21974503373386	3.46541528050682	5.74912275404409	4.69196820632666	5.15786863012296	4.53218009285628	5.02013970723739	5.75923026814729	5.12689143174643	3.40842545594509	5.8794468492361	4.13424824374177	5.83135326179874	4.78399970012858	5.37463710153224	5.26494644396705	5.3402172704907	3.77805668610015	4.70675481686621	4.12780632014065	4.90183857328712	3.39205538384259	4.12530827312982	5.3779792482752	3.7059014609246	5.31982582904765	2.84798022488826	5.28471010846861	5.86683826141363	5.23928911068135	4.67775669375326	6.41079829417821	4.78771552968455	4.12894641254776	4.61806357559572	4.91868495568176	3.7977380641459	5.01413255469409	3.56248937855648	5.21070468886813	5.24465539565386	3.39649194595961	3.45086842046482	2.49722033930091	5.52764689736808	5.4194906105396	4.60179275272077	5.22592860736979	3.76035190050867	4.13338607625394	3.14237159394381	6.10237352693471	5.392644670249	4.83962039545417	5.86675601603	3.44321409057216	5.58342924809135	2.40283058146792	3.39003939825621	4.43393202905432	0
"CCL5"	5.84631913314755	3.97146228321473	3.94462890772124	6.38875603953099	10.084570601295	4.10638037574611	5.76786753477711	9.82535889870408	6.67984680345724	6.85154386002904	6.77718816001939	6.52263645135803	6.48681096504269	6.67274991437584	3.7838759916649	6.63549739791117	8.0052543760971	7.76784137127945	5.31696266655813	6.26196203161913	5.39603239314974	6.91564750460468	3.13120720052666	8.0304822429072	6.62014548690842	6.65206359471855	6.67555880763965	8.89498474345092	7.62994714959327	5.62866516257978	6.8587215145924	6.92806339172715	8.89521292240831	7.46824653419243	9.86129476822461	9.50435217833608	7.25748614057413	7.37150802634924	7.01800118567189	7.19032151982857	2.51159555283191	8.55293784939084	7.02846644140955	8.97384619867804	4.52541463613227	7.20235691465225	8.02947201899787	8.35121371193334	8.079234485755	10.7662746998656	7.45595477145726	9.82831710275864	5.95841048661544	6.24733769521275	8.20214148322969	7.67131750890689	9.60320789497712	9.81790133840325	8.64214800164017	8.46823507364653	9.0383918516593	2.96790127239391	9.47123755100439	7.16705361947179	8.193115626341	7.33826965335541	7.87696438127445	7.28566232999068	7.18708334923594	6.33026522149079	5.8123460870695	5.9277155310948	6.84886496177853	9.2886724092047	7.10546049296464	6.23975956923364	9.61725131394717	9.75850184931756	5.36397252255047	8.44201102744574	7.87739149221172	4.95471573138563	8.80206569735268	8.47860218093689	9.78139136626857	7.56142824299812	5.97909064128017	8.50608823305311	5.51452935566303	7.34717354652458	7.14300212906152	4.72518868553592	7.70449252708401	7.21055311501298	5.83727774817735	6.00744457526255	8.83389550654891	6.61081623089162	6.23045523477926	5.15913218196858	8.83634764774188	4.91260974346713	8.41087352580736	7.56047734277977	7.82208088686134	8.31394767357175	6.95395256444386	7.43596898768357	8.53280171751681	8.97205256906319	6.56833371529655	5.25532299952694	6.22148854266538	6.36589127108203	7.07753557490692	6.87826365467006	7.43113365018377	8.71452532140211	5.86251482609474	4.1091192091582	5.20969639709721	8.41152764574466	7.75117463850871	7.09090014740103	7.86860638938799	6.70468217854926	6.25222169882309	5.72443345086255	7.28688671456426	7.53560879785817	6.63938036398927	8.00718060663048	5.02708891323278	8.5481298140444	6.50868763773268	4.50312095629215	6.94562768922769	8.56837061517411
"CXorf21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EVI2A"	5.27384043138481	0	6.70959888493118	5.7243841993669	5.5154784441849	3.5627009780361	2.6189622185159	4.97275751751189	5.90570261452788	4.88854326233678	3.53644590938349	4.77110635028155	4.87939606481997	4.13803725153911	1.64570188941856	5.32349805496338	4.41542952724564	5.0888735548714	3.45854358822717	6.55799317672462	5.00268438906744	4.47263675996543	7.26346954037812	5.20174965555503	7.02743883386887	2.01723673125977	5.51952651585495	5.28075414782077	4.16263881247706	5.85181697748955	0.759692629811245	2.56792376309593	5.04933749118114	5.10064882231918	6.95810457938915	5.21681927257222	4.71891343474758	5.2949579999556	4.29232536957711	5.27537389860857	0	6.23742388895851	4.52171584729064	6.18584068185506	1.43006104226714	3.90606381414364	0	2.81330476656505	4.85482382892719	7.4710896512679	7.03882483265974	5.53107503496223	5.64805380973523	4.13235187649	6.80981037807094	5.9049941554005	5.70517362372278	6.90434512427871	6.0751285099941	6.62584078818143	5.75652004391232	0	5.11266977894002	6.14010742978539	6.09621058485933	4.37870497000052	3.73548166724543	5.68989819488304	5.08452987126879	4.38307605376151	5.40584111850044	4.38939164401478	5.8043962049615	4.16647324305236	6.34978310381155	5.19021854227429	5.01596122108109	5.19680376707416	4.45973867348656	5.38397285369239	6.22086471505328	6.60878605338727	4.9819558131582	6.09249501950433	6.36767493987376	6.44405882992104	4.56883467425016	6.28105975474407	5.160948331666	4.9526825859761	5.70609623436351	5.06137627726652	5.68064064939089	5.14838269591076	5.78277184846788	6.03172647622697	5.36370062550027	4.90183857328712	2.26280512436759	4.63016003972922	4.99646284526906	4.46507919322375	6.25737504555118	5.58322501529148	4.83909088245018	5.51131432120148	5.0422258213545	6.43063004740781	6.41079829417821	5.11128747400413	4.4964357825758	5.85879624736325	4.766636856629	5.18959593842007	5.39578092601001	4.99542277641631	5.07040979942809	5.63971396895704	3.80694637095519	4.50310383743864	4.20338684701312	5.73634167681767	5.47948593122375	5.6152497401552	5.37407164005828	5.50500308793611	5.66247679948005	4.14063190759082	7.32546067178837	5.59945814594938	5.91203050560434	6.1873286328035	5.19208934272731	5.46475984817862	4.0943619276126	6.42077735073155	5.29960167536621	0
"PIK3CD"	3.2685832464329	5.97283454942598	6.38449804571628	5.7243841993669	6.56087973012676	6.3596953399907	5.39727730926081	7.00446085460313	6.30279081670888	4.42843590190449	6.12764447855465	4.81027992620035	4.62613152521126	4.69542422227118	0	5.89640090908976	6.68223133960158	5.05052223084148	6.05552501013485	6.30512213390922	5.19484291681488	4.82976135109799	7.99179476485543	6.55593391865891	5.42781085111429	5.15156956017705	4.86666740806238	7.48825357297041	3.3686679400645	3.92487708488654	6.01720811269773	2.56792376309593	5.70291486421445	4.516699771222	6.9095950324634	6.1227967271081	5.17986110027188	6.04353902875976	5.94086801269222	3.67108665093148	7.99398686572521	6.07266025330102	6.29049553585461	5.75121666407293	6.33351881243918	5.21918639940485	5.05422212616079	8.05676153078716	5.69812727924729	6.53163275026919	5.37705929976053	6.010032132687	6.04861247643274	6.36778761959295	1.00123931097015	4.53705889337742	5.39014232945251	6.11960111621723	6.71061832607852	6.01219701745828	4.69334252061127	5.87343563294317	6.10849365257968	4.33710144651067	3.21018976444764	6.43982390877756	6.01460972708834	5.16197766470813	5.04720441626446	5.25325629791987	5.65192488249092	5.941560597682	5.8043962049615	5.3539862022765	5.61501239795505	5.36613444658404	6.66304839182611	7.1847945644586	5.42657894958429	6.50037930908579	5.18429202125642	6.24845718429089	5.62006674526511	5.63811684227498	6.61705731452513	5.97322045724113	4.51468062138661	6.11891021718627	5.63960785178295	7.77980261815048	6.47873163543012	4.52227126664479	6.07342696503735	3.76656058929416	5.57394111520306	5.12306124840824	6.74286178415109	5.36463965694049	5.21306546434208	6.76621128172766	5.30932352683167	4.09303147060968	6.1645236965731	5.63556959118976	5.31630890872934	5.46580842244238	4.16023268686844	5.07863302109919	6.64526605972701	6.77874188857073	6.56833371529655	5.69581482229252	5.09930485278974	5.60272164904725	6.92323324282109	3.97056393965173	6.98019058150818	5.8714068733392	5.52522087430539	5.98456502528775	5.8265888371512	6.20602007859299	4.72479248357447	4.5126389278289	7.09362112807038	5.85706719609228	6.75250378721006	5.39595925007475	7.0616875127602	5.46492712446685	5.81420520383901	6.7800439155668	5.26801331121815	6.07974738711048	4.2649633791174	4.97647659394595	5.29960167536621	5.01406651460759
"DOCK10"	4.75012317424913	4.52543777395034	4.11413571968719	4.85450108778594	7.30371602259247	2.20333222457622	1.02049582944138	6.62172285502379	4.41313445805643	6.49143060844668	0	5.21240469422508	5.99910464876354	5.70607222942084	0	5.03222809568593	6.0682876471655	5.51221247186628	5.87623867228774	5.86042950905829	6.26344682213146	5.5967372121633	7.18868434575945	6.42680172698522	6.2937632260838	6.7776136341691	5.73270810811041	7.32258724513586	6.16093406283808	4.75551056384763	2.36702968854624	7.14457982287634	5.55398589071934	6.52936100346207	8.03376429418921	6.44974964492966	6.50421156133892	5.63287996855517	5.61571011734659	5.27537389860857	6.45937135125818	7.03656050215446	6.24798521819889	7.17589769974379	2.60495932512384	5.35988305324678	3.07667374565719	0	5.24596771848217	8.15473200145607	7.65840658790903	6.38812791649384	5.21362093025696	5.4950354920687	7.77725331446895	6.55041459847297	7.41690232565467	7.13286471067362	6.15284527571447	6.72082519104752	6.53959179698341	6.46262827199669	6.57588643155902	5.70682207205785	7.83292085762904	4.95439286991059	5.85317639769988	7.13143444683535	5.88416960385383	5.69934013809421	5.95670080737641	5.33370732599168	6.30886674416005	6.8037325371115	7.02661891521831	6.4690924237476	6.87947038196019	7.5293255551797	4.62903155984402	6.33111515991845	5.55067956113941	5.74199368767365	5.17632448776393	6.36344808417194	7.30975084583619	6.25091132405385	5.99895083271719	7.00617408706974	5.56586919529199	4.90537855399544	6.71843037957593	4.19787982289896	6.68162514845702	4.56665766290659	5.75472670422202	5.44575016727177	6.36422839528373	5.71448484157874	5.54197464074989	6.04206245526141	7.05943390351415	5.17567695253068	6.84104657637385	5.58322501529148	5.64970285302779	6.38972614349963	5.56738005783052	6.19265962787423	6.72933113022212	5.41509299432491	5.65786154587049	4.38110961908155	4.53523303655623	5.28222763310322	6.34420205196659	4.96005611366252	4.18254497572225	5.99934139597592	3.97534043985899	4.18271499656308	4.85178869258707	6.89426650173426	6.57744558968021	6.28762678786399	6.58660863869806	4.7061138728845	6.33521425936702	4.61407560757992	7.78820246156535	6.43056378543748	6.04735425577812	7.17739593565381	4.79014686339096	6.57977255602397	5.09740345827085	4.41424672518981	5.35076029185019	0
