"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"BTLA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM78A"	-0.691478977589623	0.863770658080442	0.306518625041562	-1.77564023248891	1.3502813625749	-0.52804996275022	-0.103518462469652	1.19748219727509	0.768169230696437	-0.447985019714835	-2.41170507232367	-0.9777713466885	0.0491715099803899	0.149848598834554	-2.41170507232367	0.672886230798258	-1.50033413295572	0.24353296211049	-1.0641753536281	0.682802397564234	-2.41170507232367	-0.446158065739314	-2.41170507232367	0.041951833529084	0.998445310720274	0.697976597590721	-0.900679101054688	2.06143213542806	0.0774418091791816	-2.41170507232367	0.226596273442855	0.570934732156684	-0.388901378865974	-0.968311316928125	0.269251237417124	-0.121336721601707	-0.771168089564867	0.211074316130228	0.728417667320728	-1.25601998211608	-2.41170507232367	0.992067892797031	0.797602950665369	1.07532513471181	-2.41170507232367	0.18741696287635	-2.41170507232367	2.30862331973663	0.251655156303387	-0.25581741638422	1.92679810820544	1.02054151173031	0.805292557815975	0.427691575203813	1.41312394858336	0.901317808049559	0.315299753476234	1.2210066112157	0.647223326025532	0.667702724500507	-0.0819495735870605	-1.8929408876128	-1.53331250600055	-0.464161004355679	0.4712683391609	0.454760259643472	0.570629242224804	0.955419145813912	-0.174537010154543	-0.249982771575915	-0.219418855680953	-0.722186834561443	0.524849184914076	0.545182316231188	0.795250820592764	0.223264522650312	1.08569429173407	1.74495375240804	-0.572641557832188	0.445690025617025	-0.165447065628467	0.0819561924951506	-0.073754357609725	0.0838135717320486	0.667808196622185	1.08038316227148	-1.48216915096154	0.97887995878614	0.082477678747325	0.508935115258853	0.42407385293666	0.372387086662187	0.744005728728668	-0.351182756217982	-1.09689464514172	-0.221864651396653	0.321001531571602	0.335112918925099	0.699397764353382	0.11527564794232	-0.0148372301728159	-0.761392175368734	0.959678385890215	-1.21966981535891	-0.17782615080947	0.280635538984827	0.551583730440342	0.123055110181706	0.652476588336537	0.319913717768267	-0.578648198477815	0.0553737033205501	-0.120193909455372	-0.926016813067268	0.664662034896989	-1.11685572076745	1.31506074758509	0.582454080471208	-1.23434083853226	-1.46309141203271	0.679915278747268	0.905315958285609	0.717391505492448	-0.0794965360156664	1.34739489332869	0.0477073605955723	-0.0511789206357407	0.2764030864728	1.24149374771239	0.25896794270939	-0.402554875170627	0.780596611647699	-0.401892370948254	-0.100250408127175	-0.567697387439121	-1.05239373417837	-0.339170628094691	-1.79828846655999
"IL16"	-1.26402388455131	-3.18277197150418	-0.0405694123551115	-0.35256605279473	1.05475510785592	-0.678265553444059	-1.33129293894576	1.20675692421826	-0.0365879643008149	0.421464392180085	1.06982564182748	0.308376238801704	0.32399245189974	-0.991090108402371	1.87007726351487	0.401380300177132	-0.455505900503435	0.307092763207615	-0.374809839615059	-0.294677942700252	-3.18277197150418	0.0829022794503693	0.388816221299587	-0.124279653106494	0.430803379825411	-0.490542622438254	-1.21601586692669	1.15550118979464	0.337590426844223	-0.661642444449813	-0.471219615205751	0.644030508015664	-0.547857242997025	-0.324576947511833	0.20969480361329	0.214858004456055	0.488795363704414	0.201841724340309	0.184838255348987	-0.46449762353618	-1.650934536572	1.19777977605026	0.194769096303769	1.03079762745708	0.642301626007392	0.270048869529037	-1.61240105500875	-3.18277197150418	-0.29310743301033	0.941585416372949	-3.18277197150418	0.837512865897407	0.630455099954833	0.00354287747644374	1.42162795930055	0.246974051155581	-0.00979441299904581	0.921308964175957	-0.103739549810651	0.961016482784444	-0.378555272922835	-3.18277197150418	-0.195933613273337	-0.326141717074633	-0.234677001969145	-0.0797771429687781	0.227649880616873	-1.92763743024955	0.338975408818193	-0.546705938536617	-1.97250883850687	0.155660949248409	-0.144538297276362	0.590241083825836	-0.205394885627824	0.852123655301522	1.07566948161528	1.66241477250419	-0.210483955810797	0.181608758427787	0.0671214710432187	0.913135130597397	-0.0579727388539487	0.62589441053091	1.54487820203082	0.747498783055862	-0.658647531563492	0.996592201541649	-0.410291936917568	0.911342360635791	0.534193173487431	-0.0958077327546177	0.753590393864277	-0.202377922654792	0.197009490032101	0.853198939129957	1.10558771826407	0.363520867393258	0.266288437359335	-0.0361858106902042	0.513135973683811	-0.129745852553463	0.526862533131061	-0.1579509458968	-0.131165032479167	0.750752389770407	0.267033262642475	0.291053164601207	1.04878726661079	-0.0953350739919992	0.174763753671115	-0.133349334522266	-0.539731761882794	0.0746356139111201	0.371338356650822	-1.94341065290312	0.653117575643456	0.330413132732409	-0.97718853544568	-1.32860685922605	0.0987184507046191	0.649907821930479	0.407389463103548	0.145477263159535	0.444578413301263	0.0758722540789805	0.499662948819434	1.02555542554845	1.69754068965909	-0.0410590886329602	0.66155563509848	1.33331362627399	-0.753349659964007	0.339533933046288	-0.939968453516592	0.622217004291336	-0.829396025352748	-3.18277197150418
"CYTH4"	-0.772208749360948	-2.79388355866166	-3.19141764369781	-3.19141764369781	0.998650215401018	-1.16761917586415	-0.810250992578279	0.733703598804593	-0.0119091438709303	-0.128793630541128	-3.19141764369781	-0.738110395496116	-0.202951485838707	0.470280771660112	-2.24161732757349	0.521375146824324	-0.00507879174560402	0.124926249869501	-0.195444516811954	-0.236042501785019	-0.617288895848443	0.649449376989931	1.36857464882856	-0.394970241210556	0.354415933542053	0.334945007222125	0.344519127141109	1.2979638108479	0.271066158643756	-1.06712920721694	-1.62713648943092	0.148636873170221	-0.794723239810327	0.858197400516924	1.27953340457108	0.724694589706064	0.52099349691134	0.189317002582113	0.465488131564249	-0.528888369607234	1.29825255669844	1.1167989828902	1.14194140957722	0.34177568620542	-2.36607227662025	-0.137626312611745	-3.19141764369781	-3.19141764369781	0.474276078687792	1.02682496759745	1.05101418717208	0.154558232834932	0.438579452935242	0.377107320534667	0.0837675530821615	0.116899784992717	0.0153103768636361	0.938686998888309	0.876386068472084	0.562806403963313	0.156054850530894	-0.126835325442489	0.491857580009219	-0.488254855225204	0.98593874378609	-0.453259867738082	0.958675050098945	-0.374167765030854	0.455771241331362	-0.56430320417649	0.47594881099443	0.0709683052719717	0.117311018277981	0.390225059560762	0.308475628912265	0.798634008394454	0.689022869478188	1.04695342860471	-0.489641791630523	0.817233019094102	-0.0587342512191978	-0.236771361224707	-0.160148390578927	0.164811038602701	0.763540907848261	0.527706186162506	-1.55697239508559	1.06078941334349	0.020867859032392	0.642123490509614	0.0865356068452598	0.217649188731811	0.601730064933415	0.0618275757266016	-0.31260224684535	0.6901496342796	0.551500178780778	-0.147660748018843	-0.321639854056462	0.00901847421609846	-0.0314608401775308	-0.251925450519812	0.470310380852584	-0.197804422449777	0.452546126060486	0.650015024648859	-0.0217163984922556	-0.0475870040825126	0.978658777354614	1.2442400023977	0.172523453090551	0.473604014504872	-0.13413989844137	-0.233943007654704	0.940225233610319	-0.144191725517827	1.14563021511838	0.650351182832525	-0.897089836968568	-0.962094135938812	-0.391256530912239	0.876001684400371	0.807579701254701	-0.144581780191964	1.0896392096765	0.317210568592483	0.566974453664007	-0.323063727966403	1.32961652135261	-0.772519502122672	-0.05128800704376	0.609944077474146	-0.842071577885544	0.84007679582944	-0.684754173310253	-0.643779482744296	-0.395672938901389	-3.19141764369781
"SELPLG"	-2.50880174294286	-2.50880174294286	-1.97867955200712	0.488401084678679	1.52171545687032	-0.807893202352895	-2.50880174294286	1.37895851920815	0.263679623847155	0.413523858402036	-1.48856397416237	0.617143122094285	0.80000809822788	0.9952479927487	-2.50880174294286	0.595571153148997	-0.445965875689552	0.0846762279609066	-0.07002493831042	-0.162709666323858	-0.932483001790529	0.901474062678209	1.27997005502591	0.422313397261568	1.95470223304206	0.182986389809942	-0.157154202322396	0.921980115318075	0.43250211074222	0.298783096658159	-2.50880174294286	-2.50880174294286	-0.0939564802018166	0.895288248688636	1.12491164668726	1.22775690645858	0.0345563740115227	0.0850779574922411	0.437117983525513	-0.279851791694526	-2.50880174294286	1.09990221751269	0.185101801866047	1.15898643279022	-2.50880174294286	0.477015649933559	0.30802459403048	-2.50880174294286	0.374537540666455	1.64702612072002	-0.865227204830625	1.06806457857827	0.118773531315061	0.0688795337196877	-1.09601362492806	0.973617750667981	0.591212181612513	1.39921048375317	0.655276033081607	0.581026683230343	-0.0538176158584639	-2.06420967920029	0.165588304734212	0.439102845646246	0.237398964485627	0.149687044660717	0.687646032583595	-2.50880174294286	0.738510124368942	0.377669752866939	-0.0493837251766028	0.356701738193685	0.2966082447139	1.27412757878344	0.831120204596422	0.486739342687292	1.43921430762	1.43393573580723	-0.616321794960372	0.630821837445774	0.053504655655909	0.307935117352864	-0.0337564014444163	0.232720690301558	0.636341599499072	0.291018320366939	-0.647444212186608	0.701992452487837	-0.251068897683733	0.675728313132386	0.103763496950546	0.426313421911183	0.366410826372102	0.407516586673145	-0.445586820043339	0.0615796947723262	-0.254586863138013	0.168115872205492	-0.65638398727656	-0.255951058622376	0.428138584318079	-0.484991135466948	0.396380722449743	-0.95350604774311	0.377203858589122	0.695106842050143	0.352399233292622	0.0457436803041385	0.992166031550894	0.105792729338463	-0.253964253192406	0.0131449814465563	0.177315762636294	-0.434838724855509	0.229440155412532	-0.5633091632389	0.33678914309348	0.355329787319651	-0.65396115937144	-0.62426590517725	-1.14505770787592	0.509872807158042	0.450808138856233	0.00425940683700832	0.345102998190783	-0.455255488587534	-0.251539731494533	-0.792737505533861	0.823733783112221	0.436147441776008	0.134138226117528	0.695061927450669	-0.628445971537138	0.540335817115008	-1.19660440849753	-0.657484926699061	-0.0874101415081852	-2.50880174294286
"CCL5"	-0.798739489558658	-1.97901547465769	-1.9959078516385	-0.457259949902752	1.8693609720016	-1.89408067839532	-0.848127013492865	1.70617979492364	-0.274009992361408	-0.165921786805267	-0.212730825628553	-0.372978403308787	-0.395531571116774	-0.278477686922723	-2.09710640787106	-0.30192921100539	0.560371965125788	0.410913691473315	-1.131984518423	-0.537080402647284	-1.08220786510263	-0.125566709961581	-2.50798007026917	0.576253628492406	-0.311593677859261	-0.291500316523727	-0.276709408313027	1.12048266682479	0.324105336826953	-0.935758886283158	-0.161403248064147	-0.117750554074862	1.1206263120016	0.222310176764371	1.7288024521149	1.50409688757029	0.0896304838018837	0.161410520534233	-0.0611321416613675	0.0473484349526084	-2.898043315838	0.90515436863963	-0.0545439639956844	1.17012820736719	-1.63028663220707	0.054925060059787	0.575617663661387	0.778163257257212	0.606944559085343	2.29851319048442	0.214572160727903	1.70804206894457	-0.728174778103415	-0.546286840492966	0.68431802763853	0.350149160703178	1.56632938726506	1.70148504751889	0.96131470980417	0.851831549841048	1.21076154113826	-2.61078582058888	1.48325028299005	0.0327006264995153	0.678635992697547	0.140486014522058	0.479609745853911	0.107368200535381	0.0453099139923157	-0.494081591983913	-0.820126493280049	-0.747498130105458	-0.167608229837816	1.36832030708811	-0.00607400744982405	-0.5510574874389	1.57517012097741	1.66409137103766	-1.10239047016661	0.835322763069393	0.479878624399094	-1.36002931996353	1.06198747095317	0.858357940253311	1.67850097631967	0.280970726319283	-0.715156029541471	0.875661195826726	-1.00761063963093	0.146091269814929	0.0175595257066199	-1.50452315700332	0.371033783047056	0.0600848024983485	-0.804431299870867	-0.697306417522457	1.08202524578699	-0.317466711224909	-0.556914831968555	-1.23134332050128	1.08356893876933	-1.38653624307654	0.815720815634805	0.280372107447666	0.44505901712151	0.754703220753872	-0.101452579734737	0.201990538492417	0.892478097976856	1.16899906624868	-0.344210669274429	-1.17078845096271	-0.562559620992401	-0.471653975295213	-0.0236535416796378	-0.149100912218115	0.198946555304548	1.00687830170396	-0.788543837848883	-1.89235650446513	-1.19951170155723	0.816132602835198	0.400421506728608	-0.0152401612306266	0.474348151024633	-0.258375413751803	-0.543212220597252	-0.875470011002763	0.108138985626929	0.264716647482087	-0.2994847728537	0.561584582313276	-1.3144683329994	0.902127572937803	-0.381759580252088	-1.64432114099409	-0.106693326673335	0.914869735889294
"CXorf21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EVI2A"	0.1954916290222	-3.32607927324988	1.15420952321764	0.496339150703688	0.35684376051553	-0.947110045609869	-1.57728515198866	-0.00555442886692461	0.617413283147492	-0.0617879221702662	-0.964641688253804	-0.140205617534211	-0.0678959007926053	-0.562933181301925	-2.22717308467777	0.22865016776554	-0.377706385127012	0.0719812614469016	-1.01666043075708	1.05297584776145	0.01442903506932	-0.339506646479889	1.52405286778242	0.147353506189814	1.36644497673984	-1.97908323341454	0.359546832705336	0.200108215918255	-0.546505657133015	0.581431517314138	-2.81879971206086	-1.61136573175635	0.0455813251398733	0.07984411580325	1.32014750219861	0.157416139954828	-0.175057080152487	0.209592741100419	-0.459908345014595	0.19651559127988	-3.32607927324988	0.83891789689114	-0.306734421365534	0.804473562910092	-2.37116578649532	-0.717831858624517	-3.32607927324988	-1.44751424382646	-0.0843038433630399	1.6626897777816	1.37404789961111	0.367258277407092	0.445370054732119	-0.566729551632417	1.22112506283354	0.616940214407378	0.483511420118277	1.28424999348517	0.730546266848434	1.09828062658507	0.517797641255963	-3.32607927324988	0.0878710274256571	0.77393549641942	0.744623678247367	-0.402228957221457	-0.831736921316394	0.473311356915448	0.0690807964095853	-0.399310195915658	0.283634185641847	-0.395093003690001	0.549766620571291	-0.543945242324025	0.913944994653504	0.139653684109763	0.0232945489015868	0.144050922961009	-0.348119255569969	0.269031801282065	0.827860621695003	1.08689244399243	0.000587670182146624	0.742142634876813	0.925892145896441	0.976896966404866	-0.275271146712326	0.868055448025871	0.12010870103289	-0.0189593271912701	0.484127487067742	0.0536201422653718	0.467129694186787	0.111718083641276	0.535327104321402	0.701564855445813	0.255495159463947	-0.0529100691543196	-1.81510661733419	-0.234321553061931	0.010274641721123	-0.344553160016985	0.852240145343198	0.402081070335878	-0.0948094108410994	0.354063195854406	0.0408325562201681	0.967929988665061	0.95468747099259	0.086948002752531	-0.32361501179401	0.586091877070197	-0.143190091372487	0.139237944641498	0.276916560866032	0.00958014285338838	0.0596522149462049	0.439801183053848	-0.784016853863067	-0.319162463734344	-0.519296435577312	0.504323674544152	0.332810005988309	0.423465361480185	0.262420333550967	0.349848912977644	0.455000907555585	-0.561200617457421	1.56544702208298	0.412920632382055	0.621638689163761	0.805467131986027	0.140902898325673	0.322976764685146	-0.592097080340585	0.96135091780096	0.212693523617137	-3.32607927324988
"PIK3CD"	-2.02370495578257	0.318022333199268	0.674499426165329	0.102878509825127	0.827235898254092	0.653021698568823	-0.180377388074453	1.21135183559833	0.6037456291118	-1.01933875227563	0.452078896376181	-0.688683620173594	-0.84814562555055	-0.788142104630449	-4.85411149973398	0.25183516295608	0.932319466173436	-0.480647495674607	0.389627552790402	0.605764416752304	-0.35567401841884	-0.671813818073266	2.06632665188702	0.822953107794641	-0.153937083466512	-0.393146275532109	-0.639855279077062	1.63028871826062	-1.93703732321932	-1.45539194826122	0.35644730646555	-2.63043607969776	0.0842872908998938	-0.942907278919887	1.12920344789101	0.447881020298606	-0.368647416489661	0.37924837699405	0.290341136810147	-1.67515997951531	2.06822488613074	0.404465695414631	0.593098617619093	0.126113892854506	0.630354319679022	-0.334593951848583	-0.47744359749177	2.12258416334346	0.0801415155595954	0.801909682906807	-0.197885030401672	0.350233317330105	0.383641693122586	0.660029150854674	-3.98709540004491	-0.925277441087023	-0.186555873374598	0.445113803649825	0.956900976335394	0.352107983985818	-0.789944739459221	0.231948544507583	0.435495374074653	-1.09842917792625	-2.07427037849761	0.722408465970053	0.354197252825162	-0.38413345102869	-0.483520533741071	-0.305091364201808	0.0401328768724197	0.290940875883476	0.172164340154451	-0.217865015974716	0.00816877196616519	-0.207345329739672	0.915708128225956	1.36751053616898	-0.155003839883325	0.774845986565882	-0.364810491802468	0.556695804414708	0.0125455482705181	0.0281759021100452	0.875882480126547	0.318356507342316	-0.944655747438639	0.44451552452062	0.0294670312477406	1.88275355184288	0.756100336675157	-0.938082681865038	0.405129624019843	-1.59248499786586	-0.0273966148406701	-0.41783284647244	0.984821970799231	-0.208639732259042	-0.33989433227355	1.00504130307747	-0.256540343882423	-1.30977984728006	0.484014194376972	0.0259701280491926	-0.250491401834898	-0.121033355327214	-1.25158742936693	-0.456305155675192	0.900309643517046	1.01589209344574	0.833690623990728	0.0781390598153407	-0.438404529232142	-0.00247431511955631	1.14101335968883	-1.41582973951495	1.19033516427249	0.230191754477704	-0.0695855628535896	0.328180255803515	0.191381893033299	0.519947692888169	-0.762710866473053	-0.946423737534284	1.28855954378738	0.217774412388551	0.993171395151409	-0.181518752104149	1.26090685547216	-0.121796509075814	0.180658373354556	1.01701957451391	-0.292312632910752	0.41060274881048	-1.16089662716157	-0.544766791228387	-0.264958912397448	-0.512216065300437
"DOCK10"	-0.615787666899516	-0.7638220486768	-1.03480914995532	-0.547018090055287	1.06665159311784	-2.29374548369337	-3.07305937887572	0.617319162959465	-0.837813291177591	0.531475880989358	-3.74541489915768	-0.311212652565262	0.207106033292613	0.014041094580915	-3.74541489915768	-0.429922329918602	0.252687376736884	-0.113683756802043	0.126155562790879	0.115739667045204	0.38126835162814	-0.0579944790024337	0.990862765084794	0.488895025716246	0.401242369124725	0.720028084344064	0.0315901913609583	1.0790849321727	0.313727635025732	-0.612238175532715	-2.18589311391284	0.961804420528799	-0.086161264346312	0.556466390248996	1.54764521535445	0.504014302898755	0.539896634885304	-0.0341817586784535	-0.0454941461566326	-0.269725278532404	0.51035358149047	0.890635695984169	0.371081445952917	0.982438260264204	-2.02913274314367	-0.214046269372252	-1.71834284524099	-3.74541489915768	-0.289099593417368	1.62734500775952	1.30034011266138	0.463414715827621	-0.310411333259083	-0.125000840963962	1.37864249309711	0.570337589345522	1.14122459330916	0.954085897696096	0.308398323020685	0.682612916031315	0.563206967037734	0.512499409601163	0.587119752577371	0.0145351297565575	1.41531915444585	-0.481204208994083	0.110960941527319	0.953143565783143	0.13138087137676	0.00960564405195031	0.179168185811738	-0.231292194548643	0.411193349286795	0.737236570719403	0.884085663476398	0.516758327656753	0.787136586583406	1.21529484112238	-0.695569095746413	0.425851758190702	-0.0883396455614047	0.0377080122263104	-0.334984161754419	0.447154363729614	1.07062764731108	0.373009316080115	0.207004691312673	0.870615551526574	-0.0783319276669174	-0.513497379556507	0.681035090168137	-0.979634196309192	0.656785897173784	-0.73666425039328	0.046097183175518	-0.157472566217596	0.447668473114889	0.0195837592946451	-0.0940748980814609	0.235408861687173	0.905705877780239	-0.335410791512319	0.761820992877986	-0.0668970143149776	-0.0230979708608957	0.464467710576845	-0.0773364931547325	0.334630080847382	0.688217069418546	-0.177671099981666	-0.0177226013465683	-0.858912914174269	-0.757368422218292	-0.265209683182497	0.434474080652046	-0.477472970620089	-0.989737588066889	0.207262014621064	-1.12625467073971	-0.989625569528841	-0.548805156530754	0.796885036818908	0.588147006721416	0.397199365720962	0.594184098115641	-0.644783274586088	0.428552457265525	-0.705422851906636	1.38585635843615	0.491373664721935	0.238895374014803	0.983425375699394	-0.58941798702411	0.589680132699595	-0.386981424570334	-0.837080471967961	-0.220056817194456	-3.74541489915768
