"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"ATE1"	7.40112524976166	6.62805579226674	6.09145795425861	5.99645204207612	6.23977289279765	7.03612677534594	6.21007200980697	6.2803508443792	6.3614323006355	6.07841102850757	0	6.20756328223483	6.43130608180342	5.36220351844848	2.39451441669825	6.96159919895405	7.32483934153388	6.80356376074343	6.70408884873845	6.40769037495068	3.58041213341901	6.61884221491919	5.11411453704322	6.45651316103057	6.92606985962585	6.08868636274442	7.26072604844985	6.302197742328	6.92022771331881	4.87658372630656	6.07768024075909	5.65235876719424	6.48077383431829	6.11952032013293	5.79372852096714	6.54411252525171	7.1496981158766	5.89686188055035	6.95633468338644	6.72526577774219	5.84373386160656	6.12168649836706	6.15901153943378	5.72992736378177	5.05298279560969	6.81115344007465	5.66043246217692	7.76845843543248	5.818201812246	7.0965462063297	6.01083155523838	6.40701007836711	5.98149519471306	6.76875950717941	6.66066453156985	7.29901749884002	6.98732578304221	6.41823310508881	6.29674520257129	6.61688752133824	7.13222202596397	7.39066951745964	6.52666392735455	6.97058976287487	5.84316159107323	6.63537501449326	6.29167490744867	6.53529624176534	6.97488448474297	5.76954929144794	7.46302000363258	5.37510528922357	6.29239958861563	5.90329652880667	6.7385700102768	6.14641639333472	5.91492787957996	6.8021764457507	6.97859435279166	6.02554666740176	6.60768613489171	6.175454986861	6.8200672199088	6.89733773451154	6.38360047191352	7.01675057538837	6.86312946984931	6.21378564294961	5.9216552230094	4.9984846979646	6.73136310230443	6.1137822084338	6.20480194575446	4.01181840468415	6.03678150805807	6.85363566708959	6.43464285025442	6.34702493985962	6.72081230948751	6.11996585356554	6.77116904656737	6.82604267112065	7.10531673315353	6.39670794776064	6.6845232000516	6.38972614349963	5.47262979858012	6.4029435720355	6.50920310237679	5.82165266675591	6.8480282817029	6.64655800818687	6.35189936821879	5.97990824067873	6.64151715538582	6.33206313497296	7.14666331165289	6.04749905376366	6.57648980820772	6.3938951058788	6.07049687838144	6.85645619666349	6.35528311113586	6.67425633797151	5.84952491107799	6.73114570864215	7.10760756445021	7.09847219823579	6.68031967440448	6.37537062110525	6.37352466391327	6.33735065007379	6.80248854090989	5.16322254612264	6.60716665898811	5.99993449285839	5.64525355576447	5.51090053095344
"GRAP2"	2.51376555926247	0	1.54580696257269	1.58256060479238	7.18421560443818	3.03752925391444	1.02049582944138	6.13932502999655	5.40140620599494	5.00493579940766	6.12764447855465	4.30666054422642	3.86194028375419	0	0	4.71235517261315	3.48150116649031	4.01591186342196	2.71189024023708	5.02069997385188	5.00268438906744	4.55148442096418	5.11411453704322	5.67593263158035	4.99915856043458	6.44893697811964	3.75726674011669	7.81378710559801	5.30317010093546	4.31596996937401	0	6.02423569266662	4.56225811496778	4.88524712828872	7.19916230940511	6.64337872079798	4.45476624779953	4.359529692045	3.56637482391376	4.45687356115288	0	7.21659176754295	4.74193179713896	6.15422474311196	0	3.21220342751458	6.23585540209446	0	4.877115842496	7.28288709102543	0	5.53107503496223	5.17408935499351	4.13235187649	6.66066453156985	6.57984777927889	5.61767030766049	6.67630658231379	5.08054696367686	6.07891592309751	4.06630674947476	3.9454357696055	4.64382618286967	5.75649535923529	5.20047551860944	5.34360593095279	5.37089647492523	0	5.86284458526377	3.13317183189859	5.53412353526847	4.80741999592959	4.24756079090137	6.66880616046326	4.24047746040022	6.04661350595496	7.00939182139665	7.0840714766429	3.20464527816364	5.38397285369239	3.74673063873626	3.50033518103368	3.80964473676345	4.86771924216271	6.72099510571555	5.82685105007229	3.62837694986939	5.96376218244808	1.80076526654652	5.77982395958112	4.97008416780782	3.35818494975387	4.61709756881005	4.01181840468415	3.9853469417496	4.58076222800975	5.74245585879906	3.4660371264891	0	3.68727275441859	5.23723661619478	3.17518482575157	5.03514826839267	4.689280539128	4.92358574514365	5.1288476666832	4.6503934744575	4.7673388153511	5.85938055755196	5.41509299432491	4.97517165638886	4.9428070202516	4.25948735521107	2.54599811618251	5.05717316861505	0.825757848038429	5.21070468886813	5.20273930001983	3.39649194595961	3.86270866261113	4.73079268402913	4.84266080929298	4.8663442361761	4.84030829880439	6.78496011368897	4.95092821821006	4.5587553096746	3.77855909554954	7.17867675201409	4.74957473262364	4.44128098017208	5.63348571580238	3.15406985057958	5.48928748380797	3.55102294299362	2.34037103163237	4.11682086358348	0
"AMICA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DOK2"	0	0	0	2.99684669077904	6.40924169775854	3.50659913012738	0	6.85611146706877	4.17234167528393	5.1884412964391	4.9145019143449	4.25080125279862	5.7129099934261	3.21773575398939	0	2.74283651712675	0	3.75478836077351	1.07748845575778	4.96796048435965	4.87376617711523	3.61173225571169	0	3.75820016587653	4.99915856043458	0	3.51541411499915	6.15660804372938	6.07619836903735	4.98827823903526	0	5.91060450953339	4.88088300979511	4.516699771222	7.37917298934944	5.24518954579899	3.8296768548158	5.42108774737622	4.85253331085025	3.76305199063934	0	5.88662419952005	5.06940477930321	6.03777151013038	0	5.11713687051331	6.53479209534249	0	5.00408512230045	7.26529945737358	0	5.1822714607411	0	4.22031056352983	5.04679666256922	5.08071368380851	4.35367226603499	6.41823310508881	6.36364776363078	4.89320276764795	5.22803111495405	6.24913613517133	4.3922876540262	4.52079631153063	0	4.67826708267068	4.47360079355627	6.26551462149957	4.8874243422133	3.71064600927019	5.10897131591255	3.37736584174782	5.20907673037281	5.75130021227098	5.06821249706568	1.12675196719984	6.57818986477509	5.67094797907912	3.05414981493732	4.95732074737178	3.52513179496368	5.1194623618056	3.42850135915938	3.69256688182407	5.40077684441102	3.95852565222618	2.42539728082013	5.93620098013512	2.57727163705634	5.24640448932591	4.45028773325573	3.77872737223429	4.55278009538741	4.221377803615	3.07367585971474	4.44270446101823	4.36264450637035	4.2163260274851	0	2.8871241077094	4.8591116146874	2.58989414722378	5.06969862980513	3.16532051901353	5.4646866379176	4.16950174601747	4.20807365960486	4.7673388153511	4.88401890169675	4.78771552968455	3.47914437583228	5.05467145634861	3.71170430783678	4.28937672272309	4.77726400117621	3.24749077768723	3.88034430556218	4.11149453289716	3.13711354566232	3.32649842280064	3.36344181357063	5.03546734756985	5.74691847082011	2.76985739263921	3.71607463688624	4.34408882736402	5.7856320699345	2.55914668428611	5.23550972953843	4.19118121390497	4.44128098017208	4.97690990141942	2.98439393067445	4.89603940121851	2.89386619914937	2.68237213000922	2.74131102639666	0
"CD1C"	0	0	0	0	4.98247423693214	2.46120713289586	0	5.97195613405999	0	4.94791299008279	0	4.68941607485166	3.92759692748379	0	0	4.71235517261315	0	1.47797866118339	0	0	3.05452561227238	0	0	2.45295625377115	1.07483181420839	2.01723673125977	2.37130626956467	0	4.33925443646524	0	3.5105756181211	3.73594308962594	5.31040886910409	2.74645448670021	3.35758408252161	0	2.92773509657689	3.93990272960458	5.10072090803353	2.37634740841968	0	6.50097850042007	0	3.27485250412895	0	0.710148948107584	0	0	2.33780065468973	1.9374932688307	0	3.99060603541896	4.75901225184626	0	5.8353241431327	0.975205349553318	3.35201882000866	4.14992744618519	1.9946588264647	4.80135185216886	0.871118429952156	0	2.32190308917649	3.96691960516587	0	4.53624725709005	4.92743274690084	0	3.71506472011462	0	1.98434339915908	4.34840745265503	3.18552198996535	2.58191726046192	2.90878756500999	0	5.8560692601544	6.0073452478853	0.936023198173888	3.06173512252639	3.40010568959973	2.50823701604883	2.90902786901732	3.10288350905375	4.12918394263017	4.16759990272797	2.83197382452782	3.6792085432528	3.21415063822748	4.9984846979646	3.73627546500797	0	4.95236809277599	2.12518148656253	2.65521400290289	3.57521019060051	3.94690249791142	4.63632821531033	0	3.20569375302824	4.65291842750224	3.7059014609246	4.00897662197127	3.0153582494894	2.62743582406791	2.8822556678569	3.49162921270832	2.91810160216118	2.46059689920531	4.00422172252894	2.60304277693932	1.16339770186831	2.81781780855144	3.95609023283125	4.21836994876423	0.825757848038429	0	1.66512283343804	0	2.68235701131114	4.29159342211042	2.61552416108234	3.4588163307103	3.17041491559516	2.82187866272007	3.41343056552655	1.32454048243527	3.29402691790306	6.16042705307878	5.80836196647411	4.68215526177781	4.64142687779638	3.79078787260783	4.47266845991724	0	2.68237213000922	1.94237883376896	0
"PIK3R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCF4"	3.91965121918876	0.68880014435229	4.40303384480702	0	7.43385445369326	2.20333222457622	3.35861348847565	6.43318464754281	5.18469162428514	5.59355378250548	3.83328991724976	4.77110635028155	5.25680619835099	4.34867606884282	0	5.99168883833648	4.09607729670483	5.42496142435286	5.14653831828247	4.53233207627918	3.87801543336531	3.99696031310898	6.7769395147355	4.84535401368568	2.43986404333052	5.3799337324572	4.30622016910683	8.67963900762051	7.02728428680666	2.18492927180574	2.71040176282897	3.44083387973199	4.64875021163042	5.42217133793595	5.36051601619866	6.16795330914548	5.93152002672997	5.17276398047955	5.86618807388198	5.45155709674599	0	7.21659176754295	6.62543465103593	5.338061818806	1.43006104226714	5.52838640038791	2.57477492077421	0	5.22873498940142	7.65115646406619	4.6829982662842	6.44404879698978	6.74571017432351	5.26620438398678	6.25037249985586	5.97312778810383	4.93918549459204	7.17148030952274	5.31498070569481	6.42505907900314	7.08894818284079	0	5.56678455624631	4.73418264767926	4.90166481309156	5.59713405721394	6.22723578082287	0	6.10003373642011	4.25840141854271	5.06716883505632	5.15510377304689	5.52318327360147	5.803765211844	5.85701918522002	4.69248178709774	6.77531383221884	7.36732042329246	4.33472477054777	4.95732074737178	4.52235236161122	4.81750131699976	4.85787214262261	6.32493392983524	7.31806175553631	4.79018484178587	5.45428569454122	6.32422723938888	3.65446219432474	6.22727534852428	5.96889215979029	4.10394836664989	6.28617709446253	5.96271279598263	4.7244926364049	6.03172647622697	6.271083812246	5.22623837836928	0	4.12530827312982	6.62346342696317	4.25353270744518	5.43030782521927	5.15146892595296	5.15090283880329	5.29418401195418	5.39207754614063	4.93136577986804	6.6667459974944	6.04039642734658	5.03222950505293	4.54332119859304	3.18077394879362	5.22113865618936	5.66982892712897	4.2301042336431	5.75996144002074	4.86929328468587	2.82065214593444	3.19038672843714	4.85178869258707	5.49520715849516	5.84139954686867	5.73832589009513	6.81119443781381	4.80907577509516	2.81108545779931	5.6134485947136	5.87854360113106	5.59945814594938	5.37375254580252	6.65050243405461	3.68397126021989	5.58342924809135	3.67729317302053	4.45936809660428	5.35076029185019	0
"CLEC9A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PIK3CG"	2.86422584588878	0	5.03009811101839	2.80426603502763	5.88477805831507	3.25744346074616	5.49922371155654	3.65323090553807	4.32158164151039	5.68363079001886	6.37806926677465	2.46191382135088	4.97566035830953	3.89129866218967	3.25035557537696	6.29045568451823	4.09607729670483	3.43572188328735	4.66834032763803	4.96796048435965	6.83638087552777	5.70417869853208	7.31125593627274	5.01469381155206	6.18826188359121	4.02151392748093	5.14715507980896	6.74212408368964	5.25991738580876	1.12588138739052	3.10842885319291	5.24685117279495	3.48772531785301	4.88524712828872	6.22885376230068	5.35340048990012	4.62543319867779	4.81251105567459	4.45404595555626	3.67108665093148	1.7447001746192	5.91471513375672	4.42326717942424	5.28065345987083	0	5.14333392830133	3.44831431786294	8.70388994955155	4.50005887349741	6.77476709406066	1.46644312231059	5.32809587779613	4.58906744806205	5.38515215685991	5.08986759084161	5.65139534386493	5.28045423495143	6.48107093093878	4.67965195367559	5.60459112276491	5.19575915655722	5.83562644038304	4.49822099339806	4.96298542018816	6.70299039210152	4.05330221271037	4.89461378189056	0	4.80036782745702	2.41106727891626	0	4.95122329298657	4.60843801066944	5.04084995450696	3.890784190063	5.55958235562481	6.18740340170592	5.94605008484469	2.69587858945339	5.10467256391691	5.52096063432686	4.16037804690808	4.61117407177519	6.26516344556604	6.49041273839847	5.51891166871697	2.999067444545	5.36297131065607	3.74633956176786	5.08594466236558	4.51154590930013	3.89547197908733	5.61915446435407	6.09279083306437	4.24929012318386	5.07713480766562	6.34607436914965	4.48267212326596	4.57261221394706	4.19895330809561	5.73281910594816	3.46481076182435	5.40347035217934	3.64548621840255	4.12109944659552	4.64822688874411	5.56738005783052	4.5822416687991	6.00140186321825	5.79182164662164	4.12894641254776	1.16339770186831	4.96600373634132	4.55993401355037	4.36260184718746	3.56248937855648	5.45599667881397	4.69883940190266	2.63189920665737	2.20560887979503	5.01615164255666	4.84266080929298	5.7222987209211	4.97989390754644	4.40844592386849	3.41343056552655	4.81155109723054	5.09914417505264	6.3217631171009	5.15114197169585	4.62560117441402	5.84869441623645	3.79078787260783	5.38857106509961	0	2.13321515296477	4.43393202905432	0
