"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"ATE1"	1.24415841491297	0.374467518912464	-0.229196550343937	-0.336076696869296	-0.0623445934625327	0.833540911950106	-0.0957576164318644	-0.0166950405967614	0.0745203135436935	-0.2438741351799	-7.08199027389288	-0.0985798952179163	0.15312721071408	-1.04959624088044	-4.38819947882953	0.749698568858393	1.15833797635391	0.571911203797313	0.460003503250558	0.126559914524422	-3.05408332947099	0.364102390318811	-1.32869241578994	0.181484775621188	0.709728624818981	-0.232314546901628	1.08621153704473	0.0078823735899148	0.703156302750023	-1.59591081591494	-0.244696259822903	-0.723176181447926	0.208777648835381	-0.197626833180081	-0.564137447432322	0.280032672993084	0.961306871332523	-0.448114051301647	0.743776072222919	0.483827212984837	-0.507882231185087	-0.195189916974075	-0.153199836918708	-0.635912738799047	-1.39746465671339	0.580449472841478	-0.714093402461583	1.65740243106125	-0.536605382345494	0.901511814898953	-0.319899972300893	0.125794591642277	-0.352902913269921	0.532756969758874	0.411151834179387	1.12928881228322	0.778640568506356	0.138420318956685	0.00174835271958046	0.361903390998198	0.94164654696277	1.23239588166848	0.260403276705324	0.759812810879008	-0.50852602647161	0.382701527997291	-0.00395564899129086	0.270114493701016	0.764644304961882	-0.59133869769682	1.31378903274408	-1.0350819530935	-0.00314039415578233	-0.440875173923634	0.498794263877165	-0.16736917680137	-0.427790088518123	0.570350496402437	0.768817847760694	-0.303345704171365	0.351551976975116	-0.134701218990301	0.590477333980674	0.67740543911762	0.0994591551374926	0.811742993873258	0.638921683154575	-0.0915798379619951	-0.420221933705986	-1.45877415343684	0.490686606549456	-0.204082117962822	-0.10168635502498	-2.56875810680264	-0.290706686367622	0.628241305410374	0.156881022374551	0.0583122608510159	0.478817131731244	-0.197125615124646	0.535467663408649	0.597199621956301	0.911378518670349	0.114204857872577	0.437992458353707	0.106350438655016	-0.925368424636235	0.121219836423527	0.240760125145536	-0.53272322567562	0.621933085658718	0.395282218789131	0.0637959155550989	-0.354688211424761	0.389611339223719	0.0414804673148531	0.957892764645325	-0.278649617190649	0.316456603535269	0.111040455304589	-0.252777428729461	0.631414356510162	0.0676025727459326	0.426442401117607	-0.50136739224693	0.49044204212242	0.913955667597498	0.90367852528992	0.433263558575088	0.0902007033205135	0.0881240307153474	0.0474288380609478	0.570701598513635	-1.273446683336	0.350967574810887	-0.332158994893431	-0.731169431775861	-0.882314456838559
"GRAP2"	-1.03654166545728	-2.40929249382874	-1.56513748480052	-1.54506656266666	1.51396036714419	-0.750517758790602	-1.85200643743679	0.943352501053804	0.540379887642583	0.323870007848086	0.936973828783182	-0.0574535135317558	-0.300312320991885	-2.40929249382874	-2.40929249382874	0.164093653081162	-0.508067619191664	-0.216229454649885	-0.928347081071085	0.332478719765217	0.322640527478231	0.0762431943249125	0.383491797946021	0.690296961947159	0.320715095665936	1.11242954831209	-0.357473854296973	1.85776522060467	0.48673379717902	-0.0523696977256579	-2.40929249382874	0.880502971361485	0.0821266377166683	0.258508812242637	1.52212266435969	1.21861290433276	0.0234260364793299	-0.0285820198493705	-0.46171867344147	0.0245768264329898	-2.40929249382874	1.53164077674238	0.180245253085639	0.951489136328442	-2.40929249382874	-0.655129342149617	0.996067101972788	-2.40929249382874	0.254068370584679	1.56784421659475	-2.40929249382874	0.61119118176781	0.416243651323648	-0.152642329826028	1.22805257183427	1.18391907527771	0.658480290289319	1.23659459280239	0.365160767044874	0.910363485339397	-0.188709139034231	-0.254715985667246	0.12667042278381	0.734291737321766	0.430652961622235	0.508815537836037	0.523718724295427	-2.40929249382874	0.792368349752601	-0.698287976394407	0.612855947722325	0.216007927455623	-0.0897274998764966	1.23249866179144	-0.0935956600465081	0.892723347925848	1.41849024977187	1.45927231802165	-0.659256797768626	0.530859648682175	-0.363227549920853	-0.497782487799553	-0.328870575037161	0.248936948983384	1.26099870132891	0.77271251706444	-0.427859720504208	0.847478785418154	-1.42590643292672	0.747031332440926	0.304837761196253	-0.575409793585302	0.112074102551655	-0.218464865526819	-0.232920757221934	0.09223161207	0.726624858530011	-0.516512429664705	-2.40929249382874	-0.395697109243739	0.450727955082218	-0.675344956946337	0.340368838327126	0.151492747593219	0.279445278593802	0.391537463081051	0.130256777499402	0.194119858523144	0.790476667016565	0.547854152674371	0.307616005228683	0.289941890431599	-0.0832144815978256	-1.01893967825148	0.352396491388754	-1.95835156747538	0.436239044180504	0.431889197752096	-0.554490595062558	-0.299892714354952	0.174162256724858	0.235252703707261	0.248186067263256	0.233968013211738	1.29592957121801	0.29437682318965	0.0802137787986519	-0.345846239123898	1.51093563628758	0.18441900985429	0.0160618205769459	0.66711698059157	-0.686875705926326	0.588371275093839	-0.47010223457848	-1.1312312758556	-0.161123713761899	-2.40929249382874
"AMICA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DOK2"	-2.129134919814	-2.129134919814	-2.129134919814	-0.513380800922095	1.32641677857304	-0.238547054495724	-2.129134919814	1.5673472447837	0.120388977423431	0.668220520871248	0.520525716760216	0.162690569268596	0.95098855835345	-0.394288151038319	-2.129134919814	-0.650330744201458	-2.129134919814	-0.104735480845672	-1.54820549963183	0.549347980160333	0.498562986595386	-0.181864381599074	-2.129134919814	-0.102896001313724	0.566168466865468	-2.129134919814	-0.233794442972965	1.19020898778938	1.14685599830141	0.560302326241751	-2.129134919814	1.05757583546226	0.502400036969488	0.306050130393877	1.84935660203887	0.698816419528752	-0.0643592436898809	0.793652182925847	0.487115256810247	-0.100280133151776	-2.129134919814	1.0446468175063	0.604041814815762	1.12613810313979	-2.129134919814	0.629776639094009	1.39410745245668	-2.129134919814	0.568824629641909	1.78796152671223	-2.129134919814	0.664894045255195	-2.129134919814	0.14625147115741	0.591852616801156	0.610139026625366	0.218153621103273	1.33126450851305	1.30183474470054	0.509042251786726	0.689565427345289	1.24009563875506	0.238973161986488	0.308258785877402	-2.129134919814	0.393159374171589	0.282813255815774	1.24892612275262	0.505926805566043	-0.128534891899471	0.625374168817567	-0.308223364144695	0.679346144172602	0.971686698973934	0.60339899416628	-1.52164500797622	1.41750542103719	0.928364679151767	-0.482485740734667	0.543611550961278	-0.228555142118146	0.631030431003193	-0.280653577831098	-0.13828227895364	0.782701530953755	0.00510976711092475	-0.821478556045975	1.07137620867824	-0.739595282738153	0.699471458044361	0.27024398648329	-0.0918287290625469	0.325502888040968	0.146826875154142	-0.471958246161168	0.266155454564016	0.222991017130954	0.144103202930691	-2.129134919814	-0.572537886293101	0.49066195859947	-0.732789838583616	0.604200244728202	-0.422547898881114	0.817158586235732	0.118857825555115	0.139653927152209	0.441182524437514	0.504090757509869	0.452168658701591	-0.253349323985174	0.596098322970783	-0.127964308735089	0.183488588269845	0.446533702369648	-0.378245688057	-0.0370418161787883	0.0875831548110388	-0.437755728335293	-0.335648604793204	-0.315730523569328	0.585744400644894	0.969324276892435	-0.635762401069436	-0.125608039665904	0.212986696631156	0.990196768441188	-0.749367376580434	0.693597532943311	0.130546341234742	0.265387982858705	0.554173070986798	-0.520094724090896	0.510571626775949	-0.568902878186879	-0.682930203770752	-0.65115321467953	-2.129134919814
"CD1C"	-1.36894833462667	-1.36894833462667	-1.36894833462667	-1.36894833462667	1.29481078415191	-0.0531235793558793	-1.36894833462667	1.82381330398502	-1.36894833462667	1.27633345098902	-1.36894833462667	1.13813433898578	0.730846191739725	-1.36894833462667	-1.36894833462667	1.15039817175902	-1.36894833462667	-0.578782856819494	-1.36894833462667	-1.36894833462667	0.264079768744557	-1.36894833462667	-1.36894833462667	-0.057534711950099	-0.794315549768795	-0.290481596595544	-0.101186897518062	-1.36894833462667	0.950928903906081	-1.36894833462667	0.507895853671579	0.628383111357176	1.47013308894906	0.099377006431724	0.426102636352304	-1.36894833462667	0.196294291831289	0.737425190657604	1.35802850158169	-0.0984917747827463	-1.36894833462667	2.1066422932418	-1.36894833462667	0.381872202661171	-1.36894833462667	-0.989284407377272	-1.36894833462667	-1.36894833462667	-0.119099862625205	-0.333114506492777	-1.36894833462667	0.764532484502526	1.17534224860774	-1.36894833462667	1.75076632081114	-0.847578425014493	0.423127303603489	0.849709816198377	-0.302552326301479	1.19797808997522	-0.903225974414344	-1.36894833462667	-0.127599110807638	0.751869108521511	-1.36894833462667	1.05624634205431	1.26538418523541	-1.36894833462667	0.617220997008691	-1.36894833462667	-0.308067219553866	0.955822342222159	0.334113807861124	0.0114111653798998	0.186164453203011	-1.36894833462667	1.76185719494494	1.84273323616629	-0.868526212813709	0.267934158705808	0.448835783221359	-0.0279801919249508	0.186292925917643	0.289933146482369	0.838619804665448	0.859157966861782	0.145097848153617	0.598051360892516	0.349419420944139	1.30337038918809	0.628560807801278	-1.36894833462667	1.27871526369086	-0.232771548818342	0.0505974926481213	0.542451161665784	0.741167447169134	1.10975220127166	-1.36894833462667	0.344898152193974	1.11862175621709	0.612322082520742	0.7743538734589	0.243139887310083	0.0357465624363275	0.171979817293375	0.497766617114314	0.191143977474349	-0.0534498260117565	0.771811781689613	0.0227054108650961	-0.74696594400102	0.137529677231	0.746079447012946	0.886300941749124	-0.927476910387109	-1.36894833462667	-0.478730759876486	-1.36894833462667	0.0651088443822887	0.925448097471232	0.0293782804565747	0.480224004853976	0.326037176613666	0.139700714512341	0.455959605256113	-0.660814861075427	0.392123338363877	1.92457471393663	1.73635164639014	1.13425252121503	1.11247807762243	0.657704545616189	1.02225547874493	-1.36894833462667	0.0651169272278695	-0.330502557582292	-1.36894833462667
"PIK3R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCF4"	-0.551240913014241	-2.40080274357099	-0.274519382622106	-2.79511941938386	1.46053122281147	-1.53378019692586	-0.87241757767424	0.887678858039394	0.17295540343056	0.407016282216711	-0.600680074400425	-0.0638093123544632	0.214238755875337	-0.305637520007136	-2.79511941938386	0.634936228266486	-0.450242466682238	0.310502396760562	0.151113821488979	-0.200500163490653	-0.575076106423209	-0.506983859390378	1.08446783614476	-0.0213048325565938	-1.39837308172719	0.284725442540379	-0.329942203143174	2.17370416290362	1.2277824378324	-1.54431531545202	-1.24349864520259	-0.825348958960865	-0.133854399095237	0.30890515899839	0.273609403454549	0.735842159781174	0.600491453574114	0.166127198044336	0.563090940983327	0.32572759265382	-2.79511941938386	1.33615508717415	0.997736010210441	0.260755073288512	-1.97645391674154	0.369709981254485	-1.32114079720927	-2.79511941938386	0.198168861160879	1.58492987034411	-0.114248452181803	0.893898245957045	1.06659000931785	0.219618925070945	0.783024585003611	0.624310603856644	0.0324107741269459	1.31033017945099	0.247541853357171	0.883027222580364	1.2630831018947	-2.79511941938386	0.391691732128926	-0.0849469845634726	0.0109313500518931	0.409065878217975	0.769779532410183	-2.79511941938386	0.696960315229761	-0.35731695170932	0.105677259021137	0.156017278140703	0.366731352874275	0.527355792471289	0.557842037179039	-0.108819431249014	1.08353718342764	1.42244255818039	-0.31362420469657	0.0427926427281198	-0.206213239984172	-0.0372496357911313	-0.0141385927840266	0.825708686414438	1.39424350177218	-0.0528874688978482	0.327289630091044	0.825304128096725	-0.703053388089678	0.769802183689543	0.621885838283826	-0.445736523759207	0.803521602665249	0.618348344548887	-0.0904942148676812	0.657856531651765	0.794881167671843	0.196739628935735	-2.79511941938386	-0.43350864113186	0.996607545691341	-0.360104137500747	0.313563045098822	0.153936441144778	0.153612373844694	0.235636392519305	0.291677398463447	0.0279342304719341	1.02138547216603	0.662819809219253	0.0856755784538082	-0.194209232490664	-0.974225187168067	0.193820196479105	0.450681432001721	-0.373516210632195	0.502279494455036	-0.00760034390400574	-1.1803837272838	-0.968722169572273	-0.0176211788652853	0.35071589642972	0.548900279656772	0.489893814521607	1.10407771501778	-0.0420729966788789	-1.18586035892349	0.41840544390628	0.570164096343004	0.41039634678998	0.281186905282168	1.01208653692123	-0.686160364960221	0.401220300919276	-0.689983362337372	-0.242269774248416	0.26802455445767	-2.79511941938386
"CLEC9A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PIK3CG"	-1.07145237021477	-2.89931710007182	0.310743635204464	-1.10971695875597	0.856175250948761	-0.820512448564393	0.610125801707681	-0.567932536999879	-0.14141074605545	0.727808977823519	1.17097919798598	-1.32819607675794	0.27600306183382	-0.416004693626688	-0.825035728631234	1.11506678552982	-0.285320989338554	-0.706740400481897	0.0798804531193828	0.271089228646561	1.46346019285108	0.740922048951465	1.76651149583069	0.300913064153973	1.04984970615996	-0.332905139498816	0.385445951344577	1.40330827934269	0.457407539949833	-2.18081269827418	-0.915609190244535	0.449069066936252	-0.673553337384046	0.218303996480889	1.07575424979718	0.517065708683771	0.0524983848378517	0.171885973296536	-0.0568759151318726	-0.556537525228458	-1.78590074083486	0.875280212379577	-0.0765180251982439	0.470640692799199	-2.89931710007182	0.383007404789926	-0.698704278939038	2.65524958124578	-0.0275118236294001	1.42414008889402	-1.96347621117669	0.500917049165882	0.0292908319066801	0.537328689074541	0.348886760072775	0.707237263773609	0.470513553312625	1.23671183192351	0.0870992003075858	0.67736818585856	0.416463644220625	0.824808133386324	-0.0286847046772167	0.267914288953557	1.37833430785727	-0.312618790404898	0.224281519440593	-2.89931710007182	0.164136522045205	-1.36064484530907	-2.89931710007182	0.26040804516669	0.0416525554901602	0.317605145626878	-0.416333014613033	0.64864491387642	1.04930184825916	0.895277256951924	-1.17888664005356	0.358334858640024	0.623997666778838	-0.244286140927918	0.0433986292507571	1.09892602219366	1.24267349880574	0.622690077163871	-0.985400426142333	0.523173525118952	-0.508513329882853	0.346383262449018	-0.0201811350859177	-0.413341405473377	0.686662082315044	0.988922888454268	-0.187545067762855	0.340761072179233	1.15056099493539	-0.0386075364763883	0.0187895852597037	-0.219668543306941	0.759199514968933	-0.688176733379598	0.549018822793248	-0.572874968644761	-0.269352588901127	0.0670446477295594	0.653621178180508	0.0249348202512282	0.930601134630462	0.796853201819016	-0.264344885922301	-2.15687088931152	0.269840489587432	0.0106987304912351	-0.115232856739839	-0.625841111821625	0.582539580237075	0.0993440656768994	-1.21971640123274	-1.49176235538448	0.301843409042533	0.191126659687251	0.752485714532043	0.27870478849527	-0.0859765147658321	-0.720966064137397	0.171273356039229	0.354806803395206	1.13504626860109	0.387990268536694	0.0526055820144153	0.833147731392308	-0.480147724634676	0.539510535801094	-2.89931710007182	-1.53796190355415	-0.0697120316988036	-2.89931710007182
