"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"MAGEB4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRIP13"	6.20987949425945	7.41886434325371	3.5308452500474	5.58143333804084	4.25203598366471	5.51150132529968	4.79410478489364	3.12449249137532	4.61942741616134	4.29761698664584	4.78177415645151	5.72407496991973	4.62613152521126	5.20870362355842	0	3.72258734472108	4.85630377077905	6.23077256533425	5.60719529802813	4.20782561727329	0	5.48064575580522	1.84286864418176	5.23641713800629	0	4.60695089041082	4.86666740806238	3.68968278351583	5.21532774792372	3.38664357618746	5.97013022927315	3.06941553048006	3.57866161349287	4.68628703521878	0	4.43826974725613	6.18188002110021	5.30952944661806	4.68883688356246	5.03829393001129	7.732083829228	4.45540568855346	5.62897224870577	2.70553043802969	1.43006104226714	4.68946396687841	0	2.81330476656505	5.00408512230045	4.82581042315803	5.88733319534503	4.94449829392946	6.3440803604673	3.12389631889433	6.83534585793963	0.975205349553318	5.241956593307	5.47260070947618	5.17298017323428	4.76938773476244	5.25959694172327	5.53894623904527	5.54222746332321	4.27027671431273	4.60812208463392	5.0876599788508	5.55017376760688	0	5.94631619613736	6.0769783980396	0	4.71371291683244	5.24374905955499	0.998173627299944	4.24047746040022	4.3174958395222	3.65278462203294	4.09209327554168	4.7805287617339	5.74912275404409	5.60834156744149	5.19527893409178	4.95192100334806	5.15798462707816	5.40077684441102	4.58689023516999	5.74042108873727	5.66113310554175	5.51452935566303	5.67089181979332	5.78264350902422	5.20403032655864	5.18232972122951	6.09279083306437	4.93906808601169	5.37158944569918	5.39935028457828	5.81448991916612	0	6.02191109555267	5.03948677199295	5.25368809683687	6.69376754064272	6.01726658560839	5.85728291682129	6.0931960451043	6.05981805856119	6.48445825984633	5.65960740034671	6.95058526418123	5.37869663826467	4.75684748490283	7.70562761810734	5.57857137355097	5.52404259373744	6.6860171419295	4.43227629034441	5.06914783164836	6.2550665100507	5.80976295693102	5.60351203522641	4.94228259727098	4.5114647727357	5.67809986887453	4.10340263961811	4.34408882736402	4.25205017659179	6.62748717366059	3.61875636554838	6.53499285879654	5.78867610863614	5.73530191539096	3.9832727249449	4.31694610684328	6.0989218223842	5.2829488126048	5.64525355576447	6.07516125882632
"SCARB1"	7.19237705454071	7.00319752373091	6.99659709038391	5.24441813496564	4.19134315636061	6.15594466068944	7.62545800178861	7.10397040300495	6.67060030933786	5.53667815615677	7.73513768132235	6.34729183848938	5.59662117460034	1.25330921240676	1.64570188941856	4.41516261062225	5.67243563706081	2.85788869129358	5.60719529802813	6.78837167133816	6.11922786226724	5.92754799251419	6.29676537561441	5.82004051730187	1.68389986766109	4.26966620563204	5.89329707110508	6.26207800648176	4.8280609685999	2.51838237420758	7.66813273784016	5.50353930838916	5.76231774141186	5.8368031438932	3.35758408252161	4.89742448429598	6.39515063084014	5.17276398047955	4.96416415069498	4.96272842949293	6.53447919291004	5.63972274761522	4.85954418630881	5.83336480960391	0	5.33736595590573	0	0	5.82967739736781	4.61980192790447	5.49457364908482	5.95976442179919	5.52775213763233	5.7229240085311	4.00232283545226	0	5.45889254995122	6.13531463429573	5.23146799320667	4.80135185216886	3.55802808416827	7.59118155757954	6.61173162246532	5.96101429722105	6.28621727054862	5.70063892347572	5.50739945528764	6.84421259921653	4.60870906624882	4.96489462764182	5.53412353526847	5.68595758263952	4.10397206964975	3.58161238260321	5.97369729163828	5.19021854227429	5.45725267518017	5.08751485355002	4.1978413773337	5.07638165940426	5.45962062746997	6.86239445815489	4.9819558131582	4.75635394551163	5.8072517194987	5.69802511767643	5.642811687146	5.66113310554175	5.77665884766977	5.58343089646359	7.58190642801147	6.06475995524901	5.4877141625605	7.10878707213035	5.32968141811628	6.16941425223001	5.0859426892971	6.39088190801131	5.13722212777735	6.79023791359439	4.90636329179458	5.8387023903029	5.48252994711427	6.63391017265489	7.18146316123304	6.18029600912694	7.03576810178742	6.68168655952063	6.62346147264488	6.80884177769469	7.02712646606389	5.38938865413223	7.01210443867677	6.27863975935789	5.94656321004586	6.59672301386143	4.91498768603945	7.58559186483671	6.76067201416212	7.1394674958265	5.06702595831748	4.89333142494975	6.1116539793411	6.00667735446225	5.63129652051216	5.75759289377068	5.32617082573863	4.92417304585966	6.7947144177531	4.56457085201271	5.93548441695715	6.24370351299358	5.84044126817947	5.89014622005935	6.90692698305317	5.03726101525182	6.18577857134161	5.31848642521585
"ZP4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BYSL"	5.6346292888673	7.29503694099203	4.40303384480702	4.52011450898038	5.3860575765671	5.98170351563186	5.36162890972066	4.62325483246984	5.96741397541409	4.91853350224101	4.28950478650821	6.58043032337016	5.55567762182768	5.09647375089266	0	4.57139803996608	5.59866213955579	4.70033676348469	5.63968935705749	2.16858676483065	1.90325145066683	4.20638626504165	5.79003554968643	5.23641713800629	1.68389986766109	5.66633785469285	8.25108157149938	3.42481066312266	4.73636258161054	4.62333818577469	5.97013022927315	4.37282806902617	5.11157230178017	4.88524712828872	4.8455243603277	4.10838215669364	4.62543319867779	6.06086794955737	5.25503240444703	5.65729762972721	4.12587952053629	4.20546375538178	4.20358869452171	5.36593146262713	6.50482377918673	4.79237991673534	3.74356351537043	0	6.22683274694173	5.0883654284663	5.70427796628965	6.10559985827417	5.64805380973523	5.99642507217571	3.90920311561726	5.83348261434305	5.20240342966273	5.3432711307803	5.11202066114651	5.49158262411656	4.73884834172082	4.93407045512233	6.29642654784356	5.33405856643192	5.30458548563043	5.91667639295147	5.02163467706881	2.05791441058522	5.67984677233502	7.03808526637934	5.67993131755946	5.41534840401759	5.8043962049615	4.38883662299582	5.83662131388738	3.92637785201394	4.8569457239109	4.88467609441324	5.572149979535	5.38397285369239	5.06579823456402	4.00050319192293	5.27666380226542	5.57387526330729	5.16312820237297	4.35017504337392	4.7671576247261	5.36297131065607	5.9216552230094	5.45790297843382	5.24720105255156	4.78694557143987	4.67866963348884	5.7081690325304	3.53590319238736	5.25267038190305	4.9956623054062	5.07313726982659	4.01765016300123	5.15913218196858	5.19979582911034	4.5906324423366	5.26124103847674	5.82779999340462	6.4624505088461	5.57699005827291	5.58560562314584	6.09222252274626	5.15113112717007	6.25237109004982	5.72861674810206	4.68912372335409	5.43818156478728	6.06927923577316	5.46133666603393	6.52592748936858	4.03934294605336	5.73101368478653	6.4956863200553	5.73833631773495	5.79675596393602	4.98962720075097	6.0536293333876	4.80319462434617	4.97058347671296	5.19860146873269	5.09168640229836	6.01383448013063	4.27330417848849	5.78030761111461	5.65378004020329	4.90880933660421	5.68293571297939	5.81451653335253	5.93162545683061	4.74096792268973	5.60367850956374	5.9255337398739
"LCTL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CHI3L2"	1.74654662758088	4.52543777395034	0	5.31841396822559	5.70106926906607	3.03752925391444	1.02049582944138	5.9268936921187	4.45682048190635	4.5094910709702	6.77718816001939	5.05822452750171	2.13256434160476	5.45615419171089	6.85755841059398	4.35908369330453	2.13417334720429	1.47797866118339	0	4.29604727936948	7.69028753830715	0	0	4.43207070221676	1.07483181420839	0	0	6.37923772217501	2.99945181718384	2.18492927180574	4.91224047473866	0	6.35778100213365	2.93780306332709	5.49810829347506	2.78836670189536	2.92773509657689	2.19748730455795	4.5041606614138	3.76305199063934	0	4.66837306162992	7.11774050411637	4.2590406495468	0	4.18358745190531	1.79862712254487	0	4.80917906073639	5.31041532329759	7.33511497646519	6.13986635559745	4.2519855594168	3.93850189165319	3.46168412005709	4.47575042098325	5.16173522813235	4.62090301597048	2.45360390190101	4.8632308832869	3.74805378735626	0	1.37849238812999	4.27027671431273	6.20782878098525	3.48561180446456	4.12318345037028	0	3.89391187322116	0	5.86208659745661	4.92358653047849	4.98147780609146	3.80396124469991	2.55640514976815	5.09350261839179	6.59987700333354	4.88467609441324	0	5.07638165940426	3.64018175563059	0.954456044262481	0.72343790491248	4.35900057348589	5.40077684441102	5.6639373600654	2.83197382452782	5.82036831800328	6.53775956366366	3.99853360352585	3.62979131835084	3.77872737223429	6.05031915473155	4.08510623150219	5.47427589635076	4.36838290456117	5.46811093920185	4.48267212326596	0	4.46086123833206	1.96306852276373	3.81284911338874	5.67434683625609	3.92326693848306	1.44700914298548	4.5643554011278	5.74003567698808	1.40033416445393	4.55595238417055	4.84693813850276	2.87668070573852	3.60390382201763	4.53523303655623	4.70084410548667	5.25499362182852	1.34762696143299	2.97512724063293	2.08987431117355	2.82065214593444	2.20560887979503	4.37471635733589	1.60946340245296	4.39167282888025	2.42365983318025	4.26397159794561	1.55137252147389	3.52753545286109	3.77855909554954	5.43684570348134	3.68607232203617	3.15303015937242	2.76722788552887	1.57308750316518	4.07912935710808	0	0	4.84413646206156	0
"MRPL2"	4.25241337494134	4.48658451917198	3.26881313349714	5.82934898083277	4.90899004695759	6.03225192950311	5.74037222760904	5.39292795859068	5.88985331400012	5.43659985797193	4.47289848120094	6.34729183848938	5.0947692801267	3.21773575398939	0	5.79437145802281	4.57782290822469	5.29975779871808	4.46576694962004	5.67544517790344	0.936227141370785	5.89767857620671	4.74804576006608	5.20174965555503	4.53166403239695	4.41417026775879	7.1484834271134	4.27770294940335	4.25364761278324	5.79150213532781	6.00168555443284	5.33758399612222	3.8214291956804	3.25791409673691	1.61145862476901	5.57074278457486	5.11255447880628	5.14052695820865	4.5041606614138	5.81601362696762	5.95727740607677	4.73290606741938	5.60671484595183	4.75685727175629	6.10398530610026	5.29124920063782	5.79534053698561	7.80780796124069	4.85482382892719	5.0883654284663	7.18585265669255	5.54818650870544	5.67662463920964	5.66140174700487	0	5.2731771468433	5.11988729270698	5.42225140125041	4.40260109815816	5.06102784493014	5.12896530701823	3.62915693206381	5.72788978712176	5.36641235161839	6.66437559591663	5.7815591318984	5.272146456104	2.87335624995804	5.04720441626446	6.05840053875817	5.56448784951714	4.8666721709934	5.17355055760543	5.69685503474373	4.7569950920571	4.47935872240806	5.25341435278011	5.04916463810241	5.29852552651785	4.30074503188908	3.93878024690808	4.16037804690808	3.80964473676345	5.15798462707816	4.20284068547847	2.8198881268296	4.39986408049959	5.03945599251539	4.32512604607701	3.16853467699061	5.05483688574307	5.15802864233258	4.48546091319391	4.40432264281204	4.98807155299707	4.51338413335316	4.04018806185355	4.70742539180062	3.1040807153479	3.58109831445364	4.34525617890664	4.52922120044099	3.39735891446953	4.9594864721166	4.79491220541192	4.16950174601747	4.05951109208497	4.25065077737432	4.46079102115964	5.20480754825613	4.78906414650646	3.44873515392283	5.01181967511061	5.22113865618936	2.97272179137858	5.65643389362999	2.14783715308743	4.81468278859261	4.44583643262526	4.18271499656308	4.29159342211042	4.03433674557525	3.95778761349736	5.35808970636767	2.33548812177885	4.27382210372061	3.09130295273267	5.05735034501334	4.64266494667116	4.42658439260905	3.68289110666186	5.0419402479948	4.3753230654981	4.37074293470744	4.74040866561528	3.72169921960263	2.74131102639666	4.97106693283436
"SLC39A12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TEX37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
