"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"MAGEB4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRIP13"	0.877139327921438	1.61658818869575	-0.761432753032213	0.492764126974605	-0.320332381246792	0.449991757084181	0.0112120197136284	-1.00996943628555	-0.0956255319890263	-0.292453768247313	0.0036702633700724	0.58000772831467	-0.091525111869128	0.264792235531931	-2.92099620818212	-0.644157938888034	0.0492546546503228	0.88991811304616	0.508520860385916	-0.347372674671268	-2.92099620818212	0.431119630001528	-1.79384633477344	0.281742594093976	-2.92099620818212	-0.103256523196504	0.0555933443278768	-0.664283286461858	0.268843734787383	-0.849630519568482	0.730501989154891	-1.04365604205467	-0.732186931212748	-0.0547323237863338	-2.92099620818212	-0.206426616058795	0.860014069034112	0.32646012165979	-0.0531727654060504	0.16056491302814	1.80816196422211	-0.195945796318873	0.52184025093338	-1.26621831592354	-2.04633098022509	-0.0527892237562342	-2.92099620818212	-1.20030053000383	0.139641851906841	0.0306040725703932	0.679861013410178	0.103196885377494	0.959220321504507	-1.01033407200639	1.2596920046243	-2.32453341102788	0.285130679490435	0.426199055233504	0.242942776734259	-0.00390561767977983	0.295920008695781	0.466777831963535	0.468784720268456	-0.309175841519608	-0.102540188136772	0.190758565666277	0.473644901646918	-2.92099620818212	0.715936662147398	0.795853309922805	-2.92099620818212	-0.0379578894898019	0.286227001852257	-2.3104853716105	-0.327401896524236	-0.280295307266469	-0.68685123137522	-0.41815780346703	0.00290854521792443	0.595327651844803	0.50922195073668	0.256581320944695	0.107736821529722	0.233771082373443	0.38226957568459	-0.115526179575208	0.590005470592224	0.541510728167794	0.451843784927563	0.547479430043544	0.615829880721347	0.261933916715596	0.248661221113091	0.805524636304491	0.0998756187281216	0.364417748389656	0.381397051894054	0.635308033585517	-2.92099620818212	0.762172611505658	0.161294488460915	0.292305994323826	1.17309875614593	0.759331899655541	0.661481424750474	0.805772475292334	0.785357567574693	1.04507936089616	0.540577564307805	1.33017564032292	0.368764705632527	-0.011575584330089	1.79198060745007	0.49101366965219	0.4576623467253	1.16835839607955	-0.210092381505866	0.179436020002681	0.904776967364506	0.632416891614158	0.506268074104164	0.101841703489736	-0.161658496549077	0.551888073945024	-0.411240680899818	-0.264030294036093	-0.32032370045665	1.13255983467193	-0.707663862329677	1.07598773138112	0.619519586935823	0.586874441363709	-0.48471548798604	-0.28063153910883	0.809274520409107	0.310202664375593	0.531798352531165	0.794741896887111
"SCARB1"	1.1438761249746	1.01648652134907	1.01204192533896	-0.167839331667332	-0.876958354947568	0.445963875841711	1.43550392408965	1.08434490482202	0.792522400457558	0.0289625532710482	1.50935996359756	0.574813128350456	0.0693269485465665	-2.85536996193547	-2.59114080682486	-0.726242939595687	0.120378847663666	-1.77487915552491	0.0764473456972903	0.871827212449824	0.421239539242606	0.292166258817861	0.540789647846566	0.219772937006279	-2.56541907421044	-0.824217225086842	0.26910239306326	0.517431887174965	-0.448205680832809	-2.00349572401314	1.46424021330213	0.00664753502540656	0.18090360738421	0.231060544857143	-1.43839456044447	-0.401497716536811	0.607040254411411	-0.216089764993984	-0.35655659837104	-0.357523383488134	0.700861241385128	0.098350660987861	-0.427005529803644	0.228745241291428	-3.69932259838239	-0.105250181473707	-3.69932259838239	-3.69932259838239	0.226262213761176	-0.588443033849064	0.00061024452081035	0.313860139436336	0.0229519560520186	0.154376678199384	-1.00424074990125	-3.69932259838239	-0.0234166734871523	0.432072040536754	-0.176559690675031	-0.466191050289923	-1.30341969392704	1.41242287180669	0.752881437957296	0.314701779828878	0.533686770925474	0.139370360444957	0.00924687852323939	0.909429344340399	-0.595912738649247	-0.356064710224805	0.0272423241269062	0.129484247598555	-0.935792247054099	-1.2875385126145	0.323242247313279	-0.204336222213902	-0.0245209314170969	-0.273494773043688	-0.872582586647006	-0.28099163691286	-0.0229264010664282	0.921672634052658	-0.34457605893674	-0.496491714788379	0.211161223698715	0.137610277399501	0.100430689312091	0.112767955491482	0.190560613266015	0.0604448866429408	1.40617719039394	0.384561971348955	-0.00400879256880937	1.08758835070675	-0.110424791109608	0.455034021644512	-0.274553436103882	0.604165784288645	-0.240022917320079	0.873083901586713	-0.395478507485722	0.232339458311907	-0.00749973658361914	0.767816017325077	1.13652693377762	0.462361572843717	1.03841887846357	0.799987653227932	0.760780077723257	0.885611360892145	1.03259977877141	-0.0702191668695572	1.02248425461135	0.528584230799052	0.30497071506027	0.74277494972976	-0.389671017850552	1.40865888772316	0.853174833235682	1.10824791676543	-0.287291573528525	-0.404253898484721	0.416139442314903	0.345450343044919	0.0926766130286382	0.177721992197706	-0.112788751785293	-0.383485785538968	0.876098287381866	-0.62563450395973	0.297510483743598	0.505058881320371	0.233510382896095	0.26698067479871	0.951659920049997	-0.307334673766907	0.466053417433822	-0.117963268988645
"ZP4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BYSL"	0.463677827026337	1.94646577857566	-0.636169480530185	-0.531613350610218	0.241696713157658	0.773624291728082	0.21988126751938	-0.43950631364652	0.760863354351671	-0.175814651345433	-0.737553932463302	1.30830316751373	0.39317190006841	-0.016909302734979	-4.56819516530059	-0.485815800977636	0.431558211350969	-0.370670110413706	0.468196601760262	-2.63158982463894	-2.86854127837333	-0.81178097063883	0.60245972847269	0.10806384349545	-3.06442804390225	0.491994415008131	2.80023892124077	-1.50974865602465	-0.338498101935328	-0.43943187694057	0.76328904089341	-0.663144037252884	-0.00342589743194032	-0.205540263717831	-0.241013746184274	-0.899301231627032	-0.43756097500448	0.84432022514285	0.124687768805524	0.483921254997581	-0.88367562290585	-0.812604796165708	-0.814279275109583	0.223723561068466	1.24078452374573	-0.288473139996216	-1.22509392787391	-4.56819516530059	0.992531179017904	-0.024150249128887	0.525875938189608	0.884267002797236	0.475666279243368	0.786771031110635	-1.07717338364421	0.64125910639689	0.0776887022734701	0.203487285357749	-0.00302550065857956	0.335933371783503	-0.336278252407866	-0.161939741466084	1.05468028399686	0.195260221719983	0.168939980993821	0.715553351190675	-0.0837425751720842	-2.73042316429184	0.504058235776876	1.71700113670981	0.504133736898538	0.267854196820734	0.615284173476284	-0.648847975127692	0.644062048109367	-1.06183588976585	-0.230814166406526	-0.206050212072629	0.407882151199071	0.239835000489093	-0.0443033501916123	-0.99564000059315	0.144005179213291	0.409422875241925	0.0426148854640236	-0.683373788338594	-0.310997313896456	0.221080067061544	0.719999578123716	0.305856557353675	0.117694164421639	-0.293326154084871	-0.390019430601056	0.529350763262288	-1.4105400889658	0.122578420197663	-0.106936590042586	-0.0377493975827917	-0.980327301878518	0.0390463335471531	0.0753600460084928	-0.468638970905963	0.130232243214002	0.636184375592104	1.20294407254784	0.412204469533332	0.41989839684873	0.872320688336909	0.0319011799821675	1.01533759490906	0.547611114115023	-0.380683651838071	0.288244813330936	0.851831726214191	0.308922931202475	1.2596306951366	-0.960955072833371	0.549751641973831	1.23262453105326	0.556290946882269	0.608461236154226	-0.112326098129752	0.837855949440016	-0.278815320047994	-0.129332647407004	0.074293450600111	-0.0211845316562669	0.802318092897612	-0.752021503935081	0.593772422021616	0.480779954511586	-0.184498588465738	0.506816741475553	0.624321894414722	0.728903260641256	-0.334385410539173	0.436037962452323	0.723463196271467
"LCTL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CHI3L2"	-0.897393306801853	0.492042536852405	-1.77066050553498	0.888527857599867	1.07985416825679	-0.25190651365912	-1.26041616380248	1.1927655891204	0.45773413107517	0.484069241195372	1.61790984599626	0.758434048220385	-0.704385801325801	0.95739748708264	1.65809468988901	0.408866078973004	-0.70358130415953	-1.03167634968301	-1.77066050553498	0.377348092710313	2.07445633817136	-1.77066050553498	-1.77066050553498	0.445359327884984	-1.23324836166163	-1.77066050553498	-1.77066050553498	1.41893602038913	-0.270945098706644	-0.67820351956685	0.685442532962262	-1.77066050553498	1.40820773549331	-0.301769259788703	0.978374391073864	-0.376486917293848	-0.306803207913558	-0.671924547159278	0.481404055080148	0.110852314483077	-1.77066050553498	0.563509680243214	1.78818482569347	0.35884490736761	-1.77066050553498	0.321118572725681	-0.87135324166553	-1.77066050553498	0.633912186802596	0.884528563140942	1.89687130079037	1.299251175194	0.355317387004082	0.198576650699957	-0.0398305656505324	0.467199034335592	0.81018903612118	0.539774823616932	-0.543867145210257	0.660937908830114	0.10335326535366	-1.77066050553498	-1.08141913788563	0.364462900410553	1.33323214993597	-0.0278668072230695	0.290916783446327	-1.77066050553498	0.176281797603748	-1.77066050553498	1.16036226869374	0.691115521107052	0.720060956223004	0.13130679828075	-0.492466881207256	0.7760729701488	1.52925488846005	0.671660439308718	-1.77066050553498	0.767512550599406	0.049417627175364	-1.29343582517162	-1.40894408599952	0.408824519354704	0.929709007321404	1.06128834376372	-0.354683508656082	1.13950327503227	1.49819638611241	0.228592296451601	0.0442224449147765	0.118689950397473	1.25447788828618	0.271878307329292	0.966458275954363	0.413515652042667	0.963375818964823	0.47065986124249	-1.77066050553498	0.459754495140416	-0.789133117302874	0.135750701506715	1.06649304541312	0.190959227455936	-1.04716100035064	0.511501214181665	1.09933723578753	-1.07049832619668	0.507299735123914	0.652791593482656	-0.332330224579699	0.0312787873861846	0.496940133859905	0.579745088483074	0.8568179064504	-1.09685174316724	-0.28310730181622	-0.725730667073891	-0.360344308312997	-0.667863787976221	0.416682356255166	-0.965934439406241	0.425160532658883	-0.558839074729638	0.361310364302638	-0.994979676506378	-0.0069051298090366	0.118605812644274	0.947743310571277	0.0723627497048327	-0.194156465325093	-0.387056251465284	-0.984122261689826	0.268889891058636	-1.77066050553498	-1.77066050553498	0.651390765071358	-1.77066050553498
"MRPL2"	-0.352532844346654	-0.153009854777211	-1.19059878692445	0.991078075263772	0.206896204491278	1.1639593371467	0.915266395461347	0.619230265599703	1.04263013764583	0.656440434911341	-0.164670895339297	1.43238568267762	0.365187389870249	-1.23411871544613	-3.97575564680141	0.961275855431333	-0.0752711726389639	0.539845639037282	-0.17074723965535	0.859946005309329	-3.1780534415358	1.04929756763493	0.0697653663591102	0.456338861162111	-0.114600343321258	-0.214709634128177	2.11503230639105	-0.330985136074671	-0.351481225348654	0.958831080076849	1.13791558801459	0.572075041233332	-0.719748250778542	-1.19988519326189	-2.60272976251611	0.770735464016424	0.380341075958669	0.404174724354447	-0.138034292964476	0.979715831299507	1.10007810573061	0.0568657550600475	0.801385069673379	0.0772731195489074	1.22507898447813	0.532595980111135	0.962101548675571	2.67680264140717	0.160744464529448	0.35973105735653	2.14687235409648	0.751516633234322	0.860950952552791	0.847980451970542	-3.97575564680141	0.517197882225977	0.386588920697317	0.644214987620678	-0.224567019901035	0.336438365113593	0.394323744561651	-0.883571752491812	0.904630867111661	0.596637929593741	1.70255346715701	0.950359251594085	0.516319693334246	-1.5275435454632	0.324660262296798	1.18623897671884	0.765406014282644	0.170839716180793	0.43231212488532	0.878188042162599	0.0773905478449134	-0.159166516722451	0.500359207389726	0.326330448103043	0.538795694843002	-0.311352379021857	-0.619760557388784	-0.430950549719923	-0.729789071483816	0.419049342212265	-0.394770717997249	-1.57310048121761	-0.226899066180848	0.318058301683996	-0.290578799700232	-1.27603996071777	0.331163425328146	0.419086844933524	-0.153967211092738	-0.223100196406848	0.27427674600287	-0.130175533502041	-0.533357125957895	0.035155221115277	-1.33095726130491	-0.924519577603479	-0.27342713784286	-0.116681731856426	-1.0810727451894	0.249921137146396	0.109697413992975	-0.423176800617667	-0.516893147135992	-0.35403464653127	-0.174986925657506	0.458944305549857	0.104714638682087	-1.03729817628494	0.294511076480786	0.472859049351976	-1.4428802110906	0.843747646257633	-2.14571424139989	0.126542725462512	-0.187728821000599	-0.41191859346558	-0.319149909107855	-0.538342676678064	-0.603565536357498	0.589546709763874	-1.98582826402242	-0.334291768645567	-1.34184441567816	0.333304991102239	-0.0200232154104031	-0.204132313377791	-0.837788130461546	0.320174984684088	-0.24780897246436	-0.251711423344776	0.0632582626702492	-0.804722097757435	-1.64005124939013	0.259788143393429
"SLC39A12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TEX37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
