"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"RP13.512J5.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPFF"	0	0.68880014435229	0	1.99729758571665	1.74626704403342	5.04431053395475	5.84734259143075	3.9520411533121	5.72097716566569	3.18404433761074	0	2.46191382135088	4.4585634074221	0	0	4.52117628415343	4.47161636026873	3.65607087155039	4.95325096891755	5.91717087919571	5.26507002483679	4.20638626504165	0	4.889588555609	1.07483181420839	6.27056491445349	4.14538204538398	5.11044809929199	4.60426129892121	1.75047644015921	4.61861544874421	3.06941553048006	3.28660972699231	4.63194317883178	0	4.62257249703736	3.37336437124369	5.36638662758747	3.90162483261379	3.84950460907517	6.42029833039235	4.60081771904152	1.71053399009566	4.62467992872837	0	3.77815181615567	2.57477492077421	0	4.4414276741033	5.80014859352114	5.49457364908482	5.76860303961467	3.46332592424667	5.04317150308704	3.32415808869256	4.41172051933874	4.61698206206577	2.66226280168934	3.60816690893536	2.82983728153765	3.83443667870444	3.79594618860654	4.54840670328163	5.0046930328043	5.14546054359546	5.88772495109581	3.30706527843602	0	4.19629845306162	3.39246693457951	3.98040255561102	1.97633426466497	4.98147780609146	4.16647324305236	3.890784190063	4.47935872240806	5.60755506728528	5.42359417134112	4.1978413773337	4.64695565809447	3.84594875899565	5.08000564473475	3.02896353731285	3.9163052912288	4.57984374061905	4.58689023516999	4.2084451711435	5.40378954554898	4.54574902426985	6.59836476745617	4.09759954390477	5.33383931148737	4.17954476007415	5.00467496272862	3.77805668610015	4.20716271523103	4.94831117240755	4.63632821531033	5.75993666587217	4.33584249965046	2.95682030525549	5.59075545479788	4.07848977453704	4.41759297712909	4.12109944659552	4.5643554011278	5.0155868352249	3.81936339098792	4.55595238417055	4.52303539923099	2.87668070573852	4.9428070202516	3.59614916659809	3.18060417997992	4.21836994876423	3.12509869633979	4.31280747885161	3.10432373221624	3.51056053673533	3.94960654574263	5.06702595831748	5.12299666723552	3.67949571645843	4.08798156870246	6.4261231201276	4.03981111617127	4.7321078454774	4.82802747108277	3.91700292418429	3.90973234312055	4.68215526177781	4.36470897817659	3.79078787260783	4.7412638388257	4.00084650088797	4.62694041778999	4.91383402830806	0
"DNAAF1"	2.04988345663173	0	0	5.97373286059319	3.38122448600661	1.70194221854575	2.8423143838105	3.59680733398993	3.74901174970436	1.16632125648804	5.03604087938343	3.52633167430269	3.92759692748379	0	0	2.90828620002027	1.43024651032788	0	4.39138709156881	0	7.32149572347376	0	0	2.86106544331443	0	4.41417026775879	0	5.06453376425186	2.34527159488103	4.31596996937401	0	3.73594308962594	2.42735997911951	0.964787879483278	3.20514612133162	0	3.12278430914261	0.845643534392138	0	4.8829851253049	4.12587952053629	0	3.53685989855474	4.479160021089	0	2.26778688202913	0	0	2.2031144978377	5.40981396347273	0	4.49292156773918	4.75901225184626	5.13656114352292	0	0	4.20148554991644	5.72190810917094	2.94799180232018	4.52329736421384	3.21580332597744	0	4.01789258026774	5.98204732594201	0	3.23284226163792	1.24418522239402	0	3.80725792594183	1.44756363685864	3.4404319641437	5.15510377304689	4.55421822733062	1.58252682296224	4.79977148209509	6.43001634551041	3.85869705563597	3.02421331236026	3.96457914609806	4.25098624248717	5.10638719333213	4.81750131699976	4.64910614760027	4.86771924216271	4.40362207154983	2.21308153400757	0.906393307715643	1.12499562739674	3.07931829450804	5.75335227516485	1.53428819066793	1.10890058809046	5.13917668551466	3.85302941446937	5.12582251371544	3.70166789729573	4.04018806185355	3.88941610025466	0	4.04770071003021	4.27498643914906	2.81242722533286	2.06312972503037	2.84798022488826	1.44700914298548	2.8822556678569	4.81392132473148	2.09735941867351	4.80872818943439	3.65243256969351	1.18200366012195	3.07708211303917	2.33169581139291	0	3.14220961980743	2.03205268729323	1.44138497742826	1.06053392706229	2.4146800233918	1.48869282382586	0	3.03207288004048	5.59247362521774	1.96724330808706	0	1.9621557460592	1.32454048243527	2.29715382944925	1.2693629126564	0	4.22991420149469	1.66811659297938	4.3753230654981	2.25888394477345	2.89386619914937	1.23558996157522	4.77090007357074	0
"SPHAR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"H2AFB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FTCD"	3.01196638275766	4.36332214396453	0	4.24451309536063	0	3.71899578340597	0	0	0	0	0	1.32374879434595	0.74587615138791	0	1.64570188941856	0	0	0	0	2.16858676483065	0	0	0	0.922254066356366	0	0	0	0	0	0	0	11.8659933742491	0	0	0	0	3.58679454409887	0	0	3.84950460907517	0	0	0	0	0	1.53998710010096	5.8583409603158	0	0	0	0	2.5766153357212	0	0	0	0	2.02511898664294	0	0.80430524465029	2.55776581015166	1.80208605547377	6.65942409165425	0	0	1.24840556951559	0	0	0	3.89391187322116	0	0	0	0	0	0	0	0	2.19146792685237	0	0.738257848632296	0	1.93113330657785	3.59322257445824	0	0	0	2.83197382452782	2.18365374146162	0	2.80601427512898	2.26090177657829	3.77872737223429	2.07384743740395	0	1.04256003781009	0	1.0215728564198	0	0	0	0.975484357254229	0	0	0	0	0	0	1.40033416445393	0	1.10932912930396	0	7.31921979791887	1.00611256827336	1.77402172323877	0	0	0	3.69407072474521	0.900260065359875	1.48869282382586	1.11202709654039	0	4.03977857973983	0.788727980143311	4.10340263961811	0	0	6.52388766757399	1.2693629126564	0	0	0	1.57308750316518	1.33026256125083	1.65269238284267	1.23558996157522	0.77471086207065	0
"LCAT"	5.49089587506872	1.15308198672621	5.79988227919926	5.20594655373035	6.19410162030921	6.65893065241042	5.24907276540487	5.39292795859068	6.43972108320978	5.47746796087002	1.86820872657131	4.68941607485166	3.99039516915649	6.52881848689844	0	6.48641511875715	5.9935004868521	4.84179791615196	6.54163561785529	5.50081750385661	4.39899237645001	5.55906856480471	6.96793919790887	5.16622857116451	5.69760477249973	5.41471237020552	3.96433662231979	5.63505355339878	5.40594760724538	7.96169941841174	5.81891161298626	6.56470647496206	4.26649984361783	5.97419600420756	5.49810829347506	4.89742448429598	5.42149070715752	7.34699617521917	4.81331737307264	6.52966595700419	7.30864741452192	4.29367739551048	4.74193179713896	5.09330068365684	8.98295133795422	5.29124920063782	7.07531941778155	5.78817294943653	5.80663421484831	5.47246807572867	6.29626451735112	6.35933305635168	4.0040158334386	6.95974982918213	5.08986759084161	6.55041459847297	7.43407980916177	4.94003117214072	6.38956360110946	5.51104285575406	4.69334252061127	7.55673694509953	5.59093063263292	3.05634949129797	2.9780007410512	4.29297449815821	6.50238630329605	4.53274555904621	5.22486470045775	5.60007468416643	6.37165472927305	6.18213698586507	5.24374905955499	6.5662390704966	4.57195211370207	5.93938991687711	5.56408531218585	6.68200369752723	5.12060666144504	5.90202769605655	4.58113476187491	5.69052430838534	5.09620733203344	4.28066807018589	3.47022433687216	4.43347092317716	4.39986408049959	4.47626239067204	4.7370655942071	6.35600688130485	4.51154590930013	6.69983323202481	5.18232972122951	4.96639434670028	3.53590319238736	4.58076222800975	4.04018806185355	3.09387450052205	7.22081604199514	5.42772760451642	2.54386855332692	6.39816309327107	4.80842674368854	3.53958426097591	3.70983732802513	4.47530541915711	4.34275609193517	4.85168217032391	4.80872818943439	5.98874061877862	5.0871163355348	4.09743894628287	4.09894742842371	3.7977380641459	4.42964780571087	4.84843622723765	6.98019058150818	4.43485252079279	2.82065214593444	5.34836023083398	5.76629314010533	4.28262138695679	4.45281178606299	3.28252985976905	7.34774254474707	5.16016397419343	5.97006612112218	4.55523415729994	4.64266494667116	5.42923854038494	4.78901789098106	4.31295203363751	2.98439393067445	5.67180238205194	5.95674581944623	6.14508589334777	5.40016675555613	0.96265628173213
