"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"RP13.512J5.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPFF"	-2.53324989344398	-2.08713306794872	-2.53324989344398	-1.23965542222458	-1.40224096939136	0.733810691068913	1.25391237105475	0.0263779870061437	1.17206897561285	-0.471032334725608	-2.53324989344398	-0.938736321358823	0.354438458391126	-2.53324989344398	-2.53324989344398	0.394991088978582	0.362892495363998	-0.16531378835582	0.674833926301283	1.29913822404403	0.876790514865048	0.191110289627425	-2.53324989344398	0.633601539866049	-1.8371110194505	1.52802177822274	0.15159954178766	0.776646165097417	0.448802957832477	-1.39951465980463	0.458099744141576	-0.545274246500376	-0.404603565376821	0.466731746742728	-2.53324989344398	0.460662615008175	-0.34841497887937	0.942410479610557	-0.00627527116677644	-0.0400321001393053	1.62499997536295	0.446572646272779	-1.42538428130654	0.462027540296955	-2.53324989344398	-0.0862453330029541	-0.865639305033445	-2.53324989344398	0.343340117292626	1.22334612233588	1.02543367228695	1.20291493851191	-0.290149366173888	0.733072972241456	-0.380284528771486	0.32409961380736	0.457041844712015	-0.808975821404441	-0.196339861601719	-0.700442460026813	-0.0497911823910819	-0.0747204095334201	0.412627479211632	0.708151530001351	0.7993227580592	1.28006690985312	-0.391355069788306	-2.53324989344398	0.18457669248227	-0.336042776312237	0.0447468837956285	-1.25323278616112	0.69311566897664	0.16525972787627	-0.0132964558757846	0.367907009440043	1.09860861576049	0.979462225349889	0.185576001910238	0.476454914843658	-0.0423351260059762	0.756929428248981	-0.571473884994467	0.00323285633267366	0.432988379851588	0.437552199713864	0.192443786232619	0.966635316324171	0.410906173933688	1.7403286875903	0.120652135564087	0.921330482087296	0.173725788352562	0.70813982651252	-0.0863069461119599	0.191613174965766	0.671634556562902	0.4695718137339	1.19730196764618	0.274955516574292	-0.618199063451945	1.08772797083919	0.108275265849149	0.327903042492395	0.135872373355562	0.422957010226188	0.715207144889503	-0.0595537344477369	0.417514608275071	0.396195186456539	-0.670103268214552	0.668069669262881	-0.204123421325224	-0.47326042978925	0.198871790527053	-0.509209798212219	0.260036369941902	-0.522665168569738	-0.259556812514137	0.0248011589390722	0.748522843918427	0.784773525902118	-0.150142163416744	0.114422838720686	1.62877253076552	0.0832241673178365	0.531605634295053	0.593730126034232	0.0036846939259397	-0.00102426058032389	0.499252725765535	0.29365153728348	-0.0780613083080721	0.537535718253788	0.0579878623905561	0.463491596616488	0.649304662755647	-2.53324989344398
"DNAAF1"	-0.322408528762001	-1.40523195431849	-1.40523195431849	1.7503122589587	0.380854502776578	-0.506203818244312	0.0961824737209176	0.494733248999594	0.575133188945225	-0.789138403163688	1.25498905415622	0.457505427586626	0.669468412409333	-1.40523195431849	-1.40523195431849	0.131031200260634	-0.649723429825002	-1.40523195431849	0.914459342303045	-1.40523195431849	2.46224990365786	-1.40523195431849	-1.40523195431849	0.106087469255749	-1.40523195431849	0.926494249364363	-1.40523195431849	1.27004003819993	-0.166373708980867	0.874621259637228	-1.40523195431849	0.568229844646421	-0.12301162167198	-0.89559570489285	0.287843469692268	-1.40523195431849	0.244336947738044	-0.958532106213567	-1.40523195431849	1.17413940614512	0.774208531142779	-1.40523195431849	0.463066820754	0.960824214367701	-1.40523195431849	-0.207303968663246	-1.40523195431849	-1.40523195431849	-0.241466287678272	1.45242966961415	-1.40523195431849	0.968093566699168	1.10865239951542	1.30808753465824	-1.40523195431849	-1.40523195431849	0.814146401494035	1.61728921362762	0.152005151807527	0.984139173529298	0.293472995021675	-1.40523195431849	0.717165879181926	1.75470426369514	-1.40523195431849	0.302473584113722	-0.748007808145244	-1.40523195431849	0.605900949851327	-0.640575890139187	0.412130058510029	1.31788242985339	1.00047270449808	-0.569283398349994	1.13018291588615	1.99133788632522	0.633072979774713	0.192268141557347	0.689003773073391	0.840294478021723	1.29214855041869	1.13954846323173	1.05059597493957	1.16607540825067	0.920922306278781	-0.236201334583893	-0.926441853746226	-0.810968112121602	0.221376608841888	1.63389917231826	-0.594764808474118	-0.819470100632074	1.30946915961356	0.630079124390893	1.30241499757995	0.55012443428734	0.728943168113678	0.649299902830376	-1.40523195431849	0.732911623689698	0.852972259814331	0.0803949833549595	-0.315411365251628	0.099175378231967	-0.640868794086113	0.117280920987434	1.13765738036121	-0.297329988963381	1.13491417633486	0.524116533242939	-0.780854383909377	0.220195375991576	-0.173544934415007	-1.40523195431849	0.254598107399846	-0.33182739336767	-0.643839684062741	-0.845019140216654	-0.129709638114114	-0.618849949096972	-1.40523195431849	0.196419852705292	1.54891718455157	-0.366062078160693	-1.40523195431849	-0.368749514524411	-0.705561220434194	-0.191791272806945	-0.734708031160697	-1.40523195431849	0.829163455164239	-0.524071750993791	0.905973736118052	-0.212006825786915	0.12341402832384	-0.752548139320295	1.11493198180117	-1.40523195431849
"SPHAR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"H2AFB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FTCD"	1.09921467539505	1.84540720807837	-0.56393494665544	1.7798031477499	-0.56393494665544	1.48962264515141	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.167013552507606	-0.152076551960639	-0.56393494665544	0.344789828980437	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.633516750999175	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.0546840763018415	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	5.98823725174981	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	1.41662367595744	-0.56393494665544	-0.56393494665544	1.56168709624507	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.286416165547403	2.67092770313001	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.858822241574108	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.554296616792082	-0.56393494665544	-0.119813135963575	0.848413897873372	0.431142142923353	3.11327032512725	-0.56393494665544	-0.56393494665544	0.125410479970669	-0.56393494665544	-0.56393494665544	-0.56393494665544	1.58620792921435	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.646151286426381	-0.56393494665544	-0.156283231497701	-0.56393494665544	0.50239954079109	1.42017311008257	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.999826263590206	0.641836444284166	-0.56393494665544	0.985491902151632	0.684491316245517	1.52260527402569	0.581203525491401	-0.56393494665544	0.0117465558921609	-0.56393494665544	0.000157839963267362	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.0252913384893553	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.209302513658982	-0.56393494665544	0.0486151577193205	-0.56393494665544	3.47759676176557	-0.0083790323387426	0.415645561083353	-0.56393494665544	-0.56393494665544	-0.56393494665544	1.47585950950403	-0.0668287385577333	0.258092457590812	0.0501049230816634	-0.56393494665544	1.66675270527993	-0.128414600350984	1.70188468143532	-0.56393494665544	-0.56393494665544	3.03842973136312	0.136982719794911	-0.56393494665544	-0.56393494665544	-0.56393494665544	0.304693568363421	0.170610328696077	0.348649844338781	0.118333948962756	-0.13615458203147	-0.56393494665544
"LCAT"	0.226313538977729	-2.99367484836681	0.455676222291893	0.0147937436824451	0.748307887253824	1.09335360013903	0.0468066202964648	0.153591296504536	0.930632864443616	0.21634590806985	-2.46283146571983	-0.368630300435414	-0.887518214206553	0.996770465688118	-3.84961535261312	0.965294160684297	0.599400318407698	-0.255516236056635	1.00628470809281	0.233678430672693	-0.584213762597343	0.276918584499359	1.32273271913932	-0.0146891815704068	0.379754942048843	0.169762011576803	-0.906861648564288	0.333322751940226	0.163255869156695	2.06040760611951	0.469801824586103	1.02341036029506	-0.682563859699481	0.585070471268297	0.231667365608119	-0.214224260867718	0.17479361662782	1.60410925960391	-0.276657534494342	0.997399548440254	1.57564271694148	-0.66238978037211	-0.32964752702216	-0.0688240423396395	2.81848976596446	0.0781144714780665	1.40244177764682	0.44698430815493	0.460688229478381	0.212634459744123	0.824144091978157	0.870960292123202	-0.877407503617016	1.31665369572371	-0.0713724501972012	1.01280140437561	1.66875202603899	-0.182597030282292	0.89340062856197	0.241268778072052	-0.365715673373278	1.75980124195992	0.300570011472596	-1.58086659506643	-1.63902539866	-0.662911545798214	0.977149678249403	-0.484927876707319	0.0288368110754492	0.307357702348474	0.880106752700058	0.739426458736913	0.0428547976836284	1.02454801625513	-0.45582458782742	0.559233678842934	0.280642549778947	1.11048087651584	-0.0485546316073326	0.53149945135777	-0.449008246406901	0.374499065975735	-0.0666664177251012	-0.672046689946987	-1.27364451711045	-0.558620105761969	-0.583566690825915	-0.526855712001044	-0.333259742145816	0.868491250043307	-0.500664519116434	1.1237158597382	-0.00273718972227006	-0.163027468719619	-1.22489066148253	-0.449284780797401	-0.850556615487969	-1.55301152865585	1.51044489913265	0.179423307431909	-1.96128463776692	0.89978408935817	-0.28028788153757	-1.22215817954273	-1.09577818424566	-0.527566078384755	-0.62595833434391	-0.248179087790136	-0.28006411633555	0.595867036363697	-0.0734147254922195	-0.808058899409588	-0.806939142983644	-1.03052887737508	-0.561458031537897	-0.250588573146764	1.33182700348026	-0.557594536571401	-1.75582631775949	0.120508372819731	0.430742778716999	-0.670596729787094	-0.544263253325086	-1.41297138824822	1.604663294718	-0.0191909726392384	0.582004831312706	-0.468234439162828	-0.403333976921171	0.180544885276395	-0.294695203275762	-0.648082087018526	-1.63427969105823	0.360601654299247	0.572117081903322	0.711923183881172	0.158964704116543	-3.13502912831428
