"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"RNA_J_33_M_T_PT"	"RNA_J_33_M_T_PT"	"CE1"	0.047085591718028	0.105624435475576	TRUE	"CE1"
"RNA_J_38_M_T_PT"	"RNA_J_38_M_T_PT"	"CE1"	0.00135458574159693	0.00830436106471199	TRUE	"CE1"
"RNA_LMU_KKG_05_Rez"	"RNA_LMU_KKG_05_Rez"	"CE1"	0.00649703853430752	0.0243393035451704	TRUE	"CE1"
"RNA_LMU_KKG_09_Rez"	"RNA_LMU_KKG_09_Rez"	"CE1"	0.0228600005542449	0.0643179676610959	TRUE	"CE1"
"RNA_LMU_KKG_16_Rez"	"RNA_LMU_KKG_16_Rez"	"CE1"	0.0250407543100448	0.0692794202577907	TRUE	"CE1"
"RNA_LMU_KKG_20_Rez"	"RNA_LMU_KKG_20_Rez"	"CE1"	0.00244643584485237	0.0112807875068193	TRUE	"CE1"
"RNA_LMU_KKG_ADJ_15"	"RNA_LMU_KKG_ADJ_15"	"CE1"	0.0053965834303649	0.0213293535581089	TRUE	"CE1"
"RNA_LMU_KKG_ADJ_26"	"RNA_LMU_KKG_ADJ_26"	"CE1"	0.0387709981116575	0.0893886900907659	TRUE	"CE1"
"RNA_LMU_KKG_ADJ_32"	"RNA_LMU_KKG_ADJ_32"	"CE1"	0.00768289117265166	0.026027753768575	TRUE	"CE1"
"RNA_LMU_KKG_ADJ_41"	"RNA_LMU_KKG_ADJ_41"	"CE1"	0.0171950745329281	0.0528589328234456	TRUE	"CE1"
"RNA_LMU_KKG_ADJ_54"	"RNA_LMU_KKG_ADJ_54"	"CE1"	0.0262974633453751	0.0704093373440688	TRUE	"CE1"
"RNA_LMU_KKG_ADJ_73"	"RNA_LMU_KKG_ADJ_73"	"CE1"	0.000231430015577205	0.00214696491150518	TRUE	"CE1"
"RNA_Lue_02_Rez_1"	"RNA_Lue_02_Rez_1"	"CE1"	0.000790397732580365	0.00524824094433363	TRUE	"CE1"
"RNA_Lue_02_Rez_2"	"RNA_Lue_02_Rez_2"	"CE1"	0.00140073560127672	0.00830436106471199	TRUE	"CE1"
"RNA_Lue_05_Rez_1"	"RNA_Lue_05_Rez_1"	"CE1"	8.55631357862273e-05	0.00157816450450152	TRUE	"CE1"
"RNA_Lue_07_Rez_1"	"RNA_Lue_07_Rez_1"	"CE1"	0.033856629024169	0.0838835883285381	TRUE	"CE1"
