"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"CE1"	0.0113950294956076	0.850213892321614	0.000954249751336114	0.00365827867081162	0.000465480614820658	0.0260094710898717	0.98483452232203	0.495387640363802	0.111363472467053	0.0204161246061474	0.00307801016387747	0.0167968452452819	0.0253478617024604	0.126839137357458	0.0202294561294588	1.55532809844722e-07	0.778028312451824	0.310219461861685	0.0069468597870108	0.463972193069528	0.137410908020712	0.356841364781411	0.358494880243158	8.51138896184221e-07	0.370616676307593	0.11824073388526	0.133268275983368	0.00305415767041574	5.76516351031112e-05	0.374324983663344	0.850384426419602	0.271922878586975	0.0228545726182385	0.586160303951611	0.316825264072664	0.0107318033743955	0.011163646551592	0.000127409495807043	0.00115208471809885	1.67887227308719e-07	1.13971275015022e-05	0.0016306335675479	0.000311701043934327	0.0417523426248632	0.345268061981423	0.54546472076336	0.0718312714848806	0.249932110475	0.142319603820991	0.0640204456420113	0.574951841432316	0.205170340970749	0.000260862423394505	0.153717808990224	0.812983550870178	0.198574221628731	5.56723309773639e-05	0.297537082994418	0.343535083578397	0.540932138251572	9.46271893795274e-05	0.206003994203674	0.0641466439688145	1.73589854302332e-08	3.11974429066695e-06	3.24521718759895e-05	0.537460477946572	2.85531931331877e-05	2.43860110585362e-07	0.0532540966333398	0.5074265820848	0.0673051198334966	0.0853587843208424	0.00583056273809328	9.95548712595184e-06	0.0420216448948142	0.372909799900864	4.28725373638598e-07	0.10326940116549	0.477167665007561	0.0113346803614555	3.6336508260935e-05	0.281360497477886	0.0294762082706174	0.000514660820631597	0.860848345817169	0.177407067083068	0.389527651311447	0.00921036992863437	0.000152148359347589	9.32446310277329e-06	0.00028775926388467	0.057837858538143	0.00205085891090933	0.0140201401463947	0.00139527985084892	5.06369512092686e-05	0.0110248227473931	0.701735385725217	0.271237810666228	0.00989108707695674	0.512524226384067	0.108909050274411	0.00913617916874646	0.870958022257591	0.0160659907319621	0.000202821570383658	0.635329917653182	0.613969266175235	0.0990424617820554	0.70995462283622	0.000168620381727617	0.824749378954952	0.842789902002481	0.230811734869509	0.675999911929791	0.000560766489090625	0.466608739753622	0.0470092656901467	0.00627463722988217	7.66028240724451e-06	5.34774610714504e-05	0.854181734745371	2.20734194577584e-12	0.197220763857905	0.0215601525008045	0.141332214677864	3.2361891170434e-07	0.486557214920665	0.121767263283229	0.728144859284714	0.374526254440828	0.894820889967107	0.000942189965361733	0.00896442175183643	0.000297039384852923	0.000818317151855146	0.494325370695757
"CE2"	0.156297358126079	0.187622033155239	0.216049475476698	0.0357862617208498	0.000132694011324412	0.326665045631931	0.188889913403791	0.682598384394614	0.0577401777397507	0.0143595908399544	0.693977743298526	0.154200918670604	0.0201527094125855	0.167608489672224	0.0585060855980088	0.534895853392607	0.0204624839639293	0.000152143399002608	0.281131543362778	0.987175613784297	0.0646114095656581	0.616416561245947	5.81723694640571e-08	0.181846687341043	0.0296276255843547	0.290030115154978	0.492144982972936	0.0371168341089534	0.805830531335476	1.34327869473525e-07	0.308972113381724	0.0172530014214516	0.303934768158257	0.18397922745717	8.80974751209955e-08	0.194773506475115	0.635061779879959	0.552545158068079	0.46839021149019	0.457920187714662	0.335381771802636	1.43665393783987e-06	0.346022056174391	3.26119911541438e-06	0.126856648375391	0.929684923023395	9.39131303894412e-08	0.527205546541706	0.513752715165026	4.7591775970684e-10	0.354998786321515	0.105116679535233	0.259301339886088	0.950662201418604	0.000165683453480692	0.2853112028172	0.221279325237362	0.0232603611224464	0.750139386009161	0.00678636265315265	0.00502013471181909	0.528844435571976	0.0424333830348219	0.489511775210408	0.115288684614469	0.584159375490669	0.123437996129635	0.0565112223148192	0.367874725168177	0.61316675881889	0.420065244137515	0.0275080632590193	0.335591470936331	0.209433279325691	0.550289621471695	0.0387323167591614	0.314171377672971	3.38571990025779e-07	0.306238874787541	0.912540306330086	0.0657614522362894	0.200521503886137	0.0382981981417942	2.88697490074512e-06	3.19040988025918e-07	0.0710349470907269	0.00321008520288489	1.8403233596027e-06	0.000747582457905185	0.256579474331919	0.190017270413397	0.681914946898866	0.398255848549974	0.0643933075148311	0.226999254697007	0.663776837272564	0.0205965866277693	0.314324964955027	0.446654273367651	0.0949629101073644	1.94713898738009e-07	0.0489423352177614	0.0650841702788841	0.331536675648968	0.00450085385324871	0.424283709283829	0.446252432516771	0.0447497786489516	0.00034783235491392	0.349082567472849	0.00559521309388111	0.58689238493214	0.688692676332703	0.0761901267939741	0.144011715794636	0.0405793150442287	0.00898203283929762	0.363018767910151	0.0233674216258072	0.0442902893426417	0.500850689783635	0.231746462858906	0.861027122302863	0.270756246611379	1.09763405843118e-09	0.113635376992618	0.0290572878793058	0.928447990570167	0.0140847222534798	0.129343941496465	0.0173526713071935	0.000151822232145404	0.290245182509006	0.348148271685197	0.201622147516494	0.10408035034109	0.0292417494824454	0.00355865802292934
"CE3"	1.42927446756273e-06	0.00151281839352019	1.06193746865294e-05	0.780979495324811	0.00154434780496266	0.000306871844205601	7.33319348686415e-05	0.188762045997884	0.0584054180996619	0.0729985437049756	1.10158167706554e-05	0.440441460550772	0.51558522087494	0.796199014565069	0.0431142958890616	0.130775359959955	0.498046464773208	5.18754725665339e-05	0.026100289993736	0.0131318947754046	0.881123529264498	0.301860896012403	0.267662046083024	6.35197578061485e-05	0.0416057708782117	0.430296697626481	0.127342882002674	0.110821611107985	0.00149461298069887	7.22394891739264e-06	0.00417967866622094	2.59565487951846e-06	0.0121329976750372	0.193080948328927	0.292313806755689	0.707236798974321	1.75943663251467e-06	0.0421421090012288	0.047224504069282	0.312931348048211	0.0851167583638099	0.0143150440530841	0.400252080174198	0.302720389924698	0.00605067381353808	0.161540380635424	0.000353945533183498	2.03003190817634e-05	0.000320217140299272	0.281475929983411	0.249570337613198	0.157070390154071	0.227745841076171	0.64847033373765	0.0551980272384266	0.14263858273408	1.08394468196776e-05	0.0990246366139516	0.434331780773942	0.79410287773551	0.989168917437278	0.229556341308207	0.163782134010284	0.0218393950869593	0.058978226453487	1.34221194191609e-07	0.410992527525643	0.121864712194014	0.0124344445657882	0.000525266333586668	0.0926323614192059	0.00159520311801462	0.176714597562319	0.0670819402326757	0.429404257451776	0.0878417265161866	0.0557122194537612	0.0245911855587882	0.453959313800202	0.325887493150932	0.493909685796865	0.0143043958501468	9.31952397315552e-05	0.0748348757733922	0.00516985481050449	0.0155478017973602	0.000763131254956118	0.369890550617794	0.661970522951087	0.22035923993778	0.00224080955459784	0.00495410716194736	0.269636767678658	0.462278418784642	0.0444698702532366	0.459703572725478	0.0100302193885829	0.536739277255703	0.00410768465882993	0.536271938997244	0.0102865501677399	1.98656927260442e-06	0.726899799886182	0.909407606721012	0.361650168551045	0.0980080329028786	0.0303082486721129	0.299838201337872	0.865993419383449	0.192157129019411	0.0714991189592162	0.566722508731559	0.00160380514496969	0.33277481433151	0.446200224157537	0.253726393116045	0.295033876756014	0.085084428768355	0.12342473746096	0.141050052875227	1.41795975747177e-07	0.0421753611216053	0.00654667256312728	0.0764181072685987	0.501113379022117	0.0278640733217997	0.297819359543951	1.41055632481539e-06	0.433505805291229	0.546899656891361	0.18486155004866	0.00270801775851033	0.127497609729018	0.201059259934766	0.0323039257606385	6.84183667213606e-06	0.523223767147196	0.481260002934563
"CE4"	0.00113886182035016	0.00561650462024595	3.05734144243299e-06	0.255170581221421	8.76974750148923e-06	0.000388586964405416	0.518721834483057	0.752128165560258	0.592194519452869	0.488874333364712	0.0788199827249453	0.14616716288765	0.209016961024245	0.978801823111251	0.516543760763574	5.6502321566504e-09	0.017078764087115	0.825531695267583	0.000607705243383596	0.338629324205735	4.92064515721284e-13	0.341085293716585	8.84645628355136e-10	0.290109439375657	0.369142518020349	0.176198397297478	6.09343316423827e-06	4.02184471406145e-06	5.06832384428436e-07	0.158842943210173	0.000390955182033496	0.318714742708264	3.04330058476431e-07	0.152105039309321	0.12365154156105	0.242362962028455	5.65993594304978e-10	0.24995315685996	0.187208701798599	2.4364341673368e-07	1.53875159663687e-05	4.83794554256613e-08	8.00863729336989e-10	0.0559877982542761	5.68329459356660e-12	0.259429991903595	0.903639757815105	0.747417967181791	0.0889971791888883	0.509096862512368	0.152355880112926	0.534362871396235	5.12827903908245e-07	0.321243323470123	0.754659234744015	0.0825327719641389	3.73214827035741e-06	1.31125997790537e-13	0.263026604734149	0.453834009419617	9.53842296686978e-06	6.74558722354853e-12	2.10880727375583e-10	2.97904784388748e-08	1.25950944967794e-08	0.000225476566105675	0.239626743957551	0.143725438437666	3.5096159782856e-07	0.230780650941058	0.109824997297479	0.0976150243725819	5.91464993087385e-10	0.705224552644801	4.53687462998181e-08	9.62075689672732e-08	0.221565380537515	7.93162973278263e-07	0.311701252742981	0.47492336175635	0.0923559408812605	3.74645890456002e-07	2.78189316443227e-09	1.58960377530055e-12	1.64653500964073e-06	0.000215574892894754	6.12689655418484e-08	3.51009859640649e-13	0.429185849509219	0.64649544778451	0.794663542676335	0.28493230093438	0.0595848025008117	3.84692372062627e-08	6.88889898337584e-07	0.273796245591989	1.88627941847983e-05	6.243884620182e-08	0.0422815516234315	0.632818319344704	0.0329366164266476	0.0881397409914	0.113570559266499	0.0304019030353231	0.909996637651532	1.10992651298017e-11	8.76762203949717e-10	3.70061408889462e-10	2.69654508987023e-14	0.402816991150648	0.0915650197482882	4.58431425187413e-08	0.550641866272015	2.04849685940826e-07	4.69950832758786e-12	2.3454053630345e-06	0.88387379371153	1.27890652949053e-08	0.000272450093892871	1.97314725454414e-05	0.45823439832019	5.42290181858536e-08	2.2485544891778e-09	0.928436167732719	0.52184607003469	0.00116972249823405	0.17441146609488	4.07857328295841e-07	1.39628514504784e-08	0.68025120923323	0.807530298322473	0.000111998935850987	0.16934617641072	0.364028824415393	0.00462234654020047	1.95422683431361e-05	0.886321200500301	0.00259001172630056
"CE5"	0.631452856365373	0.559591853632549	0.393915030168469	0.392511951285909	0.332295526116588	0.0666930609437686	0.238514291133653	0.0350987994531893	0.480265325186526	0.246677448969361	0.300249432961219	0.231369613851654	0.574988771840729	0.0407140237095272	5.57325463937799e-09	0.635312635131696	0.0808320479110431	0.344236776595031	0.0337820166345193	0.465012415548453	0.891216681463684	0.00332888071263617	0.463021067741214	0.431953442297509	0.00114745513381713	9.14996319706718e-08	0.0414732586072594	0.18664278280439	0.981078405851623	0.857129048189408	0.010749984394355	0.158901712546017	0.101262161022756	0.00651409798275702	0.903346441978202	0.826824252451278	0.553615620375382	0.177692182310144	0.643593312706495	0.691762124322038	0.438550658992066	0.149565048909566	0.736478808531058	0.886063882820664	0.962922161112946	0.552570527061781	0.769895211065855	0.775640630904649	0.584846924563608	0.0445930217534363	2.0462189213379e-07	0.124885102845064	0.386639094642021	0.504012968802661	0.00905313067328376	0.644973439230332	0.0945014423172996	0.331781023812344	0.0359673227277777	0.661247860091913	0.493427428882435	0.223313088095438	0.942114756852576	0.444292756977367	0.379458722804527	0.000710867860900545	0.144613051849203	0.481816627299054	0.895160517499654	0.640702135047853	0.240875072663876	3.71579784064793e-09	0.041117943941658	0.00802171789069363	0.790359814966598	0.0922382256435203	0.122225574633125	0.118495002722452	0.482309847534729	0.260352604352481	0.0591982582217356	0.688480444656281	0.982843536165679	0.00728898029474882	0.908443441255306	0.00369877056173132	0.0899804329599029	0.251568133024573	0.00190655745727706	0.69815603672604	0.27156389859673	0.517677386703608	0.0398840729959604	0.839924980920949	0.00253584714026481	0.592694868617661	0.401853460206059	0.204300277621444	0.914764641027309	0.387776526743805	0.821140728380517	0.761634069076024	1.77680357174618e-10	0.700405688715735	0.0509447068708221	0.0360729058596621	0.16280706473827	0.50856485062349	0.202358244028424	0.907482106277822	1.48919092432593e-07	0.56133548557536	0.622273631527523	0.378551529835962	0.270819936323793	0.902623166586452	1.51149747002221e-08	0.641776133451145	0.289324506522766	0.656010420111487	0.0587313877676125	4.96741175716861e-08	0.0321279849896994	0.187265763916926	0.0313687396694772	0.189510831250687	0.645779778958728	0.0623825925540629	5.25073738977275e-05	0.30157095443877	0.260023782327438	0.538150721152892	0.241643638033531	0.116623978042772	0.561446556975109	0.492486452129526	0.596428697912067	0.558664748941741
"CE6"	0.0164332337257997	0.000338877748922783	0.518153517472569	0.410567807156719	0.0113137044555218	0.433335699954557	0.17158815343319	0.0073869482020922	0.0788982576883702	0.172250413881395	0.159187087893372	0.164127085995619	0.0414514813094308	0.675300535629163	0.69288593486683	0.699485164299031	0.144434939624978	0.665140741568347	0.12459223522365	0.0711884579062054	0.30145447873833	0.238366159491059	0.837206691518234	0.533127437403923	0.191341027334288	0.129494302968918	0.445673378869715	0.787029409370081	0.443544566757219	0.200408317135606	0.522348316027752	0.204485579012643	0.752591269225617	0.944699190949653	0.208291343620766	0.643786947201666	0.212843306215652	0.367470255129842	0.0506411887812842	0.0459309478142675	0.0778259274951247	0.000890412353892475	0.385801569270903	0.00411909474321757	0.973385499155579	0.361613756933347	0.287553252095783	0.286037510993278	0.403985054000158	0.00504546544230415	0.282100325677786	0.0602035736029303	0.354837758201107	0.476814848487493	0.000125187120263517	0.102102386874076	0.138955955695376	0.362583577275299	0.00361353263869432	0.922612842694023	0.781029433402177	0.410675630871005	0.539269323149506	0.506569853110691	0.286512295374766	0.332415316776317	0.564976853494095	0.0368495307343467	0.663873925595878	0.484349302837888	0.0956381241683792	0.789422483287255	0.00917633360291815	0.364762703719974	0.0644288001847835	0.00365399511112506	0.138582935283772	0.0742799351767696	0.914666445884901	0.0612654445795974	0.250972113694044	0.751277049072512	8.97765322119962e-05	0.209503297860121	2.42624194692621e-06	0.0698367830853643	0.469095456100111	0.93335189903048	0.00973059177813915	0.942888899337246	0.95268686437001	0.267847663458255	0.00486895633360463	0.308761438570973	0.731538399435465	0.000994720740451594	0.000675958992637334	1.3653896664637e-05	0.515448671021884	0.346042129800651	0.758015166353705	0.0935489244426007	0.0668959117658904	0.00474507040046235	0.00220956047023616	0.209244983415165	0.187200892295608	0.00524296496732912	0.125359476098342	0.651438846239996	0.365657237914296	0.103940330266371	1.51114459460866e-05	0.00282087506571096	0.763233774895205	0.018287519856671	0.269435360690879	4.69413696522518e-06	0.0283547774048231	0.00449318153365392	0.165898201815456	7.00089931414393e-06	0.0114318513749707	0.0337831706470323	0.305226036645497	0.0236569490866663	0.814032958275188	0.627175865543639	0.198224429962512	0.657029763665108	0.167714399865576	0.065336134257242	0.919256359951637	0.00134908288124085	0.00275809041047495	0.354579114712067	0.952828935589924	0.000372607456588091
"CE7"	0.304623038747117	0.0723770783627723	0.591451860627261	0.938893395914343	0.000118319498107911	0.710556727133349	0.417945137391033	5.04835971923186e-08	0.00779267344921319	0.0311321452829742	0.00160172098882027	0.783028408428778	0.203842248665025	0.267407487115737	0.823371403318215	0.654722641240832	0.841217951952232	0.354490149276867	0.0285391299811987	0.780597298261479	0.238957840826975	0.431148590676497	0.783588637366953	0.332108815557602	0.0629791510733417	0.158162858075547	0.223028943747469	0.00129403631756382	0.188896024547286	0.665661164292203	0.382929079030172	4.37000492720546e-05	0.285738294446796	7.45743925071678e-05	1.47194691241264e-09	7.97428096278827e-07	0.846871492209592	9.37382886874875e-05	0.000123038243560044	0.328112638464892	0.450892949198291	0.00942250399133886	0.00070060419925636	1.03257519399807e-09	0.127520611703838	0.567680807276661	0.274592086432838	0.219878218015952	6.66061363311545e-06	0.00558544584098317	1.53340104050323e-06	1.26611068527775e-08	0.846133460569261	1.13102646446718e-09	0.00200898656309896	0.000705563630213083	0.43545668821262	5.78773673467747e-07	2.2215008301823e-06	0.043250780336274	0.529959971956985	0.109291710876205	0.001207265060341	0.462229436081135	0.167849919180135	0.7469269515225	9.61903770610996e-06	0.95115916528085	0.671308833680959	0.00434763371197178	0.000410610903167071	0.762124818329232	0.0456658361255639	0.00016214528038513	0.389331729874676	0.0379787616689025	8.25468592263642e-12	1.74925389668106e-05	0.635533201017517	1.14712942905806e-06	0.20195536442089	0.157134084757848	0.0400894680980188	0.355299910579683	0.462717350370361	0.641199230189079	0.00859420820619708	0.166856688537485	0.479687587056134	7.22656477241278e-06	0.569701392612255	0.0513194232133635	2.22697150289264e-07	0.228105682509565	0.0884383034016665	0.23209525815448	0.676256910928321	0.210764473637918	0.736086145489356	0.267344069318796	0.607244398921571	0.670046018605645	0.0095912179869587	0.450436229171545	0.255574738129179	0.0115479571455657	0.787315818319557	0.669059722362155	0.00135198296606398	2.55161343271012e-07	0.51039189917757	0.341370438508213	0.0985220059392614	0.184264687029208	0.0825392352515129	0.389471531108699	0.0211127892347586	0.868661748873862	0.0975056176758966	0.478361002137324	0.515506355300233	0.236947824389025	0.0895544784371148	0.137801980359793	0.00173243356756512	0.139474127476106	0.99452555234008	0.104698184799495	0.100173876456195	0.209074011855915	0.881268599302454	0.506857586108674	0.162686552135996	7.14626372482678e-06	0.361634300511378	0.756492729037246	0.210445415440786	0.118366376123377
"CE8"	0.0498934674151988	0.157045745618117	0.802870201805153	0.018127547838345	0.499186670259418	0.0560381410260195	0.0676739817785756	0.10333340421031	0.0188298777803548	0.30796111396159	0.504573338048233	0.772600939582552	0.605083552975407	0.00581403271233738	0.278652180981362	0.263305910123706	0.476462992909675	0.0171582607515606	0.413938041388432	0.278782624931618	0.596212959371745	0.0181600112548524	0.00919373177456553	0.0323709582166277	0.00941016443503388	0.593344205635698	0.940563267741462	0.572459527160192	0.0153881649190782	0.00810678971049438	0.1099681372551	0.036330493984595	0.297254856878035	0.000127236704031785	0.0140700081144048	1.86159994815188e-05	0.0115075440389112	0.000143197952550818	4.53013942416741e-06	0.171898258506935	0.0105607307780807	0.146316747625587	0.67599258128118	5.87414676750522e-07	0.405763991966699	0.200672910762924	0.0297386123585073	0.947653991480265	1.10318787183573e-06	0.66021943004844	0.000678170286477916	0.00578004651931624	0.688916035319857	0.735151879431235	0.0196452097232511	0.630807922441712	0.0197129709848292	0.000506046639093172	4.70850024010899e-06	0.0931663629551828	0.024558552053263	0.0864311450848835	2.12213598031838e-07	0.0447932865033777	0.245423362309729	0.0442247144359205	7.23380945804579e-07	0.0292905753797186	0.275550700372494	0.376925499492917	0.0617713657292274	0.251114025958031	1.40872362236763e-05	0.277992729115073	0.206057712106028	0.0119282418702346	7.42143040558038e-07	0.271947964532396	0.0540070680695539	4.8815782752421e-13	0.00590382031181693	0.0440078674455679	0.038696210318864	0.196779791431699	0.930071812909117	0.545968724569163	0.0208785118091467	0.786642362898912	9.08004562580301e-06	0.989663055415213	0.102323102864909	0.0166608978533924	1.32807809193891e-07	0.685896419138277	0.10573923014547	0.0148906764689272	0.151244002640115	0.483623379317451	0.0147581219669511	0.625809869420793	0.113509617696161	0.028838841002881	4.50693496318784e-08	0.285514682450274	5.70429898363961e-08	1.32041509619247e-05	0.122824682265085	0.279195167900087	5.67293012327293e-06	7.62403101738542e-13	0.00411201777149648	0.0382698886490078	0.04766015070462	0.947017581635216	3.36207037534931e-06	0.339452639223451	0.146734974520375	0.167600796756992	0.143895343175225	0.411488866323792	0.126637044313224	0.0531936953143513	0.000542656699798619	0.112056327105038	0.310492068722001	0.39288895768602	0.0166382470550235	0.186815878825704	0.0603951140183003	4.02327624511115e-08	0.766451876253167	0.353631928150097	0.05507210310486	0.0221186498358167	0.119919323743428	0.849640774099233	0.00951288225928693	0.305018796572596
"CE9"	0.00128383344547102	0.000145578595524354	2.03910163126052e-06	5.21569114566743e-07	0.0843953895966886	0.0004336720154945	0.000475870360550114	0.000918106044943851	0.056062761093362	0.0313045548646022	1.68820689523732e-08	2.52897069108178e-06	6.78983689320359e-06	0.0016609865342501	0.43790412055842	0.163310295690316	0.102443846410291	4.76937732325052e-06	5.060111109958e-05	1.92633160295307e-06	0.0351246100352313	0.04915120311209	0.369415006313099	0.0156034435220096	0.349580398541427	0.00131725166382296	0.0470571285143579	0.0309582555742189	0.972831022942406	5.44764267961543e-06	1.06299684169328e-05	0.241817526885778	0.265343724956773	0.146059961055679	0.750501433766362	0.451823424114225	5.68327987619283e-07	0.000819538456351264	1.84186831486795e-07	0.000258978977099523	0.000702339337528386	0.476289351345707	0.691641267081353	0.00812585577882349	0.0918141425028771	0.0444637873016544	0.409022082524683	0.00355908010574166	0.802585754592344	0.00417211938011332	0.174394995569681	0.000481167106074545	0.000200943749695093	0.0371114339804606	0.157640074493848	0.00174252910265502	0.458507056237972	0.00944626674700194	9.8397113023843e-05	0.104436281599275	0.0607421862734448	0.854755075713866	0.905082157706532	0.0173977650448863	0.0031754867480835	0.0874454991558976	0.631652196761191	0.0989331413244356	0.0123642998837641	0.035671744248829	0.000338349860358458	3.83112048557585e-08	5.97750803552217e-05	0.0633015637312362	0.0295014305759921	0.00253981135654024	0.442273007226291	0.0691212114988172	6.60855064908781e-10	0.406587001299482	0.0211926938074397	3.13577584986317e-06	0.999457404870432	0.00615752119283555	5.97357741724653e-07	0.184175986499807	1.09216025766536e-07	0.00867900082263179	7.98027597095295e-06	0.0224870540676805	0.160325757122352	3.57738828311513e-09	0.982835883358464	0.705402863519	0.000248929290599107	6.57022679511447e-07	0.0643798299801178	0.251212186307869	0.000377156601664836	6.00295037941584e-05	0.248970652509973	8.10097113656119e-08	0.00818192599700636	0.252825081376221	0.00307555107625404	0.0232354779313682	0.353386050690106	0.651645936236918	0.000168465826010419	0.383683982081227	0.454595035944404	8.55364079480961e-08	0.0785306100218526	0.118684493472183	0.0181855895815605	0.0536159121506768	0.00880712705152588	0.00794108062600003	4.34678084904249e-05	1.6794557984274e-05	0.029124438849107	3.02338267768902e-05	0.00324084198549756	0.284448727111029	0.182391161271662	0.114424591271711	2.11622914184628e-05	7.31184929584748e-05	0.307639883641971	0.568422322810346	0.138861540359987	0.870993069750853	2.35927038154398e-09	0.0868293576127806	0.00140366869579345	4.25688677843454e-06	9.19778191088247e-08	0.174100633634081
"CE10"	5.02794975410734e-07	0.000184068312440644	1.38358788942052e-06	1.257866825166e-05	0.0029407055225171	0.000223082804071218	2.84950801266618e-05	0.0520762107010978	0.010784543778977	0.0148826684951327	0.000927779016813348	1.80151600098768e-09	0.000294639610145249	0.0299081704196354	0.0532683975882534	0.0043787637214408	0.000410527921818881	1.78453606340718e-06	0.000132431220307828	0.00559626727883425	0.414072502084641	0.0676085206710286	0.166513580203411	0.206996720438292	0.055054557026574	0.00038094429989664	3.33382296900882e-09	0.000526937919861904	0.846292780676916	5.2948575470283e-06	0.000160583975202128	0.110365407064112	0.00237446797048786	0.00443313133285236	0.891463441985639	0.000738340162532695	0.0830518242146055	4.71938335574958e-06	5.99462636330455e-10	0.115569069674686	0.000157851872638371	9.38891026131194e-05	0.00549776044495346	0.402560541850698	0.00084575183242039	0.00901175188973896	0.0100476683313963	0.000387776572110057	0.000560605451769477	0.013713184130622	0.163866905748034	0.024954491451241	0.029358657194442	4.45612140381757e-05	0.172015542014288	0.235856980630902	0.0818665655142648	0.10478778568034	0.106414017502194	0.00751964603483878	0.398455478532965	0.714443952682069	0.00542654726988234	0.0635563373393079	0.00482320792985611	0.356295090654269	0.716159517353823	0.262384429745919	0.0130064965102972	1.3959210237477e-08	0.0409606329375612	0.00145368208338975	0.239445641736844	0.0960127254319192	0.0402975445832731	0.403276804632612	0.00925408201142001	0.000959484877664276	5.13684823829383e-09	0.0164028904973824	0.00129192739373055	2.04023698258822e-06	0.00848422547577023	0.166692202422094	4.69056033533384e-07	0.00694706066641417	4.31582062500856e-06	0.000213362537914632	2.88058552109244e-06	0.771620587774251	0.299837172177856	3.4384713760252e-08	0.608388635543856	0.094777384223151	0.00123242715301803	0.407851120038194	0.00297080223489664	0.183045436126993	3.04593423084965e-05	4.06381668908164e-06	0.0378908718177318	2.41038788568223e-07	0.0766098342577201	9.76720632174709e-06	0.172102017363046	0.704451023842224	0.382227363997604	0.915592861324069	0.00430573906201726	0.00276799142537003	0.0133335748825259	0.199487974153678	9.53320072418488e-05	0.0166504049078	0.172644974633195	1.92125496487774e-06	0.0877361338837482	0.96001695000028	6.68993992807875e-06	1.74019344943813e-05	0.0347121741300342	0.00901432755966752	0.804816430876593	0.0239358426604364	0.0172641813883654	0.000104542868846883	0.316682388131825	0.0207057630006225	9.51565979634055e-06	0.917988486407049	0.5828673151052	0.0637067423885615	6.82558699274512e-07	0.206177044342633	1.98140907187116e-07	4.69565115455318e-06	1.08515226401053e-05	0.00014488895205638
