"MUC14130"	"MUC14190"	"MUC14169"	"MUC14155"	"MUC14098"	"MUC14103"	"MUC14109"	"MUC14112"	"MUC14120"	"MUC14121"	"MUC14126"	"MUC14131"	"MUC14135"	"MUC14142"	"MUC14144"	"MUC14146"	"MUC14148"	"MUC14149"	"MUC14162"	"MUC14165"	"MUC14119"	"MUC14166"	"MUC14159"	"MUC14118"	"MUC14136"	"MUC14138"	"MUC14113"	"MUC14105"	"MUC14160"	"MUC14143"	"MUC14125"	"MUC14106"	"MUC14122"	"MUC14133"	"MUC14137"	"MUC14107"	"MUC14168"	"MUC14116"	"MUC14117"	"MUC14158"	"MUC14177"	"MUC14173"	"MUC14176"	"MUC14157"	"MUC14171"	"MUC14111"	"MUC14139"	"MUC14174"	"MUC14097"	"MUC14108"	"MUC14172"	"MUC14104"	"MUC14170"	"MUC14110"	"MUC14178"	"MUC14141"	"MUC14114"	"MUC14147"	"MUC14115"	"MUC14129"	"MUC14151"	"MUC14152"	"MUC14153"	"MUC14145"	"MUC14154"	"MUC14124"	"MUC14127"	"MUC14175"	"MUC14164"	"MUC14100"	"MUC14156"	"MUC14128"	"MUC14167"	"MUC14099"	"MUC14132"	"MUC14123"	"MUC14102"	"MUC14101"	"MUC14134"	"KKG_PROSP_ADJ_01"	"KKG_PROSP_ADJ_02"	"KKG_PROSP_ADJ_03"	"KKG_PROSP_ADJ_04"	"KKG_PROSP_ADJ_05"	"KKG_PROSP_ADJ_06"	"KKG_PROSP_ADJ_07"	"KKG_PROSP_ADJ_08"	"KKG_PROSP_ADJ_09"	"KKG_PROSP_ADJ_10"	"KKG_PROSP_ADJ_102"	"KKG_PROSP_ADJ_11"	"KKG_PROSP_ADJ_12"	"KKG_PROSP_ADJ_13"	"KKG_PROSP_ADJ_139"	"KKG_PROSP_ADJ_14"	"KKG_PROSP_ADJ_143"	"KKG_PROSP_ADJ_15"	"KKG_PROSP_ADJ_16"	"KKG_PROSP_ADJ_17"	"KKG_PROSP_ADJ_19"	"KKG_PROSP_ADJ_20"	"KKG_PROSP_ADJ_21"	"KKG_PROSP_ADJ_22"	"KKG_PROSP_ADJ_23"	"KKG_PROSP_ADJ_24"	"KKG_PROSP_ADJ_25"	"KKG_PROSP_ADJ_26"	"KKG_PROSP_ADJ_27"	"KKG_PROSP_ADJ_28"	"KKG_PROSP_ADJ_29"	"KKG_PROSP_ADJ_31"	"KKG_PROSP_ADJ_32"	"KKG_PROSP_ADJ_33"	"KKG_PROSP_ADJ_35"	"KKG_PROSP_ADJ_36"	"KKG_PROSP_ADJ_37"	"KKG_PROSP_ADJ_38"	"KKG_PROSP_ADJ_39"	"KKG_PROSP_ADJ_40"	"KKG_PROSP_ADJ_41"	"KKG_PROSP_ADJ_42"	"KKG_PROSP_ADJ_43"	"KKG_PROSP_ADJ_44"	"KKG_PROSP_ADJ_45"	"KKG_PROSP_ADJ_46"	"KKG_PROSP_ADJ_47"	"KKG_PROSP_ADJ_49"	"KKG_PROSP_ADJ_50"	"KKG_PROSP_ADJ_51"	"KKG_PROSP_ADJ_54"	"KKG_PROSP_ADJ_55"	"KKG_PROSP_ADJ_57"	"KKG_PROSP_ADJ_58"	"KKG_PROSP_ADJ_59"	"KKG_PROSP_ADJ_110"	"KKG_PROSP_ADJ_48"	"KKG_PROSP_ADJ_86"	"Cal33"
"CE1"	0.210802888692163	0.0960504168359397	0.396062694561125	0.223411870153876	0.021774329844545	0.0367109259586887	0.092940003078261	0.0700661130394265	0.142336675478735	0.16760946721873	0.223837014470855	0.172866389380672	0.160235565997525	0.0670456728200856	0.263208725005399	0.00959868042898393	0.101905229506422	0.147873534265318	0.428568714339015	0.0803008872803704	0.165863015095345	0.0780987748161869	0.0857147898508053	0.00177134473684138	0.0767698828050493	0.168039488592939	0.182621682401129	0.0283414452770479	0.0259501266648475	0.0781539470364019	0.102042505732746	0.0750759662471184	0.247079476692073	0.0681660025210404	0.118163163245092	0.245103697293183	0.0315809742233139	0.316212368385928	0.188932297357942	6.48572464370807e-05	0.0157138537055554	0.0373123311615809	0.0231789346651813	0.173764061315829	0.142198366053595	0.106223756145114	0.065943797322955	0.200690276768982	0.16119916000566	0.0404475619656427	0.0856244365702381	0.0779257165742094	0.0358984506802647	0.147381112360184	0.119633707182154	0.0611261000344596	0.0123612406199641	0.163029349579147	0.134617407025114	0.0785262820304303	0.0246661413721919	0.0761006851600744	0.186208294558952	1.88742436110086e-14	0.0246399681211905	0.0166319223841817	0.125742293929269	0.0250348013002021	1.74866672906744e-14	0.170162107887665	0.0717339508620153	0.139277123337911	0.190668355857059	0.0449189253120935	0.0156672800532744	0.19216499972254	0.126560664042074	0.00426201986480459	0.14579496353305	0.117589334789498	0.197995475184231	0.429350951564421	0.15044544763952	0.061720809560229	0.0236595793477585	0.106849292814518	0.166587497885244	0.0784199217916812	0.266393797765571	0.219201232842908	0.0232850676397651	0.222209698772663	0.186127751313624	0.0254547480377879	0.328738765261703	0.0309704569654977	0.0155079974302069	0.0306918348343215	0.0874720138160238	0.129910303114916	0.0485758464552326	0.0766954407672626	0.186759480490177	0.295804193764438	0.105638304156225	0.280766126132388	0.035913404823651	0.08551618518001	0.135480707558058	0.165645235056421	0.10141714842276	0.0265243683028563	0.0857952645570315	0.0815885823879799	0.166009642885484	0.100842058445037	0.0211234075634767	0.0738383471614715	0.0359749832913098	0.376664624810063	0.0139178614282726	0.0166875272471244	0.116730919640228	0.00379944893276473	0.0661320288739848	0.294926885771889	0.133855293457519	0.000519143566889497	0.0772538827328743	0.148416414794708	0.112371938137566	0.152050343826658	0.0858266185863285	0.264773946806318	0.211081548478794	0.425922267523211	0.225543425395411	0.0565952260321517
"CE2"	0.222768305617767	0.230007481763559	0.0705651568157186	0.206084353611503	0.0167309377016874	0.0539432790195425	0.0359180434227946	0.0880531818410719	0.350605261345837	0.0258765045505583	0.0988008794920051	0.0712005083751406	0.0253734371163225	0.17787202437881	0.0509114061255171	0.166347122808046	0.481626476275275	0.0146676391543708	0.146182560164129	0.0934498057875786	0.0319702309140175	0.0706946506859749	0.00698818683652237	0.035542952060077	0.0253906578952444	0.059202293573821	0.145735876485764	0.0361886835772733	0.140380187733444	1.41245842989301e-09	0.0524708815154798	0.0286013950678283	0.258133772052739	0.153129492848672	0.0208612025688704	0.0622937449813555	0.0973201741411192	0.0871923345206434	0.127522747105545	0.200662004032884	0.187445598523414	0.0103822307594071	0.212159706722689	0.0259709174585856	0.138961743797984	0.0965683294785762	0.000559574967391131	0.201463338921763	0.111125259114919	6.16258736574787e-05	0.130936674327067	0.0553081282438396	0.194081976037373	0.0960217030513163	0.0126617194035301	0.0597245340493885	0.0464162589914801	0.045868476638573	0.112769738346441	0.0426577235209656	0.0330167115342331	0.135878387254969	0.191230042362891	0.188177173313987	0.0495631840754205	0.0832558287566406	0.163508503765854	0.0287119301613295	0.263204615991335	0.10673567987463	0.183568137506076	0.17495082475032	0.183565930528111	0.0443366432486396	0.19048573616764	0.0666426028483645	0.0531681242000381	0.00215538595089122	0.177849653463576	0.0956985341974935	0.0627669346972161	0.0604727141998128	0.0440239045473798	0.0326600195802403	0.00774399173948494	0.0418673240824811	0.0172789590725691	0.0196443184815218	0.271567904882946	0.0696481386632556	0.0410620720793481	0.12317442395282	0.0917439786130915	0.299703783376083	0.239307565443377	0.136296322753863	0.0377159084153954	0.191515917547404	0.198000299747115	0.294918864613318	0.0108471989947333	0.0371463444076995	0.0676948418673735	0.14188211343642	0.198942605390343	0.0981974119193023	0.153964260531022	0.0372144554862599	0.019553803159325	0.132888897002909	0.26812529236081	0.165710250806392	0.122357953846464	0.313361666781444	0.183140715950034	0.358466096506711	0.0225902961250125	0.0633819039884735	0.295231375216439	0.210873253308706	0.168724875731458	0.0535274385125168	0.108233881630544	0.0522556930411268	0.0045488548658522	0.216425567331583	0.0554950725658417	0.1071647211393	0.0601897566100972	0.189320811565846	0.0443521282583277	0.0134922591722041	0.0545299625530153	0.0854411672681459	0.18887821206246	0.0559696834702488	0.203169701571985	0.286327911688638
"CE3"	0.00653966266261638	0.0115694940640697	0.0072953320570303	0.105898966540728	0.0209258300950488	0.00187237942404923	0.00653752517817735	0.147711051230782	0.0364214680333404	0.0407805729426704	0.0253313727882499	0.111740236091626	0.07789070221651	0.090885727349368	0.0438100772787755	0.0554804839029519	0.0535340722897954	0.0142494087738104	0.0567931062808601	0.0392139193196061	0.12039051866655	0.0636705361693371	0.0708463136851984	0.016256157088721	0.071424990046905	0.12642975897714	0.194959344553159	0.0634864133299566	0.0327536952152945	0.013921153482053	0.0343982054443657	0.00917170097286672	0.027514025345929	0.184490194102196	0.0559455228523072	0.112745050494853	0.0204035572649284	0.0693892965463678	0.189645081947649	0.0682210589276038	0.0514963712342403	0.0510744975010123	0.133260034670897	0.0798050997034675	0.0713365046660425	0.0606960296431466	0.0189949315657969	0.00376326953853698	0.0302033134771601	0.072146689060157	0.0647613605884971	0.0499677535629115	0.0527380181649155	0.114177636630444	0.0726590521599769	0.0598199867757601	0.00736535717418035	0.1824299681313	0.132204166651321	0.103805222491892	0.103285178347858	0.0604209117434809	0.19671980761635	0.0317483326826575	0.0411968701076461	0.00416345805434148	0.0715808696185781	0.0469266224452883	0.0294426349073649	0.0299201183673994	0.0389348645753301	0.0138286016642128	0.175856059650896	0.04035690054429	0.0718785950173244	0.0576654496737447	0.0566748831961439	0.0306077456977005	0.0551153235984771	0.140134967898063	0.123072652996231	0.172773898796686	0.0308958584582214	0.0658453358403339	0.0284396831140136	0.0611252264148515	0.0291501511326768	0.103307196518623	0.12298478430261	0.0755107123731767	0.0295115883759292	0.0261653076809522	0.138667534012436	0.161839155496652	0.0415154770496852	0.0678889566129727	0.0340418570990759	0.14346364468782	0.0262067956738033	0.0600979828557099	0.0346240243713213	0.010669039746723	0.110721096043735	0.0964582973196309	0.126735858365796	0.0728167306431734	0.0387886979330135	0.153554619596656	0.123622289462791	0.174051097085388	0.0453876957001225	0.132036481577379	0.024876858588856	0.054912247006324	0.135851483192169	0.200365504724836	0.0543125320146748	0.0640454323088895	0.0281841035860422	0.043645568998804	9.6424112897344e-08	0.0346757475664308	0.243359588818801	0.054053802300732	0.0738704523084705	0.0500405662968093	0.0611779670119276	0.00423479414406563	0.0923048387466223	0.12032329947882	0.153455334730838	0.0434160382740108	0.0375188952569183	0.060849240228008	0.027033555834338	0.00231491762255187	0.128371390235579	0.048561968701898
"CE4"	0.0137669743562823	0.0129291276116476	0.00287812624608217	0.061361259288167	0.00922397058404764	0.00320161748284652	0.184567228945353	0.1277340029266	0.129557841544452	0.148570685565392	0.0580774329540657	0.251449977792897	0.238320068334187	0.0980714104567834	0.0666168964828216	0.00123944705369734	0.0178102375847155	0.0909227096189492	0.0172173338460917	0.241160641773872	1.12700266729316e-14	0.24294296648513	1.2400306556938e-14	0.281547998096121	0.176038875773328	0.21979812900721	0.00836116483310943	0.0141332571130023	0.00694675780137876	0.202028348273466	0.0110200298136082	0.245826314689997	0.00363053986145908	0.276266825841538	0.31733997770557	0.200887696325281	1.9179455161968e-14	0.208757335344384	0.212639977583808	1.88153603096985e-14	0.0122057349978994	0.00672041497926479	1.57171171357577e-14	0.247616297077273	2.04098807891935e-14	0.255414193487952	0.0981115234133385	0.114499580613892	0.361769468123274	0.171975933029369	0.311139317258459	0.186898934198548	0.00710105853887827	0.205219100880952	0.133984757088582	0.3217910663441	0.00186815564294768	8.66501978446164e-15	0.203382917034687	0.0878289850509706	0.008774406376087	2.59890023507143e-14	0.00430203677702426	1.94782877450374e-14	0.00567864581078223	0.032306505681592	0.261656647881979	0.171815600897998	2.2327369471922e-14	0.293124802792155	0.381832525260076	0.319545845270095	1.29249439124779e-14	0.145947458753055	1.55387063517782e-14	0.00784525989419529	0.258417551978112	0.00459790681483556	0.146108400663652	0.154029985037944	0.255908247877076	1.04055081336401e-14	1.89146690106151e-14	1.59896121616967e-14	0.00831642072342025	0.0132724340630741	1.46829146732171e-14	1.21452592039421e-14	0.146470494260384	0.148829143442205	0.121553324840992	0.245603046531328	0.0477250846561743	0.00125729554375695	0.000799294388820615	0.249589768041808	0.0177403174749374	0.00482312226477371	0.0239485700823148	0.124628432307504	0.0545969821647797	0.342323871986681	0.252858216850739	0.0369734804677209	0.104583212941375	1.3489197155246e-14	1.81628424727552e-14	1.69247755806702e-14	0.00245168710034464	0.144100160117843	0.31755809579474	1.88975866348838e-14	0.125853997804892	1.83349619718228e-14	0.00238942768850467	1.61116887925015e-14	0.10236978642177	1.95968159460455e-14	0.0128050892984859	2.18363540874121e-14	0.0679101508028345	1.89586641040837e-14	5.79144841383521e-09	0.0945938952748556	0.140845076030853	0.0157644725359053	0.20547326582953	2.20650903596863e-14	0.00144170758715596	0.123291693294615	0.114318391258709	0.0115876488187202	0.214449608067558	0.180942836725656	0.0156910309680106	0.00575868473632238	0.104467078883528	0.0100905621078169
"CE5"	0.0776954984204888	0.183546172366413	0.196422918518294	0.165320786561522	0.179473074430486	0.36528942458191	0.241167088506034	0.0259859911378108	0.159760210679421	0.159758344730686	0.173203873840265	0.0562448935635647	0.110905033474704	0.0400020459780745	5.13283656390422e-05	0.0722648066762148	0.0291034432153475	0.17081983644123	0.042280260373875	0.106815285733267	0.122394318364816	0.0160731650775804	0.0690594770609061	0.185308617507626	0.0244076738025557	0.010700261432697	0.0438007924298594	0.0561359954792619	0.106934745378482	0.111296251187521	0.359393508379895	0.163685270064412	0.0334894756541307	0.0206425590514656	0.103810453961967	0.086254670162586	0.137736324192878	0.0663683373120347	0.0764708832244803	0.081771443526504	0.0560233741115774	0.0582857908593714	0.128906128428725	0.0972853742011835	0.112398220665602	0.1083443443001	0.131708747095413	0.141630961014122	0.071947712390152	0.0400315977626603	0.00673260931242669	0.054991093091394	0.161883807492071	0.149923878869227	0.0328940161821545	0.115166203935726	0.0584234917900122	0.0950996343985796	0.0246239189906801	0.0806012142661552	0.181185153057832	0.044169242631815	0.0994107176416485	0.139508248725148	0.0697361998894891	0.0160529012644364	0.0442331662294628	0.0727378087315795	0.107971416734659	0.127343418205482	0.0464324136299367	1.47620055203987e-10	0.0317241891357876	0.0383044851224534	0.122672254643694	0.0527154667265318	0.0470093849629446	0.0788722621679872	0.0670315336314866	0.148382305574744	0.0480805117839395	0.0904769572372974	0.107724871174686	0.0304089152021863	0.107624778771365	0.032414497266366	0.238187102669203	0.0687104448529697	0.0265681475373101	0.09724316878201	0.212593126392278	0.122849893852469	0.0664299205162288	0.0829563744838435	0.0247328312928797	0.115389161568152	0.0742390984850849	0.0493233436518864	0.0920650793255855	0.0496267712450053	0.121209622228504	0.0782545760384303	9.09890048563343e-06	0.0822018521725345	0.0316652774717591	0.0622042008929349	0.194718783160849	0.161777067082532	0.0715480476181638	0.101940614315126	0.00150079096632722	0.133899696138802	0.133205133553315	0.148568159806662	0.0701525716132426	0.0896698145585085	1.85381288451946e-14	0.145407456238998	0.204096336832824	0.151990492994426	0.148809083030454	1.61844662913625e-14	0.0270095420965584	0.0711124417542059	0.0399082247574119	0.0519789480948223	0.0802248073537943	0.133424203710224	0.0279363421068941	0.0568206965573897	0.0595699317824861	0.153826884746893	0.176165780271833	0.0454840889025004	0.169456062661967	0.194774185379342	0.116312611145503	0.214658069544255
"CE6"	0.0435193451643721	0.00517741528009025	0.0934730441072699	0.0663027801154879	0.058665641620141	0.0712372038287994	0.0574694976251105	0.0458240169661818	0.0432594169125962	0.135098312257238	0.153004541784601	0.126624501555511	0.178608866584275	0.110563373463538	0.135237681078946	0.0952697051679023	0.0523636381842794	0.120622765161291	0.0709484813346171	0.151133071420762	0.151622385527775	0.126475881023511	0.107305256021216	0.109655161872172	0.149923503859483	0.148959032339321	0.125578062122602	0.103916774076648	0.130435200845601	0.162462920984	0.0796678674891371	0.134832010650774	0.0934251460596096	0.0896382310960999	0.122445147198343	0.0913464738563643	0.156501433525826	0.132524481952558	0.139492535974566	0.225111434271442	0.159321913840218	0.304500717543013	0.135303116124719	0.190745166594051	0.108475475186454	0.0741664617239939	0.151607103915806	0.133928697014455	0.120309545971742	0.0538520801966969	0.142408960096257	0.0729087433720511	0.131652741393597	0.116386631810224	0.194275487800054	0.140546334922518	0.0692163809553314	0.134274255948333	0.0511564040691595	0.110224330549254	0.111206053475769	0.128019781372556	0.121800580979479	0.0826115423695677	0.0815525477301926	0.0818678588159706	0.10537669356091	0.167235406337794	0.11486644692603	0.120736504908858	0.148821291840495	0.0818712353428389	0.218705698150477	0.0871940439118075	0.171872678447552	0.204152617113539	0.142596861039103	0.0708280920128235	0.0924455195417359	0.136600178554799	0.122665243790014	0.103174915371496	0.0360654771966068	0.0915327506604314	0.0224693600050693	0.0769404162051553	0.0815882268271503	0.117402316641945	0.0352502713335587	0.103427226854643	0.0966226379157833	0.0645737105718678	0.172579903284175	0.0692537971250399	0.0970575969983397	0.200369712958986	0.0377908164969152	0.0253161446791395	0.0824649915379644	0.0651606188717757	0.10198844892213	0.152681974737345	0.0676490154238644	0.0453459863100554	0.0375085900608859	0.0926209931978742	0.0708938565183823	0.0556049713389877	0.164969705213962	0.0883853508335551	0.0630400171324586	0.157354294263702	0.0155857276365127	0.0354299530889934	0.0996969096198333	0.0378913308637282	0.0813902104919248	0.0224146262914278	0.0323607272928032	0.0277659741132848	0.0628961343051929	0.0183180497332307	0.0472403735062924	0.0724748582163548	0.0875191687861355	0.0536706898727561	0.0931415196197382	0.0845057369914097	0.0855871918150002	0.086210435061839	0.127355859919127	0.0712727098890568	0.091306041739428	0.048903749206565	0.0295422684160815	0.0859084696003812	0.0926037604400482	0.00536336066201045
"CE7"	0.135734609256815	0.207271084832352	0.132579773279041	0.0911395458197174	0.0285578688433856	0.0854917301080499	0.0689668140348234	0.0122074692117893	0.030538422044327	0.062712188631145	0.0636423639048905	0.0868105550572021	0.0712707869983139	0.0738993677850165	0.105686039092809	0.0969200649955886	0.0820418727348385	0.12233132202178	0.0575434781648911	0.0851725014074743	0.0706337974128897	0.113864654989458	0.120779064420379	0.0616083757919633	0.0544869167290455	0.0724412352612773	0.151238317157381	0.0299788097469171	0.0779800322787903	0.0934211253499958	0.0721264657630065	0.0325387839658694	0.15713924128514	0.0313853562299527	0.013339216238963	0.0238011126312903	0.113487933847795	0.0299228143686853	0.0307454657529767	0.142331634767442	0.136947128478443	0.0396595194980121	0.0180652021808877	0.0134488659920781	0.0653618518229619	0.0780917002994141	0.0839244883962277	0.0616065568137827	0.0145930105764644	0.0343190265209436	0.018052013871807	0.0134788209012868	0.0934920869314437	0.0072286914160997	0.0591947958012543	0.0263729490637282	0.082178560088587	0.024327843680217	0.0320716918565702	0.046805600479648	0.123557321664641	0.161880740773865	0.046005948858644	0.117787843700537	0.0731622848754908	0.124516737926803	0.0294005658022288	0.102131005262071	0.0905368037768972	0.0267872256367244	0.0218233389517031	0.103883405803253	0.0650272978677036	0.0162296624769684	0.0738805323456053	0.0498185261477803	0.00188891919261381	0.0192566009446665	0.111243220478112	0.0201780992564959	0.0753164988547286	0.0743573392854738	0.200219888454988	0.152191241525842	0.0965975511628337	0.0931702350206971	0.189205822693851	0.0693765693475075	0.111796770889532	0.0239433646165671	0.0880916026130197	0.0448964010307993	0.0461996589457753	0.137834900326868	0.150373797587824	0.0619052619431905	0.122504396027713	0.151625897585295	0.119672287766119	0.180449104909247	0.0965127712520017	0.0841557829095406	0.0497314348150101	0.141812245386995	0.0788732392656202	0.0674814228419994	0.0927536028583548	0.112684007647627	0.0487048485465132	0.0260091198891185	0.0627726751333442	0.0732289923959864	0.154105920594927	0.182720179862677	0.0776715997205379	0.12375088899921	0.0438152931918377	0.111492060934163	0.196129015605671	0.121585110700907	0.0759100858826033	0.0701393180164881	0.0711683193529233	0.171680658240773	0.0311592635031847	0.144959663513668	0.0974980229042612	0.225277145041599	0.048515513599073	0.0782127971883142	0.0979873797717703	0.0951784219441593	0.156466019661454	0.040352956665176	0.136708230353607	0.126442222667892	0.0601609340819478	0.193165196418537
"CE8"	0.255886197163398	0.252140911138494	0.0978833989124039	0.0475629315738954	0.149714857398699	0.377867876807608	0.291571903943142	0.0584757947793028	0.0354897279051759	0.129970285486043	0.131429289629124	0.0860133796044873	0.0810819603519608	0.255405917760316	0.178114346835191	0.15677005880053	0.116577536485774	0.277264335214704	0.148540306180746	0.132349946456429	0.126823970382034	0.170554293259058	0.315496714160795	0.213118173767015	0.172291929204295	0.126744031653504	0.0975049678526028	0.140969856652216	0.259135692115277	0.31335353026037	0.260424868349888	0.186604346708246	0.0712984287660631	0.0185963336806869	0.0461183746882639	0.0167323657388061	0.241453791806708	0.0305284909727559	0.01401264211668	0.183892504770299	0.331181896020349	0.0913024418772583	0.0879369415995314	0.0196166342203054	0.160454559071134	0.126671582515349	0.317402325311509	0.0974684948607852	0.00857667236217966	0.117025435599082	0.0288593283908597	0.0443492737650848	0.110950452018161	0.0865823160812689	0.0736699170176955	0.101099803938732	0.358873030786893	0.0276835591589655	0.0205331284827018	0.0704962824112013	0.265904408746097	0.20036557016965	0.0135277174801219	0.21759981580314	0.148399486560638	0.258973733063464	0.0163090266025565	0.240362750971855	0.149781848296213	0.0741489919699622	0.0383866706639534	0.124767922090817	0.0271663933385177	0.178041208700333	0.0676518207863275	0.219166932494502	0.0159784824117073	0.183184623401483	0.197715449154518	0.00831621189238015	0.0428442733873802	0.0524636609607909	0.271232281426029	0.167068457862814	0.117350670275623	0.131816697690202	0.259259396910982	0.107765898265907	0.00814112908015919	0.105429511776903	0.173932036299016	0.144722482069884	0.0201483377578793	0.0721227950983416	0.0605052625822093	0.0488687824346246	0.19852957299261	0.136436872925351	0.337809778948836	0.0712128142175447	0.200591296084593	0.212312458022441	0.016125606342127	0.0683146902238528	0.00830632168484463	0.0311080287353018	0.201448068830234	0.175509466346482	0.0476919262468487	0.000400412892456318	0.0338499682968754	0.242542550624969	0.26525975560669	0.0912415076632977	0.0219970904405259	0.0551312395081325	0.17935123507246	0.220323718134497	0.188811046012488	0.0674749750737477	0.202353153916666	0.221041417795074	0.036971452853008	0.175645174555075	0.158717229781215	0.0787941370052056	0.176907887871079	0.205661492469127	0.0719329682815272	0.0142937742055471	0.0967350137457504	0.163256246196759	0.164659034702712	0.0491858783747656	0.190986253629472	0.101317381157899	0.0387582617569755	0.149186756642756
"CE9"	0.0258997420369496	1.96791793266591e-14	0.00255796628973826	0.0127738408834162	0.179990120655409	0.00438548016344882	0.0173155407876239	0.231511981286017	0.0487907976120807	0.0690855128860089	0.0271555204861045	0.0264971289017511	0.0241085096608326	0.0317343175733411	0.0886613171622255	0.0705617398691457	0.0459426986286307	0.0231836673269082	0.0140435276298187	0.0235876830351157	0.0756360408985995	0.0557148254183639	0.0809459565349106	0.0335376500536219	0.077264887815445	0.0394390607368703	0.0480358786971652	0.227228432040403	0.106901112479391	0.0145654184240356	0.0083048317117697	0.0555060395894431	0.0778610073770887	0.124609185197775	0.102618623491922	0.123248506673171	0.0173923614609728	0.0419453954427611	0.0156886301340513	0.0272922559596485	0.0244743885738187	0.105037026223843	0.0924401132914825	0.064196628067678	0.157575323825463	0.0533165880896525	0.0775482995840744	0.0294925598242463	0.0988978467637862	0.235607873190832	0.141046199309573	0.274955383223888	0.0263617049917437	0.0433215958116821	0.150760569130438	0.0414810733505831	0.0887156763386863	0.178278206614913	0.226487136581975	0.142324747372585	0.0665252407617781	0.10259235874108	0.104342091754745	0.0383401223005603	0.288403984427738	0.214074483185447	0.0804652248754621	0.0656184788477576	0.0333705343397297	0.0500329889032541	0.0221560020061577	0.00653299202383404	0.0252706116618007	0.19342386573046	0.0501922356187258	0.0553073454847358	0.126616895337689	0.185662799717621	0.000608504499134969	0.111811008788431	0.0457381992456498	0.00999586169868072	0.106543744117931	0.216065546420223	0.275155389202876	0.15105611207678	0.00396705199156264	0.180247578148891	0.00732147842146392	0.0581709591267594	0.0712876467040635	1.44944963733105e-14	0.11033656063504	0.0997654228865694	0.0252616616209375	0.0127268586012063	0.169989410189696	0.11894970234992	0.0200570632865183	0.0148161060935603	0.141773747369984	0.00137786864381959	0.185373166945525	0.0745851507235271	0.259280293615913	0.16988141038387	0.0750480073470282	0.112402071630052	0.181460230252278	0.114669662798379	0.0676798720711464	0.0038980669944917	0.0553772923149859	0.0471373460256913	0.171617742141929	0.0338830663938046	0.268623408259554	0.191461297749277	0.006407322863917	1.99041075779183e-14	0.0281537298741244	0.274131265361216	0.239325980084	0.131446485894926	0.165637263802584	0.0687282744658009	0.0262587138913327	0.0144580762450011	0.157782664292124	0.083975304972769	0.0742566919644495	0.107355731774515	0.00408312073141991	0.152779486781525	0.0281563634080508	0.000661275201255749	0.0142497132893451	0.0357606543356976
"CE10"	0.00738677662914811	0.00130789610741439	0.000281589213297441	0.0201436654516868	0.33494336882655	8.26250561031888e-08	0.00354635447868067	0.192430397581017	0.0232401784440354	0.0605381257315276	0.0455177106498388	0.0105524296771481	0.0322050692653689	0.0545201424346666	0.0677021825726757	0.27554789029694	0.0190947950949223	0.0180647820216386	0.0178822316859557	0.0468162577855241	0.134665722737962	0.0619102520753998	0.142864241429255	0.0616535690258425	0.172000682068649	0.0282467084252208	0.00216391346722764	0.299620332707273	0.112582449487494	0.0107973035896974	0.0201508358001041	0.0681581720434449	0.030428886905768	0.0330758194305743	0.0993583180487019	0.0375866818431112	0.18412344953644	0.0171591451538815	0.00484973880230227	0.0706528064977199	0.0251897405144847	0.295725029597237	0.168749822315871	0.0875509553695486	0.0432379549107432	0.0405070143167009	0.0541992084274883	0.0154562646294348	0.021378011214663	0.23453217680096	0.0704391002748164	0.169216153066786	0.185839703751552	0.0337573330886022	0.150265978234161	0.0728719475850046	0.274581847611918	0.149008705849964	0.0621534909613505	0.236729611826898	0.0818793846635133	0.0905723221524836	0.0364527619701449	0.184226921104365	0.217666828401413	0.168156570867123	0.1017270077337	0.0794255950441257	0.210825699027732	0.00100816145386974	0.0463108047042572	0.0353420495690987	0.0820154638096338	0.211246806199899	0.235698866919841	0.0945207998940677	0.171088233639574	0.420572563427187	0.00608743143625766	0.0672593740101517	0.0256119621835344	0.00693370088533058	0.0528485269846194	0.182506923347684	0.312642575657556	0.291487764365875	0.014775790816746	0.255125755950941	0.00350522152646489	0.0985965415215721	0.142060897139805	0.00580503553720065	0.120041270265576	0.049811727625057	0.0317077477742237	0.0759947181196987	0.291940625388365	0.147853519474089	0.0123031198157208	0.00917900177141959	0.189280062156721	0.00438264274005783	0.0630780423209639	0.0166219901948257	0.0484662970472385	0.124923675253143	0.136471317997446	0.105737155691377	0.204516754841716	0.0519094500088032	0.0386684441214159	0.0648052988954029	0.0175820954963256	0.045040357376912	0.0714728167477403	1.60434535351767e-14	0.226423830859271	0.107635157192783	2.0065818272929e-14	2.03839750357556e-14	0.231324828604282	0.311479235767884	0.109959936226196	0.172937541789186	0.231662437290308	0.0247107951115604	0.0699674494949764	0.224754686692362	0.377055134228632	0.0991347728801513	0.119597330430976	0.188563715357023	0.0149949184293335	0.0712866490413399	0.00246647418721931	0.000930912640896755	0.0163631231996769	0.00029029386623948
