"ID"	"State"	"InitialState"
"RNA_J_08_U_T_PT"	"S01"	"IS01"
"RNA_J_10_U_T_PT"	"S01"	"IS01"
"RNA_J_35_M_T_PT"	"S01"	"IS01"
"RNA_LMU_KKG_10_PT"	"S01"	"IS01"
"RNA_LMU_KKG_12_PT"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_05"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_09"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_21"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_47"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_49"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_50"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_55"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_61"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_70"	"S01"	"IS01"
"RNA_LMU_KKG_ADJ_74"	"S01"	"IS01"
"RNA_Lue_06_PT"	"S01"	"IS01"
"RNA_Lue_07_PT"	"S01"	"IS01"
"RNA_LMU_KKG_06_PT"	"S02"	"IS09"
"RNA_LMU_KKG_ADJ_02"	"S02"	"IS09"
"RNA_LMU_KKG_ADJ_17"	"S02"	"IS09"
"RNA_LMU_KKG_ADJ_43"	"S02"	"IS09"
"RNA_LMU_KKG_ADJ_73"	"S02"	"IS09"
"RNA_J_31_M_T_PT"	"S03"	"IS04"
"RNA_J_36_M_T_PT"	"S03"	"IS04"
"RNA_J_38_M_T_PT"	"S03"	"IS04"
"RNA_LMU_KKG_09_Rez"	"S03"	"IS04"
"RNA_LMU_KKG_10_Rez"	"S03"	"IS04"
"RNA_LMU_KKG_11_Rez"	"S03"	"IS04"
"RNA_LMU_KKG_14_Rez"	"S03"	"IS04"
"RNA_LMU_KKG_ADJ_20"	"S03"	"IS04"
"RNA_LMU_KKG_ADJ_26"	"S03"	"IS04"
"RNA_LMU_KKG_ADJ_54"	"S03"	"IS04"
"RNA_LMU_KKG_ADJ_69"	"S03"	"IS04"
"RNA_Lue_02_Rez_1"	"S03"	"IS04"
"RNA_Lue_02_Rez_2"	"S03"	"IS04"
"RNA_Lue_04_Rez_1"	"S03"	"IS04"
"RNA_Lue_05_Rez_1"	"S03"	"IS04"
"RNA_Lue_05_Rez_2"	"S03"	"IS04"
"RNA_Lue_16_PT"	"S03"	"IS04"
"RNA_Lue_17_PT"	"S03"	"IS04"
"RNA_Lue_17_Rez_1"	"S03"	"IS04"
"RNA_J_03_U_T_PT"	"S04"	"IS02"
"RNA_LMU_KKG_16_Rez"	"S04"	"IS02"
"RNA_LMU_KKG_ADJ_15"	"S04"	"IS02"
"RNA_LMU_KKG_ADJ_22"	"S04"	"IS02"
"RNA_LMU_KKG_ADJ_24"	"S04"	"IS02"
"RNA_LMU_KKG_ADJ_38"	"S04"	"IS02"
"RNA_LMU_KKG_ADJ_39"	"S04"	"IS02"
"RNA_Lue_06_Rez_1"	"S04"	"IS02"
"RNA_Lue_14_Rez_1"	"S04"	"IS02"
"RNA_J_32_M_T_PT"	"S05"	"IS08"
"RNA_J_33_M_T_PT"	"S05"	"IS08"
"RNA_LMU_KKG_01_PT"	"S05"	"IS08"
"RNA_LMU_KKG_05_PT"	"S05"	"IS08"
"RNA_LMU_KKG_13_PT"	"S05"	"IS08"
"RNA_LMU_KKG_15_Rez"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_03"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_04"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_10"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_28"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_35"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_41"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_51"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_63"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_75"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_76"	"S05"	"IS08"
"RNA_Lue_04_PT"	"S05"	"IS08"
"RNA_Lue_07_Rez_1"	"S05"	"IS08"
"RNA_Lue_08_PT"	"S05"	"IS08"
"RNA_Lue_11_PT"	"S05"	"IS08"
"RNA_Lue_12_Rez_1"	"S05"	"IS08"
