"ID"	"State"	"InitialState"
"MUC14098"	"S01"	"IS02"
"MUC14146"	"S01"	"IS02"
"MUC14105"	"S01"	"IS02"
"MUC14173"	"S01"	"IS02"
"MUC14129"	"S01"	"IS02"
"MUC14101"	"S01"	"IS02"
"KKG_PROSP_ADJ_06"	"S01"	"IS02"
"KKG_PROSP_ADJ_07"	"S01"	"IS02"
"KKG_PROSP_ADJ_09"	"S01"	"IS02"
"KKG_PROSP_ADJ_15"	"S01"	"IS02"
"KKG_PROSP_ADJ_51"	"S01"	"IS02"
"KKG_PROSP_ADJ_57"	"S01"	"IS02"
"MUC14166"	"S02"	"IS08"
"MUC14106"	"S02"	"IS08"
"MUC14102"	"S02"	"IS08"
"MUC14112"	"S03"	"IS05"
"MUC14111"	"S03"	"IS05"
"MUC14108"	"S03"	"IS05"
"MUC14104"	"S03"	"IS05"
"MUC14178"	"S03"	"IS05"
"MUC14147"	"S03"	"IS05"
"MUC14115"	"S03"	"IS05"
"MUC14154"	"S03"	"IS05"
"KKG_PROSP_ADJ_22"	"S03"	"IS05"
"KKG_PROSP_ADJ_24"	"S03"	"IS05"
"KKG_PROSP_ADJ_25"	"S03"	"IS05"
"KKG_PROSP_ADJ_27"	"S03"	"IS05"
"KKG_PROSP_ADJ_28"	"S03"	"IS05"
"KKG_PROSP_ADJ_36"	"S03"	"IS05"
"KKG_PROSP_ADJ_39"	"S03"	"IS05"
"KKG_PROSP_ADJ_43"	"S03"	"IS05"
"KKG_PROSP_ADJ_46"	"S03"	"IS05"
"KKG_PROSP_ADJ_59"	"S03"	"IS05"
"MUC14131"	"S04"	"IS11"
"MUC14119"	"S04"	"IS11"
"MUC14133"	"S04"	"IS11"
"MUC14117"	"S04"	"IS11"
"MUC14176"	"S04"	"IS11"
"MUC14153"	"S04"	"IS11"
"MUC14167"	"S04"	"IS11"
"KKG_PROSP_ADJ_01"	"S04"	"IS11"
"KKG_PROSP_ADJ_02"	"S04"	"IS11"
"KKG_PROSP_ADJ_29"	"S04"	"IS11"
"KKG_PROSP_ADJ_44"	"S04"	"IS11"
"KKG_PROSP_ADJ_55"	"S04"	"IS11"
"MUC14168"	"S05"	"IS06"
"MUC14157"	"S05"	"IS06"
"KKG_PROSP_ADJ_13"	"S05"	"IS06"
"KKG_PROSP_ADJ_143"	"S05"	"IS06"
"MUC14121"	"S06"	"IS03"
"MUC14135"	"S06"	"IS03"
"MUC14162"	"S06"	"IS03"
"MUC14107"	"S06"	"IS03"
"MUC14116"	"S06"	"IS03"
"KKG_PROSP_ADJ_03"	"S06"	"IS03"
"KKG_PROSP_ADJ_102"	"S06"	"IS03"
"KKG_PROSP_ADJ_12"	"S06"	"IS03"
"KKG_PROSP_ADJ_48"	"S06"	"IS03"
"MUC14120"	"S07"	"IS01"
"MUC14127"	"S07"	"IS01"
"MUC14128"	"S07"	"IS01"
"KKG_PROSP_ADJ_10"	"S07"	"IS01"
"KKG_PROSP_ADJ_11"	"S07"	"IS01"
"KKG_PROSP_ADJ_26"	"S07"	"IS01"
"KKG_PROSP_ADJ_31"	"S07"	"IS01"
"KKG_PROSP_ADJ_33"	"S07"	"IS01"
"KKG_PROSP_ADJ_47"	"S07"	"IS01"
"KKG_PROSP_ADJ_54"	"S07"	"IS01"
"KKG_PROSP_ADJ_86"	"S07"	"IS01"
"MUC14113"	"S08"	"IS04"
"MUC14122"	"S08"	"IS04"
"MUC14170"	"S08"	"IS04"
"KKG_PROSP_ADJ_04"	"S08"	"IS04"
"KKG_PROSP_ADJ_05"	"S08"	"IS04"
"KKG_PROSP_ADJ_139"	"S08"	"IS04"
"KKG_PROSP_ADJ_14"	"S08"	"IS04"
"KKG_PROSP_ADJ_16"	"S08"	"IS04"
"KKG_PROSP_ADJ_19"	"S08"	"IS04"
"KKG_PROSP_ADJ_23"	"S08"	"IS04"
"KKG_PROSP_ADJ_35"	"S08"	"IS04"
"KKG_PROSP_ADJ_37"	"S08"	"IS04"
"KKG_PROSP_ADJ_45"	"S08"	"IS04"
"MUC14149"	"S09"	"IS09"
"MUC14165"	"S09"	"IS09"
"MUC14118"	"S09"	"IS09"
"MUC14160"	"S09"	"IS09"
"MUC14141"	"S09"	"IS09"
"MUC14114"	"S09"	"IS09"
"MUC14151"	"S09"	"IS09"
"MUC14099"	"S09"	"IS09"
"MUC14123"	"S09"	"IS09"
"KKG_PROSP_ADJ_20"	"S09"	"IS09"
"KKG_PROSP_ADJ_32"	"S09"	"IS09"
"KKG_PROSP_ADJ_49"	"S09"	"IS09"
