"ID"	"State"	"InitialState"
"MUC14120"	"S01"	"IS05"
"MUC14146"	"S01"	"IS05"
"MUC14148"	"S01"	"IS05"
"MUC14160"	"S01"	"IS05"
"MUC14122"	"S01"	"IS05"
"MUC14133"	"S01"	"IS05"
"MUC14117"	"S01"	"IS05"
"MUC14158"	"S01"	"IS05"
"MUC14176"	"S01"	"IS05"
"MUC14111"	"S01"	"IS05"
"MUC14170"	"S01"	"IS05"
"MUC14145"	"S01"	"IS05"
"MUC14127"	"S01"	"IS05"
"MUC14164"	"S01"	"IS05"
"MUC14156"	"S01"	"IS05"
"MUC14167"	"S01"	"IS05"
"MUC14132"	"S01"	"IS05"
"MUC14134"	"S01"	"IS05"
"KKG_PROSP_ADJ_139"	"S01"	"IS05"
"KKG_PROSP_ADJ_14"	"S01"	"IS05"
"KKG_PROSP_ADJ_143"	"S01"	"IS05"
"KKG_PROSP_ADJ_16"	"S01"	"IS05"
"KKG_PROSP_ADJ_19"	"S01"	"IS05"
"KKG_PROSP_ADJ_31"	"S01"	"IS05"
"KKG_PROSP_ADJ_32"	"S01"	"IS05"
"KKG_PROSP_ADJ_35"	"S01"	"IS05"
"KKG_PROSP_ADJ_36"	"S01"	"IS05"
"KKG_PROSP_ADJ_37"	"S01"	"IS05"
"KKG_PROSP_ADJ_40"	"S01"	"IS05"
"KKG_PROSP_ADJ_42"	"S01"	"IS05"
"KKG_PROSP_ADJ_54"	"S01"	"IS05"
"MUC14173"	"S02"	"IS04"
"MUC14178"	"S02"	"IS04"
"MUC14141"	"S02"	"IS04"
"MUC14147"	"S02"	"IS04"
"MUC14102"	"S02"	"IS04"
"KKG_PROSP_ADJ_28"	"S02"	"IS04"
"MUC14169"	"S03"	"IS07"
"MUC14155"	"S03"	"IS07"
"MUC14126"	"S03"	"IS07"
"MUC14162"	"S03"	"IS07"
"MUC14107"	"S03"	"IS07"
"MUC14116"	"S03"	"IS07"
"MUC14157"	"S03"	"IS07"
"MUC14097"	"S03"	"IS07"
"MUC14153"	"S03"	"IS07"
"MUC14128"	"S03"	"IS07"
"KKG_PROSP_ADJ_01"	"S03"	"IS07"
"KKG_PROSP_ADJ_02"	"S03"	"IS07"
"KKG_PROSP_ADJ_03"	"S03"	"IS07"
"KKG_PROSP_ADJ_10"	"S03"	"IS07"
"KKG_PROSP_ADJ_12"	"S03"	"IS07"
"KKG_PROSP_ADJ_13"	"S03"	"IS07"
"KKG_PROSP_ADJ_23"	"S03"	"IS07"
"KKG_PROSP_ADJ_29"	"S03"	"IS07"
"KKG_PROSP_ADJ_41"	"S03"	"IS07"
"KKG_PROSP_ADJ_47"	"S03"	"IS07"
"KKG_PROSP_ADJ_59"	"S03"	"IS07"
"KKG_PROSP_ADJ_48"	"S03"	"IS07"
"KKG_PROSP_ADJ_86"	"S03"	"IS07"
"MUC14112"	"S04"	"IS08"
"MUC14108"	"S04"	"IS08"
"MUC14104"	"S04"	"IS08"
"MUC14115"	"S04"	"IS08"
"MUC14129"	"S04"	"IS08"
"MUC14154"	"S04"	"IS08"
"KKG_PROSP_ADJ_15"	"S04"	"IS08"
"KKG_PROSP_ADJ_22"	"S04"	"IS08"
"KKG_PROSP_ADJ_24"	"S04"	"IS08"
"KKG_PROSP_ADJ_44"	"S04"	"IS08"
"KKG_PROSP_ADJ_51"	"S04"	"IS08"
"MUC14119"	"S05"	"IS01"
"MUC14168"	"S05"	"IS01"
"MUC14123"	"S05"	"IS01"
"MUC14101"	"S05"	"IS01"
"KKG_PROSP_ADJ_05"	"S05"	"IS01"
"KKG_PROSP_ADJ_06"	"S05"	"IS01"
"KKG_PROSP_ADJ_09"	"S05"	"IS01"
"KKG_PROSP_ADJ_102"	"S05"	"IS01"
"KKG_PROSP_ADJ_25"	"S05"	"IS01"
"KKG_PROSP_ADJ_45"	"S05"	"IS01"
"KKG_PROSP_ADJ_49"	"S05"	"IS01"
"KKG_PROSP_ADJ_55"	"S05"	"IS01"
"KKG_PROSP_ADJ_110"	"S05"	"IS01"
"MUC14130"	"S06"	"IS03"
"MUC14103"	"S06"	"IS03"
"MUC14109"	"S06"	"IS03"
"MUC14121"	"S06"	"IS03"
"MUC14131"	"S06"	"IS03"
"MUC14135"	"S06"	"IS03"
"MUC14149"	"S06"	"IS03"
"MUC14118"	"S06"	"IS03"
"MUC14138"	"S06"	"IS03"
"MUC14113"	"S06"	"IS03"
"MUC14143"	"S06"	"IS03"
"MUC14125"	"S06"	"IS03"
"MUC14139"	"S06"	"IS03"
"MUC14114"	"S06"	"IS03"
"MUC14151"	"S06"	"IS03"
"KKG_PROSP_ADJ_04"	"S06"	"IS03"
"KKG_PROSP_ADJ_07"	"S06"	"IS03"
"KKG_PROSP_ADJ_08"	"S06"	"IS03"
"KKG_PROSP_ADJ_11"	"S06"	"IS03"
"KKG_PROSP_ADJ_20"	"S06"	"IS03"
"KKG_PROSP_ADJ_21"	"S06"	"IS03"
"KKG_PROSP_ADJ_26"	"S06"	"IS03"
"KKG_PROSP_ADJ_27"	"S06"	"IS03"
"KKG_PROSP_ADJ_33"	"S06"	"IS03"
"KKG_PROSP_ADJ_39"	"S06"	"IS03"
"KKG_PROSP_ADJ_57"	"S06"	"IS03"
"KKG_PROSP_ADJ_58"	"S06"	"IS03"
