"ID"	"State"	"InitialState"
"MUC14147"	"S01"	"IS04"
"MUC14102"	"S01"	"IS04"
"KKG_PROSP_ADJ_05"	"S01"	"IS04"
"KKG_PROSP_ADJ_06"	"S01"	"IS04"
"MUC14119"	"S02"	"IS02"
"MUC14172"	"S02"	"IS02"
"MUC14156"	"S02"	"IS02"
"KKG_PROSP_ADJ_02"	"S02"	"IS02"
"KKG_PROSP_ADJ_22"	"S02"	"IS02"
"KKG_PROSP_ADJ_28"	"S02"	"IS02"
"MUC14121"	"S03"	"IS06"
"MUC14107"	"S03"	"IS06"
"MUC14157"	"S03"	"IS06"
"KKG_PROSP_ADJ_03"	"S03"	"IS06"
"KKG_PROSP_ADJ_13"	"S03"	"IS06"
"KKG_PROSP_ADJ_59"	"S03"	"IS06"
"MUC14104"	"S04"	"IS01"
"MUC14110"	"S04"	"IS01"
"KKG_PROSP_ADJ_102"	"S04"	"IS01"
"KKG_PROSP_ADJ_12"	"S04"	"IS01"
"MUC14169"	"S05"	"IS05"
"MUC14155"	"S05"	"IS05"
"MUC14120"	"S05"	"IS05"
"MUC14125"	"S05"	"IS05"
"KKG_PROSP_ADJ_08"	"S05"	"IS05"
"KKG_PROSP_ADJ_41"	"S05"	"IS05"
"KKG_PROSP_ADJ_58"	"S05"	"IS05"
"KKG_PROSP_ADJ_110"	"S05"	"IS05"
"KKG_PROSP_ADJ_48"	"S05"	"IS05"
